Date,Price
1999-05-24,814.74
1999-05-25,786.89
1999-05-26,759.04
1999-05-27,732.22
1999-05-28,734.26
1999-05-31,734.26
1999-06-01,740.9
1999-06-02,750.1
1999-06-03,755.72
1999-06-04,757.77
1999-06-07,782.55
1999-06-08,804.78
1999-06-09,818.82
1999-06-10,830.83
1999-06-11,842.08
1999-06-14,833.14
1999-06-15,825.21
1999-06-16,820.87
1999-06-17,796.09
1999-06-18,775.39
1999-06-21,764.92
1999-06-22,749.33
1999-06-23,712.8
1999-06-24,730.68
1999-06-25,742.18
1999-06-28,739.37
1999-06-29,739.37
1999-06-30,757.25
1999-07-01,793.02
1999-07-02,793.02
1999-07-05,813.2
1999-07-06,828.28
1999-07-07,817.04
1999-07-08,817.55
1999-07-09,822.91
1999-07-12,822.66
1999-07-13,819.08
1999-07-14,821.38
1999-07-15,820.36
1999-07-16,816.27
1999-07-19,815.5
1999-07-20,810.91
1999-07-21,794.55
1999-07-22,803.24
1999-07-23,804.01
1999-07-26,811.42
1999-07-27,816.01
1999-07-28,810.14
1999-07-29,811.16
1999-07-30,822.91
1999-08-02,830.32
1999-08-03,835.43
1999-08-04,866.86
1999-08-05,886.28
1999-08-06,887.29
1999-08-09,890.87
1999-08-10,896.49
1999-08-11,919.23
1999-08-12,963.43
1999-08-13,967.01
1999-08-16,962.66
1999-08-17,947.08
1999-08-18,949.12
1999-08-19,933.28
1999-08-20,924.85
1999-08-23,937.88
1999-08-24,923.58
1999-08-25,918.21
1999-08-26,897.0
1999-08-27,890.36
1999-08-30,890.36
1999-08-31,878.86
1999-09-01,879.89
1999-09-02,877.59
1999-09-03,877.59
1999-09-06,885.51
1999-09-07,895.98
1999-09-08,883.97
1999-09-09,866.34
1999-09-10,839.52
1999-09-13,826.23
1999-09-14,824.7
1999-09-15,810.4
1999-09-16,787.14
1999-09-17,789.7
1999-09-20,789.44
1999-09-21,790.98
1999-09-22,817.47
1999-09-23,833.41
1999-09-24,829.81
1999-09-27,907.98
1999-09-28,922.38
1999-09-29,887.16
1999-09-30,883.29
1999-10-01,867.35
1999-10-04,884.58
1999-10-05,910.55
1999-10-06,904.9
1999-10-07,923.15
1999-10-08,902.58
1999-10-11,897.18
1999-10-12,880.21
1999-10-13,869.67
1999-10-14,858.09
1999-10-15,835.73
1999-10-18,822.61
1999-10-19,823.9
1999-10-20,835.73
1999-10-21,828.01
1999-10-22,830.32
1999-10-25,820.3
1999-10-26,828.01
1999-10-27,820.3
1999-10-28,855.01
1999-10-29,837.26
1999-11-01,835.73
1999-11-02,861.44
1999-11-03,865.3
1999-11-04,856.3
1999-11-05,856.3
1999-11-08,848.58
1999-11-09,849.87
1999-11-10,848.33
1999-11-11,849.61
1999-11-12,848.84
1999-11-15,850.38
1999-11-16,841.13
1999-11-17,902.84
1999-11-18,928.55
1999-11-19,911.59
1999-11-22,880.73
1999-11-23,905.16
1999-11-24,926.76
1999-11-25,917.24
1999-11-26,925.72
1999-11-29,946.55
1999-11-30,951.95
1999-12-01,934.21
1999-12-02,956.58
1999-12-03,976.89
1999-12-06,946.29
1999-12-07,964.3
1999-12-08,966.87
1999-12-09,995.15
1999-12-10,1022.41
1999-12-13,1029.61
1999-12-14,1018.3
1999-12-15,1041.44
1999-12-16,1097.5
1999-12-17,1098.01
1999-12-20,1089.01
1999-12-21,1046.33
1999-12-22,1038.1
1999-12-23,1044.01
1999-12-24,1027.3
1999-12-27,1027.3
1999-12-28,1027.3
1999-12-29,1031.15
1999-12-30,1058.16
1999-12-31,1058.16
2000-01-03,1058.16
2000-01-04,1028.58
2000-01-05,1037.58
2000-01-06,1063.04
2000-01-07,1100.59
2000-01-10,1112.16
2000-01-11,1086.69
2000-01-12,1074.35
2000-01-13,1093.13
2000-01-14,1095.18
2000-01-17,1101.87
2000-01-18,1057.13
2000-01-19,1065.35
2000-01-20,1048.9
2000-01-21,1030.39
2000-01-24,1002.87
2000-01-25,983.32
2000-01-26,958.12
