Date,Price
1990-01-01,108.56
1990-01-02,108.82
1990-01-03,108.82
1990-01-04,109.08
1990-01-05,109.34
1990-01-08,109.34
1990-01-09,109.86
1990-01-10,109.08
1990-01-11,110.12
1990-01-12,108.04
1990-01-15,106.73
1990-01-16,106.47
1990-01-17,106.99
1990-01-18,106.47
1990-01-19,106.73
1990-01-22,104.39
1990-01-23,104.39
1990-01-24,103.87
1990-01-25,104.13
1990-01-26,103.87
1990-01-29,103.87
1990-01-30,103.61
1990-01-31,102.83
1990-02-01,103.87
1990-02-02,104.13
1990-02-05,104.13
1990-02-06,103.35
1990-02-07,103.61
1990-02-08,104.13
1990-02-09,103.61
1990-02-12,103.35
1990-02-13,103.35
1990-02-14,103.61
1990-02-15,104.13
1990-02-16,104.13
1990-02-19,103.09
1990-02-20,103.35
1990-02-21,103.35
1990-02-22,102.83
1990-02-23,102.83
1990-02-26,103.87
1990-02-27,103.87
1990-02-28,103.87
1990-03-01,103.35
1990-03-02,103.35
1990-03-05,102.05
1990-03-06,99.97
1990-03-07,100.23
1990-03-08,100.49
1990-03-09,104.13
1990-03-12,102.05
1990-03-13,102.31
1990-03-14,102.05
1990-03-15,102.83
1990-03-16,103.61
1990-03-19,102.05
1990-03-20,102.57
1990-03-21,101.53
1990-03-22,102.05
1990-03-23,101.79
1990-03-26,101.79
1990-03-27,101.27
1990-03-28,101.53
1990-03-29,101.53
1990-03-30,101.53
1990-04-02,100.23
1990-04-03,101.01
1990-04-04,101.27
1990-04-05,101.01
1990-04-06,101.01
1990-04-09,101.27
1990-04-10,101.01
1990-04-11,101.27
1990-04-12,101.53
1990-04-13,101.53
1990-04-16,101.53
1990-04-17,101.53
1990-04-18,101.01
1990-04-19,100.49
1990-04-20,100.49
1990-04-23,100.49
1990-04-24,100.23
1990-04-25,101.53
1990-04-26,101.27
1990-04-27,101.01
1990-04-30,100.75
1990-05-01,100.75
1990-05-02,100.23
1990-05-03,98.4
1990-05-04,97.88
1990-05-07,97.88
1990-05-08,98.4
1990-05-09,97.88
1990-05-10,96.97
1990-05-11,97.62
1990-05-14,98.66
1990-05-15,98.4
1990-05-16,98.66
1990-05-17,100.49
1990-05-18,101.01
1990-05-21,101.53
1990-05-22,103.09
1990-05-23,102.83
1990-05-24,102.31
1990-05-25,102.57
1990-05-28,102.57
1990-05-29,103.87
1990-05-30,104.65
1990-05-31,104.39
1990-06-01,104.13
1990-06-04,104.13
1990-06-05,105.43
1990-06-06,106.47
1990-06-07,108.56
1990-06-08,108.82
1990-06-11,107.25
1990-06-12,108.3
1990-06-13,110.12
1990-06-14,110.12
1990-06-15,108.82
1990-06-18,106.99
1990-06-19,105.95
1990-06-20,106.47
1990-06-21,106.99
1990-06-22,106.99
1990-06-25,106.21
1990-06-26,105.43
1990-06-27,103.61
1990-06-28,103.35
1990-06-29,102.83
1990-07-02,102.83
1990-07-03,104.91
