Date,Price
2000-12-01,31.01
2000-12-04,31.72
2000-12-05,31.72
2000-12-06,30.04
2000-12-07,31.71
2000-12-08,31.36
2000-12-11,30.39
2000-12-12,30.35
2000-12-13,30.17
2000-12-14,31.36
2000-12-15,31.28
2000-12-18,32.16
2000-12-19,32.42
2000-12-20,32.2
2000-12-21,31.72
2000-12-22,31.23
2000-12-27,32.16
2000-12-28,32.7
2001-01-02,33.04
2001-01-03,24.67
2001-01-04,24.17
2001-01-05,22.69
2001-01-08,23.23
2001-01-09,24.05
2001-01-10,24.67
2001-01-11,24.4
2001-01-12,24.36
2001-01-15,23.83
2001-01-16,24.45
2001-01-17,24.16
2001-01-18,23.54
2001-01-19,23.71
2001-01-22,23.7
2001-01-23,23.17
2001-01-25,23.35
2001-01-29,24.77
2001-01-30,25.5
2001-01-31,26.34
2001-02-01,26.43
2001-02-02,26.39
2001-02-05,26.61
2001-02-06,26.45
2001-02-07,26.56
2001-02-08,26.43
2001-02-09,26.3
2001-02-12,26.39
2001-02-13,26.76
2001-02-14,28.1
2001-02-15,27.31
2001-02-16,26.89
2001-02-19,27.22
2001-02-20,27.09
2001-02-21,27.18
2001-02-22,27.27
2001-02-23,26.87
2001-02-26,27.0
2001-02-27,27.18
2001-02-28,26.7
2001-03-01,24.67
2001-03-02,24.68
2001-03-05,25.77
2001-03-06,27.4
2001-03-07,27.09
2001-03-08,27.22
2001-03-09,26.83
2001-03-12,26.41
2001-03-13,26.86
2001-03-15,26.87
2001-03-16,27.09
2001-03-19,25.81
2001-03-20,25.55
2001-03-21,24.89
2001-03-22,24.67
2001-03-23,24.89
2001-03-26,25.73
2001-03-27,26.21
2001-03-28,25.95
2001-03-29,24.98
2001-03-30,25.54
2001-04-02,26.21
2001-04-03,26.76
2001-04-04,26.62
2001-04-05,26.83
2001-04-06,26.44
2001-04-09,27.31
2001-04-10,27.31
2001-04-11,26.43
2001-04-12,25.82
2001-04-17,25.8
2001-04-18,26.25
2001-04-19,26.43
2001-04-20,25.59
2001-04-23,25.73
2001-04-24,26.43
2001-04-25,26.04
2001-04-26,26.52
2001-04-27,26.44
2001-04-30,26.43
2001-05-02,25.46
2001-05-03,24.93
2001-05-04,24.93
2001-05-08,25.2
2001-05-10,25.99
2001-05-14,26.39
2001-05-15,26.41
2001-05-16,25.77
2001-05-17,25.86
2001-05-18,25.37
2001-05-21,24.8
2001-05-22,25.11
2001-05-23,25.65
2001-05-24,27.09
2001-05-25,26.78
2001-05-28,26.91
2001-05-29,26.34
2001-05-30,25.94
2001-05-31,25.73
2001-06-01,25.79
2001-06-05,25.81
2001-06-06,25.77
2001-06-07,25.97
2001-06-08,25.99
2001-06-11,25.64
2001-06-12,25.78
2001-06-13,25.76
2001-06-14,25.61
2001-06-15,25.33
2001-06-18,25.59
2001-06-19,25.86
2001-06-20,26.6
2001-06-21,26.43
2001-06-22,26.47
2001-06-25,26.43
2001-06-26,27.08
2001-06-27,27.75
2001-06-28,27.87
2001-06-29,27.84
2001-07-02,27.49
2001-07-03,27.58
2001-07-04,27.75
2001-07-05,27.58
2001-07-06,27.6
2001-07-09,27.54
2001-07-10,27.35
2001-07-11,27.6
2001-07-12,27.58
2001-07-13,27.58
2001-07-16,27.75
2001-07-17,27.97
2001-07-18,27.75
2001-07-19,28.02
2001-07-20,27.93
2001-07-23,28.01
2001-07-24,26.87
2001-07-25,26.64
2001-07-26,26.43
2001-07-27,26.87
