Date,Price
2000-01-03,5.87
2000-01-04,5.68
2000-01-05,5.68
2000-01-06,5.7
2000-01-07,5.89
2000-01-10,5.78
2000-01-11,5.72
2000-01-12,5.61
2000-01-13,5.68
2000-01-14,5.74
2000-01-17,5.74
2000-01-18,5.5
2000-01-19,5.24
2000-01-20,5.22
2000-01-21,5.08
2000-01-24,4.98
2000-01-25,4.95
2000-01-26,5.0
2000-01-27,4.92
2000-01-28,5.08
2000-01-31,5.13
2000-02-01,5.25
2000-02-02,5.12
2000-02-03,4.96
2000-02-04,4.7
2000-02-07,4.74
2000-02-08,4.72
2000-02-09,5.03
2000-02-10,5.36
2000-02-11,5.32
2000-02-14,5.25
2000-02-15,5.07
2000-02-16,4.78
2000-02-17,4.89
2000-02-18,4.8
2000-02-21,4.81
2000-02-22,4.64
2000-02-23,4.66
2000-02-24,4.72
2000-02-25,4.46
2000-02-28,4.42
2000-02-29,4.62
2000-03-01,4.51
2000-03-02,4.46
2000-03-03,4.49
2000-03-06,4.7
2000-03-07,4.86
2000-03-08,4.58
2000-03-09,4.47
2000-03-10,4.37
2000-03-13,4.37
2000-03-14,4.64
2000-03-15,4.75
2000-03-16,4.8
2000-03-17,4.51
2000-03-20,4.85
2000-03-21,4.89
2000-03-22,4.85
2000-03-23,4.59
2000-03-24,4.64
2000-03-27,4.81
2000-03-28,4.79
2000-03-29,4.77
2000-03-30,4.91
2000-03-31,5.01
2000-04-03,4.96
2000-04-04,5.19
2000-04-05,5.1
2000-04-06,5.19
2000-04-07,5.16
2000-04-10,5.02
2000-04-11,5.04
2000-04-12,5.28
2000-04-13,5.29
2000-04-14,5.23
2000-04-17,5.13
2000-04-18,5.25
2000-04-19,5.02
2000-04-20,5.17
2000-04-21,5.17
2000-04-24,5.17
2000-04-25,5.16
2000-04-26,5.07
2000-04-27,5.07
2000-04-28,4.99
2000-05-01,4.99
2000-05-02,5.06
2000-05-03,5.13
2000-05-04,5.12
2000-05-05,5.23
2000-05-08,5.13
2000-05-09,5.13
2000-05-10,5.5
2000-05-11,5.61
2000-05-12,5.62
2000-05-15,5.76
2000-05-16,5.72
2000-05-17,5.56
2000-05-18,5.6
2000-05-19,5.38
2000-05-22,5.46
2000-05-23,5.64
2000-05-24,5.52
2000-05-25,5.43
2000-05-26,5.5
2000-05-29,5.45
2000-05-30,5.21
2000-05-31,5.3
2000-06-01,5.51
2000-06-02,5.6
2000-06-05,5.5
2000-06-06,5.41
2000-06-07,5.34
2000-06-08,5.25
2000-06-09,5.22
2000-06-12,5.22
2000-06-13,5.29
2000-06-14,5.29
2000-06-15,5.38
2000-06-16,5.26
2000-06-19,5.26
2000-06-20,5.38
2000-06-21,5.3
2000-06-22,5.13
2000-06-23,5.02
2000-06-26,5.3
2000-06-27,5.35
2000-06-28,5.28
2000-06-29,5.25
2000-06-30,5.25
2000-07-03,5.3
2000-07-04,5.26
2000-07-05,5.17
2000-07-06,5.11
2000-07-07,5.11
2000-07-10,5.32
2000-07-11,5.49
2000-07-12,5.62
2000-07-13,5.67
2000-07-14,5.67
2000-07-17,5.63
2000-07-18,5.5
2000-07-19,5.56
2000-07-20,5.53
2000-07-21,5.55
2000-07-24,5.55
2000-07-25,5.52
2000-07-26,5.55
2000-07-27,5.55
2000-07-28,5.52
2000-07-31,5.62
2000-08-01,5.89
2000-08-02,5.85
2000-08-03,5.71
2000-08-04,5.75
2000-08-07,5.89
2000-08-08,5.87
2000-08-09,5.87
2000-08-10,5.62
2000-08-11,5.68
2000-08-14,5.76
2000-08-15,5.82
2000-08-16,5.89
2000-08-17,5.95
2000-08-18,5.87
2000-08-21,5.77
2000-08-22,5.7
2000-08-23,5.83
2000-08-24,5.74
2000-08-25,5.76
2000-08-28,5.76
2000-08-29,5.86
2000-08-30,5.81
2000-08-31,5.93
2000-09-01,6.23
2000-09-04,6.11
2000-09-05,5.93
2000-09-06,5.97
2000-09-07,5.95
2000-09-08,5.91
2000-09-11,5.77
2000-09-12,5.67
2000-09-13,5.54
2000-09-14,5.51
2000-09-15,5.68
2000-09-18,5.72
2000-09-19,5.44
2000-09-20,5.14
2000-09-21,5.19
2000-09-22,5.31
2000-09-25,5.38
2000-09-26,5.25
2000-09-27,5.27
2000-09-28,5.22
2000-09-29,5.14
2000-10-02,5.32
2000-10-03,5.48
2000-10-04,5.25
2000-10-05,5.36
2000-10-06,5.47
2000-10-09,5.29
2000-10-10,5.29
2000-10-11,5.01
2000-10-12,5.02
2000-10-13,5.16
2000-10-16,5.13
2000-10-17,5.26
2000-10-18,5.23
2000-10-19,5.38
2000-10-20,5.33
2000-10-23,5.41
2000-10-24,5.49
2000-10-25,5.44
2000-10-26,5.48
2000-10-27,5.5
2000-10-30,5.62
2000-10-31,5.62
2000-11-01,5.75
2000-11-02,5.74
2000-11-03,5.74
2000-11-06,5.73
2000-11-07,5.64
2000-11-08,5.62
2000-11-09,5.56
2000-11-10,5.69
2000-11-13,5.57
2000-11-14,5.71
2000-11-15,5.72
2000-11-16,5.69
2000-11-17,5.77
2000-11-20,5.66
2000-11-21,5.59
2000-11-22,5.64
2000-11-23,5.63
2000-11-24,5.76
2000-11-27,5.72
2000-11-28,5.56
2000-11-29,5.48
2000-11-30,5.29
2000-12-01,5.31
2000-12-04,5.13
2000-12-05,5.4
2000-12-06,5.26
2000-12-07,5.13
2000-12-08,5.05
2000-12-11,5.12
2000-12-12,5.05
2000-12-13,5.02
2000-12-14,5.16
2000-12-15,5.26
2000-12-18,5.28
2000-12-19,5.34
2000-12-20,5.07
2000-12-21,5.02
2000-12-22,5.27
2000-12-27,5.24
2000-12-28,5.46
2000-12-29,5.5
2001-01-01,5.5
2001-01-02,5.25
2001-01-03,5.3
2001-01-04,5.59
2001-01-05,5.69
2001-01-08,5.76
2001-01-09,5.77
2001-01-10,5.56
