Date,Price
1993-03-26,6.28
1993-03-29,6.19
1993-03-30,6.19
1993-03-31,6.33
1993-04-01,6.25
1993-04-02,6.22
1993-04-05,6.14
1993-04-06,6.22
1993-04-07,6.36
1993-04-08,6.3
1993-04-12,6.25
1993-04-13,6.28
1993-04-14,6.25
1993-04-15,6.33
1993-04-16,6.36
1993-04-19,6.33
1993-04-20,6.17
1993-04-21,6.19
1993-04-22,6.17
1993-04-23,6.19
1993-04-26,6.0
1993-04-27,6.03
1993-04-28,6.0
1993-04-29,6.0
1993-04-30,6.25
1993-05-03,6.33
1993-05-04,6.49
1993-05-05,6.93
1993-05-06,6.79
1993-05-07,6.77
1993-05-10,6.77
1993-05-11,6.79
1993-05-12,6.79
1993-05-13,6.58
1993-05-14,6.58
1993-05-17,6.52
1993-05-18,6.52
1993-05-19,6.66
1993-05-20,6.6
1993-05-21,6.58
1993-05-24,6.58
1993-05-25,6.47
1993-05-26,6.33
1993-05-27,6.3
1993-05-28,6.25
1993-06-01,6.22
1993-06-02,6.17
1993-06-03,6.11
1993-06-04,6.06
1993-06-07,5.89
1993-06-08,5.76
1993-06-09,5.78
1993-06-10,5.76
1993-06-11,5.68
1993-06-14,5.7
1993-06-15,5.65
1993-06-16,5.62
1993-06-17,5.62
1993-06-18,5.68
1993-06-21,5.84
1993-06-22,5.98
1993-06-23,6.0
1993-06-24,6.08
1993-06-25,6.27
1993-06-28,6.3
1993-06-29,6.35
1993-06-30,6.52
1993-07-01,6.46
1993-07-02,6.46
1993-07-06,6.38
1993-07-07,6.24
1993-07-08,6.27
1993-07-09,6.35
1993-07-12,6.46
1993-07-13,6.49
1993-07-14,6.41
1993-07-15,6.46
1993-07-16,6.41
1993-07-19,6.41
1993-07-20,6.41
1993-07-21,6.3
1993-07-22,6.22
1993-07-23,6.19
1993-07-26,6.24
1993-07-27,6.16
1993-07-28,6.19
1993-07-29,6.22
1993-07-30,6.16
1993-08-02,6.13
1993-08-03,6.24
1993-08-04,6.33
1993-08-05,6.41
1993-08-06,6.68
1993-08-09,7.15
1993-08-10,7.07
1993-08-11,7.09
1993-08-12,7.09
1993-08-13,7.09
1993-08-16,7.12
1993-08-17,7.15
1993-08-18,7.34
1993-08-19,7.75
1993-08-20,7.89
1993-08-23,7.67
1993-08-24,7.45
1993-08-25,7.53
1993-08-26,7.53
1993-08-27,7.48
1993-08-30,7.59
1993-08-31,7.61
1993-09-01,7.64
1993-09-02,7.66
1993-09-03,7.64
1993-09-07,7.64
1993-09-08,7.58
1993-09-09,7.53
1993-09-10,7.47
1993-09-13,7.44
1993-09-14,7.39
1993-09-15,7.44
1993-09-16,7.42
1993-09-17,7.39
1993-09-20,7.39
1993-09-21,7.22
1993-09-22,7.25
1993-09-23,7.33
1993-09-24,7.24
1993-09-27,7.33
1993-09-28,7.3
1993-09-29,7.3
1993-09-30,7.33
1993-10-01,7.33
1993-10-04,7.47
1993-10-05,7.41
1993-10-06,7.38
1993-10-07,7.3
1993-10-08,7.36
1993-10-11,7.33
1993-10-12,7.36
1993-10-13,7.3
1993-10-14,7.33
1993-10-15,7.36
1993-10-18,7.49
1993-10-19,7.63
1993-10-20,7.6
1993-10-21,7.55
1993-10-22,7.47
1993-10-25,7.41
1993-10-26,7.24
1993-10-27,7.27
1993-10-28,7.24
1993-10-29,7.19
1993-11-01,7.22
1993-11-02,7.11
1993-11-03,7.0
1993-11-04,6.86
1993-11-05,6.66
1993-11-08,6.72
1993-11-09,6.66
1993-11-10,6.72
