Date,Price
2001-07-19,12.69
2001-07-20,12.55
2001-07-23,12.54
2001-07-24,12.43
2001-07-25,12.5
2001-07-26,12.13
2001-07-27,12.13
2001-07-30,12.29
2001-07-31,12.51
2001-08-01,12.96
2001-08-02,12.88
2001-08-03,12.67
2001-08-06,12.63
2001-08-07,12.96
2001-08-08,12.54
2001-08-09,12.96
2001-08-10,12.7
2001-08-13,12.55
2001-08-14,12.29
2001-08-15,12.37
2001-08-16,11.75
2001-08-17,12.14
2001-08-20,12.84
2001-08-21,12.93
2001-08-22,12.83
2001-08-23,12.75
2001-08-24,12.88
2001-08-27,12.95
2001-08-28,12.85
2001-08-29,12.55
2001-08-30,12.5
2001-08-31,12.46
2001-09-04,12.86
2001-09-05,12.47
2001-09-06,12.13
2001-09-07,12.14
2001-09-10,12.67
2001-09-17,12.21
2001-09-18,12.17
2001-09-19,11.67
2001-09-20,10.83
2001-09-21,10.66
2001-09-24,11.04
2001-09-25,10.7
2001-09-26,10.2
2001-09-27,9.91
2001-09-28,10.66
2001-10-01,10.62
2001-10-02,10.52
2001-10-03,10.83
2001-10-04,11.28
2001-10-05,11.33
2001-10-08,11.06
2001-10-09,11.21
2001-10-10,11.43
2001-10-11,12.68
2001-10-12,13.84
2001-10-15,14.64
2001-10-16,14.59
2001-10-17,14.2
2001-10-18,13.97
2001-10-19,14.09
2001-10-22,14.64
2001-10-23,14.74
2001-10-24,14.84
2001-10-25,14.84
2001-10-26,14.74
2001-10-29,14.68
2001-10-30,14.51
2001-10-31,14.69
2001-11-01,15.31
2001-11-02,15.26
2001-11-05,15.14
2001-11-06,15.03
2001-11-07,15.81
2001-11-08,16.68
2001-11-09,16.68
2001-11-12,16.3
2001-11-13,17.39
2001-11-14,16.9
2001-11-15,16.93
2001-11-16,17.6
2001-11-19,18.4
2001-11-20,17.77
2001-11-21,17.02
2001-11-23,17.19
2001-11-26,17.98
2001-11-27,18.82
2001-11-28,18.27
2001-11-29,17.92
2001-11-30,18.9
2001-12-03,19.15
2001-12-04,20.24
2001-12-05,22.29
2001-12-06,21.95
2001-12-07,20.79
2001-12-10,20.57
2001-12-11,20.71
2001-12-12,21.05
2001-12-13,19.49
2001-12-14,19.78
2001-12-17,21.29
2001-12-18,21.7
2001-12-19,21.77
2001-12-20,22.62
2001-12-21,21.87
2001-12-24,21.75
2001-12-26,21.94
2001-12-27,21.99
2001-12-28,22.2
2001-12-31,22.51
2002-01-02,21.92
2002-01-03,21.23
2002-01-04,23.17
2002-01-07,22.12
2002-01-08,22.81
2002-01-09,23.06
2002-01-10,23.27
2002-01-11,22.14
2002-01-14,20.86
2002-01-15,21.23
2002-01-16,21.74
2002-01-17,21.74
2002-01-18,21.54
2002-01-22,20.87
2002-01-23,20.53
2002-01-24,21.49
2002-01-25,21.07
2002-01-28,20.07
2002-01-29,19.97
2002-01-30,20.87
2002-01-31,21.56
2002-02-01,23.42
2002-02-04,22.84
2002-02-05,22.75
2002-02-06,22.6
2002-02-07,23.0
2002-02-08,23.18
2002-02-11,22.41
2002-02-12,21.73
2002-02-13,21.58
2002-02-14,22.58
2002-02-15,22.96
2002-02-19,22.54
2002-02-20,22.66
2002-02-21,21.74
2002-02-22,21.43
2002-02-25,21.07
2002-02-26,21.48
2002-02-27,21.53
2002-02-28,21.9
2002-03-01,21.91
2002-03-04,22.41
2002-03-05,23.21
2002-03-06,23.03
2002-03-07,22.7
2002-03-08,25.0
2002-03-11,25.0
2002-03-12,24.93
2002-03-13,24.38
2002-03-14,23.98
2002-03-15,24.24
2002-03-18,24.6
2002-03-19,21.74
2002-03-20,22.2
2002-03-21,22.91
2002-03-22,23.11
2002-03-25,22.62
2002-03-26,22.34
2002-03-27,22.17
2002-03-28,22.33
2002-04-01,22.29
2002-04-02,21.74
2002-04-03,21.75
2002-04-04,20.99
2002-04-05,21.04
2002-04-08,20.1
2002-04-09,20.41
2002-04-10,20.28
2002-04-11,18.86
2002-04-12,18.83
2002-04-15,18.77
2002-04-16,19.86
2002-04-17,20.05
2002-04-18,19.32
2002-04-19,20.47
2002-04-22,20.41
2002-04-23,20.02
2002-04-24,19.36
2002-04-25,18.8
2002-04-26,18.23
2002-04-29,16.94
2002-04-30,17.93
2002-05-01,17.63
2002-05-02,17.73
2002-05-03,16.62
