Date,Price
1993-02-17,7.12
1993-02-18,6.81
1993-02-19,6.75
1993-02-22,6.12
1993-02-23,6.25
1993-02-24,7.25
1993-02-25,7.12
1993-02-26,7.12
1993-03-01,7.31
1993-03-02,7.75
1993-03-03,8.25
1993-03-04,8.12
1993-03-05,7.88
1993-03-08,7.88
1993-03-09,8.0
1993-03-10,8.0
1993-03-11,8.38
1993-03-12,8.38
1993-03-15,8.12
1993-03-16,8.12
1993-03-17,8.19
1993-03-18,8.25
1993-03-19,8.38
1993-03-22,8.25
1993-03-23,8.25
1993-03-24,8.25
1993-03-25,7.88
1993-03-26,8.12
1993-03-29,8.38
1993-03-30,8.38
1993-03-31,8.88
1993-04-01,8.62
1993-04-02,8.75
1993-04-05,8.75
1993-04-06,8.75
1993-04-07,8.75
1993-04-08,8.75
1993-04-12,8.62
1993-04-13,8.75
1993-04-14,8.44
1993-04-15,8.12
1993-04-16,7.38
1993-04-19,7.38
1993-04-20,7.62
1993-04-21,8.0
1993-04-22,8.0
1993-04-23,7.88
1993-04-26,7.62
1993-04-27,7.12
1993-04-28,7.25
1993-04-29,7.5
1993-04-30,7.5
1993-05-03,7.5
1993-05-04,7.75
1993-05-05,7.38
1993-05-06,7.62
1993-05-07,7.5
1993-05-10,7.62
1993-05-11,7.62
1993-05-12,7.62
1993-05-13,7.38
1993-05-14,7.25
1993-05-17,7.44
1993-05-18,7.25
1993-05-19,7.5
1993-05-20,7.5
1993-05-21,7.12
1993-05-24,7.12
1993-05-25,7.12
1993-05-26,7.38
1993-05-27,7.5
1993-05-28,7.5
1993-06-01,7.5
1993-06-02,7.5
1993-06-03,7.5
1993-06-04,7.62
1993-06-07,7.5
1993-06-08,7.5
1993-06-09,7.62
1993-06-10,7.62
1993-06-11,7.38
1993-06-14,7.38
1993-06-15,8.5
1993-06-16,8.25
1993-06-17,8.38
1993-06-18,8.88
1993-06-21,9.38
1993-06-22,10.5
1993-06-23,10.0
1993-06-24,10.62
1993-06-25,10.31
1993-06-28,10.75
1993-06-29,10.25
1993-06-30,10.31
1993-07-01,10.81
1993-07-02,10.5
1993-07-06,10.62
1993-07-07,10.62
1993-07-08,10.44
1993-07-09,10.44
1993-07-12,10.44
1993-07-13,10.75
1993-07-14,10.75
1993-07-15,11.0
1993-07-16,10.75
1993-07-19,10.62
1993-07-20,10.56
1993-07-21,10.56
1993-07-22,10.5
1993-07-23,10.38
1993-07-26,11.0
1993-07-27,11.25
1993-07-28,12.38
1993-07-29,11.75
1993-07-30,12.12
1993-08-02,12.88
1993-08-03,12.75
1993-08-04,12.88
1993-08-05,13.12
1993-08-06,13.0
1993-08-09,12.88
1993-08-10,12.62
1993-08-11,12.5
1993-08-12,12.69
1993-08-13,12.62
1993-08-16,12.5
1993-08-17,12.44
1993-08-18,12.5
1993-08-19,12.38
1993-08-20,12.38
1993-08-23,12.62
1993-08-24,12.62
1993-08-25,12.25
1993-08-26,12.25
1993-08-27,11.81
1993-08-30,12.25
1993-08-31,13.0
1993-09-01,12.88
1993-09-02,12.88
1993-09-03,13.0
1993-09-07,14.12
1993-09-08,14.12
1993-09-09,13.75
1993-09-10,14.75
1993-09-13,14.75
1993-09-14,14.88
1993-09-15,14.75
1993-09-16,14.12
1993-09-17,14.25
1993-09-20,14.38
1993-09-21,14.62
1993-09-22,14.62
1993-09-23,14.5
1993-09-24,14.5
1993-09-27,14.88
1993-09-28,14.62
1993-09-29,14.69
1993-09-30,14.75
1993-10-01,14.62
1993-10-04,13.75
1993-10-05,14.12
1993-10-06,14.12
1993-10-07,14.12
1993-10-08,14.06
1993-10-11,15.25
1993-10-12,15.88
1993-10-13,17.12
1993-10-14,16.62
1993-10-15,17.25
1993-10-18,18.75
1993-10-19,17.62
1993-10-20,16.75
1993-10-21,16.38
1993-10-22,16.75
1993-10-25,16.88
1993-10-26,16.56
1993-10-27,15.88
1993-10-28,14.44
1993-10-29,15.12
1993-11-01,15.12
1993-11-02,15.12
1993-11-03,15.12
1993-11-04,13.75
1993-11-05,13.5
1993-11-08,14.75
1993-11-09,15.38
1993-11-10,14.88
1993-11-11,15.0
1993-11-12,14.75
1993-11-15,15.0
1993-11-16,14.62
1993-11-17,14.75
1993-11-18,14.75
1993-11-19,14.75
1993-11-22,14.25
1993-11-23,14.25
1993-11-24,14.5
1993-11-26,14.25
1993-11-29,14.25
1993-11-30,14.62
1993-12-01,13.5
1993-12-02,14.0
1993-12-03,14.12
1993-12-06,13.25
1993-12-07,12.94
1993-12-08,12.62
1993-12-09,12.38
1993-12-10,12.38
1993-12-13,12.12
1993-12-14,12.5
1993-12-15,12.5
1993-12-16,12.31
1993-12-17,12.5
1993-12-20,12.75
1993-12-21,13.0
1993-12-22,13.12
1993-12-23,13.38
1993-12-27,13.12
1993-12-28,12.62
1993-12-29,12.38
1993-12-30,12.5
1993-12-31,12.62
1994-01-03,11.75
1994-01-04,11.25
1994-01-05,12.25
1994-01-06,12.62
1994-01-07,12.0
1994-01-10,12.12
1994-01-11,12.0
1994-01-12,12.25
1994-01-13,12.62
1994-01-14,13.12
1994-01-17,13.12
1994-01-18,13.38
1994-01-19,13.62
1994-01-20,13.94
1994-01-21,14.0
1994-01-24,14.0
1994-01-25,13.88
1994-01-26,14.0
1994-01-27,13.62
1994-01-28,13.62
1994-01-31,13.88
1994-02-01,13.75
1994-02-02,13.5
1994-02-03,13.25
1994-02-04,11.62
1994-02-07,12.12
1994-02-08,11.88
1994-02-09,11.75
1994-02-10,11.88
1994-02-11,11.88
1994-02-14,11.88
1994-02-15,11.75
1994-02-16,11.38
1994-02-17,10.75
1994-02-18,10.12
1994-02-22,9.38
1994-02-23,10.0
1994-02-24,10.0
1994-02-25,9.25
1994-02-28,9.88
1994-03-01,10.38
1994-03-02,10.44
1994-03-03,10.62
1994-03-04,10.62
1994-03-07,10.0
1994-03-08,9.5
1994-03-09,9.25
1994-03-10,9.06
1994-03-11,8.88
1994-03-14,8.94
1994-03-15,9.25
1994-03-16,9.25
1994-03-17,8.88
1994-03-18,8.5
1994-03-21,8.81
1994-03-22,8.5
1994-03-23,8.12
1994-03-24,8.0
1994-03-25,8.38
1994-03-28,8.38
1994-03-29,7.94
1994-03-30,8.12
1994-03-31,7.62
1994-04-04,7.5
1994-04-05,8.0
1994-04-06,8.0
1994-04-07,7.62
1994-04-08,7.62
1994-04-11,7.88
1994-04-12,7.25
1994-04-13,7.12
1994-04-14,7.12
1994-04-15,7.0
1994-04-18,6.75
1994-04-19,6.56
1994-04-20,6.5
1994-04-21,6.88
1994-04-22,7.62
1994-04-25,8.31
1994-04-26,7.88
1994-04-28,7.81
1994-04-29,8.0
1994-05-02,8.62
1994-05-03,8.38
1994-05-04,8.62
1994-05-05,8.62
1994-05-06,8.62
1994-05-09,8.38
1994-05-10,8.44
1994-05-11,8.5
1994-05-12,8.56
1994-05-13,8.5
1994-05-16,8.44
1994-05-17,8.38
1994-05-18,8.5
1994-05-19,8.62
1994-05-20,8.5
1994-05-23,8.5
1994-05-24,8.38
1994-05-25,8.62
1994-05-26,8.56
1994-05-27,8.44
1994-05-31,8.62
1994-06-01,8.75
1994-06-02,9.25
1994-06-03,9.62
1994-06-06,9.25
1994-06-07,9.25
1994-06-08,8.88
1994-06-09,9.12
1994-06-10,9.25
1994-06-13,9.38
1994-06-14,9.12
1994-06-15,9.31
1994-06-16,9.12
1994-06-17,9.5
1994-06-20,9.25
1994-06-21,9.5
1994-06-22,9.62
1994-06-23,9.25
1994-06-24,8.75
1994-06-27,8.75
1994-06-28,8.75
1994-06-29,8.88
1994-06-30,9.25
1994-07-01,9.38
1994-07-05,9.62
1994-07-06,9.56
1994-07-07,9.38
1994-07-08,9.38
1994-07-11,9.25
1994-07-12,9.38
1994-07-13,9.25
1994-07-14,8.75
1994-07-15,8.62
1994-07-18,8.62
1994-07-19,8.75
1994-07-20,8.88
1994-07-21,8.5
1994-07-22,8.12
1994-07-25,8.62
1994-07-26,8.5
1994-07-27,9.0
1994-07-28,8.81
1994-07-29,8.62
1994-08-01,8.81
1994-08-02,8.75
1994-08-03,9.25
1994-08-04,9.38
1994-08-05,9.62
1994-08-08,9.25
1994-08-09,10.0
1994-08-10,10.0
