Date,Price
1990-01-02,5.33
1990-01-03,5.33
1990-01-04,5.3
1990-01-05,5.07
1990-01-08,5.12
1990-01-09,5.12
1990-01-10,5.04
1990-01-11,5.1
1990-01-12,4.98
1990-01-15,5.01
1990-01-16,5.12
1990-01-17,4.98
1990-01-18,4.95
1990-01-19,4.92
1990-01-22,4.75
1990-01-23,4.63
1990-01-24,4.49
1990-01-25,4.31
1990-01-26,4.31
1990-01-29,4.32
1990-01-30,4.41
1990-01-31,4.64
1990-02-01,4.58
1990-02-02,4.61
1990-02-05,4.61
1990-02-06,4.55
1990-02-07,4.64
1990-02-08,4.73
1990-02-09,4.73
1990-02-12,4.73
1990-02-13,4.73
1990-02-14,4.7
1990-02-15,4.64
1990-02-16,4.58
1990-02-20,4.52
1990-02-21,4.46
1990-02-22,4.49
1990-02-23,4.61
1990-02-26,4.75
1990-02-27,4.75
1990-02-28,4.87
1990-03-01,4.9
1990-03-02,4.9
1990-03-05,4.81
1990-03-06,4.84
1990-03-07,4.78
1990-03-08,4.81
1990-03-09,4.67
1990-03-12,4.7
1990-03-13,4.7
1990-03-14,4.75
1990-03-15,4.84
1990-03-16,4.9
1990-03-19,4.99
1990-03-20,5.16
1990-03-21,5.1
1990-03-22,4.99
1990-03-23,5.04
1990-03-26,5.04
1990-03-27,5.31
1990-03-28,5.22
1990-03-29,5.22
1990-03-30,5.28
1990-04-02,5.22
1990-04-03,5.45
1990-04-04,5.42
1990-04-05,5.57
1990-04-06,5.54
1990-04-09,5.6
1990-04-10,5.36
1990-04-11,5.42
1990-04-12,5.45
1990-04-16,5.42
1990-04-17,5.36
1990-04-18,5.28
1990-04-19,5.25
1990-04-20,5.07
1990-04-23,5.04
1990-04-24,5.16
1990-04-25,5.36
1990-04-26,5.42
1990-04-27,5.39
1990-04-30,5.46
1990-05-01,5.51
1990-05-02,5.66
1990-05-03,5.57
1990-05-04,5.57
1990-05-07,5.54
1990-05-08,5.72
1990-05-09,5.66
1990-05-10,5.54
1990-05-11,5.69
1990-05-14,5.57
1990-05-15,5.49
1990-05-16,5.54
1990-05-17,5.57
1990-05-18,5.72
1990-05-21,5.78
1990-05-22,5.86
1990-05-23,5.95
1990-05-24,5.92
1990-05-25,5.83
1990-05-29,5.92
1990-05-30,5.95
1990-05-31,6.15
1990-06-01,6.3
1990-06-04,6.18
1990-06-05,6.01
1990-06-06,5.95
1990-06-07,5.95
1990-06-08,5.95
1990-06-11,5.95
1990-06-12,6.09
1990-06-13,6.04
1990-06-14,6.01
1990-06-15,5.98
1990-06-18,5.83
1990-06-19,5.86
1990-06-20,5.83
1990-06-21,5.83
1990-06-22,5.78
1990-06-25,5.72
1990-06-26,5.86
1990-06-27,5.98
1990-06-28,5.98
1990-06-29,5.95
1990-07-02,6.04
1990-07-03,6.07
1990-07-05,6.01
1990-07-06,6.04
1990-07-09,6.01
1990-07-10,5.95
1990-07-11,5.98
1990-07-12,6.12
1990-07-13,6.01
1990-07-16,5.86
1990-07-17,5.89
1990-07-18,5.83
1990-07-19,5.89
1990-07-20,5.92
1990-07-23,5.75
1990-07-24,5.98
1990-07-25,5.86
1990-07-26,5.83
1990-07-27,5.86
1990-07-30,5.9
1990-07-31,5.84
1990-08-01,5.84
