Date,Price
1991-03-28,8.75
1991-03-29,8.6
1991-04-01,8.6
1991-04-02,8.6
1991-04-03,8.75
1991-04-04,8.75
1991-04-05,8.6
1991-04-08,8.6
1991-04-09,8.32
1991-04-10,8.32
1991-04-11,8.32
1991-04-12,8.32
1991-04-15,8.32
1991-04-16,8.32
1991-04-17,8.32
1991-04-18,8.32
1991-04-19,8.32
1991-04-22,8.32
1991-04-23,8.46
1991-04-24,8.32
1991-04-25,8.32
1991-04-26,8.17
1991-04-29,8.17
1991-04-30,8.17
1991-05-01,8.17
1991-05-02,8.03
1991-05-03,8.03
1991-05-06,8.03
1991-05-07,7.88
1991-05-08,7.88
1991-05-09,7.88
1991-05-10,7.31
1991-05-13,7.31
1991-05-14,7.17
1991-05-15,7.02
1991-05-16,7.02
1991-05-17,7.02
1991-05-20,7.02
1991-05-21,7.02
1991-05-22,7.17
1991-05-23,7.02
1991-05-24,7.02
1991-05-27,7.02
1991-05-28,7.02
1991-05-29,7.02
1991-05-30,7.02
1991-05-31,7.02
1991-06-03,6.16
1991-06-04,6.31
1991-06-05,6.59
1991-06-06,6.59
1991-06-07,6.59
1991-06-10,6.88
1991-06-11,6.88
1991-06-12,6.88
1991-06-13,6.88
1991-06-14,6.88
1991-06-17,6.88
1991-06-18,6.88
1991-06-19,6.88
1991-06-20,6.88
1991-06-21,6.88
1991-06-24,6.88
1991-06-25,6.74
1991-06-26,6.45
1991-06-27,6.45
1991-06-28,6.02
1991-07-01,6.02
1991-07-02,6.02
1991-07-03,5.88
1991-07-04,5.88
1991-07-05,5.88
1991-07-08,5.88
1991-07-09,5.88
1991-07-10,5.88
1991-07-11,5.88
1991-07-12,6.02
1991-07-15,5.88
1991-07-16,5.88
1991-07-17,5.88
1991-07-18,5.88
1991-07-19,5.73
1991-07-22,5.73
1991-07-23,5.88
1991-07-24,5.88
1991-07-25,5.88
1991-07-26,5.88
1991-07-29,5.88
1991-07-30,5.88
1991-07-31,6.02
1991-08-01,6.02
1991-08-02,6.02
1991-08-05,5.88
1991-08-06,6.02
1991-08-07,6.02
1991-08-08,6.02
1991-08-09,6.02
1991-08-12,5.73
1991-08-13,5.88
1991-08-14,5.88
1991-08-15,5.88
1991-08-16,5.88
1991-08-19,5.73
1991-08-20,5.73
1991-08-21,5.73
1991-08-22,5.73
1991-08-23,5.73
1991-08-26,5.73
1991-08-27,5.73
1991-08-28,5.73
