Date,Price
1990-01-02,3.29
1990-01-03,3.28
1990-01-04,3.26
1990-01-05,3.23
1990-01-08,3.24
1990-01-09,3.18
1990-01-10,3.15
1990-01-11,3.19
1990-01-12,3.22
1990-01-15,3.16
1990-01-16,3.22
1990-01-17,3.17
1990-01-18,3.17
1990-01-19,3.23
1990-01-22,3.19
1990-01-23,3.18
1990-01-24,3.18
1990-01-25,3.21
1990-01-26,3.18
1990-01-29,3.15
1990-01-30,3.15
1990-01-31,3.1
1990-02-01,3.18
1990-02-02,3.18
1990-02-05,3.17
1990-02-06,3.21
1990-02-07,3.29
1990-02-08,3.26
1990-02-09,3.3
1990-02-12,3.26
1990-02-13,3.26
1990-02-14,3.23
1990-02-15,3.32
1990-02-16,3.34
1990-02-20,3.33
1990-02-21,3.28
1990-02-22,3.28
1990-02-23,3.28
1990-02-26,3.31
1990-02-27,3.33
1990-02-28,3.32
1990-03-01,3.28
1990-03-02,3.35
1990-03-05,3.4
1990-03-06,3.48
1990-03-07,3.52
1990-03-08,3.5
1990-03-09,3.43
1990-03-12,3.43
1990-03-13,3.38
1990-03-14,3.41
1990-03-15,3.43
1990-03-16,3.53
1990-03-19,3.53
1990-03-20,3.53
1990-03-21,3.55
1990-03-22,3.46
1990-03-23,3.48
1990-03-26,3.44
1990-03-27,3.44
1990-03-28,3.43
1990-03-29,3.48
1990-03-30,3.53
1990-04-02,3.55
1990-04-03,3.54
1990-04-04,3.57
1990-04-05,3.57
1990-04-06,3.57
1990-04-09,3.52
1990-04-10,3.51
1990-04-11,3.53
1990-04-12,3.57
1990-04-16,3.57
1990-04-17,3.53
1990-04-18,3.51
1990-04-19,3.43
1990-04-20,3.37
1990-04-23,3.36
1990-04-24,3.36
1990-04-25,3.36
1990-04-26,3.38
1990-04-27,3.31
1990-04-30,3.33
1990-05-01,3.38
1990-05-02,3.43
1990-05-03,3.45
1990-05-04,3.49
1990-05-07,3.57
1990-05-08,3.56
1990-05-09,3.55
1990-05-10,3.56
1990-05-11,3.61
1990-05-14,3.72
1990-05-15,3.69
1990-05-16,3.69
1990-05-17,3.73
1990-05-18,3.8
1990-05-21,3.84
1990-05-22,3.77
1990-05-23,3.8
1990-05-24,3.79
1990-05-25,3.72
1990-05-29,3.84
1990-05-30,3.79
1990-05-31,3.81
1990-06-01,3.81
1990-06-04,3.86
1990-06-05,3.83
1990-06-06,3.78
1990-06-07,3.76
1990-06-08,3.71
1990-06-11,3.71
1990-06-12,3.78
1990-06-13,3.76
1990-06-14,3.69
1990-06-15,3.65
1990-06-18,3.66
1990-06-19,3.64
1990-06-20,3.67
1990-06-21,3.69
1990-06-22,3.71
1990-06-25,3.65
1990-06-26,3.64
1990-06-27,3.64
1990-06-28,3.64
1990-06-29,3.67
1990-07-02,3.7
1990-07-03,3.74
1990-07-05,3.74
1990-07-06,3.7
1990-07-09,3.69
1990-07-10,3.64
1990-07-11,3.74
1990-07-12,3.81
1990-07-13,3.84
1990-07-16,3.91
1990-07-17,4.0
1990-07-18,3.92
1990-07-19,3.84
1990-07-20,3.72
1990-07-23,3.57
1990-07-24,3.62
1990-07-25,3.65
1990-07-26,3.59
1990-07-27,3.55
1990-07-30,3.56
1990-07-31,3.5
1990-08-01,3.5
1990-08-02,3.5
1990-08-03,3.44
1990-08-06,3.32
1990-08-07,3.31
1990-08-08,3.33
1990-08-09,3.4
1990-08-10,3.39
1990-08-13,3.37
1990-08-14,3.37
1990-08-15,3.44
1990-08-16,3.35
1990-08-17,3.25
1990-08-20,3.29
1990-08-21,3.19
1990-08-22,3.21
1990-08-23,3.15
1990-08-24,3.2
1990-08-27,3.35
1990-08-28,3.36
1990-08-29,3.35
1990-08-30,3.3
1990-08-31,3.35
1990-09-04,3.36
1990-09-05,3.36
1990-09-06,3.34
1990-09-07,3.39
1990-09-10,3.35
1990-09-11,3.35
1990-09-12,3.28
1990-09-13,3.25
1990-09-14,3.18
1990-09-17,3.17
1990-09-18,3.18
1990-09-19,3.19
1990-09-20,3.17
1990-09-21,3.25
1990-09-24,3.24
1990-09-25,3.32
1990-09-26,3.24
1990-09-27,3.24
1990-09-28,3.31
1990-10-01,3.35
1990-10-02,3.33
1990-10-03,3.22
1990-10-04,3.12
1990-10-05,3.15
1990-10-08,3.16
1990-10-09,3.15
1990-10-10,3.13
1990-10-11,3.05
1990-10-12,3.07
1990-10-15,3.17
1990-10-16,3.19
1990-10-17,3.26
1990-10-18,3.37
1990-10-19,3.42
1990-10-22,3.48
1990-10-23,3.44
1990-10-24,3.41
1990-10-25,3.37
1990-10-26,3.33
1990-10-29,3.33
1990-10-30,3.35
1990-10-31,3.36
1990-11-01,3.37
1990-11-02,3.43
1990-11-05,3.42
1990-11-06,3.42
1990-11-07,3.4
1990-11-08,3.42
1990-11-09,3.47
1990-11-12,3.54
1990-11-13,3.54
1990-11-14,3.6
1990-11-15,3.57
1990-11-16,3.59
1990-11-19,3.61
1990-11-20,3.6
1990-11-21,3.67
1990-11-23,3.65
1990-11-26,3.59
1990-11-27,3.62
1990-11-28,3.62
1990-11-29,3.6
1990-11-30,3.59
1990-12-03,3.65
1990-12-04,3.64
1990-12-05,3.66
1990-12-06,3.68
1990-12-07,3.62
1990-12-10,3.59
1990-12-11,3.57
1990-12-12,3.54
1990-12-13,3.64
1990-12-14,3.63
1990-12-17,3.65
1990-12-18,3.61
1990-12-19,3.6
1990-12-20,3.59
1990-12-21,3.63
1990-12-24,3.63
1990-12-26,3.64
1990-12-27,3.56
1990-12-28,3.57
1990-12-31,3.59
1991-01-02,3.64
1991-01-03,3.58
1991-01-04,3.51
1991-01-07,3.48
1991-01-08,3.41
1991-01-09,3.41
1991-01-10,3.39
1991-01-11,3.4
1991-01-14,3.4
1991-01-15,3.34
1991-01-16,3.44
1991-01-17,3.64
1991-01-18,3.78
1991-01-21,3.74
1991-01-22,3.76
1991-01-23,3.78
1991-01-24,3.79
1991-01-25,3.86
1991-01-28,3.89
1991-01-29,3.89
1991-01-30,3.94
1991-01-31,3.99
1991-02-01,3.94
1991-02-04,4.01
1991-02-05,4.1
1991-02-06,4.22
1991-02-07,4.19
1991-02-08,4.21
1991-02-11,4.28
1991-02-12,4.21
1991-02-13,4.21
1991-02-14,4.08
1991-02-15,4.21
1991-02-19,4.28
1991-02-20,4.18
1991-02-21,4.16
1991-02-22,4.09
1991-02-25,4.21
1991-02-26,4.13
1991-02-27,4.19
1991-02-28,4.17
1991-03-01,4.18
1991-03-04,4.21
1991-03-05,4.4
1991-03-06,4.39
1991-03-07,4.36
1991-03-08,4.45
1991-03-11,4.31
1991-03-12,4.3
1991-03-13,4.27
1991-03-14,4.18
1991-03-15,4.14
1991-03-18,4.12
1991-03-19,4.09
1991-03-20,4.05
1991-03-21,4.04
1991-03-22,4.08
1991-03-25,4.1
1991-03-26,4.26
1991-03-27,4.32
1991-03-28,4.32
1991-04-01,4.28
1991-04-02,4.32
1991-04-03,4.38
1991-04-04,4.36
1991-04-05,4.36
1991-04-08,4.48
1991-04-09,4.38
1991-04-10,4.42
1991-04-11,4.6
1991-04-12,4.58
1991-04-15,4.59
1991-04-16,4.65
1991-04-17,4.73
1991-04-18,4.74
1991-04-19,4.69
1991-04-22,4.7
1991-04-23,4.75
1991-04-24,4.7
1991-04-25,4.64
1991-04-26,4.6
1991-04-29,4.54
1991-04-30,4.56
1991-05-01,4.58
1991-05-02,4.59
1991-05-03,4.66
1991-05-06,4.63
1991-05-07,4.78
1991-05-08,4.93
1991-05-09,4.94
1991-05-10,4.89
1991-05-13,4.81
1991-05-14,4.81
1991-05-15,4.36
1991-05-16,4.21
1991-05-17,4.21
1991-05-20,4.02
1991-05-21,4.24
1991-05-22,4.29
1991-05-23,4.29
1991-05-24,4.36
1991-05-28,4.39
1991-05-29,4.51
1991-05-30,4.52
1991-05-31,4.56
1991-06-03,4.59
1991-06-04,4.59
1991-06-05,4.51
1991-06-06,4.42
1991-06-07,4.29
1991-06-10,4.24
1991-06-11,4.25
1991-06-12,4.17
1991-06-13,4.3
1991-06-14,4.37
1991-06-17,4.27
1991-06-18,4.22
1991-06-19,4.24
1991-06-20,4.25
1991-06-21,4.3
1991-06-24,4.2
1991-06-25,4.14
1991-06-26,4.17
1991-06-27,4.39
1991-06-28,4.37
1991-07-01,4.46
1991-07-02,4.54
1991-07-03,4.49
1991-07-05,4.49
1991-07-08,4.51
1991-07-09,4.47
1991-07-10,4.39
1991-07-11,4.4
1991-07-12,4.34
1991-07-15,4.42
1991-07-16,4.4
1991-07-17,4.39
