Date,Price
1990-01-02,4.5
1990-01-03,4.61
1990-01-04,4.5
1990-01-05,4.5
1990-01-08,4.46
1990-01-09,4.44
1990-01-10,4.44
1990-01-11,4.36
1990-01-12,4.28
1990-01-15,4.28
1990-01-16,4.3
1990-01-17,4.28
1990-01-18,4.28
1990-01-19,4.32
1990-01-22,4.19
1990-01-23,4.11
1990-01-24,4.19
1990-01-25,4.28
1990-01-26,4.33
1990-01-29,4.5
1990-01-30,4.36
1990-01-31,4.41
1990-02-01,4.55
1990-02-02,4.55
1990-02-05,4.46
1990-02-06,4.64
1990-02-07,4.78
1990-02-08,4.92
1990-02-09,4.89
1990-02-12,4.83
1990-02-13,5.02
1990-02-14,4.95
1990-02-15,5.09
1990-02-16,4.89
1990-02-20,4.95
1990-02-21,5.06
1990-02-22,5.11
1990-02-23,4.86
1990-02-26,4.72
1990-02-27,4.79
1990-02-28,4.95
1990-03-01,4.89
1990-03-02,4.97
1990-03-05,4.92
1990-03-06,5.14
1990-03-07,5.25
1990-03-08,5.42
1990-03-09,5.34
1990-03-12,5.24
1990-03-13,5.06
1990-03-14,5.2
1990-03-15,5.2
1990-03-16,5.39
1990-03-19,5.49
1990-03-20,5.42
1990-03-21,5.34
1990-03-22,5.36
1990-03-23,5.42
1990-03-26,5.45
1990-03-27,5.45
1990-03-28,5.31
1990-03-29,5.09
1990-03-30,5.06
1990-04-02,5.06
1990-04-03,5.28
1990-04-04,5.17
1990-04-05,5.06
1990-04-06,4.97
1990-04-09,4.97
1990-04-10,5.07
1990-04-11,5.17
1990-04-12,5.2
1990-04-16,5.23
1990-04-17,5.23
1990-04-18,5.09
1990-04-19,4.97
1990-04-20,5.0
1990-04-23,4.95
1990-04-24,4.92
1990-04-25,4.95
1990-04-26,5.03
1990-04-27,4.81
1990-04-30,4.86
1990-05-01,5.0
1990-05-02,5.0
1990-05-03,4.97
1990-05-04,4.97
1990-05-07,5.28
1990-05-08,5.31
1990-05-09,5.34
1990-05-10,5.35
1990-05-11,5.39
1990-05-14,5.42
1990-05-15,5.53
1990-05-16,5.62
1990-05-17,5.57
1990-05-18,5.62
1990-05-21,5.84
1990-05-22,5.7
1990-05-23,5.78
1990-05-24,5.87
1990-05-25,5.73
1990-05-29,5.84
1990-05-30,5.7
1990-05-31,5.6
1990-06-01,5.53
1990-06-04,5.45
1990-06-05,5.45
1990-06-06,5.53
1990-06-07,5.5
1990-06-08,5.5
1990-06-11,5.64
1990-06-12,5.7
1990-06-13,5.87
1990-06-14,6.02
1990-06-15,6.15
1990-06-18,5.98
1990-06-19,5.98
1990-06-20,5.9
1990-06-21,5.98
1990-06-22,6.06
1990-06-25,5.98
1990-06-26,5.9
1990-06-27,5.98
1990-06-28,6.15
1990-06-29,6.2
1990-07-02,6.22
1990-07-03,6.04
1990-07-05,5.9
1990-07-06,6.09
1990-07-09,6.31
1990-07-10,6.37
1990-07-11,6.54
1990-07-12,6.54
1990-07-13,6.54
1990-07-16,6.71
1990-07-17,6.51
1990-07-18,6.43
1990-07-19,6.33
1990-07-20,5.95
1990-07-23,6.06
1990-07-24,5.87
1990-07-25,5.97
1990-07-26,5.92
1990-07-27,5.9
1990-07-30,5.84
1990-07-31,5.95
1990-08-01,5.95
1990-08-02,5.84
1990-08-03,5.76
1990-08-06,5.48
1990-08-07,5.36
1990-08-08,5.48
1990-08-09,5.45
1990-08-10,5.34
1990-08-13,5.5
1990-08-14,5.55
1990-08-15,5.45
1990-08-16,5.31
1990-08-17,5.17
1990-08-20,4.97
1990-08-21,5.11
1990-08-22,5.23
1990-08-23,4.99
1990-08-24,5.31
1990-08-27,5.5
1990-08-28,5.59
1990-08-29,5.69
1990-08-30,5.52
1990-08-31,5.56
1990-09-04,5.56
1990-09-05,5.5
1990-09-06,5.34
1990-09-07,5.5
1990-09-10,5.56
1990-09-11,5.25
1990-09-12,5.2
1990-09-13,5.11
1990-09-14,5.31
1990-09-17,5.5
1990-09-18,5.24
