Date,Price
2012-10-01,35.87
2012-10-02,36.89
2012-10-03,37.62
2012-10-04,37.12
2012-10-05,36.81
2012-10-08,36.8
2012-10-09,36.09
2012-10-10,35.67
2012-10-11,35.08
2012-10-12,35.11
2012-10-15,35.18
2012-10-16,36.42
2012-10-17,37.36
2012-10-18,37.11
2012-10-19,37.34
2012-10-22,37.44
2012-10-23,36.66
2012-10-24,36.88
2012-10-25,39.62
2012-10-26,40.29
2012-10-31,39.95
2012-11-01,39.73
2012-11-02,39.94
2012-11-05,40.31
2012-11-06,40.15
2012-11-07,39.44
2012-11-08,40.19
2012-11-09,41.44
2012-11-12,41.24
2012-11-13,41.22
2012-11-14,39.95
2012-11-15,39.85
2012-11-16,39.49
2012-11-19,40.17
2012-11-20,40.66
2012-11-21,41.06
2012-11-23,41.25
2012-11-26,41.48
2012-11-27,41.94
2012-11-28,42.49
2012-11-29,43.11
2012-11-30,44.18
2012-12-03,43.04
2012-12-04,42.35
2012-12-05,42.42
2012-12-06,42.35
2012-12-07,43.97
2012-12-10,43.68
2012-12-11,43.46
2012-12-12,43.65
2012-12-13,43.43
2012-12-14,44.3
2012-12-17,44.72
2012-12-18,44.14
2012-12-19,43.4
2012-12-20,43.79
2012-12-21,43.17
2012-12-24,43.55
2012-12-26,43.49
2012-12-27,44.62
2012-12-28,43.77
2012-12-31,44.87
2013-01-02,44.42
2013-01-03,44.51
2013-01-04,45.12
2013-01-07,45.04
2013-01-08,44.85
2013-01-09,44.4
2013-01-10,44.88
2013-01-11,45.21
2013-01-14,45.73
2013-01-15,45.61
2013-01-16,46.13
2013-01-17,46.32
2013-01-18,46.31
2013-01-22,46.31
2013-01-23,45.71
2013-01-24,45.18
2013-01-25,45.54
2013-01-28,45.46
2013-01-29,45.01
2013-01-30,46.45
2013-01-31,45.97
2013-02-01,46.06
2013-02-04,45.63
2013-02-05,46.46
2013-02-06,46.38
2013-02-07,46.6
2013-02-08,46.13
2013-02-11,46.1
2013-02-12,45.77
2013-02-13,45.87
2013-02-14,45.22
2013-02-15,44.9
2013-02-19,45.75
2013-02-20,45.83
2013-02-21,44.9
2013-02-22,45.47
2013-02-25,44.75
2013-02-26,45.07
2013-02-27,46.44
2013-02-28,46.35
2013-03-01,46.39
2013-03-04,47.14
2013-03-05,47.4
2013-03-06,46.79
2013-03-07,46.49
2013-03-08,46.34
2013-03-11,46.89
2013-03-12,47.17
2013-03-13,48.13
2013-03-14,47.64
2013-03-15,47.82
2013-03-18,47.58
2013-03-19,47.52
2013-03-20,47.44
2013-03-21,47.3
2013-03-22,47.26
2013-03-25,46.91
