Date,Price
1990-01-02,1.61
1990-01-03,1.57
1990-01-04,1.54
1990-01-05,1.54
1990-01-08,1.56
1990-01-09,1.55
1990-01-10,1.49
1990-01-11,1.55
1990-01-12,1.51
1990-01-15,1.51
1990-01-16,1.46
1990-01-17,1.45
1990-01-18,1.45
1990-01-19,1.53
1990-01-22,1.53
1990-01-23,1.51
1990-01-24,1.48
1990-01-25,1.46
1990-01-26,1.44
1990-01-29,1.44
1990-01-30,1.39
1990-01-31,1.45
1990-02-01,1.44
1990-02-02,1.45
1990-02-05,1.43
1990-02-06,1.4
1990-02-07,1.43
1990-02-08,1.46
1990-02-09,1.44
1990-02-12,1.47
1990-02-13,1.44
1990-02-14,1.44
1990-02-15,1.43
1990-02-16,1.43
1990-02-20,1.41
1990-02-21,1.44
1990-02-22,1.42
1990-02-23,1.4
1990-02-26,1.36
1990-02-27,1.33
1990-02-28,1.38
1990-03-01,1.39
1990-03-02,1.38
1990-03-05,1.38
1990-03-06,1.38
1990-03-07,1.36
1990-03-08,1.35
1990-03-09,1.36
1990-03-12,1.36
1990-03-13,1.38
1990-03-14,1.38
1990-03-15,1.4
1990-03-16,1.38
1990-03-19,1.39
1990-03-20,1.35
1990-03-21,1.38
1990-03-22,1.35
1990-03-23,1.35
1990-03-26,1.35
1990-03-27,1.4
1990-03-28,1.39
1990-03-29,1.36
1990-03-30,1.35
1990-04-02,1.31
1990-04-03,1.36
1990-04-04,1.31
1990-04-05,1.28
1990-04-06,1.28
1990-04-09,1.3
1990-04-10,1.28
1990-04-11,1.28
1990-04-12,1.28
1990-04-16,1.28
1990-04-17,1.28
1990-04-18,1.27
1990-04-19,1.27
1990-04-20,1.26
1990-04-23,1.24
1990-04-24,1.24
1990-04-25,1.26
1990-04-26,1.26
1990-04-27,1.24
1990-04-30,1.27
1990-05-01,1.28
1990-05-02,1.28
1990-05-03,1.3
1990-05-04,1.28
1990-05-07,1.27
1990-05-08,1.28
1990-05-09,1.28
1990-05-10,1.34
1990-05-11,1.4
1990-05-14,1.37
1990-05-15,1.42
1990-05-16,1.41
1990-05-17,1.41
1990-05-18,1.38
1990-05-21,1.41
1990-05-22,1.41
1990-05-23,1.38
1990-05-24,1.38
1990-05-25,1.37
1990-05-29,1.43
1990-05-30,1.41
1990-05-31,1.39
1990-06-01,1.39
1990-06-04,1.37
1990-06-05,1.42
1990-06-06,1.43
1990-06-07,1.43
1990-06-08,1.41
1990-06-11,1.43
1990-06-12,1.43
1990-06-13,1.43
1990-06-14,1.44
1990-06-15,1.45
1990-06-18,1.46
1990-06-19,1.46
1990-06-20,1.47
1990-06-21,1.47
1990-06-22,1.45
1990-06-25,1.47
1990-06-26,1.43
1990-06-27,1.44
1990-06-28,1.5
1990-06-29,1.46
1990-07-02,1.49
1990-07-03,1.51
1990-07-05,1.51
1990-07-06,1.47
1990-07-09,1.52
1990-07-10,1.52
1990-07-11,1.54
1990-07-12,1.53
1990-07-13,1.56
1990-07-16,1.57
1990-07-17,1.58
1990-07-18,1.54
1990-07-19,1.54
1990-07-20,1.61
1990-07-23,1.57
1990-07-24,1.53
1990-07-25,1.54
1990-07-26,1.54
1990-07-27,1.54
1990-07-30,1.52
1990-07-31,1.53
1990-08-01,1.53
1990-08-02,1.52
1990-08-03,1.45
1990-08-06,1.39
1990-08-07,1.37
1990-08-08,1.5
1990-08-09,1.45
1990-08-10,1.45
1990-08-13,1.48
1990-08-14,1.44
1990-08-15,1.44
1990-08-16,1.42
1990-08-17,1.39
1990-08-20,1.37
1990-08-21,1.38
1990-08-22,1.33
1990-08-23,1.25
1990-08-24,1.29
