Date,Price
1997-09-29,132.76
1997-09-30,135.18
1997-10-01,138.41
1997-10-02,144.06
1997-10-03,144.46
1997-10-06,142.44
1997-10-07,142.44
1997-10-08,140.02
1997-10-09,138.0
1997-10-10,140.43
1997-10-13,140.02
1997-10-14,140.02
1997-10-15,139.21
1997-10-16,138.41
1997-10-17,137.2
1997-10-20,133.16
1997-10-21,133.16
1997-10-22,133.16
1997-10-23,131.14
1997-10-24,130.34
1997-10-27,127.11
1997-10-28,116.21
1997-10-29,122.27
1997-10-30,123.48
1997-10-31,125.9
1997-11-03,129.13
1997-11-04,132.36
1997-11-05,134.37
1997-11-06,134.78
1997-11-07,134.78
1997-11-10,133.97
1997-11-11,132.36
1997-11-12,129.93
1997-11-13,128.32
1997-11-14,128.72
1997-11-17,129.93
1997-11-18,129.53
1997-11-19,129.53
1997-11-20,129.13
1997-11-21,129.13
1997-11-24,128.32
1997-11-25,127.92
1997-11-26,127.92
1997-11-27,127.92
1997-11-28,128.72
1997-12-01,127.92
1997-12-02,127.92
1997-12-03,127.92
1997-12-04,132.36
1997-12-05,132.36
1997-12-08,131.95
1997-12-09,131.95
1997-12-10,129.93
1997-12-11,125.09
1997-12-12,123.48
1997-12-15,123.48
1997-12-16,122.67
1997-12-17,122.27
1997-12-18,122.27
1997-12-19,122.27
1997-12-22,121.86
1997-12-23,124.69
1997-12-24,125.09
1997-12-25,125.09
1997-12-26,125.09
1997-12-29,125.5
1997-12-30,125.5
1997-12-31,126.71
1998-01-01,126.71
1998-01-02,126.71
1998-01-05,127.11
1998-01-06,126.3
1998-01-07,127.92
1998-01-08,131.14
1998-01-09,132.36
1998-01-12,128.72
1998-01-13,129.53
1998-01-14,129.53
1998-01-15,129.53
1998-01-16,129.53
1998-01-19,129.53
1998-01-20,128.72
1998-01-21,128.72
1998-01-22,127.92
1998-01-23,127.51
1998-01-26,126.71
1998-01-27,125.09
1998-01-28,124.69
1998-01-29,124.28
1998-01-30,123.88
1998-02-02,126.3
1998-02-03,127.92
1998-02-04,128.32
1998-02-05,128.32
1998-02-06,130.34
1998-02-09,137.6
1998-02-10,140.02
1998-02-11,140.83
1998-02-12,141.23
1998-02-13,141.23
1998-02-16,142.04
1998-02-17,142.44
1998-02-18,144.06
1998-02-19,144.06
1998-02-20,144.06
1998-02-23,147.29
1998-02-24,147.29
1998-02-25,146.48
1998-02-26,142.04
1998-02-27,141.23
1998-03-02,141.23
1998-03-03,142.44
1998-03-04,145.27
1998-03-05,145.27
1998-03-06,145.27
1998-03-09,144.86
1998-03-10,144.46
1998-03-11,144.06
1998-03-12,144.06
1998-03-13,144.06
1998-03-16,144.06
1998-03-17,142.85
1998-03-18,143.25
1998-03-19,142.44
1998-03-20,141.23
1998-03-23,141.23
1998-03-24,141.23
1998-03-25,143.65
1998-03-26,144.86
1998-03-27,144.46
1998-03-30,143.25
1998-03-31,142.04
1998-04-01,142.04
1998-04-02,142.85
1998-04-03,144.46
1998-04-06,146.88
1998-04-07,150.11
1998-04-08,150.51
1998-04-09,150.51
1998-04-10,150.51
1998-04-13,150.51
1998-04-14,152.13
1998-04-15,154.15
1998-04-16,152.93
1998-04-17,151.32
1998-04-20,151.32
1998-04-21,151.32
1998-04-22,151.32
1998-04-23,155.36
1998-04-24,155.76
1998-04-27,156.06
1998-04-28,156.06
1998-04-29,158.49
1998-04-30,161.33
1998-05-01,162.14
1998-05-04,162.14
1998-05-05,162.14
1998-05-06,168.22
1998-05-07,169.03
1998-05-08,173.08
1998-05-11,173.08
1998-05-12,173.49
1998-05-13,183.62
1998-05-14,181.59
1998-05-15,177.95
1998-05-18,174.3
1998-05-19,172.68
1998-05-20,171.46
1998-05-21,171.05
1998-05-22,171.05
1998-05-25,171.05
1998-05-26,171.46
1998-05-27,171.05
1998-05-28,171.05
1998-05-29,175.92
1998-06-01,177.13
1998-06-02,177.13
1998-06-03,177.13
1998-06-04,175.51
1998-06-05,173.49
1998-06-08,172.68
1998-06-09,172.68
1998-06-10,171.46
1998-06-11,171.46
1998-06-12,171.05
1998-06-15,169.84
1998-06-16,169.03
1998-06-17,169.03
1998-06-18,169.43
1998-06-19,168.22
1998-06-22,168.22
1998-06-23,166.6
1998-06-24,168.22
1998-06-25,167.41
1998-06-26,165.78
1998-06-29,163.35
1998-06-30,162.14
1998-07-01,162.14
1998-07-02,162.14
1998-07-03,162.14
1998-07-06,162.14
1998-07-07,162.14
1998-07-08,162.14
1998-07-09,162.54
1998-07-10,162.54
1998-07-13,163.35
1998-07-14,163.76
1998-07-15,163.76
1998-07-16,163.76
1998-07-17,163.76
1998-07-20,163.76
1998-07-21,163.76
1998-07-22,161.33
1998-07-23,161.33
1998-07-24,156.46
1998-07-27,156.46
1998-07-28,154.03
1998-07-29,151.19
1998-07-30,151.19
1998-07-31,151.19
1998-08-03,150.79
1998-08-04,151.19
1998-08-05,146.33
1998-08-06,146.73
1998-08-07,147.14
1998-08-10,147.14
1998-08-11,146.33
1998-08-12,147.14
1998-08-13,147.14
1998-08-14,148.76
1998-08-17,149.57
1998-08-18,149.98
1998-08-19,149.98
1998-08-20,150.38
1998-08-21,149.17
1998-08-24,149.17
1998-08-25,149.17
1998-08-26,145.11
1998-08-27,142.28
1998-08-28,134.57
1998-08-31,134.57
1998-09-01,128.9
1998-09-02,129.71
1998-09-03,128.09
1998-09-04,125.66
1998-09-07,125.66
1998-09-08,125.66
1998-09-09,125.66
1998-09-10,125.66
1998-09-11,122.82
1998-09-14,122.82
1998-09-15,121.6
1998-09-16,121.2
1998-09-17,121.2
1998-09-18,120.39
1998-09-21,119.17
1998-09-22,118.77
1998-09-23,118.36
1998-09-24,118.36
1998-09-25,117.95
1998-09-28,117.95
1998-09-29,117.55
1998-09-30,115.93
1998-10-01,112.69
1998-10-02,111.87
1998-10-05,110.25
1998-10-06,112.28
1998-10-07,116.33
1998-10-08,116.74
1998-10-09,116.74
1998-10-12,120.39
1998-10-13,120.79
1998-10-14,121.6
1998-10-15,121.6
1998-10-16,122.82
1998-10-19,122.82
1998-10-20,122.82
1998-10-21,122.82
1998-10-22,122.82
1998-10-23,122.41
1998-10-26,123.25
1998-10-27,123.25
1998-10-28,123.25
1998-10-29,123.25
1998-10-30,123.66
1998-11-02,123.66
1998-11-03,123.66
1998-11-04,123.66
1998-11-05,126.53
1998-11-06,128.98
1998-11-09,128.98
1998-11-10,129.8
1998-11-11,133.49
1998-11-12,134.71
1998-11-13,135.12
1998-11-16,135.53
1998-11-17,136.35
1998-11-18,137.17
1998-11-19,137.99
1998-11-20,141.27
1998-11-23,142.9
1998-11-24,145.77
1998-11-25,147.82
1998-11-26,152.32
1998-11-27,154.37
1998-11-30,156.83
1998-12-01,152.73
1998-12-02,150.27
1998-12-03,146.18
1998-12-04,144.13
1998-12-07,144.13
1998-12-08,143.31
1998-12-09,147.41
