Date,Price
1990-01-01,68.0
1990-01-02,68.82
1990-01-03,70.2
1990-01-04,72.13
1990-01-05,72.4
1990-01-08,74.88
1990-01-09,74.88
1990-01-10,74.88
1990-01-11,74.88
1990-01-12,74.33
1990-01-15,76.25
1990-01-16,76.25
1990-01-17,76.25
1990-01-18,76.25
1990-01-19,77.08
1990-01-22,77.91
1990-01-23,78.46
1990-01-24,77.08
1990-01-25,76.53
1990-01-26,76.53
1990-01-29,77.08
1990-01-30,76.25
1990-01-31,75.7
1990-02-01,75.7
1990-02-02,75.7
1990-02-05,75.7
1990-02-06,75.7
1990-02-07,75.15
1990-02-08,75.7
1990-02-09,75.7
1990-02-12,75.7
1990-02-13,75.7
1990-02-14,75.7
1990-02-15,75.7
1990-02-16,75.7
1990-02-19,76.53
1990-02-20,75.7
1990-02-21,74.33
1990-02-22,74.33
1990-02-23,74.33
1990-02-26,73.5
1990-02-27,73.5
1990-02-28,73.5
1990-03-01,73.5
1990-03-02,73.5
1990-03-05,72.95
1990-03-06,72.4
1990-03-07,71.57
1990-03-08,71.57
1990-03-09,71.57
1990-03-12,70.2
1990-03-13,70.2
1990-03-14,70.2
1990-03-15,70.2
1990-03-16,70.2
1990-03-19,70.2
1990-03-20,70.2
1990-03-21,69.37
1990-03-22,68.82
1990-03-23,69.37
1990-03-26,69.65
1990-03-27,70.2
1990-03-28,69.65
1990-03-29,68.82
1990-03-30,68.82
1990-04-02,66.62
1990-04-03,66.07
1990-04-04,66.07
1990-04-05,66.07
1990-04-06,65.52
1990-04-09,64.14
1990-04-10,61.94
1990-04-11,60.56
1990-04-12,60.56
1990-04-13,60.56
1990-04-16,60.56
1990-04-17,60.56
1990-04-18,60.01
1990-04-19,60.56
1990-04-20,61.11
1990-04-23,60.56
1990-04-24,60.56
1990-04-25,60.56
1990-04-26,61.11
1990-04-27,61.94
1990-04-30,61.94
1990-05-01,61.11
1990-05-02,61.11
1990-05-03,60.84
1990-05-04,60.01
1990-05-07,60.01
1990-05-08,60.01
1990-05-09,59.74
1990-05-10,59.74
1990-05-11,58.64
1990-05-14,58.64
1990-05-15,58.64
1990-05-16,58.64
1990-05-17,58.64
1990-05-18,58.64
1990-05-21,58.64
1990-05-22,58.64
1990-05-23,60.01
1990-05-24,60.01
1990-05-25,59.19
1990-05-28,59.19
1990-05-29,59.19
1990-05-30,59.19
1990-05-31,60.01
1990-06-01,60.01
1990-06-04,61.11
1990-06-05,61.94
1990-06-06,61.94
1990-06-07,63.32
1990-06-08,64.69
1990-06-11,64.42
1990-06-12,65.24
1990-06-13,65.24
1990-06-14,65.24
1990-06-15,65.52
1990-06-18,66.07
1990-06-19,65.24
1990-06-20,65.24
1990-06-21,66.07
1990-06-22,65.24
1990-06-25,66.34
1990-06-26,66.34
1990-06-27,65.52
1990-06-28,64.42
1990-06-29,64.69
1990-07-02,65.52
1990-07-03,65.24
1990-07-04,64.69
1990-07-05,65.24
1990-07-06,64.69
1990-07-09,64.69
1990-07-10,65.24
1990-07-11,64.69
1990-07-12,64.69
1990-07-13,64.69
1990-07-16,64.69
1990-07-17,64.69
1990-07-18,64.69
1990-07-19,64.69
1990-07-20,64.69
1990-07-23,64.69
1990-07-24,64.69
1990-07-25,66.07
1990-07-26,66.07
1990-07-27,66.07
1990-07-30,67.45
1990-07-31,69.65
1990-08-01,68.82
1990-08-02,66.07
1990-08-03,66.07
1990-08-06,63.87
1990-08-07,63.32
1990-08-08,61.94
1990-08-09,62.49
1990-08-10,62.49
1990-08-13,61.94
1990-08-14,61.39
1990-08-15,61.39
1990-08-16,60.56
1990-08-17,60.56
1990-08-20,59.46
1990-08-21,57.81
1990-08-22,56.43
1990-08-23,55.88
1990-08-24,55.06
1990-08-27,55.06
1990-08-28,55.06
1990-08-29,55.06
1990-08-30,55.06
1990-08-31,55.06
1990-09-03,55.06
1990-09-04,55.06
1990-09-05,55.06
1990-09-06,55.06
1990-09-07,55.06
1990-09-10,55.06
1990-09-11,55.88
1990-09-12,55.88
1990-09-13,55.06
1990-09-14,55.06
1990-09-17,54.23
1990-09-18,53.68
1990-09-19,54.23
1990-09-20,53.68
1990-09-21,52.3
1990-09-24,50.38
1990-09-25,50.38
1990-09-26,50.38
1990-09-27,50.38
1990-09-28,50.38
1990-10-01,50.93
1990-10-02,50.38
1990-10-03,50.38
1990-10-04,50.38
1990-10-05,50.38
1990-10-08,53.68
1990-10-09,52.3
1990-10-10,52.3
1990-10-11,52.3
1990-10-12,51.48
1990-10-15,50.38
1990-10-16,49.55
1990-10-17,49.0
1990-10-18,49.0
1990-10-19,49.0
1990-10-22,49.0
1990-10-23,49.0
1990-10-24,49.0
1990-10-25,49.0
1990-10-26,46.8
1990-10-29,46.8
1990-10-30,46.8
1990-10-31,46.8
1990-11-01,46.8
1990-11-02,46.8
1990-11-05,45.42
1990-11-06,46.8
1990-11-07,46.8
1990-11-08,46.8
1990-11-09,46.8
1990-11-12,46.8
1990-11-13,46.25
1990-11-14,46.25
1990-11-15,46.25
1990-11-16,46.25
1990-11-19,45.42
1990-11-20,45.42
1990-11-21,43.5
1990-11-22,42.67
1990-11-23,42.67
1990-11-26,42.67
1990-11-27,42.67
1990-11-28,42.12
1990-11-29,41.29
1990-11-30,41.29
1990-12-03,41.29
1990-12-04,39.92
1990-12-05,38.54
1990-12-06,38.54
1990-12-07,38.54
1990-12-10,38.54
1990-12-11,38.54
1990-12-12,37.99
1990-12-13,37.16
1990-12-14,37.16
1990-12-17,35.79
1990-12-18,35.79
1990-12-19,35.24
1990-12-20,34.41
1990-12-21,34.41
1990-12-24,34.41
1990-12-25,34.41
1990-12-26,34.41
1990-12-27,33.58
1990-12-28,31.66
1990-12-31,31.66
1991-01-01,31.66
1991-01-02,33.03
1991-01-03,31.66
1991-01-04,31.66
1991-01-07,30.28
1991-01-08,28.9
1991-01-09,28.9
1991-01-10,28.9
1991-01-11,28.9
1991-01-14,28.9
1991-01-15,27.8
1991-01-16,27.53
1991-01-17,27.53
1991-01-18,27.53
1991-01-21,27.53
1991-01-22,27.53
1991-01-23,27.53
1991-01-24,26.15
1991-01-25,26.15
1991-01-28,26.15
1991-01-29,26.15
1991-01-30,25.33
1991-01-31,25.33
1991-02-01,24.78
1991-02-04,22.02
1991-02-05,22.02
1991-02-06,22.02
1991-02-07,22.57
1991-02-08,22.57
1991-02-11,22.85
1991-02-12,22.85
1991-02-13,22.85
1991-02-14,22.85
1991-02-15,22.85
1991-02-18,24.78
1991-02-19,25.33
1991-02-20,26.15
1991-02-21,31.66
1991-02-22,32.48
1991-02-25,33.03
1991-02-26,33.03
1991-02-27,33.03
1991-02-28,35.51
1991-03-01,35.79
1991-03-04,37.16
1991-03-05,38.54
1991-03-06,39.09
1991-03-07,39.09
1991-03-08,38.82
1991-03-11,39.64
1991-03-12,39.64
1991-03-13,39.64
1991-03-14,39.64
1991-03-15,42.39
1991-03-18,42.39
1991-03-19,42.39
1991-03-20,42.39
1991-03-21,42.39
1991-03-22,42.67
1991-03-25,41.57
1991-03-26,41.29
1991-03-27,41.29
1991-03-28,41.29
1991-03-29,41.29
1991-04-01,41.29
1991-04-02,41.29
1991-04-03,42.12
1991-04-04,42.12
1991-04-05,42.12
1991-04-08,42.12
1991-04-09,42.95
1991-04-10,43.77
1991-04-11,44.05
1991-04-12,44.05
1991-04-15,44.05
1991-04-16,44.05
1991-04-17,44.05
1991-04-18,44.05
1991-04-19,44.05
1991-04-22,44.05
1991-04-23,44.05
1991-04-24,43.5
1991-04-25,43.77
1991-04-26,44.05
1991-04-29,43.77
1991-04-30,43.5
1991-05-01,42.67
1991-05-02,42.67
1991-05-03,42.67
1991-05-06,42.67
1991-05-07,42.39
1991-05-08,42.67
1991-05-09,42.67
1991-05-10,42.12
1991-05-13,41.84
1991-05-14,41.84
1991-05-15,41.84
1991-05-16,41.29
1991-05-17,44.6
1991-05-20,44.6
1991-05-21,44.05
1991-05-22,44.05
1991-05-23,44.05
1991-05-24,44.05
1991-05-27,44.05
1991-05-28,44.05
1991-05-29,44.05
1991-05-30,44.05
1991-05-31,44.05
1991-06-03,44.05
1991-06-04,43.22
1991-06-05,42.67
1991-06-06,42.67
1991-06-07,42.67
1991-06-10,42.67
1991-06-11,42.67
1991-06-12,42.95
1991-06-13,42.95
