Date,Price
2000-01-03,21.86
2000-01-04,20.89
2000-01-05,20.7
2000-01-06,22.19
2000-01-07,21.91
2000-01-10,21.15
2000-01-11,20.96
2000-01-12,21.44
2000-01-13,21.69
2000-01-14,22.17
2000-01-17,21.44
2000-01-18,21.22
2000-01-19,20.84
2000-01-20,20.05
2000-01-21,19.42
2000-01-24,20.31
2000-01-25,19.82
2000-01-26,20.05
2000-01-27,20.0
2000-01-28,20.28
2000-01-31,20.34
2000-02-01,20.5
2000-02-02,20.93
2000-02-03,20.83
2000-02-04,20.83
2000-02-07,20.21
2000-02-08,20.13
2000-02-09,19.55
2000-02-10,19.53
2000-02-11,19.02
2000-02-14,19.15
2000-02-15,18.76
2000-02-16,18.91
2000-02-17,19.53
2000-02-18,18.19
2000-02-21,18.69
2000-02-22,18.43
2000-02-23,19.15
2000-02-24,19.22
2000-02-25,19.08
2000-02-28,18.63
2000-02-29,18.14
2000-03-01,18.37
2000-03-02,18.37
2000-03-03,18.09
2000-03-06,18.62
2000-03-07,18.63
2000-03-08,18.18
2000-03-09,17.75
2000-03-10,17.17
2000-03-13,17.17
2000-03-14,17.48
2000-03-15,17.62
2000-03-16,18.63
2000-03-17,18.41
2000-03-20,17.88
2000-03-21,18.03
2000-03-22,18.37
2000-03-23,18.62
2000-03-24,19.04
2000-03-27,18.78
2000-03-28,18.69
2000-03-29,19.26
2000-03-30,18.76
2000-03-31,18.77
2000-04-03,18.76
2000-04-04,20.21
2000-04-05,19.61
2000-04-06,19.15
2000-04-07,19.69
2000-04-10,18.73
2000-04-11,18.94
2000-04-12,19.06
2000-04-13,19.25
2000-04-14,19.25
2000-04-17,19.38
2000-04-18,18.67
2000-04-19,18.67
2000-04-20,19.0
2000-04-21,19.0
2000-04-24,19.0
2000-04-25,19.28
2000-04-26,18.87
2000-04-27,18.45
2000-04-28,18.53
2000-05-01,18.53
2000-05-02,18.72
2000-05-03,18.8
2000-05-04,18.63
2000-05-05,18.94
2000-05-08,19.34
2000-05-09,19.34
2000-05-10,19.34
2000-05-11,18.89
2000-05-12,18.65
2000-05-15,18.89
2000-05-16,19.21
2000-05-17,18.85
2000-05-18,18.95
2000-05-19,19.02
2000-05-22,19.79
2000-05-23,19.86
2000-05-24,19.37
2000-05-25,18.77
2000-05-26,18.72
2000-05-29,18.77
2000-05-30,18.91
2000-05-31,19.47
2000-06-01,19.28
2000-06-02,19.47
2000-06-05,19.28
2000-06-06,18.98
2000-06-07,18.72
2000-06-08,18.53
2000-06-09,18.58
2000-06-12,18.58
2000-06-13,18.4
2000-06-14,18.44
2000-06-15,18.83
2000-06-16,19.28
2000-06-19,19.28
2000-06-20,19.4
2000-06-21,18.79
2000-06-22,18.62
2000-06-23,18.55
2000-06-26,18.95
2000-06-27,18.98
2000-06-28,18.91
2000-06-29,19.21
2000-06-30,19.64
2000-07-03,19.74
2000-07-04,20.07
2000-07-05,19.38
2000-07-06,19.35
2000-07-07,19.35
2000-07-10,18.98
2000-07-11,19.18
2000-07-12,19.28
2000-07-13,19.12
2000-07-14,19.12
2000-07-17,19.21
2000-07-18,19.19
2000-07-19,19.09
2000-07-20,19.18
2000-07-21,19.27
2000-07-24,19.27
2000-07-25,19.27
2000-07-26,19.24
2000-07-27,19.24
2000-07-28,19.34
2000-07-31,19.77
2000-08-01,19.73
2000-08-02,19.71
2000-08-03,19.63
2000-08-04,19.78
2000-08-07,19.98
2000-08-08,20.09
2000-08-09,20.09
2000-08-10,19.74
2000-08-11,20.16
2000-08-14,20.63
2000-08-15,20.49
2000-08-16,20.63
2000-08-17,21.05
2000-08-18,20.65
2000-08-21,20.4
2000-08-22,20.06
2000-08-23,20.07
2000-08-24,20.14
2000-08-25,20.65
2000-08-28,20.49
2000-08-29,20.47
2000-08-30,20.33
2000-08-31,20.63
2000-09-01,20.79
2000-09-04,20.85
2000-09-05,21.22
2000-09-06,21.21
2000-09-07,21.28
2000-09-08,19.91
2000-09-11,20.13
2000-09-12,19.86
2000-09-13,19.98
2000-09-14,19.97
2000-09-15,19.55
2000-09-18,19.35
2000-09-19,19.58
2000-09-20,18.83
2000-09-21,18.72
2000-09-22,18.98
2000-09-25,19.31
2000-09-26,19.02
2000-09-27,18.95
2000-09-28,19.08
2000-09-29,19.11
2000-10-02,19.16
2000-10-03,18.93
2000-10-04,18.69
2000-10-05,19.16
2000-10-06,19.52
2000-10-09,18.72
2000-10-10,18.92
2000-10-11,18.68
2000-10-12,18.06
2000-10-13,19.24
2000-10-16,18.72
2000-10-17,18.59
2000-10-18,17.97
2000-10-19,18.29
2000-10-20,18.4
2000-10-23,18.55
2000-10-24,18.86
2000-10-25,18.69
2000-10-26,18.93
2000-10-27,18.17
2000-10-30,18.7
2000-10-31,18.7
2000-11-01,20.03
2000-11-02,20.42
2000-11-03,20.27
2000-11-06,20.44
2000-11-07,20.49
2000-11-08,20.17
2000-11-09,19.84
2000-11-10,20.32
2000-11-13,19.93
2000-11-14,20.37
2000-11-15,20.59
2000-11-16,20.79
2000-11-17,20.7
2000-11-20,20.7
2000-11-21,21.18
2000-11-22,20.99
2000-11-23,20.83
2000-11-24,21.12
2000-11-27,21.39
2000-11-28,21.29
2000-11-29,21.58
2000-11-30,21.61
2000-12-01,21.64
2000-12-04,21.05
2000-12-05,21.67
2000-12-06,21.74
2000-12-07,21.49
2000-12-08,21.62
2000-12-11,21.85
2000-12-12,22.0
2000-12-13,21.05
2000-12-14,21.42
2000-12-15,22.04
2000-12-18,22.04
2000-12-19,22.28
2000-12-20,22.28
2000-12-21,22.5
2000-12-22,22.27
2000-12-27,22.57
2000-12-28,22.79
2000-12-29,22.85
2001-01-01,22.85
2001-01-02,22.14
2001-01-03,21.98
2001-01-04,22.57
2001-01-05,22.72
2001-01-08,22.99
2001-01-09,23.29
2001-01-10,22.72
2001-01-11,22.64
2001-01-12,21.88
2001-01-15,22.0
2001-01-16,21.52
2001-01-17,21.97
2001-01-18,21.35
2001-01-19,21.51
2001-01-22,21.57
2001-01-23,21.45
2001-01-25,21.02
2001-01-29,20.59
2001-01-30,20.79
2001-01-31,20.98
2001-02-01,20.57
2001-02-02,20.7
2001-02-05,20.63
2001-02-06,20.56
2001-02-07,20.85
2001-02-08,21.11
2001-02-09,21.32
2001-02-12,21.47
2001-02-13,21.57
2001-02-14,21.71
2001-02-15,21.84
2001-02-16,22.03
2001-02-19,22.01
2001-02-20,21.72
2001-02-21,21.35
2001-02-22,21.29
2001-02-23,21.44
2001-02-26,21.47
2001-02-27,21.29
2001-02-28,21.38
2001-03-01,22.03
2001-03-02,22.7
2001-03-05,23.56
2001-03-06,23.0
2001-03-07,23.65
2001-03-08,24.44
2001-03-09,23.0
2001-03-12,23.28
2001-03-13,22.89
2001-03-15,22.69
2001-03-16,22.28
2001-03-19,22.37
