Date,Price
2001-09-03,15.0
2001-09-04,15.75
2001-09-05,15.56
2001-09-06,15.06
2001-09-07,14.31
2001-09-10,13.54
2001-09-11,11.98
2001-09-12,11.03
2001-09-13,11.24
2001-09-14,10.23
2001-09-17,9.65
2001-09-18,8.73
2001-09-19,8.8
2001-09-20,8.07
2001-09-21,7.62
2001-09-24,8.37
2001-09-25,8.73
2001-09-26,9.23
2001-09-27,9.12
2001-10-01,8.73
2001-10-02,8.41
2001-10-03,8.37
2001-10-04,9.24
2001-10-05,8.93
2001-10-08,8.41
2001-10-09,8.82
2001-10-10,9.28
2001-10-11,9.87
2001-10-12,9.96
2001-10-15,9.56
2001-10-17,9.96
2001-10-18,10.03
2001-10-19,9.54
2001-10-22,9.84
2001-10-23,10.31
2001-10-24,10.39
2001-10-25,10.41
2001-10-29,10.67
2001-10-30,9.95
2001-10-31,10.19
2001-11-01,10.23
2001-11-02,10.44
2001-11-05,10.86
2001-11-06,10.67
2001-11-07,10.67
2001-11-08,11.34
2001-11-09,10.99
2001-11-12,9.95
2001-11-13,10.86
2001-11-14,11.06
2001-11-15,10.82
2001-11-16,11.04
2001-11-19,11.38
2001-11-20,11.01
2001-11-21,10.78
2001-11-22,11.04
2001-11-23,10.82
2001-11-26,10.98
2001-11-27,11.05
2001-11-28,10.67
2001-11-29,10.67
2001-11-30,10.54
2001-12-03,10.63
2001-12-04,10.57
2001-12-05,10.89
2001-12-06,11.15
2001-12-07,10.94
2001-12-10,10.76
2001-12-11,10.59
2001-12-12,10.65
2001-12-13,10.57
2001-12-14,10.67
2001-12-17,11.11
2001-12-18,11.08
2001-12-19,10.68
2001-12-20,10.46
2001-12-21,10.86
2001-12-24,10.63
2001-12-27,10.74
2001-12-28,10.78
2002-01-02,10.68
2002-01-03,10.97
2002-01-04,11.17
2002-01-07,11.21
2002-01-08,11.69
2002-01-09,11.66
2002-01-10,11.23
2002-01-11,11.55
2002-01-14,11.33
2002-01-15,11.42
2002-01-16,10.9
2002-01-17,11.16
2002-01-18,10.92
2002-01-21,10.76
2002-01-22,10.85
2002-01-23,10.51
2002-01-24,10.59
2002-01-25,10.52
2002-01-28,10.44
2002-01-29,10.21
2002-01-30,10.15
2002-01-31,10.27
2002-02-01,10.43
2002-02-04,10.24
2002-02-05,10.19
2002-02-06,10.27
2002-02-07,10.27
2002-02-08,10.35
2002-02-11,10.57
2002-02-12,10.63
2002-02-13,10.91
2002-02-14,11.06
2002-02-15,11.03
2002-02-18,10.9
2002-02-19,10.67
2002-02-20,10.64
2002-02-21,10.67
2002-02-22,10.59
2002-02-25,10.79
2002-02-26,10.9
2002-02-27,11.22
2002-02-28,11.51
2002-03-01,12.21
2002-03-04,12.72
2002-03-05,12.4
2002-03-06,12.94
2002-03-07,13.03
2002-03-08,13.08
2002-03-11,12.94
2002-03-12,12.59
2002-03-13,12.55
2002-03-14,12.77
2002-03-15,13.17
2002-03-18,13.41
2002-03-19,12.67
2002-03-20,12.52
2002-03-21,12.63
2002-03-22,12.79
2002-03-25,12.89
2002-03-26,12.56
2002-03-27,12.66
2002-04-02,12.72
2002-04-03,12.66
2002-04-04,12.06
2002-04-05,12.25
2002-04-08,12.21
2002-04-09,12.4
2002-04-10,12.57
2002-04-11,12.9
2002-04-12,12.64
2002-04-15,12.76
2002-04-16,12.73
2002-04-17,12.67
2002-04-18,12.65
2002-04-19,12.72
2002-04-22,12.78
2002-04-23,13.0
2002-04-24,13.13
2002-04-25,12.85
2002-04-26,13.11
2002-04-29,13.02
2002-04-30,13.13
2002-05-02,13.04
2002-05-03,13.15
2002-05-06,12.99
2002-05-07,13.0
2002-05-08,13.43
2002-05-09,13.29
2002-05-10,13.0
2002-05-13,13.18
2002-05-14,13.11
2002-05-15,13.83
2002-05-16,14.21
2002-05-17,14.13
2002-05-20,13.98
2002-05-21,13.89
2002-05-22,13.86
2002-05-23,14.17
2002-05-24,14.34
2002-05-27,14.23
2002-05-28,13.94
2002-05-29,13.82
2002-05-30,13.84
2002-05-31,14.14
2002-06-03,13.73
2002-06-04,13.48
2002-06-05,13.74
2002-06-06,13.77
2002-06-07,13.63
2002-06-10,13.76
2002-06-11,13.83
2002-06-12,13.52
2002-06-13,13.1
2002-06-14,12.48
2002-06-17,13.21
2002-06-18,13.17
2002-06-19,12.92
2002-06-20,12.69
2002-06-21,12.24
2002-06-24,12.15
2002-06-25,12.47
2002-06-26,12.16
2002-06-27,12.17
2002-06-28,12.66
2002-07-01,12.82
2002-07-02,12.69
2002-07-03,12.69
2002-07-04,13.3
2002-07-05,14.19
2002-07-08,14.15
2002-07-09,14.1
2002-07-10,13.74
2002-07-11,13.23
2002-07-12,13.15
2002-07-15,12.44
2002-07-16,12.3
2002-07-17,12.96
2002-07-18,13.03
2002-07-19,12.44
2002-07-22,11.63
2002-07-23,11.38
2002-07-24,11.47
2002-07-25,11.59
2002-07-26,11.77
2002-07-29,12.66
2002-07-30,12.82
2002-07-31,13.05
2002-08-01,12.44
2002-08-02,12.52
2002-08-05,11.79
2002-08-06,12.58
2002-08-07,12.51
2002-08-08,13.05
2002-08-09,13.5
2002-08-12,12.6
2002-08-13,12.08
2002-08-14,11.82
2002-08-15,12.04
2002-08-16,11.84
2002-08-19,12.16
2002-08-20,11.95
2002-08-21,12.12
2002-08-22,12.35
2002-08-23,12.06
2002-08-26,11.92
2002-08-27,12.12
2002-08-28,11.64
2002-08-29,11.23
2002-08-30,11.08
2002-09-02,10.82
2002-09-03,10.57
2002-09-04,10.54
2002-09-05,10.37
2002-09-06,10.52
2002-09-09,10.7
2002-09-10,10.61
2002-09-11,10.93
2002-09-12,10.58
2002-09-13,10.41
2002-09-16,10.29
2002-09-17,10.02
2002-09-18,9.26
2002-09-19,8.88
2002-09-20,9.23
2002-09-23,9.23
2002-09-24,9.69
2002-09-25,9.35
2002-09-26,9.64
2002-09-27,9.35
2002-09-30,8.74
2002-10-01,8.62
2002-10-02,8.53
2002-10-03,8.38
2002-10-04,7.8
2002-10-07,7.41
2002-10-08,7.6
2002-10-09,7.49
2002-10-10,7.55
2002-10-11,8.25
2002-10-14,7.89
2002-10-15,8.76
2002-10-16,9.48
2002-10-17,10.48
2002-10-18,9.76
2002-10-21,9.74
2002-10-22,9.43
2002-10-23,9.17
2002-10-24,9.03
2002-10-25,8.99
2002-10-28,9.26
2002-10-29,8.61
2002-10-30,8.78
2002-10-31,9.08
2002-11-01,8.92
2002-11-04,10.12
2002-11-05,10.42
