Date,Price
1994-07-22,4.12
1994-07-25,4.15
1994-07-26,4.12
1994-07-27,4.12
1994-07-28,4.12
1994-07-29,4.12
1994-08-01,4.12
1994-08-02,4.12
1994-08-03,4.15
1994-08-04,4.07
1994-08-05,4.07
1994-08-08,4.07
1994-08-09,4.1
1994-08-10,4.01
1994-08-11,3.99
1994-08-12,4.01
1994-08-15,4.01
1994-08-16,4.04
1994-08-17,4.01
1994-08-18,4.04
1994-08-19,4.01
1994-08-22,4.01
1994-08-23,3.99
1994-08-24,4.01
1994-08-25,4.04
1994-08-26,4.07
1994-08-29,4.07
1994-08-30,4.12
1994-08-31,4.1
1994-09-01,4.07
1994-09-02,4.07
1994-09-06,4.01
1994-09-07,4.01
1994-09-08,4.04
1994-09-09,4.07
1994-09-12,4.01
1994-09-13,4.04
1994-09-14,3.96
1994-09-15,4.01
1994-09-16,3.96
1994-09-19,3.96
1994-09-20,3.87
1994-09-21,3.82
1994-09-22,3.93
1994-09-23,3.9
1994-09-26,3.96
1994-09-27,3.93
1994-09-28,3.9
1994-09-29,3.93
1994-09-30,3.87
1994-10-03,3.82
1994-10-04,3.73
1994-10-05,3.82
1994-10-06,3.85
1994-10-07,3.87
1994-10-10,3.93
1994-10-11,3.99
1994-10-12,3.99
1994-10-13,3.99
1994-10-14,3.96
1994-10-17,3.99
1994-10-18,3.96
1994-10-19,4.01
1994-10-20,4.01
1994-10-21,4.01
1994-10-24,3.96
1994-10-25,3.99
1994-10-26,3.96
1994-10-27,4.01
1994-10-28,4.01
1994-10-31,4.07
1994-11-01,4.01
1994-11-02,4.04
1994-11-03,4.04
1994-11-04,4.01
1994-11-07,3.99
1994-11-08,3.99
1994-11-09,3.97
1994-11-10,3.99
1994-11-11,3.97
1994-11-14,3.97
1994-11-15,4.02
1994-11-16,3.99
1994-11-17,4.02
1994-11-18,4.02
1994-11-21,4.05
1994-11-22,3.91
1994-11-23,3.94
1994-11-25,3.91
1994-11-28,3.88
1994-11-29,3.77
1994-11-30,3.82
1994-12-01,3.85
1994-12-02,3.85
1994-12-05,3.82
1994-12-06,3.74
1994-12-07,3.74
1994-12-08,3.74
1994-12-09,3.74
1994-12-12,3.74
1994-12-13,3.77
1994-12-14,3.85
1994-12-15,3.91
1994-12-16,3.91
1994-12-19,3.91
1994-12-20,3.94
1994-12-21,3.91
1994-12-22,3.91
1994-12-23,3.94
1994-12-27,3.97
1994-12-28,3.91
1994-12-29,3.88
1994-12-30,3.91
1995-01-03,3.94
1995-01-04,3.91
1995-01-05,3.94
1995-01-06,3.91
1995-01-09,3.94
1995-01-10,3.99
1995-01-11,3.97
1995-01-12,3.94
1995-01-13,3.91
1995-01-16,3.97
1995-01-17,3.94
1995-01-18,3.94
1995-01-19,3.97
1995-01-20,3.94
1995-01-23,3.88
1995-01-24,3.91
1995-01-25,3.91
1995-01-26,3.91
1995-01-27,3.97
1995-01-30,4.05
1995-01-31,4.05
1995-02-01,4.09
1995-02-02,4.09
1995-02-03,4.12
1995-02-06,4.12
1995-02-07,4.21
1995-02-08,4.26
1995-02-09,4.23
1995-02-10,4.18
1995-02-13,4.15
1995-02-14,4.21
1995-02-15,4.18
1995-02-16,4.12
1995-02-17,4.15
1995-02-21,4.12
1995-02-22,4.15
1995-02-23,4.15
1995-02-24,4.21
1995-02-27,4.18
1995-02-28,4.18
1995-03-01,4.21
1995-03-02,4.18
1995-03-03,4.18
1995-03-06,4.21
1995-03-07,4.18
1995-03-08,4.15
1995-03-09,4.18
1995-03-10,4.18
