Date,Price
2004-02-05,20.96
2004-02-06,21.09
2004-02-09,20.76
2004-02-10,20.66
2004-02-11,20.58
2004-02-12,20.94
2004-02-13,20.96
2004-02-17,20.87
2004-02-18,21.55
2004-02-19,21.79
2004-02-20,21.51
2004-02-23,20.83
2004-02-24,21.04
2004-02-25,21.09
2004-02-26,21.42
2004-02-27,21.84
2004-03-01,21.89
2004-03-02,22.01
2004-03-03,21.62
2004-03-04,21.39
2004-03-05,21.68
2004-03-08,21.62
2004-03-09,21.21
2004-03-10,20.92
2004-03-11,20.53
2004-03-12,20.79
2004-03-15,20.36
2004-03-16,20.56
2004-03-17,20.42
2004-03-18,20.19
2004-03-19,20.14
2004-03-22,20.11
2004-03-23,20.36
2004-03-24,20.19
2004-03-25,20.33
2004-03-26,20.45
2004-03-29,20.68
2004-03-30,20.97
2004-03-31,21.34
2004-04-01,21.42
2004-04-02,21.4
2004-04-05,21.65
2004-04-06,22.01
2004-04-07,21.83
2004-04-08,22.25
2004-04-12,21.96
2004-04-13,21.42
2004-04-14,21.37
2004-04-15,21.42
2004-04-16,21.67
2004-04-19,21.83
2004-04-20,21.68
2004-04-21,21.38
2004-04-22,21.38
2004-04-23,21.24
2004-04-26,21.13
2004-04-27,21.36
2004-04-28,21.21
2004-04-29,20.97
2004-04-30,20.67
2004-05-03,21.21
2004-05-04,21.0
2004-05-05,20.95
2004-05-06,20.92
2004-05-07,20.45
2004-05-10,20.36
2004-05-11,20.58
2004-05-12,20.7
2004-05-13,21.2
2004-05-14,21.21
2004-05-17,20.68
2004-05-18,21.08
2004-05-19,21.0
2004-05-20,21.27
2004-05-21,21.21
2004-05-24,21.27
2004-05-25,20.97
2004-05-26,21.1
2004-05-27,20.93
2004-05-28,21.36
2004-06-01,21.41
2004-06-02,21.61
2004-06-03,21.81
2004-06-04,21.95
2004-06-07,21.74
2004-06-08,21.77
2004-06-09,21.71
2004-06-10,21.66
2004-06-14,21.66
2004-06-15,21.85
2004-06-16,21.72
2004-06-17,21.94
2004-06-18,21.57
2004-06-21,21.53
2004-06-22,21.53
2004-06-23,21.51
2004-06-24,21.66
2004-06-25,22.11
2004-06-28,22.29
2004-06-29,22.52
2004-06-30,22.45
2004-07-01,22.38
2004-07-02,22.18
2004-07-06,22.0
2004-07-07,22.12
2004-07-08,22.0
2004-07-09,22.0
2004-07-12,22.1
2004-07-13,22.12
2004-07-14,21.94
