Date,Price
1993-06-03,8.77
1993-06-04,8.54
1993-06-07,8.39
1993-06-08,8.28
1993-06-09,8.43
1993-06-10,8.36
1993-06-11,8.36
1993-06-14,8.28
1993-06-15,8.32
1993-06-16,8.36
1993-06-17,8.36
1993-06-18,8.24
1993-06-21,8.17
1993-06-22,8.28
1993-06-23,8.24
1993-06-24,8.39
1993-06-25,8.5
1993-06-28,8.65
1993-06-29,8.58
1993-06-30,8.65
1993-07-01,8.8
1993-07-02,8.58
1993-07-06,8.54
1993-07-07,8.5
1993-07-08,8.62
1993-07-09,8.5
1993-07-12,8.43
1993-07-13,8.54
1993-07-14,8.73
1993-07-15,8.77
1993-07-16,8.91
1993-07-19,9.06
1993-07-20,9.14
1993-07-21,8.91
1993-07-22,8.84
1993-07-23,8.91
1993-07-26,9.1
1993-07-27,9.1
1993-07-28,9.06
1993-07-29,9.1
1993-07-30,9.29
1993-08-02,9.25
1993-08-03,9.36
1993-08-04,9.33
1993-08-05,9.1
1993-08-06,9.25
1993-08-09,9.25
1993-08-10,9.14
1993-08-11,9.1
1993-08-12,9.03
1993-08-13,8.95
1993-08-16,8.88
1993-08-17,8.95
1993-08-18,9.06
1993-08-19,9.33
1993-08-20,9.55
1993-08-23,9.55
1993-08-24,9.51
1993-08-25,9.47
1993-08-26,9.55
1993-08-27,9.55
1993-08-30,9.33
1993-08-31,9.25
1993-09-01,9.51
1993-09-02,9.44
1993-09-03,9.51
1993-09-07,9.62
1993-09-08,9.47
1993-09-09,9.57
1993-09-10,9.64
1993-09-13,9.6
1993-09-14,9.83
1993-09-15,9.64
1993-09-16,9.68
1993-09-17,9.68
1993-09-20,9.6
1993-09-21,9.53
1993-09-22,9.6
1993-09-23,9.72
1993-09-24,9.64
1993-09-27,9.9
1993-09-28,9.98
1993-09-29,9.75
1993-09-30,9.53
1993-10-01,9.72
1993-10-04,9.72
1993-10-05,9.94
1993-10-06,9.9
1993-10-07,9.87
1993-10-08,9.9
1993-10-11,9.98
1993-10-12,9.98
1993-10-13,10.02
1993-10-14,10.2
1993-10-15,10.09
1993-10-18,10.09
1993-10-19,9.9
1993-10-20,9.75
1993-10-21,9.9
1993-10-22,9.94
1993-10-25,9.68
1993-10-26,9.68
1993-10-27,9.45
1993-10-28,9.45
1993-10-29,9.42
1993-11-01,9.6
1993-11-02,9.38
1993-11-03,9.12
1993-11-04,9.08
1993-11-05,9.0
1993-11-08,9.08
1993-11-09,9.15
1993-11-10,9.0
1993-11-11,8.89
1993-11-12,8.89
1993-11-15,8.82
1993-11-16,8.78
1993-11-17,8.74
1993-11-18,8.78
1993-11-19,8.59
1993-11-22,8.48
1993-11-23,8.63
1993-11-24,8.89
1993-11-26,8.93
1993-11-29,8.93
1993-11-30,8.85
1993-12-01,8.89
1993-12-02,8.94
1993-12-03,8.76
1993-12-06,8.68
1993-12-07,8.53
1993-12-08,8.79
1993-12-09,8.76
1993-12-10,8.64
1993-12-13,8.61
1993-12-14,8.64
1993-12-15,8.64
1993-12-16,8.72
1993-12-17,8.87
1993-12-20,8.94
1993-12-21,9.02
1993-12-22,8.91
1993-12-23,8.98
1993-12-27,8.87
1993-12-28,8.91
1993-12-29,9.06
1993-12-30,8.98
1993-12-31,8.91
1994-01-03,8.94
1994-01-04,8.83
1994-01-05,8.79
1994-01-06,8.68
1994-01-07,8.64
1994-01-10,8.68
1994-01-11,8.57
1994-01-12,8.64
1994-01-13,8.72
1994-01-14,8.94
1994-01-17,8.64
1994-01-18,8.68
1994-01-19,8.68
1994-01-20,8.64
1994-01-21,8.72
1994-01-24,8.76
1994-01-25,8.68
1994-01-26,8.68
1994-01-27,8.72
1994-01-28,8.61
1994-01-31,8.61
1994-02-01,8.61
1994-02-02,8.45
1994-02-03,8.42
1994-02-04,8.19
1994-02-07,8.23
1994-02-08,8.38
1994-02-09,8.3
1994-02-10,8.0
1994-02-11,8.04
1994-02-14,8.08
1994-02-15,7.93
1994-02-16,7.96
1994-02-17,7.81
1994-02-18,7.93
1994-02-22,7.89
1994-02-23,7.96
1994-02-24,8.04
1994-02-25,7.93
1994-02-28,7.85
1994-03-01,7.62
1994-03-02,7.47
1994-03-03,7.44
1994-03-04,7.62
1994-03-07,7.51
1994-03-08,7.4
1994-03-09,7.17
1994-03-10,7.36
1994-03-11,7.47
1994-03-14,7.49
1994-03-15,7.6
1994-03-16,7.53
1994-03-17,7.41
1994-03-18,7.45
1994-03-21,7.3
1994-03-22,7.22
1994-03-23,7.11
1994-03-24,7.19
1994-03-25,7.07
1994-03-28,7.22
1994-03-29,7.3
1994-03-30,7.26
1994-03-31,7.3
1994-04-04,7.15
1994-04-05,7.11
1994-04-06,7.19
1994-04-07,7.15
1994-04-08,7.07
1994-04-11,7.19
1994-04-12,7.26
1994-04-13,7.34
1994-04-14,7.38
1994-04-15,7.3
1994-04-18,7.34
1994-04-19,7.3
1994-04-20,7.0
1994-04-21,6.96
1994-04-22,7.15
1994-04-25,7.3
1994-04-26,7.26
1994-04-28,7.3
1994-04-29,7.26
1994-05-02,7.15
1994-05-03,7.15
1994-05-04,7.34
1994-05-05,7.53
1994-05-06,7.68
1994-05-09,7.64
1994-05-10,7.41
1994-05-11,7.49
1994-05-12,7.38
1994-05-13,7.41
