Date,Price
2005-08-03,28.05
2005-08-04,28.3
2005-08-05,28.13
2005-08-08,28.05
2005-08-09,27.96
2005-08-10,28.01
2005-08-11,27.36
2005-08-12,26.88
2005-08-15,27.33
2005-08-16,27.21
2005-08-17,27.15
2005-08-18,26.76
2005-08-19,25.74
2005-08-22,26.48
2005-08-23,25.9
2005-08-24,25.65
2005-08-25,25.36
2005-08-26,25.84
2005-08-29,25.44
2005-08-30,26.42
2005-08-31,28.26
2005-09-01,28.79
2005-09-02,28.66
2005-09-05,28.54
2005-09-06,30.25
2005-09-07,30.28
2005-09-08,30.74
2005-09-09,30.95
2005-09-12,30.88
2005-09-13,30.67
2005-09-14,31.03
2005-09-15,31.34
2005-09-16,32.32
2005-09-19,32.19
2005-09-20,31.8
2005-09-21,31.26
2005-09-22,30.93
2005-09-23,30.87
2005-09-26,30.83
2005-09-27,31.08
2005-09-28,32.92
2005-09-29,33.15
2005-09-30,33.22
2005-10-03,32.75
2005-10-04,32.38
2005-10-05,31.92
2005-10-06,32.86
2005-10-07,33.53
2005-10-10,33.48
2005-10-11,35.2
2005-10-12,35.32
2005-10-13,34.15
2005-10-14,33.52
2005-10-17,33.89
2005-10-18,33.22
2005-10-19,32.8
2005-10-20,33.64
2005-10-21,33.63
2005-10-24,33.26
2005-10-25,33.5
2005-10-26,33.6
2005-10-27,32.55
2005-10-28,32.79
2005-10-31,33.63
2005-11-01,33.17
2005-11-02,32.97
2005-11-03,33.62
2005-11-04,34.42
2005-11-07,33.85
2005-11-08,33.98
2005-11-09,33.49
2005-11-10,33.84
2005-11-11,34.62
2005-11-14,35.1
2005-11-15,35.57
2005-11-16,35.16
2005-11-17,37.78
2005-11-18,38.88
2005-11-21,39.74
2005-11-22,39.62
2005-11-23,39.54
2005-11-24,39.1
2005-11-25,38.91
2005-11-28,40.71
2005-11-29,40.62
2005-11-30,40.41
2005-12-01,41.17
2005-12-02,41.41
2005-12-05,40.42
2005-12-06,41.88
2005-12-07,41.92
2005-12-08,41.51
2005-12-09,41.51
2005-12-12,41.83
2005-12-13,41.41
2005-12-14,41.81
2005-12-15,41.03
2005-12-16,39.96
2005-12-19,40.77
2005-12-20,40.37
2005-12-21,40.19
2005-12-22,40.18
2005-12-23,40.54
2005-12-27,40.92
2005-12-28,41.21
2005-12-29,41.21
2005-12-30,40.89
2006-01-02,40.98
2006-01-03,41.29
2006-01-04,44.74
2006-01-05,44.24
2006-01-06,45.42
2006-01-09,45.5
2006-01-10,46.09
2006-01-11,48.23
2006-01-12,47.52
2006-01-13,47.35
2006-01-16,47.94
2006-01-17,47.43
2006-01-18,47.27
2006-01-19,47.94
2006-01-20,47.31
2006-01-23,47.69
2006-01-24,48.65
2006-01-25,48.36
2006-01-26,50.67
2006-01-27,53.57
2006-01-30,52.02
2006-01-31,52.61
2006-02-01,52.65
2006-02-02,52.14
2006-02-03,51.72
2006-02-06,51.6
2006-02-07,51.6
2006-02-08,53.24
2006-02-09,56.94
2006-02-10,54.67
2006-02-13,55.42
2006-02-14,57.06
2006-02-15,58.58
2006-02-16,59.0
2006-02-17,59.21
2006-02-20,58.87
2006-02-21,58.49
2006-02-22,58.12
2006-02-23,58.75
2006-02-24,58.83
2006-02-27,61.4
2006-02-28,60.39
2006-03-01,63.25
2006-03-02,63.58
2006-03-03,63.04
2006-03-06,62.83
2006-03-07,59.17
2006-03-08,56.35
2006-03-09,55.93
2006-03-10,57.7
2006-03-13,57.7
2006-03-14,56.22
2006-03-15,55.13
2006-03-16,54.67
2006-03-17,57.11
2006-03-20,58.07
2006-03-21,58.41
2006-03-22,57.78
2006-03-23,56.98
2006-03-24,59.29
2006-03-27,57.99
2006-03-28,57.32
2006-03-29,58.07
2006-03-30,58.2
2006-03-31,58.2
2006-04-03,58.75
2006-04-04,58.62
2006-04-05,57.65
2006-04-06,58.41
2006-04-07,59.25
2006-04-10,58.54
2006-04-11,54.88
2006-04-12,54.63
2006-04-13,55.84
2006-04-18,54.25
2006-04-19,55.42
2006-04-20,55.42
2006-04-21,57.99
2006-04-24,57.44
2006-04-25,57.53
2006-04-26,58.7
2006-04-27,61.82
2006-04-28,60.39
2006-05-02,60.55
2006-05-03,62.11
2006-05-04,63.25
2006-05-05,65.26
2006-05-08,67.28
2006-05-09,69.09
2006-05-10,69.22
2006-05-11,67.28
2006-05-12,65.85
2006-05-15,64.66
2006-05-16,63.26
2006-05-17,60.3
2006-05-18,60.05
2006-05-19,58.69
2006-05-22,55.01
2006-05-23,57.13
2006-05-24,54.25
2006-05-25,55.22
2006-05-26,56.28
2006-05-29,59.11
2006-05-30,55.69
2006-05-31,56.07
2006-06-01,56.91
2006-06-02,57.29
2006-06-05,57.0
2006-06-06,54.16
2006-06-07,53.78
2006-06-08,52.68
2006-06-09,53.66
2006-06-12,52.72
2006-06-13,50.06
2006-06-14,51.54
2006-06-19,58.06
2006-06-20,56.83
2006-06-21,58.99
2006-06-22,57.97
2006-06-23,57.76
2006-06-26,57.8
2006-06-27,57.63
2006-06-28,56.87
2006-06-29,57.8
2006-06-30,60.47
2006-07-03,60.98
2006-07-04,60.68
2006-07-05,58.31
2006-07-06,58.9
2006-07-07,58.27
2006-07-10,58.69
2006-07-11,56.66
2006-07-12,56.28
2006-07-13,55.98
2006-07-14,55.18
2006-07-17,52.85
2006-07-18,52.98
2006-07-19,55.86
2006-07-20,54.67
2006-07-21,53.06
2006-07-24,54.84
2006-07-25,55.69
2006-07-26,55.26
2006-07-27,56.74
2006-07-28,58.4
2006-07-31,57.51
2006-08-01,56.28
2006-08-02,57.72
2006-08-03,56.58
2006-08-04,57.97
2006-08-07,56.36
2006-08-08,56.62
2006-08-09,58.18
2006-08-10,56.91
2006-08-11,57.46
2006-08-14,58.18
2006-08-15,58.82
2006-08-16,58.82
2006-08-17,58.65
2006-08-18,58.69
2006-08-21,58.73
2006-08-22,61.23
2006-08-23,61.44
2006-08-24,59.83
2006-08-25,60.09
2006-08-28,60.72
2006-08-29,61.53
2006-08-30,64.11
2006-08-31,62.29
2006-09-01,63.39
2006-09-04,64.49
2006-09-05,64.23
2006-09-06,62.8
2006-09-07,62.25
2006-09-08,62.67
2006-09-11,61.95
2006-09-12,63.39
2006-09-13,63.35
2006-09-14,63.98
2006-09-15,63.94
2006-09-18,63.56
2006-09-19,63.39
2006-09-20,63.35
2006-09-21,63.09
2006-09-22,61.61
2006-09-25,62.84
2006-09-26,63.09
2006-09-27,61.31
2006-09-28,60.98
2006-09-29,60.38
2006-10-02,60.05
2006-10-03,59.88
2006-10-04,59.75
2006-10-05,60.05
2006-10-06,60.17
2006-10-09,59.88
2006-10-10,59.79
2006-10-11,58.82
2006-10-12,58.95
2006-10-13,61.23
2006-10-16,61.74
2006-10-17,60.6
2006-10-18,61.91
2006-10-19,60.64
2006-10-20,60.93
2006-10-23,61.53
2006-10-24,61.7
2006-10-25,61.36
2006-10-26,62.42
2006-10-27,62.67
2006-10-30,61.78
2006-10-31,61.19
2006-11-01,61.7
2006-11-02,61.4
2006-11-03,62.37
2006-11-06,63.73
2006-11-07,63.43
2006-11-08,63.05
2006-11-09,63.13
2006-11-10,64.11
2006-11-13,69.52
2006-11-14,67.54
2006-11-15,69.65
2006-11-16,71.85
2006-11-17,70.54
2006-11-20,70.07
2006-11-21,70.58
2006-11-22,71.85
2006-11-23,71.81
2006-11-24,71.01
2006-11-27,69.4
2006-11-28,69.02
2006-11-29,72.78
2006-11-30,74.26
2006-12-01,73.54
2006-12-04,75.74
2006-12-05,77.73
2006-12-06,78.07
2006-12-07,77.99
2006-12-08,79.81
2006-12-11,78.75
2006-12-12,79.98
2006-12-13,81.84
2006-12-14,82.01
2006-12-15,83.49
2006-12-18,83.36
2006-12-19,82.3
2006-12-20,84.0
2006-12-21,84.12
2006-12-22,85.31
2006-12-27,85.48
2006-12-28,85.65
2006-12-29,86.92
2007-01-02,87.34
2007-01-03,88.44
2007-01-04,84.12
2007-01-05,81.16
2007-01-08,80.78
2007-01-09,79.68
2007-01-10,81.08
2007-01-11,82.77
2007-01-12,83.45
2007-01-15,82.13
2007-01-16,81.58
2007-01-17,79.47
2007-01-18,81.58
2007-01-19,80.82
2007-01-22,83.23
2007-01-23,81.46
2007-01-24,82.43
2007-01-25,80.99
2007-01-26,80.19
2007-01-29,80.02
2007-01-30,80.65
2007-01-31,79.3
2007-02-01,80.95
2007-02-02,81.03
2007-02-05,81.67
2007-02-06,81.03
2007-02-07,84.04
2007-02-08,82.77
2007-02-09,83.28
2007-02-12,82.51
2007-02-13,82.77
2007-02-14,82.64
2007-02-15,81.84
2007-02-16,82.13
2007-02-19,81.96
2007-02-20,81.25
2007-02-21,79.41
2007-02-22,79.45
2007-02-23,79.4
2007-02-26,81.71
2007-02-27,76.85
2007-02-28,77.31
2007-03-01,75.25
2007-03-02,74.36
2007-03-05,75.37
2007-03-06,75.11
2007-03-07,75.58
2007-03-08,77.78
2007-03-09,77.27
2007-03-12,77.11
2007-03-13,74.64
2007-03-14,72.23
2007-03-15,74.65
2007-03-16,75.36
2007-03-19,75.96
2007-03-20,77.17
2007-03-21,78.28
2007-03-22,79.38
2007-03-23,81.18
2007-03-26,79.56
2007-03-27,80.15
2007-03-28,79.65
2007-03-29,81.46
2007-03-30,82.22
2007-04-02,83.2
2007-04-03,84.33
2007-04-04,84.42
2007-04-05,85.27
2007-04-10,85.3
2007-04-11,85.02
2007-04-12,84.24
2007-04-13,84.79
2007-04-16,86.38
2007-04-17,85.48
2007-04-18,84.36
2007-04-19,84.82
2007-04-20,86.33
2007-04-23,87.29
2007-04-24,85.8
2007-04-25,91.32
2007-04-26,93.15
2007-04-27,93.68
2007-04-30,93.09
2007-05-02,94.87
2007-05-03,93.31
2007-05-04,96.4
2007-05-07,99.86
2007-05-08,97.13
2007-05-09,97.54
2007-05-10,96.89
2007-05-11,95.76
2007-05-14,94.11
2007-05-15,95.02
2007-05-16,99.02
2007-05-17,100.49
2007-05-18,100.01
2007-05-21,99.02
2007-05-22,100.58
2007-05-23,100.23
2007-05-24,99.14
2007-05-25,99.37
2007-05-28,98.98
2007-05-29,97.99
2007-05-30,97.62
2007-05-31,99.61
2007-06-01,101.46
2007-06-04,100.63
2007-06-05,101.21
2007-06-06,98.87
2007-06-07,96.17
2007-06-08,95.61
2007-06-11,97.16
2007-06-12,97.2
2007-06-13,96.17
2007-06-14,99.53
2007-06-15,101.07
2007-06-18,101.84
2007-06-19,102.17
2007-06-20,103.39
2007-06-21,101.1
2007-06-22,101.56
2007-06-25,100.54
2007-06-26,102.04
2007-06-27,100.95
2007-06-28,104.17
2007-06-29,105.13
2007-07-02,105.42
2007-07-03,107.78
2007-07-04,108.07
2007-07-05,109.04
2007-07-06,108.81
2007-07-09,109.39
2007-07-10,108.51
2007-07-11,106.48
2007-07-12,115.48
2007-07-13,115.49
2007-07-16,118.0
2007-07-17,117.32
2007-07-18,114.16
2007-07-19,116.39
2007-07-20,114.59
2007-07-23,116.33
