Date,Price
2000-01-03,38.98
2000-01-04,38.09
2000-01-05,36.72
2000-01-06,36.2
2000-01-07,36.8
2000-01-10,37.97
2000-01-11,37.35
2000-01-12,36.63
2000-01-13,36.56
2000-01-14,38.68
2000-01-17,36.8
2000-01-18,35.18
2000-01-19,34.75
2000-01-20,34.95
2000-01-21,35.26
2000-01-24,35.43
2000-01-25,34.82
2000-01-26,34.75
2000-01-27,34.94
2000-01-28,35.3
2000-01-31,34.92
2000-02-01,35.6
2000-02-02,37.79
2000-02-03,42.35
2000-02-04,44.25
2000-02-07,45.79
2000-02-08,46.56
2000-02-09,44.52
2000-02-10,45.26
2000-02-11,47.91
2000-02-14,46.73
2000-02-15,45.79
2000-02-16,44.85
2000-02-17,44.33
2000-02-18,41.05
2000-02-21,40.46
2000-02-22,40.65
2000-02-23,37.14
2000-02-24,38.53
2000-02-25,40.21
2000-02-28,40.64
2000-02-29,41.63
2000-03-01,42.02
2000-03-02,42.01
2000-03-03,41.77
2000-03-06,42.62
2000-03-07,42.79
2000-03-08,41.77
2000-03-09,42.79
2000-03-10,43.99
2000-03-13,43.99
2000-03-14,41.25
2000-03-15,39.22
2000-03-16,37.69
2000-03-17,38.26
2000-03-20,40.09
2000-03-21,39.81
2000-03-22,38.87
2000-03-23,38.68
2000-03-24,40.14
2000-03-27,41.08
2000-03-28,41.61
2000-03-29,40.82
2000-03-30,39.37
2000-03-31,39.25
2000-04-03,36.92
2000-04-04,35.69
2000-04-05,33.74
2000-04-06,36.72
2000-04-07,40.31
2000-04-10,40.76
2000-04-11,39.81
2000-04-12,38.99
2000-04-13,38.17
2000-04-14,37.32
2000-04-17,36.9
2000-04-18,37.71
2000-04-19,39.88
2000-04-20,39.54
2000-04-21,39.54
2000-04-24,39.54
2000-04-25,40.02
2000-04-26,40.69
2000-04-27,39.95
2000-04-28,43.65
2000-05-01,43.65
2000-05-02,44.16
2000-05-03,43.05
2000-05-04,47.16
2000-05-05,50.68
2000-05-08,51.27
2000-05-09,51.27
2000-05-10,46.73
2000-05-11,47.38
2000-05-12,48.2
2000-05-15,48.27
2000-05-16,49.9
2000-05-17,49.67
2000-05-18,47.93
2000-05-19,47.93
2000-05-22,43.52
2000-05-23,44.8
2000-05-24,42.43
2000-05-25,43.56
2000-05-26,45.62
2000-05-29,47.67
2000-05-30,50.67
2000-05-31,50.75
2000-06-01,52.21
2000-06-02,55.63
2000-06-05,55.54
2000-06-06,53.79
2000-06-07,52.81
2000-06-08,54.9
2000-06-09,56.32
2000-06-12,56.32
2000-06-13,55.16
2000-06-14,56.02
2000-06-15,55.67
2000-06-16,57.56
2000-06-19,57.56
2000-06-20,60.77
2000-06-21,61.79
2000-06-22,62.05
2000-06-23,61.19
2000-06-26,60.77
2000-06-27,59.82
2000-06-28,59.27
2000-06-29,54.86
2000-06-30,58.8
2000-07-03,59.27
2000-07-04,61.88
2000-07-05,59.91
2000-07-06,61.58
2000-07-07,61.58
2000-07-10,63.68
2000-07-11,65.81
2000-07-12,65.94
2000-07-13,68.13
2000-07-14,68.13
2000-07-17,69.84
2000-07-18,67.27
2000-07-19,65.47
2000-07-20,67.27
2000-07-21,66.46
2000-07-24,66.46
2000-07-25,67.7
2000-07-26,66.33
2000-07-27,66.33
2000-07-28,66.2
2000-07-31,68.13
2000-08-01,67.48
2000-08-02,65.04
2000-08-03,60.77
2000-08-04,63.85
2000-08-07,65.56
2000-08-08,67.1
2000-08-09,67.1
2000-08-10,68.77
2000-08-11,66.88
2000-08-14,68.3
2000-08-15,67.66
2000-08-16,69.88
2000-08-17,70.74
2000-08-18,72.75
2000-08-21,71.55
2000-08-22,70.18
2000-08-23,69.15
2000-08-24,70.39
2000-08-25,73.47
