Date,Price
2005-09-15,31.28
2005-09-16,30.94
2005-09-19,31.02
2005-09-20,31.02
2005-09-21,30.77
2005-09-22,31.44
2005-09-23,31.85
2005-09-26,31.91
2005-09-27,31.49
2005-09-28,31.27
2005-09-29,30.94
2005-09-30,30.26
2005-10-03,29.33
2005-10-04,28.65
2005-10-05,28.44
2005-10-06,28.21
2005-10-07,28.4
2005-10-10,27.92
2005-10-11,27.89
2005-10-12,27.7
2005-10-13,27.51
2005-10-14,27.38
2005-10-17,27.45
2005-10-18,27.41
2005-10-19,28.03
2005-10-20,28.38
2005-10-21,28.74
2005-10-24,30.67
2005-10-25,31.43
2005-10-26,31.27
2005-10-27,30.67
2005-10-28,31.36
2005-10-31,31.46
2005-11-01,30.9
2005-11-02,31.2
2005-11-03,31.72
2005-11-04,31.51
2005-11-07,31.39
2005-11-08,31.33
2005-11-09,32.11
2005-11-10,33.0
2005-11-11,32.99
2005-11-14,33.35
2005-11-15,33.24
2005-11-16,33.77
2005-11-17,33.91
2005-11-18,33.84
2005-11-21,35.25
2005-11-22,35.74
2005-11-23,36.85
2005-11-25,36.84
2005-11-28,37.22
2005-11-29,36.07
2005-11-30,35.65
2005-12-01,36.72
2005-12-02,36.65
2005-12-05,36.9
2005-12-06,36.97
2005-12-07,36.76
2005-12-08,37.01
2005-12-09,37.1
2005-12-12,36.57
2005-12-13,36.31
2005-12-14,35.21
2005-12-15,34.92
2005-12-16,35.83
2005-12-19,35.02
2005-12-20,35.24
2005-12-21,35.23
2005-12-22,35.55
2005-12-23,35.55
2005-12-27,34.68
2005-12-28,34.8
2005-12-29,34.62
2005-12-30,34.76
2006-01-03,35.69
2006-01-04,36.81
2006-01-05,37.24
2006-01-06,36.96
2006-01-09,38.23
2006-01-10,37.86
2006-01-11,37.47
2006-01-12,37.44
2006-01-13,37.2
2006-01-17,36.9
2006-01-18,35.88
2006-01-19,36.12
2006-01-20,35.78
2006-01-23,36.88
2006-01-24,36.86
2006-01-25,36.63
2006-01-26,36.71
2006-01-27,35.95
2006-01-30,35.23
2006-01-31,34.59
2006-02-01,35.06
2006-02-02,36.14
2006-02-03,36.21
2006-02-06,36.83
2006-02-07,37.02
2006-02-08,37.24
2006-02-09,37.33
2006-02-10,37.04
2006-02-13,36.45
2006-02-14,37.35
2006-02-15,36.78
2006-02-16,36.92
2006-02-17,37.42
2006-02-21,37.33
2006-02-22,38.64
2006-02-23,39.46
2006-02-24,39.32
2006-02-27,39.78
2006-02-28,38.66
2006-03-01,39.01
2006-03-02,37.89
2006-03-03,37.4
2006-03-06,36.36
2006-03-07,37.1
2006-03-08,36.84
2006-03-09,36.83
2006-03-10,36.81
2006-03-13,37.23
2006-03-14,38.28
2006-03-15,38.58
2006-03-16,39.15
2006-03-17,39.02
2006-03-20,38.55
2006-03-21,37.33
2006-03-22,37.61
2006-03-23,37.44
2006-03-24,37.61
2006-03-27,37.79
2006-03-28,36.66
2006-03-29,36.48
2006-03-30,38.08
2006-03-31,38.3
2006-04-03,37.96
2006-04-04,38.25
2006-04-05,38.34
2006-04-06,38.19
2006-04-07,37.57
2006-04-10,38.58
2006-04-11,38.51
2006-04-12,38.72
2006-04-13,38.66
2006-04-17,38.53
2006-04-18,39.78
2006-04-19,40.51
2006-04-20,40.17
2006-04-21,40.05
2006-04-24,39.88
2006-04-25,40.14
2006-04-26,41.44
2006-04-27,42.5
2006-04-28,41.69
2006-05-01,41.43
2006-05-02,40.89
2006-05-03,40.91
2006-05-04,41.06
2006-05-05,41.27
2006-05-08,41.86
2006-05-09,42.24
2006-05-10,41.91
2006-05-11,41.19
2006-05-12,40.47
2006-05-15,40.81
2006-05-16,40.34
2006-05-17,38.71
2006-05-18,38.3
2006-05-19,38.21
2006-05-22,37.45
2006-05-23,37.64
2006-05-24,37.46
2006-05-25,37.85
2006-05-26,37.9
2006-05-30,37.94
2006-05-31,39.0
2006-06-01,39.74
2006-06-02,39.6
2006-06-05,38.53
2006-06-06,38.52
2006-06-07,38.64
2006-06-08,38.48
2006-06-09,37.98
2006-06-12,37.16
2006-06-13,35.24
2006-06-14,35.51
2006-06-15,35.74
2006-06-16,35.78
2006-06-19,35.95
2006-06-20,35.89
2006-06-21,36.06
2006-06-22,35.78
2006-06-23,35.73
2006-06-26,36.35
2006-06-27,35.66
2006-06-28,36.0
2006-06-29,37.68
2006-06-30,38.06
2006-07-03,38.53
2006-07-05,36.91
2006-07-06,37.4
2006-07-07,36.35
2006-07-10,36.41
2006-07-11,36.27
2006-07-12,35.6
2006-07-13,35.38
2006-07-14,35.18
2006-07-17,35.3
2006-07-18,35.56
2006-07-19,37.02
2006-07-20,36.19
2006-07-21,35.32
2006-07-24,35.96
2006-07-25,36.45
2006-07-26,37.77
2006-07-27,37.28
2006-07-28,37.95
2006-07-31,38.0
2006-08-01,38.04
2006-08-02,39.19
2006-08-03,38.93
2006-08-04,38.36
2006-08-07,37.96
2006-08-08,37.65
2006-08-09,38.0
2006-08-10,38.13
2006-08-11,37.95
2006-08-14,37.57
2006-08-15,38.35
2006-08-16,38.79
2006-08-17,38.53
2006-08-18,38.49
2006-08-21,38.99
2006-08-22,39.11
2006-08-23,38.97
2006-08-24,38.74
2006-08-25,38.39
2006-08-28,38.84
2006-08-29,38.56
2006-08-30,38.64
2006-08-31,39.06
2006-09-01,38.77
2006-09-05,39.43
2006-09-06,38.09
2006-09-07,37.89
2006-09-08,37.99
2006-09-11,37.58
2006-09-12,38.65
2006-09-13,38.88
2006-09-14,39.2
2006-09-15,39.97
2006-09-18,40.11
2006-09-19,40.22
2006-09-20,39.94
2006-09-21,39.82
2006-09-22,39.47
2006-09-25,39.64
2006-09-26,40.05
2006-09-27,39.86
2006-09-28,39.83
2006-09-29,40.05
2006-10-02,40.52
2006-10-03,40.8
2006-10-04,41.71
2006-10-05,41.68
2006-10-06,41.71
2006-10-09,41.48
2006-10-10,41.39
2006-10-11,41.16
2006-10-12,41.59
2006-10-13,41.62
2006-10-16,42.1
2006-10-17,42.19
2006-10-18,42.33
2006-10-19,42.1
2006-10-20,42.66
2006-10-23,42.31
2006-10-24,42.36
2006-10-25,43.46
2006-10-26,43.51
2006-10-27,43.56
2006-10-30,44.37
2006-10-31,43.98
2006-11-01,43.18
2006-11-02,42.87
2006-11-03,43.0
2006-11-06,44.64
2006-11-07,44.78
2006-11-08,44.72
2006-11-09,43.8
2006-11-10,43.82
2006-11-13,44.21
2006-11-14,45.26
2006-11-15,45.31
2006-11-16,45.89
2006-11-17,45.71
2006-11-20,46.37
2006-11-21,46.15
2006-11-22,46.17
2006-11-24,45.68
2006-11-27,44.56
2006-11-28,45.08
2006-11-29,45.37
2006-11-30,46.31
2006-12-01,45.94
2006-12-04,46.72
2006-12-05,47.08
2006-12-06,46.73
2006-12-07,46.95
2006-12-08,47.33
2006-12-11,47.02
2006-12-12,47.05
2006-12-13,46.88
2006-12-14,46.88
2006-12-15,46.86
2006-12-18,47.16
2006-12-19,47.08
2006-12-20,47.0
2006-12-21,46.83
2006-12-22,46.78
2006-12-26,46.93
2006-12-27,46.92
2006-12-28,46.86
2006-12-29,46.65
2007-01-03,47.26
2007-01-04,47.57
2007-01-05,47.5
2007-01-08,48.09
2007-01-09,48.39
2007-01-10,48.58
2007-01-11,49.48
2007-01-12,49.63
2007-01-16,49.7
2007-01-17,49.68
2007-01-18,49.34
2007-01-19,49.3
2007-01-22,48.71
2007-01-23,49.3
2007-01-24,50.38
2007-01-25,49.17
2007-01-26,50.05
2007-01-29,49.24
2007-01-30,50.27
2007-01-31,50.46
2007-02-01,50.63
2007-02-02,51.25
2007-02-05,51.44
2007-02-06,52.49
2007-02-07,52.63
2007-02-08,52.59
2007-02-09,51.54
2007-02-12,51.67
2007-02-13,52.41
