Date,Price
1998-02-27,16.55
1998-03-02,16.43
1998-03-03,16.31
1998-03-04,15.0
1998-03-05,15.36
1998-03-06,15.36
1998-03-09,15.12
1998-03-10,15.48
1998-03-11,15.48
1998-03-12,15.6
1998-03-13,15.72
1998-03-16,15.36
1998-03-17,15.12
1998-03-18,15.36
1998-03-19,16.31
1998-03-20,16.91
1998-03-23,17.98
1998-03-24,18.81
1998-03-25,18.93
1998-03-26,18.69
1998-03-27,18.34
1998-03-30,18.93
1998-03-31,19.17
1998-04-01,19.53
1998-04-02,22.15
1998-04-03,23.58
1998-04-06,22.86
1998-04-07,21.07
1998-04-08,21.43
1998-04-09,21.91
1998-04-13,21.55
1998-04-14,21.67
1998-04-15,20.72
1998-04-16,20.24
1998-04-17,20.6
1998-04-20,21.07
1998-04-21,21.07
1998-04-22,21.91
1998-04-23,22.38
1998-04-24,20.96
1998-04-27,19.88
1998-04-28,20.48
1998-04-29,21.43
1998-04-30,21.91
1998-05-01,21.07
1998-05-04,20.6
1998-05-05,20.24
1998-05-06,20.96
1998-05-07,20.36
1998-05-08,21.55
1998-05-11,21.31
1998-05-12,20.96
1998-05-13,21.31
1998-05-14,21.43
1998-05-15,20.96
1998-05-18,20.48
1998-05-19,20.96
1998-05-20,20.0
1998-05-21,20.12
1998-05-22,19.65
1998-05-26,18.57
1998-05-27,18.34
1998-05-28,19.53
1998-05-29,21.43
1998-06-01,21.07
1998-06-02,21.31
1998-06-03,19.77
1998-06-04,19.77
1998-06-05,21.79
1998-06-08,21.91
1998-06-09,21.31
1998-06-10,21.79
1998-06-11,21.91
1998-06-12,21.49
1998-06-15,20.84
1998-06-16,20.72
1998-06-17,20.9
1998-06-18,20.48
1998-06-19,20.18
1998-06-22,20.12
1998-06-23,21.43
1998-06-24,21.91
1998-06-25,21.91
1998-06-26,22.27
1998-06-29,21.79
1998-06-30,23.75
1998-07-01,23.52
1998-07-02,22.86
1998-07-06,24.05
1998-07-07,24.65
1998-07-08,25.24
1998-07-09,24.71
1998-07-10,25.0
1998-07-13,25.96
1998-07-14,24.88
1998-07-15,25.66
1998-07-16,25.66
1998-07-17,25.72
1998-07-20,25.78
1998-07-21,26.14
1998-07-22,26.43
1998-07-23,26.67
1998-07-24,26.55
1998-07-27,25.3
1998-07-28,25.0
1998-07-29,25.0
1998-07-30,24.65
1998-07-31,22.86
1998-08-03,23.75
1998-08-04,21.91
1998-08-05,21.43
1998-08-06,21.79
1998-08-07,21.91
1998-08-10,22.15
1998-08-11,21.67
1998-08-12,22.92
1998-08-13,22.98
1998-08-14,22.44
1998-08-17,22.09
1998-08-18,21.25
1998-08-19,19.77
1998-08-20,19.17
1998-08-21,19.29
1998-08-24,19.05
1998-08-25,19.05
1998-08-26,18.57
1998-08-27,17.21
1998-08-28,16.19
1998-08-31,15.0
1998-09-01,16.19
1998-09-02,18.34
1998-09-03,17.98
1998-09-04,17.74
1998-09-08,19.05
1998-09-09,19.88
1998-09-10,20.0
1998-09-11,21.07
1998-09-14,21.91
1998-09-15,21.85
1998-09-16,22.15
1998-09-17,21.25
1998-09-18,21.13
1998-09-21,21.07
1998-09-22,21.07
1998-09-23,21.61
1998-09-24,21.91
1998-09-25,21.79
1998-09-28,21.79
1998-09-29,21.91
1998-09-30,24.29
1998-10-01,23.28
1998-10-02,22.33
1998-10-05,19.05
1998-10-06,17.5
1998-10-07,15.18
1998-10-08,13.69
1998-10-09,12.86
1998-10-12,15.6
1998-10-13,15.48
1998-10-14,16.19
1998-10-15,17.86
1998-10-16,17.98
1998-10-19,17.98
1998-10-20,17.92
1998-10-21,19.05
1998-10-22,19.88
1998-10-23,19.65
1998-10-26,20.36
1998-10-27,20.84
1998-10-28,21.19
1998-10-29,19.88
1998-10-30,20.84
1998-11-02,21.19
1998-11-03,19.77
1998-11-04,20.3
1998-11-05,19.94
1998-11-06,19.77
1998-11-09,18.81
1998-11-10,18.93
1998-11-11,18.51
1998-11-12,17.38
1998-11-13,18.1
1998-11-16,21.43
1998-11-17,20.96
1998-11-18,20.84
1998-11-19,21.61
1998-11-20,21.73
1998-11-23,22.44
1998-11-24,23.28
1998-11-25,22.21
1998-11-27,22.33
1998-11-30,22.03
1998-12-01,22.62
1998-12-02,22.86
1998-12-03,22.92
1998-12-04,24.23
1998-12-07,25.12
1998-12-08,24.41
1998-12-09,24.53
1998-12-10,24.53
1998-12-11,24.59
1998-12-14,23.22
1998-12-15,22.86
1998-12-16,22.8
1998-12-17,23.93
1998-12-18,24.41
1998-12-21,25.24
1998-12-22,24.77
1998-12-23,25.96
1998-12-24,26.02
1998-12-28,27.15
1998-12-29,27.39
1998-12-30,27.68
1998-12-31,28.16
1999-01-04,27.39
1999-01-05,26.85
1999-01-06,27.44
1999-01-07,27.27
1999-01-08,26.79
1999-01-11,26.37
1999-01-12,26.49
1999-01-13,25.9
1999-01-14,25.78
1999-01-15,26.91
1999-01-19,28.46
1999-01-20,28.4
1999-01-21,27.03
1999-01-22,26.25
1999-01-25,26.19
1999-01-26,25.6
1999-01-27,24.88
1999-01-28,24.05
1999-01-29,24.53
1999-02-01,25.36
1999-02-02,24.65
1999-02-03,24.41
1999-02-04,25.06
1999-02-05,25.0
1999-02-08,25.24
1999-02-09,24.29
1999-02-10,23.69
1999-02-11,24.35
1999-02-12,24.17
1999-02-16,24.17
1999-02-17,24.41
1999-02-18,25.0
1999-02-19,25.36
1999-02-22,25.18
1999-02-23,24.71
1999-02-24,24.53
1999-02-25,25.3
1999-02-26,25.54
1999-03-01,24.53
1999-03-02,23.93
1999-03-03,24.53
1999-03-04,25.06
1999-03-05,24.47
1999-03-08,24.88
1999-03-09,24.77
1999-03-10,23.81
1999-03-11,23.28
1999-03-12,23.1
1999-03-15,22.74
1999-03-16,23.1
1999-03-17,22.56
1999-03-18,21.07
1999-03-19,22.15
1999-03-22,20.84
1999-03-23,20.42
1999-03-24,20.18
1999-03-25,20.6
1999-03-26,20.84
1999-03-29,22.15
1999-03-30,22.68
1999-03-31,23.34
1999-04-01,23.22
1999-04-05,24.65
1999-04-06,24.88
1999-04-07,24.35
1999-04-08,24.23
1999-04-09,23.99
1999-04-12,24.35
1999-04-13,22.98
1999-04-14,22.44
1999-04-15,21.61
1999-04-16,21.79
1999-04-19,19.77
1999-04-20,20.84
1999-04-21,23.69
1999-04-22,23.34
1999-04-23,22.98
1999-04-26,22.86
1999-04-27,22.03
1999-04-28,21.43
1999-04-29,21.19
1999-04-30,20.18
1999-05-03,20.36
1999-05-04,21.13
1999-05-05,20.0
1999-05-06,21.97
1999-05-07,20.9
1999-05-10,21.25
1999-05-11,22.33
1999-05-12,24.77
1999-05-13,24.71
1999-05-14,23.1
1999-05-17,23.16
1999-05-18,23.4
1999-05-19,23.04
1999-05-20,22.92
1999-05-21,23.04
1999-05-24,21.67
1999-05-25,21.55
1999-05-26,21.43
1999-05-27,21.37
1999-05-28,21.43
1999-06-01,21.43
1999-06-02,21.49
1999-06-03,22.15
1999-06-04,23.69
1999-06-07,23.16
1999-06-08,23.1
1999-06-09,23.35
1999-06-10,23.34
1999-06-11,22.86
1999-06-14,22.8
1999-06-15,23.1
1999-06-16,24.47
1999-06-17,24.77
1999-06-18,24.59
1999-06-21,24.41
1999-06-22,23.58
1999-06-23,23.46
1999-06-24,22.62
1999-06-25,22.38
1999-06-28,22.15
1999-06-29,22.62
1999-06-30,22.86
1999-07-01,24.47
1999-07-02,24.29
1999-07-06,23.16
1999-07-07,22.44
1999-07-08,22.62
1999-07-09,22.98
1999-07-12,23.69
1999-07-13,23.34
1999-07-14,23.34
1999-07-15,23.81
1999-07-16,24.05
1999-07-19,24.11
1999-07-20,22.68
1999-07-21,22.03
1999-07-22,21.97
1999-07-23,22.56
1999-07-26,22.09
1999-07-27,21.67
1999-07-28,21.61
1999-07-29,21.85
1999-07-30,22.09
1999-08-02,21.79
1999-08-03,20.96
1999-08-04,20.78
1999-08-05,20.96
1999-08-06,20.72
1999-08-09,20.3
1999-08-10,19.29
1999-08-11,19.53
1999-08-12,19.17
1999-08-13,19.35
1999-08-16,20.18
1999-08-17,21.91
1999-08-18,21.85
1999-08-19,22.09
1999-08-20,22.98
1999-08-23,22.62
1999-08-24,22.56
1999-08-25,22.74
1999-08-26,22.86
1999-08-27,22.8
1999-08-30,22.44
1999-08-31,21.67
1999-09-01,22.33
1999-09-02,22.44
1999-09-03,22.74
1999-09-07,22.44
1999-09-08,22.27
1999-09-09,21.97
1999-09-10,21.85
1999-09-13,21.67
1999-09-14,22.21
1999-09-15,22.03
1999-09-16,23.16
1999-09-17,23.28
1999-09-20,23.22
1999-09-21,21.91
1999-09-22,21.19
1999-09-23,20.48
1999-09-24,20.66
1999-09-27,19.17
1999-09-28,19.05
1999-09-29,18.57
1999-09-30,18.69
1999-10-01,18.4
1999-10-04,18.22
1999-10-05,18.04
1999-10-06,18.81
1999-10-07,18.87
1999-10-08,18.16
1999-10-11,18.87
1999-10-12,18.28
1999-10-13,17.92
1999-10-14,17.74
1999-10-15,17.15
1999-10-18,17.15
1999-10-19,17.21
1999-10-20,17.62
1999-10-21,17.03
1999-10-22,17.15
1999-10-25,16.97
1999-10-26,16.43
1999-10-27,16.61
1999-10-28,17.74
1999-10-29,18.16
1999-11-01,18.04
1999-11-02,18.46
1999-11-03,18.81
1999-11-04,18.99
1999-11-05,19.77
1999-11-08,20.06
1999-11-09,21.79
1999-11-10,22.21
1999-11-11,22.68
1999-11-12,22.38
1999-11-15,23.34
1999-11-16,24.29
1999-11-17,24.41
1999-11-18,25.78
1999-11-19,25.6
1999-11-22,25.6
1999-11-23,24.71
1999-11-24,24.65
1999-11-26,25.0
1999-11-29,25.3
1999-11-30,24.88
1999-12-01,25.24
1999-12-02,25.24
1999-12-03,25.84
1999-12-06,25.72
1999-12-07,26.19
1999-12-08,26.67
1999-12-09,27.39
1999-12-10,27.62
1999-12-13,27.33
1999-12-14,26.43
1999-12-15,29.35
1999-12-16,28.75
1999-12-17,30.24
1999-12-20,30.42
1999-12-21,29.17
1999-12-22,28.75
1999-12-23,29.23
1999-12-27,28.22
1999-12-28,28.64
1999-12-29,29.83
1999-12-30,29.41
1999-12-31,29.11
2000-01-03,27.92
2000-01-04,27.62
2000-01-05,28.46
2000-01-06,28.16
2000-01-07,29.71
2000-01-10,32.33
2000-01-11,34.77
2000-01-12,36.2
2000-01-13,35.24
2000-01-14,36.32
2000-01-18,36.61
2000-01-19,37.15
2000-01-20,38.58
2000-01-21,41.08
2000-01-24,40.01
2000-01-25,39.35
2000-01-26,37.86
2000-01-27,36.55
2000-01-28,36.02
2000-01-31,34.17
2000-02-01,36.91
2000-02-02,37.39
2000-02-03,38.1
2000-02-04,38.52
2000-02-07,36.79
2000-02-08,40.01
2000-02-09,39.89
2000-02-10,41.85
2000-02-11,42.15
2000-02-14,42.74
2000-02-15,43.46
2000-02-16,43.82
2000-02-17,42.86
2000-02-18,40.72
2000-02-22,39.05
2000-02-23,41.26
2000-02-24,40.96
2000-02-25,40.48
2000-02-28,43.04
2000-02-29,46.91
2000-03-01,46.56
2000-03-02,46.2
2000-03-03,48.46
2000-03-06,48.58
2000-03-07,47.27
2000-03-08,51.38
2000-03-09,51.08
2000-03-10,52.21
2000-03-13,51.2
2000-03-14,47.15
2000-03-15,42.51
2000-03-16,42.86
2000-03-17,48.34
2000-03-20,45.72
2000-03-21,45.6
2000-03-22,50.48
2000-03-23,49.71
2000-03-24,49.53
2000-03-27,47.92
2000-03-28,48.52
2000-03-29,47.51
2000-03-30,47.63
2000-03-31,47.03
2000-04-03,42.98
2000-04-04,41.85
2000-04-05,44.47
2000-04-06,47.63
2000-04-07,47.45
2000-04-10,44.53
2000-04-11,43.46
2000-04-12,41.2
2000-04-13,39.77
2000-04-14,38.28
2000-04-17,39.53
2000-04-18,41.67
2000-04-19,42.92
2000-04-20,43.1
2000-04-24,40.9
2000-04-25,40.96
2000-04-26,42.63
2000-04-27,42.21
2000-04-28,44.35
2000-05-01,44.17
2000-05-02,43.52
2000-05-03,40.66
2000-05-04,41.26
2000-05-05,43.1
2000-05-08,42.98
2000-05-09,41.67
2000-05-10,38.99
2000-05-11,38.52
2000-05-12,39.83
2000-05-15,39.05
2000-05-16,41.73
2000-05-17,42.69
2000-05-18,42.15
2000-05-19,40.96
2000-05-22,39.11
2000-05-23,37.39
2000-05-24,36.73
2000-05-25,37.92
2000-05-26,37.33
2000-05-30,35.9
2000-05-31,35.36
2000-06-01,36.79
2000-06-02,39.41
2000-06-05,41.49
2000-06-06,41.44
2000-06-07,40.42
2000-06-08,39.83
2000-06-09,39.77
2000-06-12,39.05
2000-06-13,38.76
2000-06-14,39.23
2000-06-15,40.01
2000-06-16,39.95
2000-06-19,39.35
2000-06-20,39.65
2000-06-21,40.48
2000-06-22,39.29
2000-06-23,39.05
2000-06-26,39.11
2000-06-27,38.93
2000-06-28,38.93
2000-06-29,39.23
2000-06-30,39.71
2000-07-03,40.01
2000-07-05,40.07
2000-07-06,40.6
2000-07-07,41.67
2000-07-10,44.29
2000-07-11,43.82
2000-07-12,45.19
2000-07-13,44.29
2000-07-14,43.58
2000-07-17,42.03
2000-07-18,42.39
2000-07-19,42.39
2000-07-20,42.98
2000-07-21,42.51
2000-07-24,44.17
2000-07-25,43.22
2000-07-26,42.51
2000-07-27,41.55
2000-07-28,39.83
2000-07-31,40.84
2000-08-01,40.9
2000-08-02,41.08
2000-08-03,41.38
2000-08-04,42.69
2000-08-07,42.27
2000-08-08,41.61
2000-08-09,41.49
2000-08-10,39.89
2000-08-11,39.89
2000-08-14,40.72
2000-08-15,40.96
2000-08-16,41.2
2000-08-17,40.54
2000-08-18,43.34
2000-08-21,42.74
2000-08-22,40.48
2000-08-23,41.49
2000-08-24,41.14
2000-08-25,41.26
2000-08-28,38.82
2000-08-29,39.05
2000-08-30,36.49
2000-08-31,34.65
2000-09-01,36.08
2000-09-05,34.89
2000-09-06,36.02
2000-09-07,35.9
2000-09-08,35.6
2000-09-11,35.48
2000-09-12,34.65
2000-09-13,33.93
2000-09-14,34.29
2000-09-15,33.52
2000-09-18,32.33
2000-09-19,32.39
2000-09-20,31.43
2000-09-21,29.17
2000-09-22,29.53
2000-09-25,32.03
2000-09-26,31.43
2000-09-27,33.34
2000-09-28,35.12
2000-09-29,35.9
2000-10-02,35.84
2000-10-03,36.08
2000-10-04,35.96
2000-10-05,35.12
2000-10-06,33.34
2000-10-09,33.93
2000-10-10,34.77
2000-10-11,33.87
2000-10-12,33.16
2000-10-13,35.36
2000-10-16,36.67
2000-10-17,34.59
2000-10-18,32.39
2000-10-19,34.17
2000-10-20,34.17
2000-10-23,33.58
2000-10-24,33.28
2000-10-25,32.15
2000-10-26,30.48
2000-10-27,35.6
2000-10-30,37.15
2000-10-31,38.99
2000-11-01,39.05
2000-11-02,40.13
2000-11-03,39.89
2000-11-06,39.11
2000-11-07,37.39
2000-11-08,38.52
2000-11-09,37.27
2000-11-10,36.79
2000-11-13,35.24
2000-11-14,36.2
2000-11-15,38.88
2000-11-16,36.37
2000-11-17,34.47
2000-11-20,32.21
2000-11-21,31.43
2000-11-22,30.36
2000-11-24,31.91
2000-11-27,32.92
2000-11-28,30.36
2000-11-29,29.83
2000-11-30,28.7
2000-12-01,29.23
2000-12-04,28.93
2000-12-05,33.1
2000-12-06,33.4
2000-12-07,31.91
2000-12-08,36.26
2000-12-11,36.91
2000-12-12,37.15
2000-12-13,35.78
2000-12-14,34.17
2000-12-15,34.05
2000-12-18,33.28
2000-12-19,32.09
2000-12-20,33.34
2000-12-21,32.15
2000-12-22,33.46
2000-12-26,33.99
2000-12-27,34.53
2000-12-28,35.54
2000-12-29,36.08
2001-01-02,34.53
2001-01-03,37.21
2001-01-04,37.68
2001-01-05,34.41
2001-01-08,34.35
2001-01-09,33.81
2001-01-10,35.42
2001-01-11,39.05
2001-01-12,38.1
2001-01-16,36.32
2001-01-17,37.39
2001-01-18,34.53
2001-01-19,34.23
2001-01-22,33.4
2001-01-23,34.47
2001-01-24,33.7
2001-01-25,34.41
2001-01-26,34.89
2001-01-29,34.43
2001-01-30,34.62
2001-01-31,34.48
2001-02-01,35.22
2001-02-02,33.65
2001-02-05,33.41
2001-02-06,34.48
2001-02-07,33.9
2001-02-08,32.87
2001-02-09,31.52
2001-02-12,31.37
2001-02-13,31.57
2001-02-14,31.39
2001-02-15,32.43
2001-02-16,31.43
2001-02-20,30.59
2001-02-21,30.67
2001-02-22,29.79
2001-02-23,28.22
2001-02-26,30.2
2001-02-27,27.81
2001-02-28,27.57
2001-03-01,26.43
2001-03-02,26.39
2001-03-05,26.29
2001-03-06,27.06
2001-03-07,26.58
2001-03-08,26.24
2001-03-09,25.21
2001-03-12,22.96
2001-03-13,21.61
2001-03-14,20.96
2001-03-15,20.76
2001-03-16,20.1
2001-03-19,20.19
2001-03-20,19.77
2001-03-21,19.4
2001-03-22,18.53
2001-03-23,19.19
2001-03-26,19.29
2001-03-27,20.48
2001-03-28,19.25
2001-03-29,18.34
2001-03-30,17.62
2001-04-02,17.54
2001-04-03,13.76
2001-04-04,13.82
2001-04-05,16.18
2001-04-06,14.24
2001-04-09,14.67
2001-04-10,16.19
2001-04-11,17.29
2001-04-12,19.57
2001-04-16,19.34
2001-04-17,22.0
2001-04-18,23.98
2001-04-19,25.0
2001-04-20,25.4
2001-04-23,23.73
2001-04-24,23.43
