Date,Price
1992-03-03,5.47
1992-03-04,5.59
1992-03-05,5.47
1992-03-06,5.53
1992-03-09,5.53
1992-03-10,5.3
1992-03-11,5.3
1992-03-12,5.36
1992-03-13,5.08
1992-03-16,5.19
1992-03-17,5.19
1992-03-18,4.96
1992-03-19,5.13
1992-03-20,4.96
1992-03-23,4.85
1992-03-24,4.85
1992-03-25,5.08
1992-03-26,4.85
1992-03-27,4.74
1992-03-30,4.57
1992-03-31,4.63
1992-04-01,4.46
1992-04-02,4.46
1992-04-03,4.29
1992-04-06,4.34
1992-04-07,4.4
1992-04-08,4.01
1992-04-09,4.29
1992-04-10,4.46
1992-04-13,4.4
1992-04-14,4.4
1992-04-15,4.34
1992-04-16,4.18
1992-04-20,4.18
1992-04-21,4.12
1992-04-22,4.12
1992-04-23,4.06
1992-04-24,4.06
1992-04-27,3.84
1992-04-28,3.89
1992-04-29,3.89
1992-04-30,3.89
1992-05-01,3.89
1992-05-04,3.84
1992-05-05,3.89
1992-05-06,3.84
1992-05-07,3.95
1992-05-08,4.23
1992-05-11,4.34
1992-05-12,4.29
1992-05-13,4.01
1992-05-14,3.84
1992-05-15,4.01
1992-05-18,4.01
1992-05-19,3.84
1992-05-20,3.84
1992-05-21,3.84
1992-05-22,3.84
1992-05-26,3.95
1992-05-27,3.84
1992-05-28,3.72
1992-05-29,3.67
1992-06-01,3.61
1992-06-02,3.67
1992-06-03,3.84
1992-06-04,3.84
1992-06-05,3.84
1992-06-08,3.67
1992-06-09,3.78
1992-06-10,3.84
1992-06-11,3.84
1992-06-12,3.84
1992-06-15,3.39
1992-06-16,3.39
1992-06-17,2.99
1992-06-18,2.99
1992-06-19,3.05
1992-06-22,3.1
1992-06-23,3.27
1992-06-24,3.27
1992-06-25,3.22
1992-06-26,3.22
1992-06-29,3.33
1992-06-30,3.27
1992-07-01,3.33
1992-07-02,3.44
1992-07-06,3.44
1992-07-07,3.33
1992-07-08,3.39
1992-07-09,3.39
1992-07-10,3.39
1992-07-13,3.61
1992-07-14,3.84
1992-07-15,4.06
1992-07-16,4.06
1992-07-17,3.84
1992-07-20,4.01
1992-07-21,4.01
1992-07-22,3.95
1992-07-23,3.89
1992-07-24,3.84
1992-07-27,3.84
1992-07-28,3.84
1992-07-29,3.84
1992-07-30,3.84
1992-07-31,3.78
1992-08-03,3.95
1992-08-04,4.01
1992-08-05,3.95
1992-08-06,3.89
1992-08-07,3.89
1992-08-10,3.89
1992-08-11,3.84
1992-08-12,3.84
1992-08-13,3.84
1992-08-14,3.84
1992-08-17,3.89
1992-08-18,3.72
1992-08-19,3.72
1992-08-20,3.5
1992-08-21,3.39
1992-08-24,3.39
1992-08-25,3.33
1992-08-26,3.33
1992-08-27,3.27
1992-08-28,3.27
1992-08-31,3.22
1992-09-01,3.22
1992-09-02,3.22
1992-09-03,3.16
