Date,Price
1990-01-02,6.02
1990-01-03,6.1
1990-01-04,5.76
1990-01-05,5.59
1990-01-08,5.93
1990-01-09,5.71
1990-01-10,5.71
1990-01-11,5.76
1990-01-12,5.63
1990-01-15,5.59
1990-01-16,5.67
1990-01-17,5.71
1990-01-18,5.5
1990-01-19,5.71
1990-01-22,5.63
1990-01-23,5.46
1990-01-24,5.15
1990-01-25,5.28
1990-01-26,5.33
1990-01-29,5.2
1990-01-30,5.11
1990-01-31,5.28
1990-02-01,5.63
1990-02-02,5.63
1990-02-05,5.59
1990-02-06,5.71
1990-02-07,5.93
1990-02-08,5.93
1990-02-09,6.02
1990-02-12,5.89
1990-02-13,5.89
1990-02-14,5.93
1990-02-15,5.93
1990-02-16,5.76
1990-02-20,5.63
1990-02-21,5.67
1990-02-22,5.5
1990-02-23,5.33
1990-02-26,5.24
1990-02-27,5.37
1990-02-28,5.37
1990-03-01,5.5
1990-03-02,5.41
1990-03-05,5.41
1990-03-06,5.46
1990-03-07,5.59
1990-03-08,5.54
1990-03-09,5.24
1990-03-12,5.15
1990-03-13,5.28
1990-03-14,5.2
1990-03-15,5.2
1990-03-16,5.11
1990-03-19,5.15
1990-03-20,5.11
1990-03-21,5.24
1990-03-22,5.24
1990-03-23,5.5
1990-03-26,5.57
1990-03-27,5.52
1990-03-28,5.61
1990-03-29,5.7
1990-03-30,5.65
1990-04-02,5.57
1990-04-03,5.57
1990-04-04,5.48
1990-04-05,5.48
1990-04-06,5.61
1990-04-09,5.44
1990-04-10,5.39
1990-04-11,5.31
1990-04-12,5.44
1990-04-16,5.09
1990-04-17,5.17
1990-04-18,5.22
1990-04-19,5.22
1990-04-20,5.04
1990-04-23,4.91
1990-04-24,4.87
1990-04-25,4.91
1990-04-26,5.04
1990-04-27,5.09
1990-04-30,5.22
1990-05-01,5.35
1990-05-02,5.26
1990-05-03,5.31
1990-05-04,5.22
1990-05-07,5.17
1990-05-08,5.13
1990-05-09,5.04
1990-05-10,5.09
1990-05-11,5.39
1990-05-14,5.52
1990-05-15,5.52
1990-05-16,5.44
1990-05-17,5.44
1990-05-18,5.44
1990-05-21,5.57
1990-05-22,5.44
1990-05-23,5.35
1990-05-24,5.22
1990-05-25,5.22
1990-05-29,5.17
1990-05-30,5.13
1990-05-31,5.31
1990-06-01,5.44
1990-06-04,5.39
1990-06-05,5.35
1990-06-06,5.26
1990-06-07,5.22
1990-06-08,5.13
1990-06-11,5.22
1990-06-12,5.26
1990-06-13,5.44
1990-06-14,5.35
1990-06-15,5.35
1990-06-18,5.26
1990-06-19,5.13
1990-06-20,5.13
1990-06-21,5.22
1990-06-22,5.26
1990-06-25,5.2
1990-06-26,5.24
1990-06-27,5.2
1990-06-28,5.16
1990-06-29,5.2
1990-07-02,5.24
1990-07-03,5.24
1990-07-05,5.11
1990-07-06,5.16
1990-07-09,5.33
1990-07-10,5.33
1990-07-11,5.24
1990-07-12,5.5
1990-07-13,5.59
1990-07-16,5.59
1990-07-17,5.5
1990-07-18,5.33
1990-07-19,5.59
1990-07-20,5.68
1990-07-23,5.46
1990-07-24,5.99
1990-07-25,5.81
1990-07-26,5.9
1990-07-27,5.85
1990-07-30,5.85
1990-07-31,5.9
1990-08-01,5.9
1990-08-02,6.03
1990-08-03,6.29
1990-08-06,5.94
1990-08-07,6.07
1990-08-08,5.9
1990-08-09,5.85
1990-08-10,5.9
1990-08-13,5.85
1990-08-14,6.03
1990-08-15,6.07
1990-08-16,6.16
1990-08-17,5.9
1990-08-20,6.2
1990-08-21,6.07
1990-08-22,6.03
1990-08-23,5.77
1990-08-24,5.81
1990-08-27,5.94
1990-08-28,5.81
1990-08-29,5.85
1990-08-30,5.72
1990-08-31,5.85
1990-09-04,5.77
1990-09-05,5.94
1990-09-06,6.25
1990-09-07,6.25
1990-09-10,6.16
1990-09-11,6.51
1990-09-12,6.64
1990-09-13,6.68
1990-09-14,6.77
1990-09-17,6.77
1990-09-18,6.64
1990-09-19,6.86
1990-09-20,6.77
1990-09-21,7.08
1990-09-24,7.01
1990-09-25,6.97
1990-09-26,6.66
1990-09-27,6.66
1990-09-28,6.93
1990-10-01,5.96
1990-10-02,6.62
1990-10-03,6.53
1990-10-04,6.58
1990-10-05,6.49
1990-10-08,6.36
1990-10-09,6.36
1990-10-10,6.14
1990-10-11,5.83
1990-10-12,5.74
1990-10-15,5.87
1990-10-16,5.79
1990-10-17,5.66
1990-10-18,5.79
1990-10-19,5.61
1990-10-22,5.52
1990-10-23,5.66
1990-10-24,5.79
1990-10-25,6.05
1990-10-26,5.96
1990-10-29,5.87
1990-10-30,5.7
1990-10-31,5.66
1990-11-01,5.79
1990-11-02,5.96
1990-11-05,5.92
1990-11-06,5.92
1990-11-07,5.92
1990-11-08,5.83
1990-11-09,5.96
1990-11-12,5.87
1990-11-13,5.87
1990-11-14,5.83
1990-11-15,5.79
1990-11-16,5.74
1990-11-19,5.7
1990-11-20,5.52
1990-11-21,5.39
1990-11-23,5.48
1990-11-26,5.66
1990-11-27,5.74
1990-11-28,5.87
1990-11-29,5.96
1990-11-30,5.92
1990-12-03,5.87
1990-12-04,5.87
1990-12-05,5.74
1990-12-06,5.48
1990-12-07,5.61
1990-12-10,5.35
1990-12-11,5.3
1990-12-12,5.44
1990-12-13,5.48
1990-12-14,5.48
1990-12-17,5.48
1990-12-18,5.22
1990-12-19,5.04
1990-12-20,5.0
1990-12-21,4.82
1990-12-24,4.8
1990-12-26,4.8
1990-12-27,4.94
1990-12-28,5.11
1990-12-31,5.16
1991-01-02,5.16
1991-01-03,4.98
1991-01-04,5.02
