Date,Price
1991-11-08,0.56
1991-11-11,0.56
1991-11-12,0.56
1991-11-13,0.54
1991-11-14,0.53
1991-11-15,0.5
1991-11-18,0.47
1991-11-19,0.47
1991-11-20,0.47
1991-11-21,0.45
1991-11-22,0.43
1991-11-25,0.44
1991-11-26,0.44
1991-11-27,0.46
1991-11-29,0.47
1991-12-02,0.47
1991-12-03,0.49
1991-12-04,0.5
1991-12-05,0.52
1991-12-06,0.52
1991-12-09,0.51
1991-12-10,0.49
1991-12-11,0.47
1991-12-12,0.49
1991-12-13,0.5
1991-12-16,0.5
1991-12-17,0.49
1991-12-18,0.47
1991-12-19,0.47
1991-12-20,0.47
1991-12-23,0.49
1991-12-24,0.52
1991-12-26,0.54
1991-12-27,0.54
1991-12-30,0.53
1991-12-31,0.54
1992-01-02,0.53
1992-01-03,0.54
1992-01-06,0.56
1992-01-07,0.57
1992-01-08,0.59
1992-01-09,0.58
1992-01-10,0.58
1992-01-13,0.59
1992-01-14,0.59
1992-01-15,0.59
1992-01-16,0.61
1992-01-17,0.61
1992-01-20,0.59
1992-01-21,0.58
1992-01-22,0.56
1992-01-23,0.56
1992-01-24,0.56
1992-01-27,0.56
1992-01-28,0.56
1992-01-29,0.55
1992-01-30,0.56
1992-01-31,0.55
1992-02-03,0.56
1992-02-04,0.52
1992-02-05,0.5
1992-02-06,0.5
1992-02-07,0.52
1992-02-10,0.51
1992-02-11,0.5
1992-02-12,0.51
1992-02-13,0.51
1992-02-14,0.5
1992-02-18,0.5
1992-02-19,0.48
1992-02-20,0.48
1992-02-21,0.49
1992-02-24,0.47
1992-02-25,0.47
1992-02-26,0.5
1992-02-27,0.49
1992-02-28,0.5
1992-03-02,0.49
1992-03-03,0.49
1992-03-04,0.51
1992-03-05,0.5
1992-03-06,0.5
1992-03-09,0.49
1992-03-10,0.49
1992-03-11,0.47
1992-03-12,0.47
1992-03-13,0.47
1992-03-16,0.47
1992-03-17,0.47
1992-03-18,0.47
1992-03-19,0.46
1992-03-20,0.47
1992-03-23,0.48
1992-03-24,0.51
1992-03-25,0.5
1992-03-26,0.48
1992-03-27,0.5
1992-03-30,0.48
1992-03-31,0.49
1992-04-01,0.5
1992-04-02,0.49
1992-04-03,0.49
1992-04-06,0.49
1992-04-07,0.47
1992-04-08,0.47
1992-04-09,0.49
1992-04-10,0.49
1992-04-13,0.5
1992-04-14,0.49
1992-04-15,0.45
1992-04-16,0.45
1992-04-20,0.44
1992-04-21,0.44
1992-04-22,0.44
1992-04-23,0.45
1992-04-24,0.44
1992-04-27,0.47
1992-04-28,0.46
1992-04-29,0.46
1992-04-30,0.47
1992-05-01,0.47
1992-05-04,0.48
1992-05-05,0.46
1992-05-06,0.46
1992-05-07,0.47
1992-05-08,0.47
1992-05-11,0.47
1992-05-12,0.46
1992-05-13,0.45
1992-05-14,0.45
1992-05-15,0.44
1992-05-18,0.45
1992-05-19,0.45
1992-05-20,0.44
1992-05-21,0.45
1992-05-22,0.45
1992-05-26,0.47
1992-05-27,0.46
1992-05-28,0.45
1992-05-29,0.46
1992-06-01,0.47
1992-06-02,0.49
1992-06-03,0.48
1992-06-04,0.48
1992-06-05,0.46
1992-06-08,0.46
1992-06-09,0.46
1992-06-10,0.46
1992-06-11,0.47
1992-06-12,0.47
1992-06-15,0.46
1992-06-16,0.46
1992-06-17,0.45
1992-06-18,0.44
1992-06-19,0.44
1992-06-22,0.44
1992-06-23,0.41
1992-06-24,0.41
1992-06-25,0.41
1992-06-26,0.39
1992-06-29,0.42
1992-06-30,0.44
1992-07-01,0.42
1992-07-02,0.41
1992-07-06,0.4
1992-07-07,0.38
1992-07-08,0.38
1992-07-09,0.38
1992-07-10,0.38
1992-07-13,0.39
1992-07-14,0.41
1992-07-15,0.42
1992-07-16,0.4
1992-07-17,0.39
1992-07-20,0.4
1992-07-21,0.38
1992-07-22,0.38
1992-07-23,0.39
1992-07-24,0.38
1992-07-27,0.38
1992-07-28,0.41
1992-07-29,0.42
1992-07-30,0.44
1992-07-31,0.43
1992-08-03,0.45
1992-08-04,0.44
1992-08-05,0.43
1992-08-06,0.42
1992-08-07,0.41
1992-08-10,0.41
1992-08-11,0.42
1992-08-12,0.41
1992-08-13,0.41
1992-08-14,0.41
1992-08-17,0.4
1992-08-18,0.41
1992-08-19,0.41
1992-08-20,0.39
1992-08-21,0.39
1992-08-24,0.38
1992-08-25,0.38
1992-08-26,0.39
1992-08-27,0.39
1992-08-28,0.38
1992-08-31,0.38
1992-09-01,0.41
1992-09-02,0.4
1992-09-03,0.4
1992-09-04,0.41
1992-09-08,0.41
1992-09-09,0.39
1992-09-10,0.41
1992-09-11,0.41
1992-09-14,0.43
1992-09-15,0.41
1992-09-16,0.41
1992-09-17,0.43
1992-09-18,0.43
1992-09-21,0.43
1992-09-22,0.42
1992-09-23,0.43
1992-09-24,0.43
1992-09-25,0.43
1992-09-28,0.42
1992-09-29,0.42
1992-09-30,0.42
1992-10-01,0.41
1992-10-02,0.41
1992-10-05,0.4
1992-10-06,0.4
1992-10-07,0.4
1992-10-08,0.38
1992-10-09,0.36
1992-10-12,0.36
1992-10-13,0.39
1992-10-14,0.4
1992-10-15,0.39
1992-10-16,0.37
1992-10-19,0.38
1992-10-20,0.37
1992-10-21,0.36
1992-10-22,0.35
1992-10-23,0.37
1992-10-26,0.35
1992-10-27,0.34
1992-10-28,0.32
1992-10-29,0.32
1992-10-30,0.32
1992-11-02,0.32
1992-11-03,0.32
1992-11-04,0.32
1992-11-05,0.32
1992-11-06,0.32
1992-11-09,0.35
1992-11-10,0.34
1992-11-11,0.35
1992-11-12,0.36
1992-11-13,0.34
1992-11-16,0.34
1992-11-17,0.33
1992-11-18,0.32
1992-11-19,0.32
1992-11-20,0.32
1992-11-23,0.32
1992-11-24,0.33
1992-11-25,0.33
1992-11-27,0.32
1992-11-30,0.32
1992-12-01,0.33
1992-12-02,0.33
1992-12-03,0.35
1992-12-04,0.35
1992-12-07,0.34
1992-12-08,0.34
1992-12-09,0.35
1992-12-10,0.38
1992-12-11,0.38
1992-12-14,0.38
1992-12-15,0.38
1992-12-16,0.38
1992-12-17,0.39
1992-12-18,0.38
1992-12-21,0.38
1992-12-22,0.37
1992-12-23,0.42
1992-12-24,0.44
1992-12-28,0.45
1992-12-29,0.44
1992-12-30,0.43
1992-12-31,0.42
1993-01-04,0.44
1993-01-05,0.44
1993-01-06,0.43
1993-01-07,0.41
1993-01-08,0.42
1993-01-11,0.43
1993-01-12,0.42
1993-01-13,0.43
1993-01-14,0.47
1993-01-15,0.46
1993-01-18,0.47
1993-01-19,0.47
1993-01-20,0.47
1993-01-21,0.47
1993-01-22,0.49
1993-01-25,0.5
1993-01-26,0.5
1993-01-27,0.5
1993-01-28,0.48
1993-01-29,0.47
1993-02-01,0.48
1993-02-02,0.49
1993-02-03,0.5
1993-02-04,0.5
1993-02-05,0.47
1993-02-08,0.47
1993-02-09,0.47
1993-02-10,0.5
1993-02-11,0.47
1993-02-12,0.48
1993-02-16,0.5
1993-02-17,0.5
1993-02-18,0.48
1993-02-19,0.5
1993-02-22,0.51
1993-02-23,0.5
1993-02-24,0.5
1993-02-25,0.51
1993-02-26,0.5
1993-03-01,0.49
1993-03-02,0.5
1993-03-03,0.5
1993-03-04,0.5
1993-03-05,0.5
