Date,Price
1990-01-02,5.72
1990-01-03,5.78
1990-01-04,5.72
1990-01-05,5.66
1990-01-08,5.62
1990-01-09,5.49
1990-01-10,5.45
1990-01-11,5.53
1990-01-12,5.41
1990-01-15,5.39
1990-01-16,5.31
1990-01-17,5.21
1990-01-18,5.21
1990-01-19,5.19
1990-01-22,5.0
1990-01-23,5.06
1990-01-24,5.02
1990-01-25,4.9
1990-01-26,4.9
1990-01-29,4.92
1990-01-30,4.86
1990-01-31,4.88
1990-02-01,4.92
1990-02-02,4.94
1990-02-05,4.94
1990-02-06,4.8
1990-02-07,4.92
1990-02-08,4.84
1990-02-09,4.8
1990-02-12,4.78
1990-02-13,4.8
1990-02-14,4.76
1990-02-15,4.67
1990-02-16,4.76
1990-02-20,4.63
1990-02-21,4.59
1990-02-22,4.53
1990-02-23,4.59
1990-02-26,4.71
1990-02-27,4.61
1990-02-28,4.78
1990-03-01,4.76
1990-03-02,4.82
1990-03-05,4.51
1990-03-06,4.47
1990-03-07,4.57
1990-03-08,4.57
1990-03-09,4.59
1990-03-12,4.59
1990-03-13,4.57
1990-03-14,4.63
1990-03-15,4.59
1990-03-16,4.65
1990-03-19,4.59
1990-03-20,4.53
1990-03-21,4.55
1990-03-22,4.37
1990-03-23,4.41
1990-03-26,4.41
1990-03-27,4.37
1990-03-28,4.33
1990-03-29,4.28
1990-03-30,4.22
1990-04-02,4.3
1990-04-03,4.32
1990-04-04,4.39
1990-04-05,4.41
1990-04-06,4.41
1990-04-09,4.43
1990-04-10,4.53
1990-04-11,4.61
1990-04-12,4.67
1990-04-16,4.74
1990-04-17,4.84
1990-04-18,4.78
1990-04-19,4.57
1990-04-20,4.65
1990-04-23,4.51
1990-04-24,4.47
1990-04-25,4.45
1990-04-26,4.41
1990-04-27,4.36
1990-04-30,4.49
1990-05-01,4.41
1990-05-02,4.45
1990-05-03,4.39
1990-05-04,4.45
1990-05-07,4.45
1990-05-08,4.53
1990-05-09,4.55
1990-05-10,4.59
1990-05-11,4.76
1990-05-14,4.84
1990-05-15,5.07
1990-05-16,4.84
1990-05-17,4.88
1990-05-18,4.9
1990-05-21,4.96
1990-05-22,4.9
1990-05-23,4.92
1990-05-24,4.96
1990-05-25,4.86
1990-05-29,4.9
1990-05-30,4.86
1990-05-31,4.84
1990-06-01,4.92
1990-06-04,5.23
1990-06-05,5.19
1990-06-06,5.17
1990-06-07,5.21
1990-06-08,5.09
1990-06-11,5.07
1990-06-12,5.03
1990-06-13,5.19
1990-06-14,5.13
1990-06-15,5.15
1990-06-18,5.07
1990-06-19,5.09
1990-06-20,4.98
1990-06-21,5.01
1990-06-22,5.05
1990-06-25,5.05
1990-06-26,5.03
1990-06-27,5.05
1990-06-28,5.09
1990-06-29,5.13
1990-07-02,5.21
1990-07-03,5.25
1990-07-05,5.23
1990-07-06,5.31
1990-07-09,5.27
1990-07-10,5.17
1990-07-11,5.19
1990-07-12,5.15
1990-07-13,5.11
1990-07-16,5.15
1990-07-17,5.23
1990-07-18,5.17
1990-07-19,5.21
1990-07-20,5.08
1990-07-23,5.02
1990-07-24,5.0
1990-07-25,5.02
1990-07-26,5.0
1990-07-27,4.92
1990-07-30,4.86
1990-07-31,4.86
1990-08-01,4.77
1990-08-02,4.67
1990-08-03,4.63
1990-08-06,4.38
1990-08-07,4.33
1990-08-08,4.46
1990-08-09,4.44
1990-08-10,4.58
1990-08-13,4.56
1990-08-14,4.5
1990-08-15,4.44
1990-08-16,4.23
1990-08-17,4.23
1990-08-20,4.15
1990-08-21,4.02
1990-08-22,3.92
1990-08-23,3.81
1990-08-24,3.92
1990-08-27,4.06
1990-08-28,3.94
1990-08-29,3.98
1990-08-30,3.9
1990-08-31,4.02
1990-09-04,4.0
1990-09-05,4.02
1990-09-06,3.92
1990-09-07,4.0
1990-09-10,4.02
1990-09-11,3.98
1990-09-12,4.0
1990-09-13,3.88
1990-09-14,3.9
1990-09-17,3.86
1990-09-18,3.79
1990-09-19,3.81
1990-09-20,3.73
1990-09-21,3.79
1990-09-24,3.46
1990-09-25,3.63
1990-09-26,3.52
1990-09-27,3.42
1990-09-28,3.52
1990-10-01,3.77
1990-10-02,3.67
1990-10-03,3.52
1990-10-04,3.54
1990-10-05,3.48
1990-10-08,3.6
1990-10-09,3.39
1990-10-10,3.27
1990-10-11,3.16
1990-10-12,3.27
1990-10-15,3.14
1990-10-16,3.14
1990-10-17,2.95
1990-10-18,3.1
1990-10-19,3.18
1990-10-22,3.35
1990-10-23,3.43
1990-10-24,3.41
1990-10-25,3.33
1990-10-26,3.14
1990-10-29,3.01
1990-10-30,3.12
1990-10-31,3.18
1990-11-01,3.16
1990-11-02,3.33
1990-11-05,3.35
1990-11-06,3.31
1990-11-07,3.22
1990-11-08,3.22
1990-11-09,3.31
1990-11-12,3.65
1990-11-13,3.79
1990-11-14,3.75
1990-11-15,3.65
1990-11-16,3.65
1990-11-19,3.65
1990-11-20,3.46
1990-11-21,3.33
1990-11-23,3.33
1990-11-26,3.41
1990-11-27,3.39
1990-11-28,3.37
1990-11-29,3.39
1990-11-30,3.46
1990-12-03,3.52
