Date,Price
1990-01-02,12.63
1990-01-03,12.93
1990-01-04,12.88
1990-01-05,12.7
1990-01-08,12.86
1990-01-09,12.7
1990-01-10,12.76
1990-01-11,12.58
1990-01-12,12.32
1990-01-15,12.19
1990-01-16,12.29
1990-01-17,12.37
1990-01-18,12.32
1990-01-19,12.5
1990-01-22,12.16
1990-01-23,12.11
1990-01-24,12.24
1990-01-25,11.91
1990-01-26,11.88
1990-01-29,11.78
1990-01-30,11.96
1990-01-31,12.16
1990-02-01,12.58
1990-02-02,12.78
1990-02-05,12.96
1990-02-06,13.04
1990-02-07,13.04
1990-02-08,12.83
1990-02-09,12.81
1990-02-12,12.84
1990-02-13,12.82
1990-02-14,13.1
1990-02-15,13.1
1990-02-16,12.97
1990-02-20,12.69
1990-02-21,12.48
1990-02-22,12.51
1990-02-23,12.38
1990-02-26,12.61
1990-02-27,12.71
1990-02-28,13.18
1990-03-01,13.41
1990-03-02,13.38
1990-03-05,13.41
1990-03-06,13.46
1990-03-07,13.64
1990-03-08,13.85
1990-03-09,13.98
1990-03-12,13.82
1990-03-13,13.72
1990-03-14,13.93
1990-03-15,13.9
1990-03-16,14.39
1990-03-19,14.75
1990-03-20,14.54
1990-03-21,14.67
1990-03-22,14.7
1990-03-23,15.11
1990-03-26,14.85
1990-03-27,15.01
1990-03-28,15.03
1990-03-29,14.93
1990-03-30,14.8
1990-04-02,14.73
1990-04-03,15.11
1990-04-04,14.85
1990-04-05,15.03
1990-04-06,15.03
1990-04-09,14.93
1990-04-10,14.88
1990-04-11,14.96
1990-04-12,15.09
1990-04-16,15.11
1990-04-17,15.06
1990-04-18,14.75
1990-04-19,14.67
1990-04-20,14.54
1990-04-23,14.44
1990-04-24,14.42
1990-04-25,14.42
1990-04-26,14.44
1990-04-27,14.18
1990-04-30,14.39
1990-05-01,14.91
1990-05-02,15.06
1990-05-03,15.16
1990-05-04,15.27
1990-05-07,15.14
1990-05-08,15.21
1990-05-09,15.21
1990-05-10,15.55
1990-05-11,16.09
1990-05-14,16.17
1990-05-15,15.96
1990-05-16,15.86
1990-05-17,15.99
1990-05-18,16.14
1990-05-21,16.4
1990-05-22,16.51
1990-05-23,16.82
1990-05-24,17.13
1990-05-25,16.95
1990-05-29,16.97
1990-05-30,17.0
1990-05-31,17.08
1990-06-01,17.57
1990-06-04,17.91
1990-06-05,17.67
1990-06-06,17.62
1990-06-07,17.39
1990-06-08,17.1
1990-06-11,18.19
1990-06-12,18.31
1990-06-13,18.58
1990-06-14,18.7
1990-06-15,18.7
1990-06-18,18.35
1990-06-19,18.23
1990-06-20,18.07
1990-06-21,18.35
1990-06-22,17.84
1990-06-25,17.8
1990-06-26,17.92
1990-06-27,18.27
1990-06-28,18.35
1990-06-29,18.19
1990-07-02,18.39
1990-07-03,18.58
1990-07-05,18.42
1990-07-06,18.81
1990-07-09,18.77
1990-07-10,18.66
1990-07-11,19.12
1990-07-12,19.01
1990-07-13,19.01
1990-07-16,19.01
1990-07-17,18.73
1990-07-18,18.5
1990-07-19,18.35
1990-07-20,18.04
1990-07-23,17.37
1990-07-24,17.69
1990-07-25,18.11
1990-07-26,18.39
1990-07-27,18.42
1990-07-30,18.23
1990-07-31,17.96
1990-08-01,17.34
1990-08-02,16.64
1990-08-03,16.79
1990-08-06,15.7
1990-08-07,16.17
1990-08-08,16.48
1990-08-09,16.95
1990-08-10,16.56
1990-08-13,16.44
1990-08-14,16.25
1990-08-15,16.36
1990-08-16,15.82
1990-08-17,15.15
1990-08-20,15.15
1990-08-21,14.41
1990-08-22,14.06
1990-08-23,13.28
1990-08-24,14.33
1990-08-27,15.11
1990-08-28,14.96
1990-08-29,15.23
1990-08-30,15.07
1990-08-31,15.07
1990-09-04,15.19
1990-09-05,15.23
1990-09-06,14.76
1990-09-07,14.68
1990-09-10,14.8
1990-09-11,14.88
1990-09-12,14.88
1990-09-13,14.64
1990-09-14,14.41
1990-09-17,14.25
1990-09-18,14.14
1990-09-19,13.75
1990-09-20,13.71
1990-09-21,13.51
1990-09-24,12.61
1990-09-25,12.73
1990-09-26,12.77
1990-09-27,12.38
1990-09-28,13.0
1990-10-01,13.82
1990-10-02,13.51
1990-10-03,13.32
1990-10-04,13.43
1990-10-05,13.59
1990-10-08,13.71
1990-10-09,13.86
1990-10-10,13.71
1990-10-11,13.43
1990-10-12,13.9
1990-10-15,14.37
1990-10-16,14.18
1990-10-17,14.37
1990-10-18,15.07
1990-10-19,15.15
1990-10-22,15.15
1990-10-23,14.8
1990-10-24,14.72
1990-10-25,14.96
1990-10-26,14.41
1990-10-29,14.41
1990-10-30,13.9
1990-10-31,13.98
1990-11-01,13.82
1990-11-02,14.37
1990-11-05,14.41
1990-11-06,14.18
1990-11-07,13.9
1990-11-08,13.82
1990-11-09,14.1
1990-11-12,14.37
1990-11-13,14.57
1990-11-14,14.73
1990-11-15,14.61
1990-11-16,14.57
1990-11-19,14.85
1990-11-20,13.39
1990-11-21,13.9
1990-11-23,14.02
1990-11-26,13.71
1990-11-27,13.79
1990-11-28,13.47
1990-11-29,13.51
1990-11-30,13.9
1990-12-03,14.14
1990-12-04,14.3
1990-12-05,14.53
1990-12-06,14.49
1990-12-07,14.3
1990-12-10,14.1
1990-12-11,14.18
1990-12-12,14.37
1990-12-13,14.18
1990-12-14,14.1
1990-12-17,13.98
1990-12-18,14.1
1990-12-19,14.22
1990-12-20,14.41
1990-12-21,14.61
1990-12-24,14.49
1990-12-26,14.53
1990-12-27,14.41
1990-12-28,14.41
1990-12-31,14.26
1991-01-02,14.1
1991-01-03,14.06
1991-01-04,14.57
1991-01-07,14.02
1991-01-08,13.82
1991-01-09,13.75
1991-01-10,14.14
1991-01-11,14.18
1991-01-14,13.94
1991-01-15,13.86
1991-01-16,14.26
1991-01-17,15.16
1991-01-18,15.47
1991-01-21,15.24
1991-01-22,14.81
1991-01-23,14.81
1991-01-24,15.32
1991-01-25,15.43
1991-01-28,14.73
1991-01-29,14.85
1991-01-30,15.04
1991-01-31,15.51
1991-02-01,15.63
1991-02-04,16.22
1991-02-05,16.06
1991-02-06,16.34
1991-02-07,16.02
1991-02-08,16.42
1991-02-11,16.22
1991-02-12,15.23
1991-02-13,14.88
1991-02-14,15.15
1991-02-15,15.47
1991-02-19,15.59
1991-02-20,15.15
1991-02-21,15.0
1991-02-22,15.11
1991-02-25,14.8
1991-02-26,14.56
1991-02-27,14.92
1991-02-28,15.23
1991-03-01,15.55
1991-03-04,15.63
1991-03-05,15.86
1991-03-06,15.86
1991-03-07,15.86
1991-03-08,15.63
1991-03-11,15.27
1991-03-12,15.07
1991-03-13,15.27
1991-03-14,15.27
1991-03-15,15.15
1991-03-18,15.15
1991-03-19,14.88
1991-03-20,14.92
1991-03-21,14.88
1991-03-22,15.07
1991-03-25,15.04
1991-03-26,15.19
1991-03-27,15.04
1991-03-28,14.84
1991-04-01,14.8
1991-04-02,14.92
1991-04-03,15.04
1991-04-04,15.51
1991-04-05,15.43
1991-04-08,15.43
1991-04-09,15.07
1991-04-10,14.96
1991-04-11,14.84
1991-04-12,14.8
1991-04-15,14.72
1991-04-16,14.68
1991-04-17,14.84
1991-04-18,14.92
1991-04-19,14.76
1991-04-22,14.72
1991-04-23,15.0
1991-04-24,15.07
1991-04-25,15.04
1991-04-26,14.56
1991-04-29,14.48
1991-04-30,14.44
1991-05-01,14.36
1991-05-02,14.48
1991-05-03,14.72
1991-05-06,14.84
1991-05-07,14.84
1991-05-08,14.88
1991-05-09,15.19
1991-05-10,14.84
1991-05-13,14.92
1991-05-14,14.84
1991-05-15,14.64
1991-05-16,14.8
1991-05-17,14.6
1991-05-20,14.6
1991-05-21,14.68
1991-05-22,14.84
1991-05-23,14.6
1991-05-24,14.72
1991-05-28,14.8
1991-05-29,14.88
1991-05-30,15.35
1991-05-31,15.55
1991-06-03,15.35
1991-06-04,15.31
1991-06-05,15.27
1991-06-06,15.16
1991-06-07,15.23
1991-06-10,15.16
1991-06-11,15.27
1991-06-12,15.2
1991-06-13,15.35
1991-06-14,15.67
1991-06-17,15.55
1991-06-18,15.71
1991-06-19,15.39
1991-06-20,15.47
1991-06-21,14.88
1991-06-24,14.48
1991-06-25,14.52
1991-06-26,14.4
1991-06-27,14.44
1991-06-28,14.52
1991-07-01,14.6
1991-07-02,14.52
1991-07-03,14.28
1991-07-05,14.16
1991-07-08,14.04
1991-07-09,14.08
1991-07-10,14.32
1991-07-11,14.44
1991-07-12,14.48
1991-07-15,14.48
1991-07-16,14.48
1991-07-17,14.36
1991-07-18,14.24
1991-07-19,13.89
1991-07-22,13.73
1991-07-23,13.89
1991-07-24,13.93
1991-07-25,13.97
1991-07-26,13.85
1991-07-29,14.08
1991-07-30,14.76
1991-07-31,14.72
1991-08-01,14.36
1991-08-02,14.44
1991-08-05,14.44
1991-08-06,14.68
1991-08-07,14.76
1991-08-08,14.84
1991-08-09,14.72
1991-08-12,14.68
1991-08-13,14.76
1991-08-14,14.92
1991-08-15,15.16
1991-08-16,14.76
1991-08-19,14.48
1991-08-20,14.64
1991-08-21,15.4
1991-08-22,15.52
1991-08-23,15.52
1991-08-26,15.56
1991-08-27,15.64
1991-08-28,16.0
1991-08-29,15.96
1991-08-30,15.88
1991-09-03,15.84
1991-09-04,16.12
1991-09-05,16.63
1991-09-06,16.71
1991-09-09,16.51
1991-09-10,16.31
1991-09-11,15.96
1991-09-12,15.92
1991-09-13,15.52
1991-09-16,15.64
1991-09-17,15.76
1991-09-18,15.64
1991-09-19,15.96
1991-09-20,15.88
1991-09-23,15.88
1991-09-24,16.04
1991-09-25,16.23
1991-09-26,16.16
1991-09-27,16.08
1991-09-30,16.2
1991-10-01,16.16
1991-10-02,16.0
1991-10-03,15.64
1991-10-04,15.36
1991-10-07,15.44
1991-10-08,15.6
1991-10-09,15.4
1991-10-10,15.64
1991-10-11,15.32
1991-10-14,15.52
1991-10-15,15.68
1991-10-16,15.96
1991-10-17,15.96
1991-10-18,15.96
1991-10-21,15.92
1991-10-22,15.76
1991-10-23,15.8
1991-10-24,15.72
1991-10-25,15.52
1991-10-28,15.76
1991-10-29,15.84
1991-10-30,15.64
