Date,Price
1990-01-02,5.43
1990-01-03,5.48
1990-01-04,5.36
1990-01-05,5.25
1990-01-08,5.27
1990-01-09,5.27
1990-01-10,5.17
1990-01-11,5.13
1990-01-12,4.98
1990-01-15,4.84
1990-01-16,5.01
1990-01-17,5.04
1990-01-18,4.97
1990-01-19,5.16
1990-01-22,5.07
1990-01-23,5.17
1990-01-24,5.11
1990-01-25,5.1
1990-01-26,5.01
1990-01-29,4.95
1990-01-30,4.76
1990-01-31,4.9
1990-02-01,4.82
1990-02-02,5.0
1990-02-05,4.9
1990-02-06,4.84
1990-02-07,4.92
1990-02-08,4.87
1990-02-09,4.91
1990-02-12,4.91
1990-02-13,4.9
1990-02-14,4.97
1990-02-15,5.1
1990-02-16,5.22
1990-02-20,5.14
1990-02-21,5.11
1990-02-22,5.17
1990-02-23,5.13
1990-02-26,5.17
1990-02-27,5.27
1990-02-28,5.23
1990-03-01,5.24
1990-03-02,5.4
1990-03-05,5.39
1990-03-06,5.35
1990-03-07,5.33
1990-03-08,5.13
1990-03-09,4.88
1990-03-12,4.86
1990-03-13,4.77
1990-03-14,4.73
1990-03-15,4.76
1990-03-16,4.76
1990-03-19,4.73
1990-03-20,4.69
1990-03-21,4.67
1990-03-22,4.52
1990-03-23,4.55
1990-03-26,4.66
1990-03-27,4.67
1990-03-28,4.64
1990-03-29,4.6
1990-03-30,4.55
1990-04-02,4.49
1990-04-03,4.52
1990-04-04,4.44
1990-04-05,4.24
1990-04-06,4.16
1990-04-09,4.24
1990-04-10,4.42
1990-04-11,4.44
1990-04-12,4.42
1990-04-16,4.35
1990-04-17,4.39
1990-04-18,4.39
1990-04-19,4.38
1990-04-20,4.36
1990-04-23,4.35
1990-04-24,4.35
1990-04-25,4.29
1990-04-26,4.33
1990-04-27,4.38
1990-04-30,4.46
1990-05-01,4.57
1990-05-02,4.61
1990-05-03,4.7
1990-05-04,4.64
1990-05-07,4.67
1990-05-08,4.58
1990-05-09,4.55
1990-05-10,4.54
1990-05-11,4.63
1990-05-14,4.64
1990-05-15,4.66
1990-05-16,4.63
1990-05-17,4.64
1990-05-18,4.61
1990-05-21,4.63
1990-05-22,4.54
1990-05-23,4.55
1990-05-24,4.45
1990-05-25,4.39
1990-05-29,4.42
1990-05-30,4.48
1990-05-31,4.6
1990-06-01,4.73
1990-06-04,4.98
1990-06-05,5.16
1990-06-06,5.13
1990-06-07,4.86
1990-06-08,4.91
1990-06-11,4.91
1990-06-12,4.92
1990-06-13,4.79
1990-06-14,4.48
1990-06-15,4.65
1990-06-18,4.55
1990-06-19,4.54
1990-06-20,4.46
1990-06-21,4.55
1990-06-22,4.48
1990-06-25,4.48
1990-06-26,4.33
1990-06-27,4.39
1990-06-28,4.43
1990-06-29,4.45
1990-07-02,4.4
1990-07-03,4.33
1990-07-05,4.22
1990-07-06,4.39
1990-07-09,4.27
1990-07-10,4.14
1990-07-11,4.11
1990-07-12,4.08
1990-07-13,4.12
1990-07-16,4.33
1990-07-17,4.49
1990-07-18,4.45
1990-07-19,4.4
1990-07-20,4.36
1990-07-23,4.3
1990-07-24,4.27
1990-07-25,4.3
1990-07-26,4.28
1990-07-27,4.28
1990-07-30,4.24
1990-07-31,4.25
1990-08-01,4.14
1990-08-02,4.11
1990-08-03,4.02
1990-08-06,3.85
1990-08-07,4.03
1990-08-08,4.02
1990-08-09,4.05
1990-08-10,4.02
1990-08-13,4.08
1990-08-14,4.05
1990-08-15,4.09
1990-08-16,4.03
1990-08-17,4.02
1990-08-20,4.09
1990-08-21,4.0
1990-08-22,3.78
1990-08-23,3.69
1990-08-24,3.74
1990-08-27,3.9
1990-08-28,3.9
1990-08-29,3.94
1990-08-30,3.9
1990-08-31,3.91
1990-09-04,3.9
1990-09-05,3.94
1990-09-06,3.94
1990-09-07,3.94
1990-09-10,3.91
1990-09-11,3.88
1990-09-12,3.82
1990-09-13,3.66
1990-09-14,3.55
1990-09-17,3.51
1990-09-18,3.36
1990-09-19,3.27
1990-09-20,3.12
1990-09-21,3.16
1990-09-24,3.04
1990-09-25,3.04
1990-09-26,2.79
1990-09-27,2.41
1990-09-28,2.56
1990-10-01,2.61
1990-10-02,2.62
1990-10-03,2.52
1990-10-04,2.5
1990-10-05,2.49
1990-10-08,2.49
1990-10-09,2.41
1990-10-10,2.34
1990-10-11,2.25
1990-10-12,2.31
1990-10-15,2.55
1990-10-16,2.53
1990-10-17,2.44
1990-10-18,2.34
1990-10-19,2.29
1990-10-22,2.34
1990-10-23,2.26
1990-10-24,2.29
1990-10-25,2.26
1990-10-26,2.14
1990-10-29,2.07
1990-10-30,2.04
1990-10-31,2.07
1990-11-01,2.22
1990-11-02,2.38
1990-11-05,2.44
1990-11-06,2.41
1990-11-07,2.46
1990-11-08,2.56
1990-11-09,2.61
1990-11-12,2.79
1990-11-13,2.86
1990-11-14,2.92
1990-11-15,2.79
1990-11-16,2.94
1990-11-19,3.0
1990-11-20,3.0
1990-11-21,2.88
1990-11-23,2.77
1990-11-26,2.88
1990-11-27,3.09
1990-11-28,3.0
1990-11-29,2.86
1990-11-30,2.88
1990-12-03,2.91
1990-12-04,3.04
1990-12-05,3.23
1990-12-06,3.09
1990-12-07,2.97
1990-12-10,3.01
1990-12-11,2.94
1990-12-12,2.89
1990-12-13,2.86
1990-12-14,2.83
1990-12-17,2.77
1990-12-18,2.92
1990-12-19,3.03
1990-12-20,3.12
1990-12-21,3.09
1990-12-24,3.04
1990-12-26,3.04
1990-12-27,2.91
1990-12-28,2.83
1990-12-31,2.78
1991-01-02,2.83
1991-01-03,2.8
1991-01-04,2.88
1991-01-07,2.83
1991-01-08,2.74
1991-01-09,2.68
1991-01-10,2.65
1991-01-11,2.68
1991-01-14,2.68
1991-01-15,2.71
1991-01-16,2.72
1991-01-17,2.86
1991-01-18,2.97
1991-01-21,3.1
1991-01-22,3.18
1991-01-23,3.17
1991-01-24,3.36
1991-01-25,3.42
1991-01-28,3.53
1991-01-29,3.42
1991-01-30,3.48
1991-01-31,3.42
1991-02-01,3.44
1991-02-04,3.73
1991-02-05,3.87
1991-02-06,3.88
1991-02-07,3.74
1991-02-08,3.74
1991-02-11,3.96
1991-02-12,3.97
1991-02-13,4.0
1991-02-14,3.83
1991-02-15,3.94
1991-02-19,3.87
1991-02-20,3.7
1991-02-21,3.58
1991-02-22,3.65
1991-02-25,3.7
1991-02-26,3.58
1991-02-27,3.59
1991-02-28,3.56
1991-03-01,3.7
1991-03-04,3.73
1991-03-05,3.87
1991-03-06,3.87
1991-03-07,3.73
1991-03-08,3.7
1991-03-11,3.71
1991-03-12,3.71
1991-03-13,3.79
1991-03-14,3.88
1991-03-15,3.87
1991-03-18,3.82
1991-03-19,3.71
1991-03-20,3.67
1991-03-21,3.67
1991-03-22,3.64
1991-03-25,3.87
1991-03-26,4.16
1991-03-27,4.28
1991-03-28,4.27
1991-04-01,4.27
1991-04-02,4.34
1991-04-03,4.45
1991-04-04,4.53
1991-04-05,4.53
1991-04-08,4.41
1991-04-09,4.33
1991-04-10,4.27
1991-04-11,4.42
1991-04-12,4.53
1991-04-15,4.53
1991-04-16,4.59
1991-04-17,4.81
1991-04-18,4.95
1991-04-19,4.85
1991-04-22,4.56
1991-04-23,4.54
1991-04-24,4.61
1991-04-25,4.59
1991-04-26,4.56
1991-04-29,4.56
1991-04-30,4.54
1991-05-01,4.58
1991-05-02,4.59
1991-05-03,4.56
1991-05-06,4.53
1991-05-07,4.56
1991-05-08,4.59
1991-05-09,4.56
1991-05-10,4.58
1991-05-13,4.59
1991-05-14,4.56
1991-05-15,4.53
1991-05-16,4.56
1991-05-17,4.42
1991-05-20,4.48
1991-05-21,4.58
1991-05-22,4.61
1991-05-23,4.62
1991-05-24,4.68
1991-05-28,4.93
1991-05-29,5.08
1991-05-30,5.1
1991-05-31,5.19
1991-06-03,5.3
1991-06-04,5.28
1991-06-05,5.19
1991-06-06,5.24
1991-06-07,5.22
1991-06-10,5.14
1991-06-11,5.16
1991-06-12,4.97
1991-06-13,4.96
1991-06-14,5.05
1991-06-17,5.04
1991-06-18,5.11
1991-06-19,5.05
1991-06-20,4.96
1991-06-21,4.99
1991-06-24,4.96
1991-06-25,4.74
1991-06-26,4.76
1991-06-27,4.6
1991-06-28,4.45
1991-07-01,4.6
1991-07-02,4.65
1991-07-03,4.58
1991-07-05,4.6
1991-07-08,4.55
1991-07-09,4.63
1991-07-10,4.66
1991-07-11,4.6
1991-07-12,4.6
1991-07-15,4.69
1991-07-16,4.79
1991-07-17,4.71
1991-07-18,4.72
1991-07-19,4.6
1991-07-22,4.35
1991-07-23,4.32
1991-07-24,4.29
1991-07-25,4.29
1991-07-26,4.27
1991-07-29,4.26
1991-07-30,4.29
1991-07-31,4.32
1991-08-01,4.34
1991-08-02,4.32
1991-08-05,4.31
1991-08-06,4.35
1991-08-07,4.34
1991-08-08,4.43
1991-08-09,4.48
1991-08-12,4.57
1991-08-13,4.8
1991-08-14,4.83
1991-08-15,4.72
1991-08-16,4.65
1991-08-19,4.62
1991-08-20,4.63
1991-08-21,4.74
1991-08-22,4.74
1991-08-23,4.71
1991-08-26,4.72
1991-08-27,4.77
1991-08-28,4.93
1991-08-29,4.91
1991-08-30,4.85
1991-09-03,4.79
1991-09-04,4.8
1991-09-05,4.75
1991-09-06,4.75
1991-09-09,4.75
1991-09-10,4.66
1991-09-11,4.66
1991-09-12,4.71
1991-09-13,4.55
1991-09-16,4.61
1991-09-17,4.69
1991-09-18,4.68
1991-09-19,4.69
1991-09-20,4.72
1991-09-23,4.61
1991-09-24,4.58
1991-09-25,4.57
1991-09-26,4.52
1991-09-27,4.47
1991-09-30,4.47
1991-10-01,4.53
1991-10-02,4.46
1991-10-03,4.39
1991-10-04,4.38
1991-10-07,4.36
1991-10-08,4.33
1991-10-09,4.2
1991-10-10,4.19
1991-10-11,4.31
1991-10-14,4.53
1991-10-15,4.74
1991-10-16,4.8
1991-10-17,4.79
1991-10-18,4.8
1991-10-21,4.77
1991-10-22,4.68
1991-10-23,4.71
1991-10-24,4.64
1991-10-25,4.61
1991-10-28,4.69
1991-10-29,4.68
1991-10-30,4.69
1991-10-31,4.69
1991-11-01,4.68
1991-11-04,4.72
1991-11-05,4.72
1991-11-06,4.77
1991-11-07,4.86
1991-11-08,4.89
1991-11-11,4.88
1991-11-12,4.89
1991-11-13,4.89
1991-11-14,4.89
1991-11-15,4.79
1991-11-18,4.68
1991-11-19,4.49
1991-11-20,4.44
1991-11-21,4.41
1991-11-22,4.36
1991-11-25,4.35
1991-11-26,4.33
1991-11-27,4.35
1991-11-29,4.31
1991-12-02,4.44
1991-12-03,4.6
1991-12-04,4.6
1991-12-05,4.47
1991-12-06,4.41
1991-12-09,4.54
1991-12-10,4.54
1991-12-11,4.55
1991-12-12,4.62
1991-12-13,4.69
1991-12-16,4.65
1991-12-17,4.57
1991-12-18,4.63
1991-12-19,4.66
1991-12-20,4.79
1991-12-23,4.95
1991-12-24,5.0
1991-12-26,5.2
1991-12-27,5.19
1991-12-30,5.14
1991-12-31,5.15
1992-01-02,5.12
1992-01-03,5.25
1992-01-06,5.52
1992-01-07,5.47
1992-01-08,5.66
1992-01-09,5.44
1992-01-10,5.33
1992-01-13,5.23
1992-01-14,5.58
1992-01-15,5.77
1992-01-16,5.84
1992-01-17,5.69
1992-01-20,5.46
1992-01-21,5.42
1992-01-22,5.52
1992-01-23,5.55
1992-01-24,5.58
1992-01-27,5.6
1992-01-28,5.58
1992-01-29,5.58
1992-01-30,5.61
1992-01-31,5.57
1992-02-03,5.52
1992-02-04,5.55
1992-02-05,5.58
1992-02-06,5.76
1992-02-07,5.76
1992-02-10,5.73
1992-02-11,5.68
1992-02-12,5.77
1992-02-13,5.79
1992-02-14,5.76
1992-02-18,5.66
1992-02-19,5.58
1992-02-20,5.71
1992-02-21,5.77
1992-02-24,5.8
1992-02-25,5.84
1992-02-26,5.9
1992-02-27,5.95
1992-02-28,6.03
1992-03-02,6.11
1992-03-03,6.12
1992-03-04,6.01
1992-03-05,5.9
1992-03-06,5.71
1992-03-09,5.75
1992-03-10,5.82
1992-03-11,5.72
1992-03-12,5.77
1992-03-13,5.75
1992-03-16,5.63
1992-03-17,5.79
1992-03-18,5.75
1992-03-19,5.9
1992-03-20,6.06
1992-03-23,5.87
1992-03-24,5.93
1992-03-25,5.98
1992-03-26,5.98
1992-03-27,5.82
1992-03-30,5.83
1992-03-31,5.82
1992-04-01,5.75
1992-04-02,5.66
1992-04-03,5.64
1992-04-06,5.77
1992-04-07,5.75
1992-04-08,5.67
1992-04-09,5.77
1992-04-10,5.75
1992-04-13,5.74
1992-04-14,5.93
1992-04-15,5.96
1992-04-16,5.95
1992-04-20,6.04
1992-04-21,6.22
1992-04-22,6.31
1992-04-23,6.3
1992-04-24,6.15
1992-04-27,6.09
1992-04-28,6.03
1992-04-29,6.09
1992-04-30,6.11
1992-05-01,6.11
1992-05-04,6.19
1992-05-05,6.2
1992-05-06,6.25
1992-05-07,6.23
1992-05-08,6.23
1992-05-11,6.3
1992-05-12,6.27
1992-05-13,6.35
1992-05-14,6.31
1992-05-15,6.2
1992-05-18,6.22
1992-05-19,6.22
1992-05-20,6.22
1992-05-21,6.19
1992-05-22,6.14
1992-05-26,6.01
1992-05-27,5.96
1992-05-28,5.98
1992-05-29,5.95
1992-06-01,5.95
1992-06-02,5.95
1992-06-03,5.98
1992-06-04,5.93
1992-06-05,5.8
1992-06-08,5.88
1992-06-09,5.86
1992-06-10,5.93
1992-06-11,5.9
1992-06-12,5.98
1992-06-15,5.99
1992-06-16,5.99
1992-06-17,5.88
1992-06-18,5.78
1992-06-19,5.77
1992-06-22,5.77
1992-06-23,5.8
1992-06-24,5.8
1992-06-25,5.72
1992-06-26,5.88
1992-06-29,6.09
1992-06-30,6.14
1992-07-01,6.24
1992-07-02,6.36
1992-07-06,6.24
1992-07-07,6.19
1992-07-08,6.17
1992-07-09,6.35
1992-07-10,6.43
1992-07-13,6.24
1992-07-14,6.27
1992-07-15,6.07
1992-07-16,5.91
1992-07-17,5.91
1992-07-20,6.07
