Date,Price
1990-01-01,922.4
1990-01-02,924.02
1990-01-03,935.33
1990-01-04,928.87
1990-01-05,935.33
1990-01-08,935.33
1990-01-09,935.33
1990-01-10,919.17
1990-01-11,917.56
1990-01-12,903.02
1990-01-15,894.95
1990-01-16,891.71
1990-01-17,904.63
1990-01-18,901.4
1990-01-19,896.56
1990-01-22,886.87
1990-01-23,888.48
1990-01-24,891.71
1990-01-25,880.4
1990-01-26,894.95
1990-01-29,903.02
1990-01-30,915.95
1990-01-31,930.48
1990-02-01,946.63
1990-02-02,946.63
1990-02-05,940.18
1990-02-06,922.4
1990-02-07,912.71
1990-02-08,914.33
1990-02-09,912.71
1990-02-12,896.56
1990-02-13,894.95
1990-02-14,888.48
1990-02-15,882.02
1990-02-16,891.71
1990-02-19,890.1
1990-02-20,896.56
1990-02-21,893.33
1990-02-22,898.18
1990-02-23,888.48
1990-02-26,914.33
1990-02-27,911.1
1990-02-28,919.17
1990-03-01,936.95
1990-03-02,936.95
1990-03-05,930.48
1990-03-06,938.56
1990-03-07,945.02
1990-03-08,946.63
1990-03-09,948.25
1990-03-12,919.17
1990-03-13,914.33
1990-03-14,915.95
1990-03-15,915.95
1990-03-16,919.17
1990-03-19,907.87
1990-03-20,925.63
1990-03-21,915.95
1990-03-22,917.56
1990-03-23,930.48
1990-03-26,948.25
1990-03-27,945.02
1990-03-28,951.48
1990-03-29,953.1
1990-03-30,948.25
1990-04-02,935.33
1990-04-03,936.95
1990-04-04,933.71
1990-04-05,933.71
1990-04-06,924.02
1990-04-09,925.63
1990-04-10,927.25
1990-04-11,927.25
1990-04-12,928.87
1990-04-13,928.87
1990-04-16,928.87
1990-04-17,912.71
1990-04-18,888.48
1990-04-19,878.79
1990-04-20,865.87
1990-04-23,838.4
1990-04-24,830.32
1990-04-25,815.79
1990-04-26,819.02
1990-04-27,807.71
1990-04-30,814.17
1990-05-01,822.25
1990-05-02,840.02
1990-05-03,840.02
1990-05-04,861.02
1990-05-07,861.02
1990-05-08,872.33
1990-05-09,846.48
1990-05-10,851.33
1990-05-11,856.17
1990-05-14,867.48
1990-05-15,864.25
1990-05-16,867.48
1990-05-17,886.87
1990-05-18,883.63
1990-05-21,888.48
1990-05-22,903.02
1990-05-23,878.79
1990-05-24,870.71
1990-05-25,868.45
1990-05-28,868.45
1990-05-29,875.24
1990-05-30,897.85
1990-05-31,906.9
1990-06-01,915.95
1990-06-04,927.25
1990-06-05,940.82
1990-06-06,924.99
1990-06-07,909.16
1990-06-08,904.63
1990-06-11,895.59
1990-06-12,900.11
1990-06-13,915.95
1990-06-14,902.38
1990-06-15,888.81
1990-06-18,875.24
1990-06-19,882.02
1990-06-20,909.16
1990-06-21,911.42
1990-06-22,913.68
1990-06-25,934.04
1990-06-26,931.77
1990-06-27,913.68
1990-06-28,897.85
1990-06-29,891.07
1990-07-02,884.28
1990-07-03,879.76
1990-07-04,875.24
1990-07-05,884.28
1990-07-06,900.11
1990-07-09,911.42
1990-07-10,904.63
1990-07-11,918.2
1990-07-12,922.73
1990-07-13,909.16
1990-07-16,927.25
1990-07-17,947.61
1990-07-18,954.39
1990-07-19,938.56
1990-07-20,922.73
1990-07-23,897.85
1990-07-24,897.85
1990-07-25,920.47
1990-07-26,909.16
1990-07-27,891.07
1990-07-30,872.97
1990-07-31,882.02
1990-08-01,882.02
1990-08-02,863.93
1990-08-03,850.36
1990-08-06,830.0
1990-08-07,848.1
1990-08-08,827.74
1990-08-09,841.31
1990-08-10,839.05
1990-08-13,836.79
1990-08-14,836.79
1990-08-15,848.1
1990-08-16,843.57
1990-08-17,820.96
1990-08-20,789.3
1990-08-21,777.98
1990-08-22,775.73
1990-08-23,766.68
1990-08-24,782.51
1990-08-27,782.51
1990-08-28,802.87
1990-08-29,811.91
1990-08-30,807.39
1990-08-31,811.91
1990-09-03,805.12
1990-09-04,800.6
1990-09-05,796.08
1990-09-06,789.3
1990-09-07,780.25
1990-09-10,773.46
1990-09-11,757.63
1990-09-12,753.11
1990-09-13,746.32
1990-09-14,730.49
1990-09-17,730.49
1990-09-18,714.66
1990-09-19,723.71
1990-09-20,678.47
1990-09-21,680.74
1990-09-24,673.95
1990-09-25,689.79
1990-09-26,692.04
1990-09-27,703.36
1990-09-28,701.09
1990-10-01,725.97
1990-10-02,750.85
1990-10-03,782.51
1990-10-04,762.16
1990-10-05,836.79
1990-10-08,882.02
1990-10-09,848.1
1990-10-10,816.44
1990-10-11,800.6
1990-10-12,789.3
1990-10-15,800.6
1990-10-16,807.39
1990-10-17,802.87
1990-10-18,809.65
1990-10-19,807.39
1990-10-22,818.69
1990-10-23,841.31
1990-10-24,834.53
1990-10-25,814.17
1990-10-26,789.3
1990-10-29,780.25
1990-10-30,750.85
1990-10-31,757.63
1990-11-01,744.06
1990-11-02,759.89
1990-11-05,773.46
1990-11-06,791.55
1990-11-07,789.3
1990-11-08,782.51
1990-11-09,782.51
1990-11-12,782.51
1990-11-13,787.03
1990-11-14,782.51
1990-11-15,789.3
1990-11-16,807.39
1990-11-19,825.48
1990-11-20,845.83
1990-11-21,850.36
1990-11-22,841.31
1990-11-23,870.71
1990-11-26,870.71
1990-11-27,891.07
1990-11-28,863.93
1990-11-29,823.22
1990-11-30,836.79
1990-12-03,854.88
1990-12-04,848.1
1990-12-05,841.31
1990-12-06,863.93
1990-12-07,882.02
1990-12-10,866.19
1990-12-11,843.57
1990-12-12,836.79
1990-12-13,836.79
1990-12-14,818.69
1990-12-17,789.3
1990-12-18,798.34
1990-12-19,814.17
1990-12-20,802.87
1990-12-21,814.17
1990-12-24,811.91
1990-12-25,811.91
1990-12-26,811.91
1990-12-27,816.44
1990-12-28,820.96
1990-12-31,818.69
1991-01-01,818.69
1991-01-02,796.08
1991-01-03,791.55
1991-01-04,805.12
1991-01-07,787.03
1991-01-08,780.25
1991-01-09,800.6
1991-01-10,791.55
1991-01-11,777.98
1991-01-14,755.37
1991-01-15,750.85
1991-01-16,759.89
1991-01-17,798.34
1991-01-18,798.34
1991-01-21,793.82
1991-01-22,809.65
1991-01-23,802.87
1991-01-24,805.12
1991-01-25,814.17
1991-01-28,811.91
1991-01-29,782.51
1991-01-30,814.17
1991-01-31,836.79
1991-02-01,823.22
1991-02-04,823.22
1991-02-05,857.14
1991-02-06,848.1
1991-02-07,868.45
1991-02-08,888.81
1991-02-11,897.85
1991-02-12,893.33
1991-02-13,902.38
1991-02-14,904.63
1991-02-15,877.5
1991-02-18,900.11
1991-02-19,872.97
1991-02-20,877.5
1991-02-21,882.02
1991-02-22,870.71
1991-02-25,886.54
1991-02-26,884.28
1991-02-27,904.63
1991-02-28,943.09
1991-03-01,970.22
1991-03-04,974.75
1991-03-05,999.62
1991-03-06,1024.5
1991-03-07,1013.19
1991-03-08,1047.12
1991-03-11,1019.98
1991-03-12,1022.24
1991-03-13,1038.07
1991-03-14,1083.3
1991-03-15,1062.95
1991-03-18,1053.9
1991-03-19,1029.03
1991-03-20,1006.41
1991-03-21,1026.76
1991-03-22,1001.89
1991-03-25,983.79
1991-03-26,992.84
1991-03-27,1004.15
1991-03-28,999.62
1991-03-29,999.62
1991-04-01,999.62
1991-04-02,1033.55
1991-04-03,1047.12
1991-04-04,1051.64
1991-04-05,1058.42
1991-04-08,1029.03
1991-04-09,1047.12
1991-04-10,1047.12
1991-04-11,1058.42
1991-04-12,1067.47
1991-04-15,1076.52
1991-04-16,1044.85
1991-04-17,1051.64
1991-04-18,1051.64
1991-04-19,1033.55
1991-04-22,1035.81
1991-04-23,1044.85
1991-04-24,1029.03
1991-04-25,1015.46
1991-04-26,999.62
1991-04-29,1008.67
1991-04-30,1006.41
1991-05-01,1015.46
1991-05-02,1026.76
1991-05-03,1022.24
1991-05-06,1022.24
1991-05-07,1029.03
1991-05-08,1026.76
1991-05-09,1029.03
1991-05-10,1022.24
1991-05-13,1013.19
1991-05-14,995.1
1991-05-15,992.84
1991-05-16,1006.41
1991-05-17,983.79
1991-05-20,981.53
1991-05-21,986.05
1991-05-22,972.48
1991-05-23,977.01
1991-05-24,977.01
1991-05-27,977.01
1991-05-28,990.58
1991-05-29,1004.15
1991-05-30,999.62
1991-05-31,1004.15
1991-06-03,1010.93
1991-06-04,999.62
1991-06-05,988.32
1991-06-06,979.27
1991-06-07,977.01
1991-06-10,977.01
1991-06-11,992.84
1991-06-12,992.84
1991-06-13,992.84
1991-06-14,977.01
1991-06-17,977.01
1991-06-18,977.01
1991-06-19,972.48
1991-06-20,981.53
1991-06-21,995.1
1991-06-24,983.79
1991-06-25,990.58
1991-06-26,988.32
1991-06-27,1004.15
1991-06-28,965.7
1991-07-01,981.53
1991-07-02,977.01
1991-07-03,979.27
1991-07-04,1006.41
1991-07-05,1004.15
1991-07-08,986.05
1991-07-09,988.32
1991-07-10,1004.15
1991-07-11,1006.41
1991-07-12,999.62
1991-07-15,1029.03
1991-07-16,1044.85
1991-07-17,1058.42
1991-07-18,1051.64
1991-07-19,1056.17
1991-07-22,1058.42
1991-07-23,1071.99
1991-07-24,1067.47
1991-07-25,1060.68
1991-07-26,1074.25
1991-07-29,1085.56
1991-07-30,1078.78
1991-07-31,1081.04
1991-08-01,1051.64
1991-08-02,1042.6
1991-08-05,1044.85
1991-08-06,1033.55
1991-08-07,1044.85
1991-08-08,1051.64
1991-08-09,1038.07
1991-08-12,1017.71
1991-08-13,1024.5
1991-08-14,1049.38
1991-08-15,1062.95
1991-08-16,1074.25
1991-08-19,1035.81
1991-08-20,1024.5
1991-08-21,1044.85
1991-08-22,1056.17
1991-08-23,1074.25
1991-08-26,1074.25
1991-08-27,1069.73
1991-08-28,1074.25
1991-08-29,1067.47
1991-08-30,1062.95
1991-09-02,1078.78
1991-09-03,1078.78
1991-09-04,1078.78
1991-09-05,1074.25
1991-09-06,1074.25
1991-09-09,1071.99
1991-09-10,1062.95
1991-09-11,1060.68
1991-09-12,1067.47
1991-09-13,1058.42
1991-09-16,1047.12
1991-09-17,1047.12
1991-09-18,1047.12
1991-09-19,1038.07
1991-09-20,1038.07
1991-09-23,1033.55
1991-09-24,1040.33
1991-09-25,1038.07
1991-09-26,1033.55
1991-09-27,1042.6
1991-09-30,1053.9
1991-10-01,1058.42
1991-10-02,1051.64
1991-10-03,1035.81
1991-10-04,1038.07
1991-10-07,1026.76
1991-10-08,1029.03
1991-10-09,1010.93
1991-10-10,1006.41
1991-10-11,997.36
1991-10-14,1015.46
1991-10-15,1017.71
1991-10-16,1015.46
1991-10-17,981.53
1991-10-18,977.01
1991-10-21,963.44
1991-10-22,963.44
1991-10-23,956.65
1991-10-24,947.61
1991-10-25,938.56
1991-10-28,945.34
1991-10-29,938.56
1991-10-30,961.18
1991-10-31,965.7
1991-11-01,940.82
1991-11-04,938.56
1991-11-05,911.42
1991-11-06,895.59
1991-11-07,897.85
1991-11-08,902.38
1991-11-11,904.63
1991-11-12,904.63
1991-11-13,902.38
1991-11-14,906.9
1991-11-15,904.63
1991-11-18,893.33
1991-11-19,870.71
1991-11-20,872.97
1991-11-21,872.97
1991-11-22,868.45
1991-11-25,877.5
1991-11-26,870.71
1991-11-27,848.1
1991-11-28,830.0
1991-11-29,830.0
1991-12-02,820.96
1991-12-03,805.12
1991-12-04,784.77
1991-12-05,757.63
1991-12-06,766.68
1991-12-09,780.25
1991-12-10,777.98
1991-12-11,782.51
1991-12-12,805.12
1991-12-13,839.05
1991-12-16,834.53
1991-12-17,814.17
1991-12-18,823.22
1991-12-19,823.22
1991-12-20,811.91
1991-12-23,811.91
1991-12-24,843.57
1991-12-25,843.57
1991-12-26,843.57
1991-12-27,852.62
1991-12-30,834.53
1991-12-31,857.14
1992-01-01,857.14
1992-01-02,836.79
1992-01-03,843.57
1992-01-06,823.22
1992-01-07,816.44
1992-01-08,814.17
1992-01-09,820.96
1992-01-10,807.39
1992-01-13,811.91
1992-01-14,814.17
1992-01-15,825.48
1992-01-16,863.93
1992-01-17,879.76
1992-01-20,888.81
1992-01-21,888.81
1992-01-22,879.76
1992-01-23,863.93
1992-01-24,861.67
1992-01-27,868.45
1992-01-28,872.97
1992-01-29,870.71
1992-01-30,861.67
1992-01-31,870.71
1992-02-03,866.19
1992-02-04,868.45
1992-02-05,875.24
1992-02-06,868.45
1992-02-07,854.88
1992-02-10,857.14
1992-02-11,863.93
1992-02-12,859.4
1992-02-13,863.93
1992-02-14,852.62
1992-02-17,852.62
1992-02-18,859.4
1992-02-19,866.19
1992-02-20,870.71
1992-02-21,875.24
1992-02-24,900.11
1992-02-25,891.07
1992-02-26,845.83
1992-02-27,832.26
1992-02-28,816.44
1992-03-02,818.69
1992-03-03,839.05
1992-03-04,843.57
1992-03-05,830.0
1992-03-06,836.79
1992-03-09,809.65
1992-03-10,820.96
1992-03-11,791.55
1992-03-12,777.98
1992-03-13,762.16
1992-03-16,759.89
1992-03-17,771.2
1992-03-18,746.32
1992-03-19,750.85
1992-03-20,748.59
1992-03-23,759.89
1992-03-24,755.37
1992-03-25,757.63
1992-03-26,757.63
1992-03-27,728.23
1992-03-30,716.92
1992-03-31,694.31
1992-04-01,676.22
1992-04-02,676.22
1992-04-03,649.08
1992-04-06,664.9
1992-04-07,667.17
1992-04-08,667.17
1992-04-09,687.52
1992-04-10,739.54
1992-04-13,712.4
1992-04-14,737.28
1992-04-15,759.89
1992-04-16,766.68
1992-04-17,766.68
1992-04-20,766.68
1992-04-21,755.37
1992-04-22,757.63
1992-04-23,757.63
1992-04-24,800.6
1992-04-27,811.91
1992-04-28,798.34
1992-04-29,784.77
1992-04-30,780.25
1992-05-01,780.25
1992-05-04,780.25
1992-05-05,780.25
1992-05-06,809.65
1992-05-07,811.91
1992-05-08,845.83
1992-05-11,861.67
1992-05-12,872.97
1992-05-13,877.5
1992-05-14,872.97
1992-05-15,859.4
1992-05-18,875.24
1992-05-19,897.85
1992-05-20,902.38
1992-05-21,895.59
1992-05-22,886.54
1992-05-25,886.54
1992-05-26,866.19
1992-05-27,845.83
1992-05-28,834.53
1992-05-29,848.1
1992-06-01,841.31
1992-06-02,850.36
1992-06-03,843.57
1992-06-04,834.53
1992-06-05,832.26
1992-06-08,816.44
1992-06-09,802.87
1992-06-10,800.6
1992-06-11,789.3
1992-06-12,773.46
1992-06-15,759.89
1992-06-16,764.42
1992-06-17,766.68
1992-06-18,755.37
1992-06-19,780.25
1992-06-22,773.46
1992-06-23,782.51
1992-06-24,784.77
1992-06-25,793.82
1992-06-26,766.68
1992-06-29,757.63
1992-06-30,746.32
1992-07-01,737.28
1992-07-02,741.8
1992-07-03,766.68
1992-07-06,737.28
1992-07-07,753.11
1992-07-08,741.8
1992-07-09,728.23
1992-07-10,723.71
1992-07-13,714.66
1992-07-14,716.92
1992-07-15,744.06
1992-07-16,739.54
1992-07-17,712.4
1992-07-20,689.79
1992-07-21,687.52
1992-07-22,678.47
1992-07-23,710.14
1992-07-24,694.31
1992-07-27,689.79
1992-07-28,712.4
1992-07-29,728.23
1992-07-30,721.45
1992-07-31,710.14
1992-08-03,716.92
1992-08-04,735.02
1992-08-05,732.75
1992-08-06,755.37
1992-08-07,732.75
1992-08-10,687.52
1992-08-11,678.47
1992-08-12,683.0
1992-08-13,655.86
1992-08-14,667.17
1992-08-17,689.79
1992-08-18,676.22
1992-08-19,678.47
1992-08-20,669.43
1992-08-21,671.69
1992-08-24,635.51
1992-08-25,633.24
1992-08-26,646.81
1992-08-27,649.08
1992-08-28,651.34
1992-08-31,651.34
1992-09-01,646.81
1992-09-02,655.86
1992-09-03,683.0
1992-09-04,662.65
1992-09-07,669.43
1992-09-08,678.47
1992-09-09,673.95
1992-09-10,678.47
1992-09-11,710.14
1992-09-14,730.49
1992-09-15,701.09
1992-09-16,658.12
1992-09-17,759.89
1992-09-18,782.51
1992-09-21,777.98
1992-09-22,780.25
1992-09-23,787.03
1992-09-24,827.74
