Date,Price
1995-01-03,187.05
1995-01-04,188.34
1995-01-05,189.2
1995-01-06,193.06
1995-01-09,193.06
1995-01-10,193.49
1995-01-11,192.63
1995-01-12,193.06
1995-01-13,193.06
1995-01-16,197.57
1995-01-17,196.06
1995-01-18,193.27
1995-01-19,190.49
1995-01-20,189.2
1995-01-23,185.34
1995-01-24,184.47
1995-01-25,187.91
1995-01-26,193.49
1995-01-27,192.85
1995-01-30,190.92
1995-01-31,192.21
1995-02-01,190.49
1995-02-02,192.63
1995-02-03,192.21
1995-02-06,192.63
1995-02-07,193.92
1995-02-08,195.63
1995-02-09,196.92
1995-02-10,197.77
1995-02-13,194.77
1995-02-14,191.34
1995-02-15,192.41
1995-02-16,189.2
1995-02-17,185.34
1995-02-20,181.04
1995-02-21,178.47
1995-02-22,177.62
1995-02-23,182.76
1995-02-24,181.91
1995-02-27,178.26
1995-02-28,178.47
1995-03-01,182.76
1995-03-02,184.91
1995-03-03,185.34
1995-03-06,180.4
1995-03-07,176.33
1995-03-08,181.04
1995-03-09,179.55
1995-03-10,184.05
1995-03-13,184.05
1995-03-14,187.91
1995-03-15,186.2
1995-03-16,186.63
1995-03-17,185.76
1995-03-20,178.47
1995-03-21,184.91
1995-03-22,187.91
1995-03-23,186.2
1995-03-24,190.05
1995-03-27,189.63
1995-03-28,186.63
1995-03-29,186.63
1995-03-30,192.21
1995-03-31,188.34
1995-04-03,186.63
1995-04-04,188.76
1995-04-05,190.92
1995-04-06,192.63
1995-04-07,194.34
1995-04-10,193.06
1995-04-11,191.34
1995-04-12,193.49
1995-04-13,193.49
1995-04-14,193.49
1995-04-17,193.49
1995-04-18,190.92
1995-04-19,190.49
1995-04-20,190.05
1995-04-21,195.63
1995-04-24,197.35
1995-04-25,200.15
1995-04-26,201.64
1995-04-27,202.5
1995-04-28,201.21
1995-05-01,202.93
1995-05-02,204.64
1995-05-03,203.35
1995-05-04,202.5
1995-05-05,203.35
1995-05-08,203.35
1995-05-09,204.86
1995-05-10,206.36
1995-05-11,209.8
1995-05-12,211.94
1995-05-15,211.94
1995-05-16,208.51
1995-05-17,208.93
1995-05-18,208.71
1995-05-19,207.64
1995-05-22,209.8
1995-05-23,211.51
1995-05-24,210.65
1995-05-25,211.51
1995-05-26,209.8
1995-05-29,209.8
1995-05-30,209.8
1995-05-31,211.07
1995-06-01,213.23
1995-06-02,212.8
1995-06-05,215.16
1995-06-06,217.72
1995-06-07,218.81
1995-06-08,219.66
1995-06-09,213.23
1995-06-12,213.65
1995-06-13,211.51
1995-06-14,211.94
1995-06-15,214.51
1995-06-16,216.23
1995-06-19,218.81
1995-06-20,215.36
1995-06-21,213.23
1995-06-22,214.51
