Date,Price
1990-01-02,5.24
1990-01-03,5.37
1990-01-04,5.27
1990-01-05,5.19
1990-01-08,5.24
1990-01-09,5.21
1990-01-10,5.11
1990-01-11,5.11
1990-01-12,4.96
1990-01-15,4.96
1990-01-16,4.96
1990-01-17,4.96
1990-01-18,5.01
1990-01-19,5.06
1990-01-22,4.96
1990-01-23,4.88
1990-01-24,4.96
1990-01-25,5.01
1990-01-26,4.88
1990-01-29,4.8
1990-01-30,4.83
1990-01-31,4.88
1990-02-01,4.8
1990-02-02,4.85
1990-02-05,4.8
1990-02-06,4.78
1990-02-07,4.93
1990-02-08,5.03
1990-02-09,5.06
1990-02-12,4.98
1990-02-13,4.98
1990-02-14,5.01
1990-02-15,5.09
1990-02-16,5.03
1990-02-20,4.91
1990-02-21,4.91
1990-02-22,4.93
1990-02-23,4.85
1990-02-26,4.88
1990-02-27,4.98
1990-02-28,5.11
1990-03-01,5.11
1990-03-02,5.09
1990-03-05,5.03
1990-03-06,5.01
1990-03-07,5.09
1990-03-08,5.15
1990-03-09,5.15
1990-03-12,5.09
1990-03-13,4.99
1990-03-14,5.02
1990-03-15,5.02
1990-03-16,5.02
1990-03-19,5.04
1990-03-20,4.99
1990-03-21,4.94
1990-03-22,4.94
1990-03-23,4.96
1990-03-26,4.96
1990-03-27,5.04
1990-03-28,5.02
1990-03-29,5.07
1990-03-30,5.02
1990-04-02,4.96
1990-04-03,5.09
1990-04-04,5.04
1990-04-05,4.73
1990-04-06,4.6
1990-04-09,4.71
1990-04-10,4.68
1990-04-11,4.68
1990-04-12,4.65
1990-04-16,4.65
1990-04-17,4.55
1990-04-18,4.52
1990-04-19,4.47
1990-04-20,4.42
1990-04-23,4.32
1990-04-24,4.34
1990-04-25,4.34
1990-04-26,4.32
1990-04-27,4.27
1990-04-30,4.29
1990-05-01,4.32
1990-05-02,4.45
1990-05-03,4.45
1990-05-04,4.45
1990-05-07,4.58
1990-05-08,4.73
1990-05-09,4.76
1990-05-10,4.73
1990-05-11,4.76
1990-05-14,4.81
1990-05-15,4.73
1990-05-16,4.68
1990-05-17,4.76
1990-05-18,4.76
1990-05-21,4.81
1990-05-22,4.78
1990-05-23,4.81
1990-05-24,4.71
1990-05-25,4.73
1990-05-29,4.76
1990-05-30,4.78
1990-05-31,4.86
1990-06-01,4.83
1990-06-04,4.89
1990-06-05,4.83
1990-06-06,4.86
1990-06-07,4.89
1990-06-08,4.92
1990-06-11,5.02
1990-06-12,5.18
1990-06-13,5.18
1990-06-14,5.13
1990-06-15,5.23
1990-06-18,5.13
1990-06-19,5.1
1990-06-20,5.21
1990-06-21,5.23
1990-06-22,5.21
1990-06-25,5.08
1990-06-26,5.02
1990-06-27,5.08
1990-06-28,5.08
1990-06-29,5.0
1990-07-02,5.0
1990-07-03,5.02
1990-07-05,5.02
1990-07-06,5.15
1990-07-09,5.13
1990-07-10,5.15
1990-07-11,5.21
1990-07-12,5.34
1990-07-13,5.41
1990-07-16,5.54
1990-07-17,5.67
1990-07-18,5.6
1990-07-19,5.62
1990-07-20,5.54
1990-07-23,5.41
1990-07-24,5.39
1990-07-25,5.52
1990-07-26,5.47
1990-07-27,5.34
1990-07-30,5.28
1990-07-31,5.34
1990-08-01,5.41
1990-08-02,5.34
1990-08-03,5.21
1990-08-06,4.89
1990-08-07,5.05
1990-08-08,5.15
1990-08-09,5.18
1990-08-10,5.08
1990-08-13,5.15
1990-08-14,5.13
1990-08-15,5.15
1990-08-16,5.05
1990-08-17,4.92
1990-08-20,4.84
1990-08-21,4.69
1990-08-22,4.61
1990-08-23,4.56
1990-08-24,4.79
1990-08-27,4.95
1990-08-28,4.92
1990-08-29,4.92
1990-08-30,4.84
1990-08-31,4.92
1990-09-04,4.87
1990-09-05,4.95
1990-09-06,4.93
1990-09-07,4.98
1990-09-10,5.03
1990-09-11,4.98
1990-09-12,4.98
1990-09-13,4.98
1990-09-14,4.95
1990-09-17,4.98
1990-09-18,4.9
1990-09-19,4.98
1990-09-20,4.93
1990-09-21,4.98
1990-09-24,4.8
1990-09-25,4.95
1990-09-26,4.93
1990-09-27,4.85
1990-09-28,5.06
1990-10-01,5.24
1990-10-02,5.19
1990-10-03,5.11
1990-10-04,5.35
1990-10-05,5.32
1990-10-08,5.32
1990-10-09,5.19
1990-10-10,5.19
1990-10-11,5.06
1990-10-12,5.16
1990-10-15,5.37
1990-10-16,5.35
1990-10-17,5.35
1990-10-18,5.56
1990-10-19,5.63
1990-10-22,5.66
1990-10-23,5.53
1990-10-24,5.58
1990-10-25,5.45
1990-10-26,5.37
1990-10-29,5.35
1990-10-30,5.4
1990-10-31,5.32
1990-11-01,5.35
1990-11-02,5.43
1990-11-05,5.61
1990-11-06,5.5
1990-11-07,5.43
1990-11-08,5.35
1990-11-09,5.48
1990-11-12,5.53
1990-11-13,5.58
1990-11-14,5.56
1990-11-15,5.48
1990-11-16,5.58
1990-11-19,5.66
1990-11-20,5.48
1990-11-21,5.48
1990-11-23,5.45
1990-11-26,5.5
1990-11-27,5.66
1990-11-28,5.71
1990-11-29,5.84
1990-11-30,5.9
1990-12-03,5.9
1990-12-04,5.98
1990-12-05,6.08
1990-12-06,6.01
1990-12-07,5.88
1990-12-10,5.98
1990-12-11,6.06
1990-12-12,6.04
1990-12-13,6.04
1990-12-14,5.93
1990-12-17,5.9
1990-12-18,5.96
1990-12-19,5.98
1990-12-20,5.93
1990-12-21,5.9
1990-12-24,5.85
1990-12-26,5.93
1990-12-27,5.85
1990-12-28,5.88
1990-12-31,5.88
1991-01-02,5.77
1991-01-03,5.67
1991-01-04,5.53
1991-01-07,5.4
1991-01-08,5.43
1991-01-09,5.51
1991-01-10,5.51
1991-01-11,5.61
1991-01-14,5.59
1991-01-15,5.67
1991-01-16,5.69
1991-01-17,5.85
1991-01-18,5.9
1991-01-21,5.85
1991-01-22,5.9
1991-01-23,6.04
1991-01-24,6.17
1991-01-25,6.14
1991-01-28,6.14
1991-01-29,6.11
1991-01-30,6.22
1991-01-31,6.22
1991-02-01,6.17
1991-02-04,6.19
1991-02-05,6.32
1991-02-06,6.35
1991-02-07,6.38
1991-02-08,6.38
1991-02-11,6.51
1991-02-12,6.43
1991-02-13,6.46
1991-02-14,6.38
1991-02-15,6.51
1991-02-19,6.64
1991-02-20,6.48
1991-02-21,6.56
1991-02-22,6.61
1991-02-25,6.46
1991-02-26,6.54
1991-02-27,6.59
1991-02-28,6.59
1991-03-01,6.48
1991-03-04,6.61
1991-03-05,6.75
1991-03-06,6.69
1991-03-07,6.84
1991-03-08,7.02
1991-03-11,6.81
1991-03-12,6.49
1991-03-13,6.79
1991-03-14,6.87
1991-03-15,6.76
1991-03-18,6.68
1991-03-19,6.55
1991-03-20,6.73
1991-03-21,6.81
1991-03-22,6.89
1991-03-25,7.08
1991-03-26,7.26
1991-03-27,7.13
1991-03-28,7.05
1991-04-01,7.0
1991-04-02,7.24
1991-04-03,7.34
1991-04-04,7.45
1991-04-05,7.32
1991-04-08,7.34
1991-04-09,7.32
1991-04-10,7.34
1991-04-11,7.45
1991-04-12,7.48
1991-04-15,7.61
1991-04-16,7.53
1991-04-17,7.71
1991-04-18,7.79
1991-04-19,7.61
1991-04-22,7.5
1991-04-23,7.61
1991-04-24,7.55
1991-04-25,7.37
1991-04-26,7.37
1991-04-29,7.24
1991-04-30,7.29
1991-05-01,7.55
1991-05-02,7.53
1991-05-03,7.42
1991-05-06,7.42
1991-05-07,7.32
1991-05-08,7.4
1991-05-09,7.48
1991-05-10,7.21
1991-05-13,7.26
1991-05-14,7.13
1991-05-15,6.95
1991-05-16,7.13
1991-05-17,7.02
1991-05-20,7.16
1991-05-21,7.29
1991-05-22,7.37
1991-05-23,7.4
1991-05-24,7.48
1991-05-28,7.5
1991-05-29,7.45
1991-05-30,7.42
1991-05-31,7.32
1991-06-03,7.1
1991-06-04,7.21
1991-06-05,7.05
1991-06-06,7.06
1991-06-07,6.9
1991-06-10,6.82
1991-06-11,6.88
1991-06-12,6.85
1991-06-13,6.98
1991-06-14,7.01
1991-06-17,6.82
1991-06-18,6.82
1991-06-19,6.8
1991-06-20,6.9
1991-06-21,6.93
1991-06-24,6.72
1991-06-25,6.88
1991-06-26,6.9
1991-06-27,6.93
1991-06-28,6.88
1991-07-01,6.98
1991-07-02,6.98
1991-07-03,6.93
1991-07-05,6.98
1991-07-08,7.01
1991-07-09,6.98
1991-07-10,6.98
1991-07-11,6.93
1991-07-12,6.9
1991-07-15,6.98
1991-07-16,7.12
1991-07-17,7.28
1991-07-18,7.36
1991-07-19,7.3
1991-07-22,7.17
1991-07-23,7.09
1991-07-24,7.09
1991-07-25,7.25
1991-07-26,7.38
1991-07-29,7.46
1991-07-30,7.52
1991-07-31,7.38
1991-08-01,7.44
1991-08-02,7.52
1991-08-05,7.41
1991-08-06,7.6
1991-08-07,7.57
1991-08-08,7.46
1991-08-09,7.62
1991-08-12,7.6
1991-08-13,7.54
1991-08-14,7.44
1991-08-15,7.52
1991-08-16,7.46
1991-08-19,7.17
1991-08-20,7.3
1991-08-21,7.54
1991-08-22,7.6
1991-08-23,7.62
1991-08-26,7.65
1991-08-27,7.6
1991-08-28,7.68
1991-08-29,7.65
1991-08-30,7.6
1991-09-03,7.68
