Date,Price
2000-01-03,35.59
2000-01-04,34.65
2000-01-05,33.77
2000-01-06,34.77
2000-01-07,36.22
2000-01-10,37.53
2000-01-11,36.42
2000-01-12,34.85
2000-01-13,34.61
2000-01-14,35.44
2000-01-17,36.42
2000-01-18,35.51
2000-01-19,35.51
2000-01-20,35.04
2000-01-21,34.45
2000-01-24,34.65
2000-01-25,32.84
2000-01-26,32.76
2000-01-27,32.21
2000-01-28,32.4
2000-01-31,31.44
2000-02-01,31.54
2000-02-02,32.92
2000-02-03,33.51
2000-02-04,32.6
2000-02-07,31.73
2000-02-08,34.1
2000-02-09,34.49
2000-02-10,35.04
2000-02-11,33.86
2000-02-14,34.41
2000-02-15,32.48
2000-02-16,33.55
2000-02-17,34.57
2000-02-18,34.63
2000-02-21,34.18
2000-02-22,34.57
2000-02-23,34.41
2000-02-24,33.62
2000-02-25,33.7
2000-02-28,33.74
2000-02-29,34.48
2000-03-01,33.62
2000-03-02,33.74
2000-03-03,32.99
2000-03-06,33.08
2000-03-07,32.1
2000-03-08,31.99
2000-03-09,32.84
2000-03-10,32.01
2000-03-13,32.53
2000-03-14,32.77
2000-03-15,33.09
2000-03-16,35.51
2000-03-17,36.14
2000-03-20,35.92
2000-03-21,35.63
2000-03-22,35.4
2000-03-23,34.65
2000-03-24,34.65
2000-03-27,35.13
2000-03-28,36.11
2000-03-29,36.95
2000-03-30,36.85
2000-03-31,36.84
2000-04-03,36.97
2000-04-04,37.4
2000-04-05,35.83
2000-04-06,34.88
2000-04-07,34.58
2000-04-10,35.51
2000-04-11,34.96
2000-04-12,35.25
2000-04-13,35.08
2000-04-14,34.9
2000-04-17,34.37
2000-04-18,34.22
2000-04-19,33.66
2000-04-20,33.51
2000-04-21,33.51
2000-04-24,33.51
2000-04-25,34.55
2000-04-26,35.12
2000-04-27,34.77
2000-04-28,36.09
2000-05-01,36.09
2000-05-02,34.96
2000-05-03,34.71
2000-05-04,35.24
2000-05-05,34.88
2000-05-08,34.59
2000-05-09,34.59
2000-05-10,34.25
2000-05-11,34.29
2000-05-12,34.12
2000-05-15,33.66
2000-05-16,34.18
2000-05-17,33.74
2000-05-18,33.61
2000-05-19,33.51
2000-05-22,33.47
2000-05-23,33.89
2000-05-24,34.01
2000-05-25,33.22
2000-05-26,32.76
2000-05-29,33.21
2000-05-30,33.29
2000-05-31,32.6
2000-06-01,32.92
2000-06-02,32.99
2000-06-05,33.31
2000-06-06,32.67
2000-06-07,33.08
2000-06-08,32.61
2000-06-09,33.39
2000-06-12,33.44
2000-06-13,33.24
2000-06-14,33.06
2000-06-15,32.13
2000-06-16,24.41
2000-06-19,31.42
2000-06-20,31.34
2000-06-21,30.83
2000-06-22,30.47
2000-06-23,30.36
2000-06-26,30.58
2000-06-27,30.62
2000-06-28,31.42
2000-06-29,30.96
2000-06-30,32.33
2000-07-03,32.58
2000-07-04,33.07
2000-07-05,33.07
2000-07-06,32.48
2000-07-07,32.48
2000-07-10,33.11
2000-07-11,32.96
2000-07-12,34.2
2000-07-13,34.2
2000-07-14,33.46
2000-07-17,33.98
2000-07-18,33.74
2000-07-19,33.84
2000-07-20,34.38
2000-07-21,34.14
2000-07-24,34.52
2000-07-25,35.44
2000-07-26,35.4
2000-07-27,34.53
2000-07-28,35.63
2000-07-31,35.48
2000-08-01,35.48
2000-08-02,35.51
2000-08-03,35.51
2000-08-04,35.32
2000-08-07,35.7
2000-08-08,35.36
2000-08-09,35.14
2000-08-10,35.32
2000-08-11,35.91
2000-08-14,36.26
2000-08-15,36.72
2000-08-16,36.85
2000-08-17,36.25
2000-08-18,36.63
2000-08-21,36.93
2000-08-22,37.26
2000-08-23,37.34
2000-08-24,37.22
2000-08-25,38.3
2000-08-28,38.03
2000-08-29,37.78
2000-08-30,37.64
2000-08-31,37.22
2000-09-01,36.74
2000-09-04,36.73
2000-09-05,36.95
2000-09-06,36.96
2000-09-07,36.11
2000-09-08,35.04
2000-09-11,34.92
2000-09-12,34.88
2000-09-13,34.88
2000-09-14,34.98
2000-09-15,34.85
2000-09-18,34.22
2000-09-19,34.57
2000-09-20,33.09
2000-09-21,32.55
2000-09-22,34.41
2000-09-25,33.98
2000-09-26,33.23
2000-09-27,33.18
2000-09-28,33.43
2000-09-29,32.99
2000-10-02,34.08
2000-10-03,34.08
2000-10-04,34.77
2000-10-05,35.59
2000-10-06,36.22
2000-10-09,35.51
2000-10-10,35.66
2000-10-11,35.45
2000-10-12,34.44
2000-10-13,34.44
2000-10-16,34.44
2000-10-17,34.44
2000-10-18,34.44
2000-10-19,34.44
2000-10-20,34.44
2000-10-23,36.85
2000-10-24,36.85
2000-10-25,37.49
2000-10-26,38.0
2000-10-27,38.62
2000-10-30,38.86
2000-10-31,38.86
2000-11-01,40.63
2000-11-02,39.81
2000-11-03,40.55
2000-11-06,40.87
2000-11-07,40.95
2000-11-08,40.69
2000-11-09,40.11
2000-11-10,39.22
2000-11-13,39.06
2000-11-14,39.06
2000-11-15,40.63
2000-11-16,39.22
2000-11-17,38.82
2000-11-20,37.96
2000-11-21,38.94
2000-11-22,38.39
2000-11-23,38.43
2000-11-24,38.69
2000-11-27,39.27
2000-11-28,40.2
2000-11-29,40.33
2000-11-30,39.98
2000-12-01,40.14
2000-12-04,40.12
2000-12-05,41.32
2000-12-06,42.48
2000-12-07,42.21
2000-12-08,43.78
2000-12-11,43.37
2000-12-12,41.64
2000-12-13,41.11
2000-12-14,41.18
2000-12-15,41.33
2000-12-18,42.52
2000-12-19,43.0
2000-12-20,43.19
2000-12-21,42.21
2000-12-22,42.37
2000-12-27,43.11
2000-12-28,44.02
2000-12-29,44.0
2001-01-01,44.0
2001-01-02,44.73
2001-01-03,44.01
2001-01-04,41.93
2001-01-05,41.93
2001-01-08,42.21
2001-01-09,41.11
2001-01-10,39.96
2001-01-11,40.4
2001-01-12,40.63
2001-01-15,41.41
2001-01-16,40.69
2001-01-17,40.99
2001-01-18,40.38
2001-01-19,40.04
2001-01-22,40.17
2001-01-23,40.71
2001-01-24,40.71
2001-01-25,40.78
2001-01-26,41.11
2001-01-29,41.34
2001-01-30,41.88
2001-01-31,41.64
2001-02-01,41.8
2001-02-02,41.81
2001-02-05,41.81
2001-02-06,41.88
2001-02-07,41.54
2001-02-08,41.42
2001-02-09,41.33
2001-02-12,41.49
2001-02-13,41.34
2001-02-14,41.26
2001-02-15,41.26
2001-02-16,42.05
2001-02-19,42.76
2001-02-20,42.13
2001-02-21,42.22
2001-02-22,41.93
2001-02-23,40.4
2001-02-26,41.58
2001-02-27,41.42
2001-02-28,41.89
2001-03-01,41.81
2001-03-02,41.62
2001-03-05,41.66
2001-03-06,41.08
2001-03-07,41.5
2001-03-08,41.78
2001-03-09,41.54
2001-03-12,41.13
2001-03-13,40.18
2001-03-15,39.55
2001-03-16,38.93
2001-03-19,38.35
2001-03-20,38.55
2001-03-21,37.44
2001-03-22,35.99
2001-03-23,36.62
2001-03-26,37.4
2001-03-27,39.37
2001-03-28,38.64
2001-03-29,38.62
2001-03-30,37.91
2001-04-02,37.44
2001-04-03,36.93
2001-04-04,36.42
2001-04-05,36.67
2001-04-06,36.34
2001-04-09,37.53
2001-04-10,37.8
2001-04-11,38.19
2001-04-12,38.51
2001-04-13,38.51
2001-04-16,38.51
2001-04-17,38.55
2001-04-18,38.86
2001-04-19,39.36
2001-04-20,39.16
2001-04-23,38.33
2001-04-24,38.66
2001-04-25,38.11
