Date,Price
1990-01-02,5.34
1990-01-03,5.29
1990-01-04,5.25
1990-01-05,5.24
1990-01-08,5.27
1990-01-09,5.24
1990-01-10,5.16
1990-01-11,5.23
1990-01-12,5.14
1990-01-15,5.07
1990-01-16,5.05
1990-01-17,5.1
1990-01-18,5.03
1990-01-19,5.05
1990-01-22,5.01
1990-01-23,5.0
1990-01-24,4.94
1990-01-25,4.91
1990-01-26,4.8
1990-01-29,4.81
1990-01-30,4.79
1990-01-31,4.89
1990-02-01,4.9
1990-02-02,4.99
1990-02-05,4.95
1990-02-06,4.94
1990-02-07,5.01
1990-02-08,5.06
1990-02-09,5.09
1990-02-12,5.06
1990-02-13,5.15
1990-02-14,5.18
1990-02-15,5.17
1990-02-16,5.11
1990-02-20,5.08
1990-02-21,5.09
1990-02-22,5.08
1990-02-23,5.05
1990-02-26,5.05
1990-02-27,5.07
1990-02-28,5.08
1990-03-01,5.01
1990-03-02,5.06
1990-03-05,5.04
1990-03-06,5.09
1990-03-07,5.12
1990-03-08,5.25
1990-03-09,5.16
1990-03-12,5.21
1990-03-13,5.15
1990-03-14,5.12
1990-03-15,5.2
1990-03-16,5.13
1990-03-19,5.22
1990-03-20,5.24
1990-03-21,5.25
1990-03-22,5.1
1990-03-23,5.14
1990-03-26,5.13
1990-03-27,5.14
1990-03-28,5.12
1990-03-29,5.15
1990-03-30,5.19
1990-04-02,5.13
1990-04-03,5.18
1990-04-04,5.09
1990-04-05,5.14
1990-04-06,5.13
1990-04-09,5.11
1990-04-10,5.1
1990-04-11,5.1
1990-04-12,5.13
1990-04-16,5.21
1990-04-17,5.22
1990-04-18,5.2
1990-04-19,5.16
1990-04-20,5.12
1990-04-23,5.07
1990-04-24,5.08
1990-04-25,5.11
1990-04-26,5.1
1990-04-27,4.99
1990-04-30,5.08
1990-05-01,5.14
1990-05-02,5.19
1990-05-03,5.16
1990-05-04,5.18
1990-05-07,5.29
1990-05-08,5.39
1990-05-09,5.45
1990-05-10,5.49
1990-05-11,5.51
1990-05-14,5.51
1990-05-15,5.57
1990-05-16,5.5
1990-05-17,5.48
1990-05-18,5.4
1990-05-21,5.4
1990-05-22,5.55
1990-05-23,5.56
1990-05-24,5.74
1990-05-25,5.7
1990-05-29,5.74
1990-05-30,5.8
1990-05-31,5.76
1990-06-01,5.85
1990-06-04,5.9
1990-06-05,5.94
1990-06-06,5.9
1990-06-07,6.01
1990-06-08,5.96
1990-06-11,6.04
1990-06-12,6.13
1990-06-13,6.18
1990-06-14,6.23
1990-06-15,6.19
1990-06-18,6.08
1990-06-19,6.0
1990-06-20,6.01
1990-06-21,6.05
1990-06-22,5.98
1990-06-25,5.94
1990-06-26,5.95
1990-06-27,6.04
1990-06-28,6.1
1990-06-29,6.04
1990-07-02,6.09
1990-07-03,6.16
1990-07-05,6.11
1990-07-06,6.15
1990-07-09,6.16
1990-07-10,6.14
1990-07-11,6.24
1990-07-12,6.27
1990-07-13,6.28
1990-07-16,6.35
1990-07-17,6.35
1990-07-18,6.29
1990-07-19,6.37
1990-07-20,6.33
