Date,Price
2000-01-03,14.05
2000-01-04,12.66
2000-01-05,12.47
2000-01-06,12.98
2000-01-07,13.26
2000-01-10,13.46
2000-01-11,12.99
2000-01-12,12.89
2000-01-13,13.16
2000-01-14,13.41
2000-01-17,13.85
2000-01-18,13.46
2000-01-19,13.83
2000-01-20,13.13
2000-01-21,12.94
2000-01-24,12.84
2000-01-25,12.66
2000-01-26,13.36
2000-01-27,13.46
2000-01-28,13.46
2000-01-31,12.77
2000-02-01,13.46
2000-02-02,13.26
2000-02-03,13.45
2000-02-04,13.46
2000-02-07,13.3
2000-02-08,13.46
2000-02-09,13.41
2000-02-10,15.04
2000-02-11,14.74
2000-02-14,14.05
2000-02-15,14.21
2000-02-16,14.33
2000-02-17,13.31
2000-02-18,13.32
2000-02-21,13.4
2000-02-22,13.61
2000-02-23,13.26
2000-02-24,12.96
2000-02-25,12.66
2000-02-28,12.27
2000-02-29,12.44
2000-03-01,11.97
2000-03-02,11.97
2000-03-03,12.37
2000-03-06,12.53
2000-03-07,12.25
2000-03-08,12.23
2000-03-09,11.99
2000-03-10,11.84
2000-03-13,12.66
2000-03-14,12.07
2000-03-15,11.98
2000-03-16,12.43
2000-03-17,12.64
2000-03-20,12.63
2000-03-21,12.76
2000-03-22,12.82
2000-03-23,12.71
2000-03-24,13.46
2000-03-27,14.09
2000-03-28,14.25
2000-03-29,14.31
2000-03-30,14.25
2000-03-31,15.04
2000-04-03,13.85
2000-04-04,13.89
2000-04-05,13.66
2000-04-06,13.85
2000-04-07,13.77
2000-04-10,14.47
2000-04-11,13.58
2000-04-12,13.85
2000-04-13,13.6
2000-04-14,13.26
2000-04-17,13.46
2000-04-18,13.5
2000-04-19,13.83
2000-04-20,13.46
2000-04-21,13.46
2000-04-24,13.46
2000-04-25,13.42
2000-04-26,13.61
2000-04-27,13.65
2000-04-28,14.19
2000-05-01,14.19
2000-05-02,14.03
2000-05-03,14.05
2000-05-04,14.35
2000-05-05,14.84
2000-05-08,15.14
2000-05-09,15.14
2000-05-10,15.11
2000-05-11,14.48
2000-05-12,15.2
2000-05-15,15.24
2000-05-16,15.24
2000-05-17,15.75
2000-05-18,16.78
2000-05-19,16.42
2000-05-22,17.02
2000-05-23,17.12
2000-05-24,17.32
2000-05-25,16.82
2000-05-26,15.81
2000-05-29,15.83
2000-05-30,16.33
2000-05-31,16.13
2000-06-01,16.82
2000-06-02,15.93
2000-06-05,16.99
2000-06-06,17.22
2000-06-07,16.82
2000-06-08,16.98
2000-06-09,17.18
2000-06-12,17.51
2000-06-13,17.71
2000-06-14,17.02
2000-06-15,16.92
2000-06-16,17.53
2000-06-19,17.49
2000-06-20,17.54
2000-06-21,19.27
