Date,Price
1990-01-02,4.32
1990-01-03,4.43
1990-01-04,4.45
1990-01-05,4.4
1990-01-08,4.35
1990-01-09,4.23
1990-01-10,4.13
1990-01-11,4.13
1990-01-12,4.06
1990-01-15,4.03
1990-01-16,3.98
1990-01-17,3.88
1990-01-18,3.85
1990-01-19,3.88
1990-01-22,3.8
1990-01-23,3.81
1990-01-24,3.74
1990-01-25,3.59
1990-01-26,3.55
1990-01-29,3.52
1990-01-30,3.55
1990-01-31,3.67
1990-02-01,3.67
1990-02-02,3.72
1990-02-05,3.73
1990-02-06,3.63
1990-02-07,3.73
1990-02-08,3.75
1990-02-09,3.77
1990-02-12,3.7
1990-02-13,3.74
1990-02-14,3.83
1990-02-15,3.78
1990-02-16,3.69
1990-02-20,3.61
1990-02-21,3.58
1990-02-22,3.5
1990-02-23,3.46
1990-02-26,3.63
1990-02-27,3.66
1990-02-28,3.69
1990-03-01,3.69
1990-03-02,3.72
1990-03-05,3.64
1990-03-06,3.65
1990-03-07,3.65
1990-03-08,3.65
1990-03-09,3.64
1990-03-12,3.61
1990-03-13,3.59
1990-03-14,3.59
1990-03-15,3.58
1990-03-16,3.59
1990-03-19,3.58
1990-03-20,3.5
1990-03-21,3.48
1990-03-22,3.38
1990-03-23,3.35
1990-03-26,3.41
1990-03-27,3.4
1990-03-28,3.33
1990-03-29,3.26
1990-03-30,3.25
1990-04-02,3.24
1990-04-03,3.23
1990-04-04,3.2
1990-04-05,3.16
1990-04-06,3.14
1990-04-09,3.15
1990-04-10,3.18
1990-04-11,3.18
1990-04-12,3.22
1990-04-16,3.18
1990-04-17,3.19
1990-04-18,3.18
1990-04-19,3.18
1990-04-20,3.14
1990-04-23,3.14
1990-04-24,3.14
1990-04-25,3.14
1990-04-26,3.1
1990-04-27,3.01
1990-04-30,3.01
1990-05-01,3.01
1990-05-02,3.03
1990-05-03,3.03
1990-05-04,3.08
1990-05-07,3.12
1990-05-08,3.16
1990-05-09,3.21
1990-05-10,3.19
1990-05-11,3.21
1990-05-14,3.33
1990-05-15,3.3
1990-05-16,3.32
1990-05-17,3.37
1990-05-18,3.44
1990-05-21,3.53
1990-05-22,3.55
1990-05-23,3.62
1990-05-24,3.69
1990-05-25,3.61
1990-05-29,3.72
1990-05-30,3.68
1990-05-31,3.71
1990-06-01,3.62
1990-06-04,3.67
1990-06-05,3.68
1990-06-06,3.68
1990-06-07,3.62
1990-06-08,3.51
1990-06-11,3.55
1990-06-12,3.55
1990-06-13,3.52
1990-06-14,3.5
1990-06-15,3.53
1990-06-18,3.5
1990-06-19,3.52
1990-06-20,3.53
1990-06-21,3.53
1990-06-22,3.49
1990-06-25,3.48
1990-06-26,3.48
1990-06-27,3.51
1990-06-28,3.56
1990-06-29,3.58
1990-07-02,3.57
1990-07-03,3.57
1990-07-05,3.49
1990-07-06,3.5
1990-07-09,3.52
1990-07-10,3.45
1990-07-11,3.5
1990-07-12,3.54
1990-07-13,3.5
1990-07-16,3.51
1990-07-17,3.48
1990-07-18,3.48
1990-07-19,3.46
1990-07-20,3.43
1990-07-23,3.44
1990-07-24,3.45
1990-07-25,3.42
1990-07-26,3.48
1990-07-27,3.48
1990-07-30,3.52
1990-07-31,3.5
1990-08-01,3.46
1990-08-02,3.46
1990-08-03,3.46
1990-08-06,3.32
1990-08-07,3.32
1990-08-08,3.28
1990-08-09,3.3
1990-08-10,3.21
1990-08-13,3.22
1990-08-14,3.23
1990-08-15,3.24
1990-08-16,3.17
1990-08-17,3.14
1990-08-20,3.17
1990-08-21,3.12
1990-08-22,3.04
1990-08-23,2.96
1990-08-24,2.87
1990-08-27,3.03
1990-08-28,3.01
1990-08-29,3.19
1990-08-30,3.11
1990-08-31,3.25
1990-09-04,3.2
1990-09-05,3.08
1990-09-06,3.0
1990-09-07,2.98
1990-09-10,2.99
1990-09-11,3.0
1990-09-12,3.0
1990-09-13,2.94
1990-09-14,2.91
1990-09-17,2.91
1990-09-18,2.93
1990-09-19,2.91
1990-09-20,2.89
1990-09-21,2.95
1990-09-24,2.87
1990-09-25,2.87
1990-09-26,2.86
1990-09-27,2.89
1990-09-28,2.92
1990-10-01,3.0
1990-10-02,3.04
1990-10-03,3.04
1990-10-04,3.06
1990-10-05,3.09
1990-10-08,3.13
1990-10-09,3.07
1990-10-10,3.02
1990-10-11,2.97
1990-10-12,3.07
1990-10-15,3.21
1990-10-16,3.15
1990-10-17,3.19
1990-10-18,3.21
1990-10-19,3.3
1990-10-22,3.33
1990-10-23,3.3
1990-10-24,3.29
1990-10-25,3.21
1990-10-26,3.17
1990-10-29,3.17
1990-10-30,3.25
1990-10-31,3.19
1990-11-01,3.21
1990-11-02,3.24
1990-11-05,3.23
1990-11-06,3.23
1990-11-07,3.21
1990-11-08,3.23
1990-11-09,3.27
1990-11-12,3.3
1990-11-13,3.3
1990-11-14,3.35
1990-11-15,3.32
1990-11-16,3.36
1990-11-19,3.44
1990-11-20,3.44
1990-11-21,3.42
1990-11-23,3.4
1990-11-26,3.4
1990-11-27,3.39
1990-11-28,3.39
1990-11-29,3.36
1990-11-30,3.48
1990-12-03,3.46
1990-12-04,3.48
1990-12-05,3.51
1990-12-06,3.6
1990-12-07,3.65
1990-12-10,3.65
1990-12-11,3.6
1990-12-12,3.65
1990-12-13,3.62
1990-12-14,3.65
1990-12-17,3.66
1990-12-18,3.7
1990-12-19,3.65
1990-12-20,3.58
1990-12-21,3.64
1990-12-24,3.62
1990-12-26,3.61
1990-12-27,3.51
1990-12-28,3.52
1990-12-31,3.52
1991-01-02,3.44
1991-01-03,3.39
1991-01-04,3.37
1991-01-07,3.34
1991-01-08,3.33
1991-01-09,3.31
1991-01-10,3.29
1991-01-11,3.31
1991-01-14,3.29
1991-01-15,3.29
1991-01-16,3.28
1991-01-17,3.39
1991-01-18,3.46
1991-01-21,3.56
1991-01-22,3.59
1991-01-23,3.63
1991-01-24,3.63
1991-01-25,3.6
1991-01-28,3.56
1991-01-29,3.5
1991-01-30,3.57
1991-01-31,3.6
1991-02-01,3.55
1991-02-04,3.58
1991-02-05,3.66
1991-02-06,3.85
1991-02-07,3.79
1991-02-08,3.84
1991-02-11,3.94
1991-02-12,4.01
1991-02-13,4.0
1991-02-14,3.84
1991-02-15,3.93
1991-02-19,3.96
1991-02-20,3.93
1991-02-21,3.94
1991-02-22,3.94
1991-02-25,3.94
1991-02-26,3.89
1991-02-27,3.89
1991-02-28,3.87
1991-03-01,3.88
1991-03-04,3.85
1991-03-05,3.88
1991-03-06,3.78
1991-03-07,3.78
1991-03-08,3.74
1991-03-11,3.76
1991-03-12,3.76
1991-03-13,3.83
1991-03-14,3.78
1991-03-15,3.8
1991-03-18,3.83
1991-03-19,3.86
1991-03-20,3.89
1991-03-21,3.95
1991-03-22,3.94
1991-03-25,3.96
1991-03-26,4.01
1991-03-27,3.94
1991-03-28,3.95
1991-04-01,3.91
1991-04-02,3.9
1991-04-03,3.88
1991-04-04,3.85
1991-04-05,3.75
1991-04-08,3.8
1991-04-09,3.78
1991-04-10,3.83
1991-04-11,3.89
1991-04-12,3.87
1991-04-15,3.89
1991-04-16,3.98
1991-04-17,4.01
1991-04-18,4.02
1991-04-19,3.98
1991-04-22,3.98
1991-04-23,3.99
1991-04-24,4.01
1991-04-25,3.98
1991-04-26,3.99
1991-04-29,3.94
1991-04-30,3.96
1991-05-01,4.0
1991-05-02,4.01
1991-05-03,4.03
1991-05-06,4.01
1991-05-07,4.03
1991-05-08,4.08
1991-05-09,4.13
1991-05-10,4.15
1991-05-13,4.1
1991-05-14,4.06
1991-05-15,4.1
1991-05-16,4.1
1991-05-17,4.13
1991-05-20,4.13
1991-05-21,4.16
1991-05-22,4.04
1991-05-23,4.08
1991-05-24,4.15
1991-05-28,4.18
1991-05-29,4.2
1991-05-30,4.27
1991-05-31,4.26
1991-06-03,4.24
1991-06-04,4.25
1991-06-05,4.17
1991-06-06,4.15
1991-06-07,4.09
1991-06-10,4.08
1991-06-11,4.05
1991-06-12,3.98
1991-06-13,3.96
1991-06-14,3.99
1991-06-17,3.98
1991-06-18,3.98
1991-06-19,3.98
1991-06-20,3.96
1991-06-21,3.99
1991-06-24,3.96
1991-06-25,4.0
1991-06-26,3.97
1991-06-27,4.0
1991-06-28,3.92
1991-07-01,3.99
1991-07-02,3.98
1991-07-03,3.99
1991-07-05,3.99
1991-07-08,3.99
1991-07-09,3.97
1991-07-10,3.98
1991-07-11,4.01
1991-07-12,3.99
1991-07-15,3.99
1991-07-16,3.93
1991-07-17,3.96
1991-07-18,3.96
1991-07-19,3.97
1991-07-22,3.95
1991-07-23,3.95
1991-07-24,3.91
1991-07-25,3.99
1991-07-26,3.97
1991-07-29,3.98
1991-07-30,3.99
1991-07-31,4.09
1991-08-01,4.05
1991-08-02,4.02
1991-08-05,3.99
1991-08-06,4.03
1991-08-07,3.99
1991-08-08,3.98
1991-08-09,3.99
1991-08-12,3.98
1991-08-13,4.05
1991-08-14,3.98
1991-08-15,3.99
1991-08-16,3.98
1991-08-19,3.81
1991-08-20,3.78
1991-08-21,3.83
1991-08-22,3.84
1991-08-23,3.8
1991-08-26,3.78
1991-08-27,3.84
1991-08-28,3.88
1991-08-29,3.88
1991-08-30,3.85
1991-09-03,3.78
1991-09-04,3.74
1991-09-05,3.75
1991-09-06,3.75
1991-09-09,3.74
1991-09-10,3.7
1991-09-11,3.73
1991-09-12,3.74
1991-09-13,3.7
1991-09-16,3.7
1991-09-17,3.65
1991-09-18,3.65
1991-09-19,3.7
1991-09-20,3.66
1991-09-23,3.63
1991-09-24,3.61
1991-09-25,3.58
1991-09-26,3.57
1991-09-27,3.59
1991-09-30,3.59
1991-10-01,3.57
1991-10-02,3.61
1991-10-03,3.63
1991-10-04,3.66
1991-10-07,3.75
1991-10-08,3.82
1991-10-09,3.79
1991-10-10,3.74
1991-10-11,3.77
1991-10-14,3.78
1991-10-15,3.78
1991-10-16,3.74
1991-10-17,3.77
1991-10-18,3.77
1991-10-21,3.76
1991-10-22,3.72
1991-10-23,3.75
1991-10-24,3.73
1991-10-25,3.72
1991-10-28,3.77
1991-10-29,3.77
1991-10-30,3.79
1991-10-31,3.78
1991-11-01,3.77
1991-11-04,3.77
1991-11-05,3.73
1991-11-06,3.74
1991-11-07,3.75
1991-11-08,3.74
1991-11-11,3.75
1991-11-12,3.77
1991-11-13,3.75
1991-11-14,3.77
1991-11-15,3.77
1991-11-18,3.69
1991-11-19,3.68
1991-11-20,3.72
1991-11-21,3.87
1991-11-22,3.79
1991-11-25,3.81
1991-11-26,3.84
1991-11-27,3.82
1991-11-29,3.81
1991-12-02,3.92
1991-12-03,4.01
1991-12-04,4.1
1991-12-05,4.11
1991-12-06,4.07
1991-12-09,4.1
1991-12-10,4.11
1991-12-11,4.12
1991-12-12,4.16
1991-12-13,4.17
1991-12-16,4.23
1991-12-17,4.24
1991-12-18,4.25
1991-12-19,4.28
1991-12-20,4.29
1991-12-23,4.31
1991-12-24,4.33
1991-12-26,4.35
1991-12-27,4.28
1991-12-30,4.27
1991-12-31,4.28
1992-01-02,4.35
1992-01-03,4.4
1992-01-06,4.4
1992-01-07,4.37
1992-01-08,4.4
1992-01-09,4.37
1992-01-10,4.36
1992-01-13,4.28
1992-01-14,4.27
1992-01-15,4.42
1992-01-16,4.33
1992-01-17,4.32
1992-01-20,4.28
1992-01-21,4.21
1992-01-22,4.21
1992-01-23,4.15
1992-01-24,4.21
1992-01-27,4.36
1992-01-28,4.53
1992-01-29,4.59
1992-01-30,4.56
1992-01-31,4.44
1992-02-03,4.38
1992-02-04,4.38
1992-02-05,4.41
1992-02-06,4.51
1992-02-07,4.45
1992-02-10,4.49
1992-02-11,4.49
1992-02-12,4.53
1992-02-13,4.55
1992-02-14,4.53
1992-02-18,4.53
1992-02-19,4.59
1992-02-20,4.57
1992-02-21,4.48
1992-02-24,4.53
1992-02-25,4.42
1992-02-26,4.26
1992-02-27,4.18
1992-02-28,4.08
1992-03-02,4.07
1992-03-03,4.08
1992-03-04,3.99
1992-03-05,3.9
1992-03-06,3.93
1992-03-09,3.88
1992-03-10,3.83
1992-03-11,3.82
1992-03-12,3.86
1992-03-13,3.9
1992-03-16,3.9
1992-03-17,3.91
1992-03-18,3.91
1992-03-19,3.92
1992-03-20,3.88
1992-03-23,3.87
1992-03-24,3.88
1992-03-25,3.9
1992-03-26,3.87
1992-03-27,3.81
1992-03-30,3.84
1992-03-31,3.87
1992-04-01,3.88
1992-04-02,3.89
1992-04-03,3.91
1992-04-06,3.91
1992-04-07,3.88
1992-04-08,3.8
1992-04-09,3.85
1992-04-10,3.84
1992-04-13,3.87
1992-04-14,3.9
1992-04-15,3.91
1992-04-16,3.94
1992-04-20,3.93
1992-04-21,3.91
1992-04-22,3.9
1992-04-23,3.91
1992-04-24,3.9
1992-04-27,3.91
1992-04-28,3.96
1992-04-29,3.98
1992-04-30,3.99
1992-05-01,3.93
1992-05-04,4.0
1992-05-05,4.0
1992-05-06,3.99
1992-05-07,4.0
1992-05-08,3.98
1992-05-11,3.99
1992-05-12,3.94
1992-05-13,3.99
1992-05-14,3.98
1992-05-15,3.88
