Date,Price
1990-01-01,12.35
1990-01-02,12.66
1990-01-03,12.58
1990-01-04,12.35
1990-01-05,12.11
1990-01-08,11.98
1990-01-09,11.95
1990-01-10,11.75
1990-01-11,11.77
1990-01-12,11.75
1990-01-15,11.77
1990-01-16,11.69
1990-01-17,11.88
1990-01-18,11.51
1990-01-19,11.36
1990-01-22,11.2
1990-01-23,11.2
1990-01-24,11.25
1990-01-25,11.41
1990-01-26,11.62
1990-01-29,11.56
1990-01-30,11.38
1990-01-31,11.67
1990-02-01,11.77
1990-02-02,11.8
1990-02-05,11.72
1990-02-06,11.67
1990-02-07,11.62
1990-02-08,11.72
1990-02-09,11.75
1990-02-12,11.59
1990-02-13,11.93
1990-02-14,11.95
1990-02-15,11.95
1990-02-16,11.98
1990-02-19,11.75
1990-02-20,11.54
1990-02-21,11.43
1990-02-22,11.41
1990-02-23,11.17
1990-02-26,11.36
1990-02-27,11.3
1990-02-28,11.33
1990-03-01,11.33
1990-03-02,11.62
1990-03-05,11.36
1990-03-06,11.04
1990-03-07,11.02
1990-03-08,11.17
1990-03-09,10.97
1990-03-12,11.04
1990-03-13,11.15
1990-03-14,11.15
1990-03-15,11.2
1990-03-16,11.28
1990-03-19,11.07
1990-03-20,11.1
1990-03-21,11.04
1990-03-22,11.1
1990-03-23,11.15
1990-03-26,11.38
1990-03-27,11.28
1990-03-28,11.3
1990-03-29,11.17
1990-03-30,11.12
1990-04-02,10.97
1990-04-03,10.83
1990-04-04,10.78
1990-04-05,10.7
1990-04-06,10.68
1990-04-09,10.86
1990-04-10,10.89
1990-04-11,10.83
1990-04-12,10.89
1990-04-13,10.89
1990-04-16,10.89
1990-04-17,10.89
1990-04-18,10.83
1990-04-19,10.7
1990-04-20,10.68
1990-04-23,10.57
1990-04-24,10.5
1990-04-25,10.21
1990-04-26,10.16
1990-04-27,9.79
1990-04-30,9.74
1990-05-01,9.95
1990-05-02,10.08
1990-05-03,10.11
1990-05-04,10.52
1990-05-07,10.52
1990-05-08,10.65
1990-05-09,10.6
1990-05-10,10.39
1990-05-11,10.63
1990-05-14,10.94
1990-05-15,10.83
1990-05-16,11.02
1990-05-17,11.33
1990-05-18,11.15
1990-05-21,11.12
1990-05-22,11.38
1990-05-23,11.04
1990-05-24,11.1
1990-05-25,11.1
1990-05-28,11.1
1990-05-29,11.28
1990-05-30,11.49
1990-05-31,11.33
1990-06-01,11.51
1990-06-04,11.51
1990-06-05,11.49
1990-06-06,11.41
1990-06-07,11.54
1990-06-08,11.49
1990-06-11,11.33
1990-06-12,11.38
1990-06-13,11.51
1990-06-14,11.49
1990-06-15,11.43
1990-06-18,11.36
1990-06-19,11.41
1990-06-20,11.51
1990-06-21,11.49
1990-06-22,11.51
1990-06-25,11.51
1990-06-26,11.56
1990-06-27,11.54
1990-06-28,11.49
1990-06-29,11.67
1990-07-02,11.62
1990-07-03,11.77
1990-07-04,11.8
1990-07-05,11.72
1990-07-06,11.75
1990-07-09,11.72
1990-07-10,11.67
1990-07-11,11.75
1990-07-12,11.64
1990-07-13,11.56
1990-07-16,11.72
1990-07-17,11.62
1990-07-18,11.56
1990-07-19,11.62
1990-07-20,11.88
1990-07-23,11.3
1990-07-24,11.36
1990-07-25,11.49
1990-07-26,11.49
1990-07-27,11.41
1990-07-30,11.33
1990-07-31,11.43
1990-08-01,11.72
1990-08-02,11.82
1990-08-03,12.16
1990-08-06,12.14
1990-08-07,11.95
1990-08-08,12.14
1990-08-09,11.93
1990-08-10,11.9
1990-08-13,11.88
1990-08-14,12.03
1990-08-15,11.88
1990-08-16,12.01
1990-08-17,11.88
1990-08-20,11.88
1990-08-21,11.51
1990-08-22,11.3
1990-08-23,11.1
1990-08-24,10.89
1990-08-27,10.89
1990-08-28,10.83
1990-08-29,10.94
1990-08-30,11.2
1990-08-31,11.33
1990-09-03,11.64
1990-09-04,11.54
1990-09-05,11.62
1990-09-06,11.69
1990-09-07,11.64
1990-09-10,11.54
1990-09-11,11.46
1990-09-12,11.62
1990-09-13,11.56
1990-09-14,11.54
1990-09-17,11.41
1990-09-18,11.3
1990-09-19,11.41
1990-09-20,11.3
1990-09-21,11.41
1990-09-24,11.28
1990-09-25,11.02
1990-09-26,10.83
1990-09-27,10.83
1990-09-28,10.76
1990-10-01,10.97
1990-10-02,11.17
1990-10-03,11.3
1990-10-04,11.3
1990-10-05,11.77
1990-10-08,12.08
1990-10-09,11.85
1990-10-10,11.88
1990-10-11,11.8
1990-10-12,11.75
1990-10-15,11.62
1990-10-16,11.36
1990-10-17,11.15
1990-10-18,11.1
1990-10-19,11.23
1990-10-22,11.15
1990-10-23,11.38
1990-10-24,11.41
1990-10-25,11.25
1990-10-26,11.33
1990-10-29,11.25
1990-10-30,11.15
1990-10-31,11.17
1990-11-01,11.23
1990-11-02,11.1
1990-11-05,11.3
1990-11-06,11.56
1990-11-07,11.49
1990-11-08,11.3
1990-11-09,11.38
1990-11-12,11.25
1990-11-13,11.33
1990-11-14,11.17
1990-11-15,11.23
1990-11-16,11.28
1990-11-19,11.62
1990-11-20,11.85
1990-11-21,11.95
1990-11-22,12.29
1990-11-23,12.58
1990-11-26,12.4
1990-11-27,12.16
1990-11-28,12.16
1990-11-29,12.19
1990-11-30,12.08
1990-12-03,11.98
1990-12-04,11.69
