Date,Price
2000-01-03,14.91
2000-01-04,14.27
2000-01-05,14.2
2000-01-06,15.24
2000-01-07,15.3
2000-01-10,15.12
2000-01-11,14.97
2000-01-12,15.36
2000-01-13,15.37
2000-01-14,15.26
2000-01-17,15.4
2000-01-18,14.85
2000-01-19,14.83
2000-01-20,14.62
2000-01-21,14.33
2000-01-24,14.18
2000-01-25,14.23
2000-01-26,14.65
2000-01-27,14.56
2000-01-28,14.44
2000-01-31,14.2
2000-02-01,14.01
2000-02-02,13.81
2000-02-03,14.24
2000-02-04,14.11
2000-02-07,13.94
2000-02-08,14.2
2000-02-09,13.96
2000-02-10,13.91
2000-02-11,13.43
2000-02-14,13.59
2000-02-15,13.89
2000-02-16,13.88
2000-02-17,13.82
2000-02-18,13.82
2000-02-21,13.69
2000-02-22,13.73
2000-02-23,13.87
2000-02-24,13.94
2000-02-25,13.75
2000-02-28,13.78
2000-02-29,13.48
2000-03-01,13.01
2000-03-02,13.46
2000-03-03,13.13
2000-03-06,13.28
2000-03-07,12.71
2000-03-08,12.25
2000-03-09,12.09
2000-03-10,11.69
2000-03-13,11.69
2000-03-14,12.78
2000-03-15,12.95
2000-03-16,14.05
2000-03-17,13.82
2000-03-20,13.94
2000-03-21,13.9
2000-03-22,14.84
2000-03-23,14.4
2000-03-24,14.31
2000-03-27,14.53
2000-03-28,14.6
2000-03-29,14.53
2000-03-30,14.53
2000-03-31,14.91
2000-04-03,15.27
2000-04-04,15.82
2000-04-05,15.82
2000-04-06,15.38
2000-04-07,15.56
2000-04-10,15.32
2000-04-11,15.78
2000-04-12,15.85
2000-04-13,16.45
2000-04-14,16.4
2000-04-17,16.07
2000-04-18,15.95
2000-04-19,15.8
2000-04-20,15.59
2000-04-21,15.59
2000-04-24,15.59
2000-04-25,16.14
2000-04-26,15.82
2000-04-27,15.72
2000-04-28,15.53
2000-05-01,15.53
2000-05-02,15.67
2000-05-03,16.2
2000-05-04,16.4
2000-05-05,16.49
2000-05-08,16.55
2000-05-09,16.55
2000-05-10,17.62
2000-05-11,17.79
2000-05-12,17.29
2000-05-15,17.15
2000-05-16,16.66
2000-05-17,16.82
2000-05-18,17.15
2000-05-19,17.35
2000-05-22,17.53
2000-05-23,17.79
2000-05-24,17.79
2000-05-25,17.14
2000-05-26,17.37
2000-05-29,17.26
2000-05-30,16.72
2000-05-31,16.21
2000-06-01,16.35
2000-06-02,16.14
2000-06-05,16.77
2000-06-06,17.5
2000-06-07,17.17
2000-06-08,16.68
2000-06-09,16.88
2000-06-12,16.88
2000-06-13,17.37
2000-06-14,17.17
2000-06-15,17.81
2000-06-16,17.24
2000-06-19,17.24
2000-06-20,17.88
2000-06-21,18.02
2000-06-22,17.26
2000-06-23,17.28
2000-06-26,17.66
2000-06-27,17.61
2000-06-28,18.0
2000-06-29,17.95
2000-06-30,17.95
2000-07-03,18.33
2000-07-04,19.17
2000-07-05,18.81
2000-07-06,18.59
2000-07-07,18.59
2000-07-10,18.4
2000-07-11,18.75
2000-07-12,19.16
2000-07-13,18.85
2000-07-14,18.85
2000-07-17,18.98
2000-07-18,18.89
2000-07-19,18.66
2000-07-20,18.55
2000-07-21,18.31
2000-07-24,18.31
2000-07-25,18.57
2000-07-26,18.46
2000-07-27,18.46
2000-07-28,20.27
2000-07-31,20.93
2000-08-01,20.27
2000-08-02,20.53
2000-08-03,19.95
2000-08-04,19.63
2000-08-07,19.63
2000-08-08,19.75
2000-08-09,19.75
2000-08-10,20.14
2000-08-11,20.34
2000-08-14,20.53
2000-08-15,20.79
2000-08-16,21.02
2000-08-17,20.4
2000-08-18,20.08
2000-08-21,20.46
2000-08-22,20.53
2000-08-23,20.27
2000-08-24,19.81
2000-08-25,19.96
2000-08-28,20.13
2000-08-29,20.27
2000-08-30,19.95
2000-08-31,19.86
2000-09-01,20.05
2000-09-04,19.57
2000-09-05,19.51
2000-09-06,19.28
2000-09-07,20.09
2000-09-08,20.4
2000-09-11,20.49
2000-09-12,20.77
2000-09-13,20.9
2000-09-14,20.59
2000-09-15,20.52
2000-09-18,20.19
2000-09-19,20.34
2000-09-20,19.97
2000-09-21,19.81
2000-09-22,20.79
2000-09-25,20.45
2000-09-26,20.44
2000-09-27,20.66
2000-09-28,20.92
2000-09-29,20.09
2000-10-02,19.69
2000-10-03,19.19
2000-10-04,18.59
2000-10-05,19.75
2000-10-06,20.08
2000-10-09,20.04
2000-10-10,19.75
2000-10-11,19.38
2000-10-12,19.77
2000-10-13,20.25
2000-10-16,19.63
2000-10-17,20.05
2000-10-18,20.0
2000-10-19,20.35
2000-10-20,20.34
2000-10-23,20.14
2000-10-24,21.27
2000-10-25,21.29
2000-10-26,22.26
2000-10-27,21.12
2000-10-30,22.08
2000-10-31,22.08
2000-11-01,20.98
2000-11-02,21.39
2000-11-03,21.43
2000-11-06,21.73
2000-11-07,21.95
2000-11-08,21.58
2000-11-09,21.39
2000-11-10,22.21
2000-11-13,21.92
2000-11-14,21.45
2000-11-15,21.43
2000-11-16,21.79
2000-11-17,21.3
2000-11-20,20.84
2000-11-21,20.79
2000-11-22,18.61
2000-11-23,19.77
2000-11-24,19.86
2000-11-27,19.63
2000-11-28,20.31
2000-11-29,20.01
2000-11-30,19.72
2000-12-01,19.9
2000-12-04,19.26
2000-12-05,20.08
2000-12-06,19.75
2000-12-07,19.56
2000-12-08,18.54
2000-12-11,19.24
2000-12-12,19.59
2000-12-13,19.63
2000-12-14,19.85
2000-12-15,19.24
2000-12-18,20.37
2000-12-19,21.06
2000-12-20,20.88
2000-12-21,20.27
2000-12-22,20.41
2000-12-27,21.02
2000-12-28,20.79
2000-12-29,20.74
2001-01-02,20.7
2001-01-03,20.46
