Date,Price
2000-01-03,24.74
2000-01-04,24.06
2000-01-05,23.54
2000-01-06,22.74
2000-01-07,23.02
2000-01-10,23.16
2000-01-11,22.31
2000-01-12,22.52
2000-01-13,22.47
2000-01-14,22.87
2000-01-17,22.67
2000-01-18,22.07
2000-01-19,22.56
2000-01-20,21.97
2000-01-21,21.56
2000-01-24,21.75
2000-01-25,21.41
2000-01-26,21.35
2000-01-27,21.6
2000-01-28,22.19
2000-01-31,21.73
2000-02-01,21.85
2000-02-02,21.51
2000-02-03,21.44
2000-02-04,21.39
2000-02-07,20.78
2000-02-08,20.82
2000-02-09,20.26
2000-02-10,20.21
2000-02-11,20.96
2000-02-14,20.86
2000-02-15,20.73
2000-02-16,21.21
2000-02-17,22.52
2000-02-18,22.3
2000-02-21,21.79
2000-02-22,21.43
2000-02-23,21.95
2000-02-24,22.26
2000-02-25,22.01
2000-02-28,21.72
2000-02-29,21.93
2000-03-01,22.42
2000-03-02,22.16
2000-03-03,23.08
2000-03-06,24.02
2000-03-07,24.14
2000-03-08,23.54
2000-03-09,22.75
2000-03-10,22.76
2000-03-13,22.31
2000-03-14,22.34
2000-03-15,22.5
2000-03-16,22.92
2000-03-17,22.74
2000-03-20,22.63
2000-03-21,22.6
2000-03-22,22.54
2000-03-23,22.34
2000-03-24,22.34
2000-03-27,22.62
2000-03-28,22.47
2000-03-29,22.35
2000-03-30,22.36
2000-03-31,22.07
2000-04-03,22.4
2000-04-04,24.26
2000-04-05,23.57
2000-04-06,23.75
2000-04-07,23.46
2000-04-10,23.81
2000-04-11,24.3
2000-04-12,23.97
2000-04-13,24.61
2000-04-14,24.53
2000-04-17,23.55
2000-04-18,23.59
2000-04-19,23.39
2000-04-20,23.41
2000-04-21,23.41
2000-04-24,23.41
2000-04-25,24.29
2000-04-26,24.3
2000-04-27,23.9
2000-04-28,23.78
2000-05-01,23.78
2000-05-02,24.06
2000-05-03,23.94
2000-05-04,23.94
2000-05-05,23.87
2000-05-08,23.87
2000-05-09,23.87
2000-05-10,24.45
2000-05-11,25.26
2000-05-12,25.71
2000-05-15,25.68
2000-05-16,25.68
2000-05-17,26.12
2000-05-18,25.71
2000-05-19,25.73
2000-05-22,25.36
2000-05-23,25.37
2000-05-24,25.26
2000-05-25,25.68
2000-05-26,24.98
2000-05-29,25.53
2000-05-30,25.56
2000-05-31,25.88
2000-06-01,26.16
2000-06-02,26.4
2000-06-05,26.86
2000-06-06,26.58
2000-06-07,26.83
2000-06-08,26.56
2000-06-09,26.48
2000-06-12,26.48
2000-06-13,26.54
2000-06-14,27.31
2000-06-15,27.18
2000-06-16,26.27
2000-06-19,26.27
2000-06-20,26.43
2000-06-21,26.08
2000-06-22,25.89
2000-06-23,25.75
2000-06-26,26.08
2000-06-27,25.44
2000-06-28,26.75
2000-06-29,27.15
2000-06-30,26.96
2000-07-03,27.55
2000-07-04,27.34
2000-07-05,27.79
2000-07-06,28.09
2000-07-07,28.09
2000-07-10,28.62
2000-07-11,28.33
2000-07-12,27.71
2000-07-13,27.02
2000-07-14,27.02
2000-07-17,27.42
2000-07-18,27.39
2000-07-19,27.61
2000-07-20,27.93
2000-07-21,27.44
2000-07-24,27.44
2000-07-25,27.71
2000-07-26,27.95
2000-07-27,27.95
2000-07-28,28.14
2000-07-31,28.49
2000-08-01,28.43
2000-08-02,28.89
2000-08-03,27.63
2000-08-04,28.41
2000-08-07,28.38
2000-08-08,28.89
2000-08-09,28.89
2000-08-10,28.33
2000-08-11,28.33
2000-08-14,28.54
2000-08-15,28.7
2000-08-16,29.24
2000-08-17,28.97
2000-08-18,28.84
2000-08-21,29.1
2000-08-22,29.29
2000-08-23,29.16
2000-08-24,28.94
2000-08-25,28.76
2000-08-28,28.6
2000-08-29,28.57
2000-08-30,28.06
2000-08-31,27.69
2000-09-01,27.74
2000-09-04,27.61
2000-09-05,27.95
2000-09-06,27.9
2000-09-07,28.03
2000-09-08,27.69
2000-09-11,28.27
2000-09-12,28.25
2000-09-13,27.82
2000-09-14,27.39
2000-09-15,27.42
2000-09-18,27.18
2000-09-19,27.12
2000-09-20,26.68
2000-09-21,26.0
2000-09-22,25.44
2000-09-25,26.11
2000-09-26,26.67
2000-09-27,26.68
2000-09-28,26.75
2000-09-29,26.72
2000-10-02,27.31
2000-10-03,26.48
2000-10-04,26.74
2000-10-05,26.68
2000-10-06,26.83
2000-10-09,25.81
2000-10-10,25.57
2000-10-11,23.81
2000-10-12,24.02
2000-10-13,24.4
2000-10-16,24.36
2000-10-17,24.82
2000-10-18,24.62
2000-10-19,24.93
2000-10-20,24.88
2000-10-23,25.2
2000-10-24,25.81
2000-10-25,25.85
2000-10-26,25.32
2000-10-27,25.14
2000-10-30,25.85
2000-10-31,25.85
2000-11-01,27.12
2000-11-02,27.34
2000-11-03,27.15
2000-11-06,26.75
2000-11-07,26.75
2000-11-08,27.02
2000-11-09,26.96
2000-11-10,26.44
2000-11-13,26.37
2000-11-14,26.5
2000-11-15,26.4
2000-11-16,24.88
2000-11-17,24.84
2000-11-20,24.6
2000-11-21,24.66
2000-11-22,23.62
2000-11-23,23.79
2000-11-24,24.36
2000-11-27,24.37
2000-11-28,24.18
2000-11-29,24.18
2000-11-30,23.75
2000-12-01,24.21
2000-12-04,23.67
2000-12-05,23.95
2000-12-06,24.27
2000-12-07,24.78
2000-12-08,24.58
2000-12-11,25.51
2000-12-12,25.79
2000-12-13,25.64
2000-12-14,24.61
2000-12-15,25.08
2000-12-18,24.84
2000-12-19,25.3
2000-12-20,24.05
2000-12-21,24.07
2000-12-22,24.34
2000-12-27,24.5
2000-12-28,24.74
2000-12-29,25.01
2001-01-02,24.93
2001-01-03,24.45
2001-01-04,25.3
2001-01-05,25.59
2001-01-08,25.41
2001-01-09,25.44
2001-01-10,25.73
2001-01-11,26.48
2001-01-12,26.99
2001-01-15,26.88
2001-01-16,26.7
2001-01-17,26.83
2001-01-18,26.47
2001-01-19,25.79
2001-01-22,26.56
2001-01-23,26.4
2001-01-25,25.91
2001-01-29,25.88
2001-01-30,26.47
2001-01-31,26.59
2001-02-01,26.16
2001-02-02,26.08
2001-02-05,25.76
2001-02-06,25.72
2001-02-07,25.68
2001-02-08,25.69
2001-02-09,25.93
2001-02-12,25.97
2001-02-13,26.21
2001-02-14,25.92
2001-02-15,25.61
2001-02-16,24.98
2001-02-19,25.09
2001-02-20,25.06
2001-02-21,24.57
2001-02-22,23.7
2001-02-23,23.46
2001-02-26,23.62
2001-02-27,23.98
2001-02-28,23.75
2001-03-01,23.54
2001-03-02,22.88
2001-03-05,23.38
2001-03-06,23.43
2001-03-07,24.57
2001-03-08,25.41
2001-03-09,25.12
2001-03-12,24.45
2001-03-13,24.34
2001-03-15,24.21
2001-03-16,23.91
2001-03-19,23.85
2001-03-20,24.42
2001-03-21,23.86
2001-03-22,22.74
2001-03-23,23.34
2001-03-26,23.97
2001-03-27,24.97
2001-03-28,24.72
2001-03-29,25.1
2001-03-30,25.49
2001-04-02,25.61
2001-04-03,24.8
2001-04-04,25.01
2001-04-05,25.37
2001-04-06,25.28
2001-04-09,25.22
2001-04-10,25.57
2001-04-11,25.96
2001-04-12,26.0
2001-04-17,25.89
2001-04-18,26.27
2001-04-19,26.83
2001-04-20,26.48
2001-04-23,26.03
2001-04-24,25.95
2001-04-25,26.03
2001-04-26,26.46
2001-04-27,26.72
2001-04-30,26.8
2001-05-02,26.25
2001-05-03,25.88
2001-05-04,25.81
2001-05-08,25.65
2001-05-09,25.43
2001-05-10,26.7
2001-05-14,26.66
2001-05-15,26.99
2001-05-16,27.55
2001-05-17,27.93
2001-05-18,27.55
2001-05-21,28.03
2001-05-22,28.09
2001-05-23,28.06
2001-05-24,28.11
2001-05-25,27.63
2001-05-28,27.55
2001-05-29,27.55
2001-05-30,27.5
2001-05-31,27.42
2001-06-01,27.34
2001-06-05,27.61
2001-06-06,27.77
2001-06-07,27.79
2001-06-08,27.87
2001-06-11,27.02
2001-06-12,26.64
2001-06-13,27.26
2001-06-14,27.07
2001-06-15,26.75
2001-06-18,26.37
