Date,Price
2002-07-12,176.48
2002-07-15,176.48
2002-07-16,177.26
2002-07-17,179.62
2002-07-18,180.4
2002-07-19,181.19
2002-07-22,175.7
2002-07-23,175.7
2002-07-24,170.6
2002-07-25,156.87
2002-07-26,152.95
2002-07-29,156.09
2002-07-30,155.89
2002-07-31,163.15
2002-08-01,152.17
2002-08-02,136.48
2002-08-05,125.5
2002-08-06,117.65
2002-08-07,130.2
2002-08-08,138.83
2002-08-09,138.05
2002-08-12,135.69
2002-08-13,133.34
2002-08-14,133.34
2002-08-15,145.11
2002-08-16,144.32
2002-08-19,145.11
2002-08-20,145.11
2002-08-21,150.6
2002-08-22,157.66
2002-08-23,164.72
2002-08-26,164.72
2002-08-27,169.42
2002-08-28,174.52
2002-08-29,174.13
2002-08-30,162.36
2002-09-02,167.46
2002-09-03,153.73
2002-09-04,157.85
2002-09-05,154.52
2002-09-06,160.79
2002-09-09,157.07
2002-09-10,159.22
2002-09-11,161.58
2002-09-12,171.97
2002-09-13,170.99
2002-09-16,169.23
2002-09-17,169.03
2002-09-18,168.64
2002-09-19,171.77
2002-09-20,176.48
2002-09-23,170.4
2002-09-24,160.21
2002-09-25,158.44
2002-09-26,158.05
2002-09-27,158.44
2002-09-30,155.3
2002-10-01,154.13
2002-10-02,152.95
2002-10-03,150.01
2002-10-04,147.46
2002-10-07,141.18
2002-10-08,142.75
2002-10-09,142.75
2002-10-10,143.34
2002-10-11,153.73
2002-10-14,160.01
2002-10-15,172.56
2002-10-16,172.56
2002-10-17,176.48
2002-10-18,172.56
2002-10-21,172.36
2002-10-22,177.26
2002-10-23,182.76
2002-10-24,179.03
2002-10-25,180.4
2002-10-28,181.97
2002-10-29,180.4
2002-10-30,188.25
2002-10-31,191.38
2002-11-01,182.36
2002-11-04,185.5
2002-11-05,185.11
2002-11-06,185.11
2002-11-07,181.97
2002-11-08,181.58
2002-11-11,178.25
2002-11-12,181.97
2002-11-13,182.76
2002-11-14,188.25
2002-11-15,192.56
2002-11-18,193.74
2002-11-19,185.11
2002-11-20,185.89
2002-11-21,189.81
2002-11-22,192.95
2002-11-25,200.01
2002-11-26,198.64
2002-11-27,197.66
2002-11-28,200.8
2002-11-29,200.21
2002-12-02,197.27
2002-12-03,194.52
2002-12-04,188.25
2002-12-05,184.72
2002-12-06,181.97
2002-12-09,174.52
2002-12-10,174.52
2002-12-11,174.52
2002-12-12,178.05
2002-12-13,178.83
2002-12-16,178.83
2002-12-17,172.56
2002-12-18,168.64
2002-12-19,168.24
2002-12-20,178.05
2002-12-23,183.54
2002-12-24,183.54
2002-12-25,183.54
2002-12-26,183.54
2002-12-27,184.32
2002-12-30,178.83
2002-12-31,176.09
2003-01-01,176.09
2003-01-02,177.07
2003-01-03,175.11
2003-01-06,173.74
2003-01-07,170.6
2003-01-08,170.99
2003-01-09,166.28
2003-01-10,169.42
2003-01-13,179.62
2003-01-14,182.76
2003-01-15,185.11
2003-01-16,180.99
2003-01-17,179.62
2003-01-20,177.85
2003-01-21,177.07
2003-01-22,177.66
2003-01-23,172.93
2003-01-24,173.33
2003-01-27,167.81
2003-01-28,179.04
2003-01-29,175.69
2003-01-30,180.02
2003-01-31,180.02
2003-02-03,181.99
2003-02-04,181.4
2003-02-05,183.57
2003-02-06,187.7
2003-02-07,188.3
2003-02-10,188.3
2003-02-11,191.84
2003-02-12,183.57
2003-02-13,179.24
2003-02-14,182.78
2003-02-17,190.66
2003-02-18,188.3
2003-02-19,184.75
2003-02-20,185.93
2003-02-21,188.3
2003-02-24,186.33
2003-02-25,178.05
2003-02-26,186.33
2003-02-27,185.54
2003-02-28,188.1
2003-03-03,192.23
2003-03-04,189.87
2003-03-05,181.99
2003-03-06,178.25
2003-03-07,176.48
2003-03-10,174.51
2003-03-11,182.58
2003-03-12,185.93
2003-03-13,184.95
2003-03-14,186.72
2003-03-17,191.64
2003-03-18,201.49
2003-03-19,199.13
2003-03-20,193.81
2003-03-21,194.8
2003-03-24,193.61
2003-03-25,191.45
2003-03-26,191.45
2003-03-27,193.02
2003-03-28,192.23
2003-03-31,185.93
2003-04-01,178.84
2003-04-02,176.67
2003-04-03,170.18
2003-04-04,170.57
2003-04-07,178.84
2003-04-08,177.27
2003-04-09,176.08
2003-04-10,179.63
2003-04-11,183.57
2003-04-14,182.78
2003-04-15,194.6
2003-04-16,204.84
2003-04-17,204.64
2003-04-18,204.64
2003-04-21,204.64
2003-04-22,208.58
2003-04-23,214.29
2003-04-24,212.92
2003-04-25,202.48
2003-04-28,204.84
2003-04-29,209.76
2003-04-30,206.02
2003-05-01,208.78
2003-05-02,215.08
2003-05-05,215.08
2003-05-06,215.28
2003-05-07,220.6
2003-05-08,222.17
2003-05-09,220.99
2003-05-12,223.35
2003-05-13,226.51
2003-05-14,226.51
2003-05-15,225.52
2003-05-16,225.72
2003-05-19,224.14
2003-05-20,217.45
2003-05-21,209.57
2003-05-22,197.75
2003-05-23,187.9
2003-05-26,187.9
2003-05-27,192.23
2003-05-28,197.16
2003-05-29,201.69
2003-05-30,204.84
2003-06-02,207.2
2003-06-03,204.05
2003-06-04,205.04
2003-06-05,204.84
2003-06-06,209.96
2003-06-09,204.05
2003-06-10,204.84
2003-06-11,200.9
2003-06-12,199.13
2003-06-13,194.2
2003-06-16,189.08
2003-06-17,197.75
2003-06-18,197.75
2003-06-19,191.05
2003-06-20,203.26
2003-06-23,197.36
2003-06-24,194.6
2003-06-25,194.6
2003-06-26,193.81
2003-06-27,192.43
2003-06-30,195.39
2003-07-01,194.2
2003-07-02,196.37
2003-07-03,200.11
2003-07-04,204.84
2003-07-07,208.78
2003-07-08,215.08
2003-07-09,217.84
2003-07-10,217.05
2003-07-11,217.25
2003-07-14,222.96
2003-07-15,225.52
2003-07-16,228.08
2003-07-17,225.72
2003-07-18,233.2
2003-07-21,230.05
2003-07-22,230.84
2003-07-23,228.46
2003-07-24,232.23
2003-07-25,236.39
2003-07-28,234.01
2003-07-29,235.8
2003-07-30,236.39
2003-07-31,241.15
2003-08-01,237.19
2003-08-04,236.0
2003-08-05,230.05
2003-08-06,227.27
2003-08-07,231.63
2003-08-08,230.84
2003-08-11,230.84
2003-08-12,229.65
2003-08-13,228.46
2003-08-14,227.27
2003-08-15,230.84
2003-08-18,234.01
2003-08-19,245.32
2003-08-20,245.32
2003-08-21,251.86
2003-08-22,255.43
2003-08-25,255.43
2003-08-26,257.02
2003-08-27,266.14
2003-08-28,258.6
2003-08-29,257.81
2003-09-01,256.22
2003-09-02,255.83
2003-09-03,253.84
2003-09-04,258.01
2003-09-05,260.98
2003-09-08,258.6
2003-09-09,257.61
2003-09-10,252.26
2003-09-11,252.26
2003-09-12,249.88
2003-09-15,250.67
2003-09-16,255.23
2003-09-17,260.98
2003-09-18,261.78
2003-09-19,264.95
2003-09-22,267.33
2003-09-23,270.7
2003-09-24,269.71
2003-09-25,261.78
2003-09-26,261.58
2003-09-29,255.83
2003-09-30,258.21
2003-10-01,262.57
2003-10-02,267.73
2003-10-03,271.3
2003-10-06,273.68
2003-10-07,277.64
2003-10-08,281.61
2003-10-09,287.16
2003-10-10,290.73
2003-10-13,295.69
2003-10-14,291.92
2003-10-15,305.41
2003-10-16,301.44
2003-10-17,299.85
2003-10-20,303.82
2003-10-21,319.09
2003-10-22,305.41
2003-10-23,305.21
2003-10-24,300.25
2003-10-27,297.47
2003-10-28,296.68
2003-10-29,303.62
2003-10-30,314.13
2003-10-31,312.55
2003-11-03,320.08
2003-11-04,309.37
2003-11-05,308.78
2003-11-06,312.55
2003-11-07,321.87
2003-11-10,315.72
2003-11-11,314.93
2003-11-12,311.75
2003-11-13,319.68
2003-11-14,325.44
2003-11-17,315.12
2003-11-18,303.03
2003-11-19,286.37
2003-11-20,284.98
2003-11-21,284.78
2003-11-24,280.22
2003-11-25,291.13
2003-11-26,299.85
2003-11-27,301.44
2003-11-28,303.82
2003-12-01,305.41
2003-12-02,300.65
2003-12-03,301.44
2003-12-04,305.41
2003-12-05,298.66
2003-12-08,303.03
2003-12-09,301.44
2003-12-10,297.47
2003-12-11,295.09
2003-12-12,295.89
2003-12-15,293.51
2003-12-16,287.36
2003-12-17,285.18
2003-12-18,289.74
2003-12-19,289.54
2003-12-22,287.56
2003-12-23,285.18
2003-12-24,281.61
2003-12-25,281.61
2003-12-26,281.61
2003-12-29,292.71
2003-12-30,291.13
2003-12-31,289.94
2004-01-01,289.94
2004-01-02,301.24
2004-01-05,296.88
2004-01-06,301.04
2004-01-07,305.41
2004-01-08,303.82
2004-01-09,305.01
2004-01-12,307.98
2004-01-13,308.18
2004-01-14,298.07
2004-01-15,293.51
2004-01-16,293.51
