Date,Price
1993-08-13,2.5
1993-08-16,2.47
1993-08-17,2.44
1993-08-18,2.47
1993-08-19,2.52
1993-08-20,2.55
1993-08-23,2.51
1993-08-24,2.5
1993-08-25,2.52
1993-08-26,2.52
1993-08-27,2.55
1993-08-30,2.55
1993-08-31,2.56
1993-09-01,2.55
1993-09-02,2.5
1993-09-03,2.45
1993-09-07,2.47
1993-09-08,2.4
1993-09-09,2.39
1993-09-10,2.3
1993-09-13,2.3
1993-09-14,2.17
1993-09-15,2.3
1993-09-16,2.29
1993-09-17,2.36
1993-09-20,2.32
1993-09-21,2.26
1993-09-22,2.24
1993-09-23,2.19
1993-09-24,2.25
1993-09-27,2.31
1993-09-28,2.31
1993-09-29,2.5
1993-09-30,2.64
1993-10-01,2.6
1993-10-04,2.56
1993-10-05,2.42
1993-10-06,2.45
1993-10-07,2.46
1993-10-08,2.5
1993-10-11,2.62
1993-10-12,2.62
1993-10-13,2.6
1993-10-14,2.64
1993-10-15,2.64
1993-10-18,2.64
1993-10-19,2.64
1993-10-20,2.65
1993-10-21,2.65
1993-10-22,2.65
1993-10-25,2.65
1993-10-26,2.6
1993-10-27,2.56
1993-10-28,2.6
1993-10-29,2.66
1993-11-01,2.65
1993-11-02,2.65
1993-11-03,2.64
1993-11-04,2.6
1993-11-05,2.55
1993-11-08,2.57
1993-11-09,2.56
1993-11-10,2.54
1993-11-11,2.52
1993-11-12,2.51
1993-11-15,2.51
1993-11-16,2.52
1993-11-17,2.39
1993-11-18,2.37
1993-11-19,2.34
1993-11-22,2.34
1993-11-23,2.35
1993-11-24,2.4
1993-11-26,2.49
1993-11-29,2.47
1993-11-30,2.46
1993-12-01,2.44
1993-12-02,2.41
1993-12-03,2.4
1993-12-06,2.42
1993-12-07,2.34
1993-12-08,2.31
1993-12-09,2.3
1993-12-10,2.31
1993-12-13,2.35
1993-12-14,2.4
1993-12-15,2.49
1993-12-16,2.47
1993-12-17,2.49
1993-12-20,2.47
1993-12-21,2.5
1993-12-22,2.55
1993-12-23,2.55
1993-12-27,2.65
1993-12-28,2.67
1993-12-29,2.74
1993-12-30,2.69
1993-12-31,2.8
1994-01-03,2.7
1994-01-04,2.7
1994-01-05,2.75
1994-01-06,2.75
1994-01-07,2.7
1994-01-10,2.69
1994-01-11,2.67
1994-01-12,2.7
1994-01-13,2.69
1994-01-14,2.72
1994-01-17,2.75
1994-01-18,2.85
1994-01-19,2.87
1994-01-20,2.94
1994-01-21,3.0
1994-01-24,3.02
1994-01-25,3.0
1994-01-26,3.04
1994-01-27,3.1
1994-01-28,3.09
1994-01-31,3.29
1994-02-01,3.19
1994-02-02,3.17
1994-02-03,3.19
1994-02-04,3.22
1994-02-07,3.24
1994-02-08,3.29
1994-02-09,3.36
1994-02-10,3.3
1994-02-11,3.21
1994-02-14,3.14
1994-02-15,3.05
1994-02-16,3.07
1994-02-17,3.14
1994-02-18,3.16
1994-02-22,3.21
1994-02-23,3.12
1994-02-24,3.1
1994-02-25,3.04
1994-02-28,3.09
1994-03-01,3.06
1994-03-02,3.02
1994-03-03,3.01
1994-03-04,3.01
1994-03-07,3.09
1994-03-08,3.21
1994-03-09,3.26
1994-03-10,3.26
1994-03-11,3.26
1994-03-14,3.27
1994-03-15,3.31
1994-03-16,3.36
1994-03-17,3.39
1994-03-18,3.38
1994-03-21,3.34
1994-03-22,3.3
1994-03-23,3.31
1994-03-24,3.26
1994-03-25,3.26
1994-03-28,3.21
1994-03-29,3.16
1994-03-30,3.02
1994-03-31,3.0
1994-04-04,2.95
1994-04-05,3.05
1994-04-06,3.06
1994-04-07,3.16
1994-04-08,3.11
1994-04-11,3.07
1994-04-12,2.99
1994-04-13,2.91
1994-04-14,2.89
1994-04-15,2.8
1994-04-18,2.76
1994-04-19,2.56
1994-04-20,2.48
1994-04-21,2.58
1994-04-22,2.6
1994-04-25,2.61
1994-04-26,2.65
1994-04-28,2.73
1994-04-29,2.65
1994-05-02,2.57
1994-05-03,2.6
1994-05-04,2.65
1994-05-05,2.68
1994-05-06,2.63
1994-05-09,2.66
1994-05-10,2.69
1994-05-11,2.66
1994-05-12,2.66
1994-05-13,2.6
1994-05-16,2.61
1994-05-17,2.6
1994-05-18,2.61
1994-05-19,2.57
1994-05-20,2.52
1994-05-23,2.46
1994-05-24,2.44
1994-05-25,2.42
1994-05-26,2.52
1994-05-27,2.51
1994-05-31,2.46
1994-06-01,2.4
1994-06-02,2.37
1994-06-03,2.39
1994-06-06,2.39
1994-06-07,2.4
1994-06-08,2.4
1994-06-09,2.36
1994-06-10,2.37
1994-06-13,2.37
1994-06-14,2.37
1994-06-15,2.4
1994-06-16,2.36
1994-06-17,2.42
1994-06-20,2.41
1994-06-21,2.37
1994-06-22,2.37
1994-06-23,2.35
1994-06-24,2.33
1994-06-27,2.32
1994-06-28,2.31
1994-06-29,2.31
1994-06-30,2.28
1994-07-01,2.28
1994-07-05,2.28
1994-07-06,2.52
1994-07-07,2.57
