Date,Price
1990-01-02,4.19
1990-01-03,4.23
1990-01-04,4.25
1990-01-05,4.23
1990-01-08,4.2
1990-01-09,4.17
1990-01-10,4.18
1990-01-11,4.18
1990-01-12,4.11
1990-01-15,4.09
1990-01-16,4.08
1990-01-17,3.93
1990-01-18,3.96
1990-01-19,3.94
1990-01-22,3.9
1990-01-23,3.95
1990-01-24,3.99
1990-01-25,3.94
1990-01-26,3.93
1990-01-29,3.91
1990-01-30,3.9
1990-01-31,3.96
1990-02-01,3.97
1990-02-02,3.98
1990-02-05,3.95
1990-02-06,3.93
1990-02-07,3.95
1990-02-08,4.01
1990-02-09,3.99
1990-02-12,3.96
1990-02-13,3.96
1990-02-14,3.97
1990-02-15,4.0
1990-02-16,4.02
1990-02-20,4.01
1990-02-21,4.06
1990-02-22,4.11
1990-02-23,4.13
1990-02-26,4.23
1990-02-27,4.3
1990-02-28,4.34
1990-03-01,4.32
1990-03-02,4.44
1990-03-05,4.46
1990-03-06,4.49
1990-03-07,4.46
1990-03-08,4.46
1990-03-09,4.44
1990-03-12,4.38
1990-03-13,4.31
1990-03-14,4.31
1990-03-15,4.34
1990-03-16,4.35
1990-03-19,4.4
1990-03-20,4.37
1990-03-21,4.35
1990-03-22,4.34
1990-03-23,4.41
1990-03-26,4.43
1990-03-27,4.41
1990-03-28,4.38
1990-03-29,4.38
1990-03-30,4.37
1990-04-02,4.3
1990-04-03,4.35
1990-04-04,4.34
1990-04-05,4.37
1990-04-06,4.32
1990-04-09,4.31
1990-04-10,4.31
1990-04-11,4.31
1990-04-12,4.3
1990-04-16,4.31
1990-04-17,4.32
1990-04-18,4.27
1990-04-19,4.3
1990-04-20,4.35
1990-04-23,4.36
1990-04-24,4.4
1990-04-25,4.48
1990-04-26,4.49
1990-04-27,4.44
1990-04-30,4.41
1990-05-01,4.4
1990-05-02,4.5
1990-05-03,4.51
1990-05-04,4.52
1990-05-07,4.63
1990-05-08,4.65
1990-05-09,4.67
1990-05-10,4.58
1990-05-11,4.76
1990-05-14,4.83
1990-05-15,4.79
1990-05-16,4.72
1990-05-17,4.74
1990-05-18,4.74
1990-05-21,4.82
1990-05-22,4.84
1990-05-23,4.87
1990-05-24,4.87
1990-05-25,4.86
1990-05-29,4.86
1990-05-30,4.85
1990-05-31,4.82
1990-06-01,4.81
1990-06-04,4.83
1990-06-05,4.87
1990-06-06,4.86
1990-06-07,4.83
1990-06-08,4.78
1990-06-11,4.74
1990-06-12,4.74
1990-06-13,4.73
1990-06-14,4.74
1990-06-15,4.72
1990-06-18,4.65
1990-06-19,4.63
1990-06-20,4.68
1990-06-21,4.62
1990-06-22,4.57
1990-06-25,4.21
1990-06-26,3.77
1990-06-27,3.76
1990-06-28,3.77
1990-06-29,3.78
1990-07-02,3.81
1990-07-03,3.88
1990-07-05,3.85
1990-07-06,3.8
1990-07-09,3.85
1990-07-10,3.83
1990-07-11,3.9
1990-07-12,3.91
1990-07-13,3.79
1990-07-16,3.86
1990-07-17,3.81
1990-07-18,3.8
1990-07-19,3.8
1990-07-20,3.8
1990-07-23,3.75
1990-07-24,3.69
1990-07-25,3.61
1990-07-26,3.54
1990-07-27,3.47
1990-07-30,3.53
1990-07-31,3.53
1990-08-01,3.56
1990-08-02,3.44
1990-08-03,3.41
1990-08-06,3.27
1990-08-07,3.27
1990-08-08,3.37
1990-08-09,3.43
1990-08-10,3.4
1990-08-13,3.37
1990-08-14,3.43
1990-08-15,3.38
1990-08-16,3.33
1990-08-17,3.23
1990-08-20,3.27
1990-08-21,3.17
1990-08-22,3.11
1990-08-23,3.06
1990-08-24,3.17
1990-08-27,3.24
1990-08-28,3.17
1990-08-29,3.16
1990-08-30,3.09
1990-08-31,3.11
1990-09-04,3.15
1990-09-05,3.2
1990-09-06,3.15
1990-09-07,3.17
1990-09-10,3.15
1990-09-11,3.09
1990-09-12,3.09
1990-09-13,3.09
1990-09-14,3.01
1990-09-17,3.07
1990-09-18,3.08
1990-09-19,3.05
1990-09-20,3.04
1990-09-21,3.03
1990-09-24,3.0
1990-09-25,3.05
1990-09-26,3.01
