Date,Price
2005-12-05,21.14
2005-12-06,20.4
2005-12-07,20.23
2005-12-08,20.11
2005-12-09,20.3
2005-12-12,20.78
2005-12-13,20.59
2005-12-14,20.35
2005-12-15,20.05
2005-12-16,20.04
2005-12-19,20.03
2005-12-20,19.85
2005-12-21,20.0
2005-12-22,19.89
2005-12-23,20.19
2005-12-27,20.31
2005-12-28,19.84
2005-12-29,19.8
2005-12-30,20.19
2006-01-03,20.75
2006-01-04,20.59
2006-01-05,20.87
2006-01-06,21.56
2006-01-09,21.41
2006-01-10,21.03
2006-01-11,20.73
2006-01-12,20.58
2006-01-13,20.18
2006-01-17,19.85
2006-01-18,20.33
2006-01-19,20.25
2006-01-20,19.78
2006-01-23,20.45
2006-01-24,21.3
2006-01-25,20.91
2006-01-26,21.23
2006-01-27,21.22
2006-01-30,21.6
2006-01-31,20.69
2006-02-01,20.7
2006-02-02,20.31
2006-02-03,20.32
2006-02-06,20.46
2006-02-07,20.22
2006-02-08,20.61
2006-02-09,20.3
2006-02-10,20.16
2006-02-13,20.23
2006-02-14,20.27
2006-02-15,20.28
2006-02-16,19.92
2006-02-17,20.47
2006-02-21,20.04
2006-02-22,19.98
2006-02-23,19.96
2006-02-24,19.55
2006-02-27,19.79
2006-02-28,19.49
2006-03-01,19.65
2006-03-02,19.18
2006-03-03,19.11
2006-03-06,19.11
2006-03-07,19.41
2006-03-08,19.24
2006-03-09,19.1
2006-03-10,19.09
2006-03-13,19.14
2006-03-14,19.1
2006-03-15,19.4
2006-03-16,19.3
2006-03-17,19.62
2006-03-20,19.45
2006-03-21,19.75
2006-03-22,19.99
2006-03-23,19.84
2006-03-24,19.95
2006-03-27,19.75
2006-03-28,19.46
2006-03-29,19.48
2006-03-30,19.32
2006-03-31,19.11
2006-04-03,19.69
2006-04-04,19.74
2006-04-05,19.84
2006-04-06,20.3
2006-04-07,20.04
2006-04-10,19.84
2006-04-11,19.61
2006-04-12,19.55
2006-04-13,19.8
2006-04-17,19.69
2006-04-18,19.77
2006-04-19,19.57
2006-04-20,19.55
2006-04-21,19.77
2006-04-24,19.77
2006-04-25,20.22
2006-04-26,20.04
2006-04-27,20.32
2006-04-28,20.3
2006-05-01,20.55
2006-05-02,20.36
2006-05-03,20.52
2006-05-04,20.75
2006-05-05,21.02
2006-05-08,21.2
2006-05-09,21.26
2006-05-10,20.96
2006-05-11,20.66
2006-05-12,20.45
2006-05-15,20.45
2006-05-16,20.98
2006-05-17,20.56
2006-05-18,20.2
2006-05-19,20.09
