Date,Price
2000-10-23,682.88
2000-10-24,654.81
2000-10-25,647.8
2000-10-26,688.72
2000-10-27,694.55
2000-10-30,684.19
2000-10-31,633.3
2000-11-01,694.55
2000-11-02,681.59
2000-11-03,689.35
2000-11-06,647.89
2000-11-07,647.89
2000-11-08,660.85
2000-11-09,653.08
2000-11-10,660.85
2000-11-13,636.24
2000-11-14,650.49
2000-11-15,647.89
2000-11-16,660.85
2000-11-17,658.27
2000-11-20,647.89
2000-11-21,653.08
2000-11-22,638.82
2000-11-23,651.77
2000-11-24,660.85
2000-11-27,649.2
2000-11-28,655.68
2000-11-29,650.49
2000-11-30,660.85
2000-12-01,663.44
2000-12-04,653.08
2000-12-05,654.37
2000-12-06,683.53
2000-12-07,660.85
2000-12-08,680.28
2000-12-11,633.76
2000-12-12,650.14
2000-12-13,666.51
2000-12-14,694.55
2000-12-15,673.8
2000-12-18,643.12
2000-12-19,641.95
2000-12-20,638.44
2000-12-21,697.14
2000-12-22,676.4
2000-12-25,676.4
2000-12-26,676.4
2000-12-27,675.11
2000-12-28,688.07
2000-12-29,661.83
2001-01-01,661.83
2001-01-02,655.28
2001-01-03,661.83
2001-01-04,713.98
2001-01-05,724.97
2001-01-08,714.91
2001-01-09,728.48
2001-01-10,741.34
2001-01-11,722.63
2001-01-12,696.91
2001-01-15,709.3
2001-01-16,701.58
2001-01-17,734.33
2001-01-18,724.97
2001-01-19,753.5
2001-01-22,781.1
2001-01-23,776.42
2001-01-24,810.33
2001-01-25,816.18
2001-01-26,809.16
2001-01-29,796.3
2001-01-30,802.15
2001-01-31,812.67
2001-02-01,813.84
2001-02-02,815.01
2001-02-05,813.84
2001-02-06,827.87
2001-02-07,847.74
2001-02-08,889.84
2001-02-09,888.67
2001-02-12,860.14
2001-02-13,837.22
2001-02-14,823.66
2001-02-15,783.44
2001-02-16,816.18
2001-02-19,827.87
2001-02-20,818.52
2001-02-21,849.39
2001-02-22,866.46
2001-02-23,852.43
2001-02-26,851.26
2001-02-27,872.3
2001-02-28,859.44
2001-03-01,841.9
2001-03-02,815.01
2001-03-05,802.15
2001-03-06,797.47
2001-03-07,827.17
2001-03-08,816.18
2001-03-09,807.52
2001-03-12,795.13
2001-03-13,775.25
2001-03-14,748.36
2001-03-15,739.0
2001-03-16,724.97
2001-03-19,694.57
2001-03-20,678.2
2001-03-21,692.23
2001-03-22,662.3
2001-03-23,675.86
2001-03-26,666.51
2001-03-27,660.66
2001-03-28,650.14
2001-03-29,640.78
2001-03-30,643.12
2001-04-02,676.4
2001-04-03,695.83
2001-04-04,696.09
2001-04-05,671.47
2001-04-06,679.89
2001-04-09,691.93
2001-04-10,717.68
2001-04-11,709.98
2001-04-12,703.48
2001-04-13,703.48
2001-04-16,703.48
2001-04-17,676.28
2001-04-18,722.01
2001-04-19,750.89
2001-04-20,760.52
2001-04-23,750.89
2001-04-24,756.91
2001-04-25,715.99
2001-04-26,731.64
2001-04-27,784.58
2001-04-30,796.62
2001-05-01,796.62
2001-05-02,830.31
2001-05-03,813.46
2001-05-04,820.68
2001-05-07,820.68
2001-05-08,827.9
2001-05-09,820.2
2001-05-10,864.0
2001-05-11,812.74
2001-05-14,760.52
2001-05-15,783.38
2001-05-16,790.91
2001-05-17,835.73
2001-05-18,841.79
2001-05-21,864.8
2001-05-22,874.49
2001-05-23,884.17
2001-05-24,857.53
2001-05-25,856.32
2001-05-28,856.32
2001-05-29,863.59
2001-05-30,852.68
2001-05-31,872.06
2001-06-01,862.37
2001-06-04,858.26
2001-06-05,889.02
2001-06-06,898.71
2001-06-07,886.6
2001-06-08,879.33
2001-06-11,859.95
2001-06-12,857.53
2001-06-13,847.84
2001-06-14,835.73
2001-06-15,794.55
2001-06-18,805.44
2001-06-19,823.61
2001-06-20,818.77
2001-06-21,847.84
2001-06-22,876.91
2001-06-25,866.0
2001-06-26,867.22
2001-06-27,881.75
2001-06-28,884.17
2001-06-29,896.29
2001-07-02,898.71
2001-07-03,882.97
2001-07-04,891.93
2001-07-05,898.22
2001-07-06,896.29
2001-07-09,891.44
2001-07-10,900.64
2001-07-11,889.02
2001-07-12,887.32
2001-07-13,875.7
2001-07-16,851.47
2001-07-17,857.53
2001-07-18,859.95
2001-07-19,854.38
2001-07-20,857.53
2001-07-23,839.36
2001-07-24,795.76
2001-07-25,818.77
2001-07-26,828.46
2001-07-27,862.37
2001-07-30,891.44
2001-07-31,901.86
2001-08-01,905.98
2001-08-02,929.47
2001-08-03,924.15
2001-08-06,961.69
2001-08-07,949.58
2001-08-08,929.47
2001-08-09,913.97
2001-08-10,901.86
2001-08-13,896.29
2001-08-14,911.55
2001-08-15,908.67
2001-08-16,913.54
2001-08-17,896.0
2001-08-20,894.05
2001-08-21,925.72
2001-08-22,908.67
2001-08-23,933.03
2001-08-24,945.21
2001-08-27,945.21
2001-08-28,950.09
2001-08-29,959.83
2001-08-30,906.24
2001-08-31,901.36
2001-09-03,905.01
2001-09-04,911.11
2001-09-05,901.36
2001-09-06,862.38
2001-09-07,901.36
2001-09-10,877.0
2001-09-11,744.24
2001-09-12,679.68
2001-09-13,669.93
2001-09-14,623.62
2001-09-17,526.42
2001-09-18,567.59
2001-09-19,572.32
2001-09-20,561.52
2001-09-21,491.34
2001-09-24,485.93
2001-09-25,566.93
2001-09-26,599.31
2001-09-27,607.42
2001-09-28,605.4
2001-10-01,599.31
2001-10-02,580.43
2001-10-03,568.27
2001-10-04,562.86
2001-10-05,576.38
2001-10-08,583.13
2001-10-09,580.43
2001-10-10,568.27
2001-10-11,599.31
2001-10-12,607.42
2001-10-15,619.58
2001-10-16,630.37
2001-10-17,638.46
2001-10-18,606.74
2001-10-19,569.61
2001-10-22,539.94
2001-10-23,573.68
2001-10-24,623.62
2001-10-25,642.5
2001-10-26,637.8
2001-10-29,619.58
2001-10-30,615.51
2001-10-31,660.72
2001-11-01,642.5
2001-11-02,680.31
2001-11-05,723.5
2001-11-06,704.6
2001-11-07,720.8
2001-11-08,726.21
2001-11-09,721.48
2001-11-12,674.9
2001-11-13,668.71
2001-11-14,692.13
2001-11-15,712.99
2001-11-16,724.03
2001-11-19,778.03
2001-11-20,904.92
2001-11-21,851.66
2001-11-22,836.93
2001-11-23,871.29
2001-11-26,898.29
2001-11-27,898.29
2001-11-28,911.06
2001-11-29,866.39
2001-11-30,895.84
2001-12-03,878.66
2001-12-04,900.75
2001-12-05,914.25
2001-12-06,922.84
2001-12-07,920.38
2001-12-10,925.29
2001-12-11,930.2
2001-12-12,900.75
2001-12-13,883.57
2001-12-14,883.57
2001-12-17,927.74
2001-12-18,893.38
2001-12-19,922.84
2001-12-20,943.7
2001-12-21,979.29
2001-12-24,969.47
2001-12-25,969.47
2001-12-26,969.47
2001-12-27,980.51
2001-12-28,985.42
2001-12-31,981.74
2002-01-01,981.74
2002-01-02,981.25
2002-01-03,966.28
2002-01-04,981.74
2002-01-07,989.1
2002-01-08,982.97
2002-01-09,967.75
2002-01-10,976.83
2002-01-11,981.74
2002-01-14,989.1
2002-01-15,997.7
2002-01-16,1008.74
2002-01-17,1003.83
2002-01-18,981.74
2002-01-21,976.83
2002-01-22,969.47
2002-01-23,947.38
2002-01-24,954.74
2002-01-25,949.83
2002-01-28,979.29
2002-01-29,979.29
2002-01-30,969.47
2002-01-31,978.79
2002-02-01,1003.34
2002-02-04,990.33
2002-02-05,994.01
2002-02-06,989.1
2002-02-07,1005.06
2002-02-08,989.1
2002-02-11,1001.37
2002-02-12,997.7
2002-02-13,979.29
2002-02-14,979.29
2002-02-15,957.2
2002-02-18,957.69
2002-02-19,957.2
2002-02-20,951.79
2002-02-21,965.3
2002-02-22,962.11
2002-02-25,962.84
2002-02-26,970.7
2002-02-27,989.1
2002-02-28,1006.28
2002-03-01,1000.88
2002-03-04,1003.83
2002-03-05,1011.19
2002-03-06,1021.01
2002-03-07,1043.1
2002-03-08,1066.42
2002-03-11,1078.69
2002-03-12,1070.1
2002-03-13,1055.37
2002-03-14,1060.28
2002-03-15,1115.99
2002-03-18,1145.44
2002-03-19,1143.73
2002-03-20,1153.54
2002-03-21,1148.14
2002-03-22,1146.18
2002-03-25,1129.0
2002-03-26,1147.41
2002-03-27,1190.36
2002-03-28,1187.91
2002-03-29,1187.91
2002-04-01,1187.91
2002-04-02,1153.54
2002-04-03,1139.64
2002-04-04,1122.38
2002-04-05,1136.43
2002-04-08,1108.82
2002-04-09,1124.11
2002-04-10,1156.16
2002-04-11,1166.76
2002-04-12,1161.09
2002-04-15,1154.92
2002-04-16,1147.52
2002-04-17,1148.76
2002-04-18,1137.67
2002-04-19,1115.97
2002-04-22,1089.6
2002-04-23,1079.74
2002-04-24,1115.48
2002-04-25,1121.64
2002-04-26,1121.64
2002-04-29,1136.43
2002-04-30,1138.9
2002-05-01,1148.02
2002-05-02,1178.34
2002-05-03,1178.34
2002-05-06,1178.34
2002-05-07,1133.97
2002-05-08,1158.62
2002-05-09,1148.76
2002-05-10,1133.97
2002-05-13,1146.3
2002-05-14,1161.09
2002-05-15,1163.83
2002-05-16,1194.05
2002-05-17,1162.6
2002-05-20,1166.31
2002-05-21,1155.16
2002-05-22,1131.64
2002-05-23,1126.69
2002-05-24,1111.83
2002-05-27,1121.74
2002-05-28,1114.31
2002-05-29,1094.5
2002-05-30,1089.55
2002-05-31,1106.88
2002-06-03,1106.88
2002-06-04,1106.88
2002-06-05,1064.78
2002-06-06,1046.71
2002-06-07,1054.88
2002-06-10,1062.31
2002-06-11,1096.97
2002-06-12,1072.21
2002-06-13,1062.31
2002-06-14,1040.02
2002-06-17,1067.26
2002-06-18,1053.64
2002-06-19,1057.36
2002-06-20,1052.4
2002-06-21,1048.69
2002-06-24,1044.97
2002-06-25,1054.88
2002-06-26,1001.15
2002-06-27,981.34
2002-06-28,1027.64
2002-07-01,1017.74
2002-07-02,990.0
2002-07-03,953.35
2002-07-04,975.64
2002-07-05,1002.88
2002-07-08,1002.88
2002-07-09,996.68
2002-07-10,975.64
2002-07-11,938.5
2002-07-12,955.83
2002-07-15,874.11
2002-07-16,965.73
2002-07-17,963.26
2002-07-18,982.32
2002-07-19,931.07
2002-07-22,903.83
2002-07-23,890.95
2002-07-24,866.68
2002-07-25,950.88
2002-07-26,1000.4
2002-07-29,1004.11
2002-07-30,1059.83
2002-07-31,1084.59
2002-08-01,1036.3
2002-08-02,1023.92
2002-08-05,955.09
2002-08-06,966.23
2002-08-07,940.47
2002-08-08,980.59
2002-08-09,990.5
2002-08-12,981.34
2002-08-13,965.73
2002-08-14,963.84
2002-08-15,990.47
2002-08-16,995.45
2002-08-19,1050.2
2002-08-20,1045.22
2002-08-21,1015.86
2002-08-22,1020.33
2002-08-23,1014.85
2002-08-26,1014.85
2002-08-27,1075.08
2002-08-28,1043.98
2002-08-29,1027.05
2002-08-30,1045.22
2002-09-02,1027.8
2002-09-03,995.45
2002-09-04,995.45
2002-09-05,981.76
2002-09-06,985.49
2002-09-09,989.97
2002-09-10,1045.22
2002-09-11,1075.58
2002-09-12,1107.43
2002-09-13,1104.95
2002-09-16,1128.09
