Date,Price
1990-01-02,3.08
1990-01-03,3.05
1990-01-04,3.1
1990-01-05,3.08
1990-01-08,3.06
1990-01-09,3.01
1990-01-10,2.97
1990-01-11,2.99
1990-01-12,2.91
1990-01-15,2.91
1990-01-16,2.93
1990-01-17,3.03
1990-01-18,2.99
1990-01-19,2.95
1990-01-22,2.89
1990-01-23,2.95
1990-01-24,2.91
1990-01-25,2.93
1990-01-26,2.91
1990-01-29,2.93
1990-01-30,2.78
1990-01-31,2.85
1990-02-01,2.81
1990-02-02,2.8
1990-02-05,2.8
1990-02-06,2.8
1990-02-07,2.74
1990-02-08,2.74
1990-02-09,2.81
1990-02-12,2.85
1990-02-13,2.85
1990-02-14,2.85
1990-02-15,2.83
1990-02-16,2.89
1990-02-20,2.87
1990-02-21,2.85
1990-02-22,2.93
1990-02-23,2.85
1990-02-26,2.89
1990-02-27,2.81
1990-02-28,2.74
1990-03-01,2.68
1990-03-02,2.64
1990-03-05,2.68
1990-03-06,2.79
1990-03-07,2.79
1990-03-08,2.77
1990-03-09,2.93
1990-03-12,3.03
1990-03-13,3.03
1990-03-14,3.05
1990-03-15,3.18
1990-03-16,3.22
1990-03-19,3.22
1990-03-20,3.34
1990-03-21,3.24
1990-03-22,3.16
1990-03-23,3.16
1990-03-26,3.28
1990-03-27,3.34
1990-03-28,3.34
1990-03-29,3.36
1990-03-30,3.3
1990-04-02,3.18
1990-04-03,3.12
1990-04-04,3.08
1990-04-05,3.08
1990-04-06,3.07
1990-04-09,3.14
1990-04-10,3.24
1990-04-11,3.28
1990-04-12,3.3
1990-04-16,3.28
1990-04-17,3.2
1990-04-18,3.14
1990-04-19,3.08
1990-04-20,3.01
1990-04-23,2.97
1990-04-24,2.95
1990-04-25,2.97
1990-04-26,3.01
1990-04-27,3.01
1990-04-30,3.07
1990-05-01,3.1
1990-05-02,3.24
1990-05-03,3.22
1990-05-04,3.24
1990-05-07,3.26
1990-05-08,3.22
1990-05-09,3.18
1990-05-10,3.18
1990-05-11,3.22
1990-05-14,3.12
1990-05-15,3.26
1990-05-16,3.38
1990-05-17,3.47
1990-05-18,3.49
1990-05-21,3.63
1990-05-22,3.49
1990-05-23,3.55
1990-05-24,3.53
1990-05-25,3.51
1990-05-29,3.61
1990-05-30,3.59
1990-05-31,3.61
1990-06-01,3.73
1990-06-04,3.74
1990-06-05,3.78
1990-06-06,3.74
1990-06-07,3.71
1990-06-08,3.61
1990-06-11,3.59
1990-06-12,3.69
1990-06-13,3.74
1990-06-14,3.86
1990-06-15,3.82
1990-06-18,3.76
1990-06-19,3.86
1990-06-20,3.84
1990-06-21,3.8
1990-06-22,3.78
1990-06-25,3.69
1990-06-26,3.74
1990-06-27,3.78
1990-06-28,3.82
1990-06-29,3.78
1990-07-02,3.71
1990-07-03,3.76
1990-07-05,3.63
1990-07-06,3.63
1990-07-09,3.57
1990-07-10,3.59
1990-07-11,3.63
1990-07-12,3.71
1990-07-13,3.74
1990-07-16,3.71
1990-07-17,3.65
1990-07-18,3.61
1990-07-19,3.61
1990-07-20,3.63
1990-07-23,3.57
1990-07-24,3.53
1990-07-25,3.41
1990-07-26,3.45
1990-07-27,3.37
1990-07-30,3.26
1990-07-31,3.26
1990-08-01,3.24
1990-08-02,3.04
1990-08-03,2.98
1990-08-06,2.75
1990-08-07,2.79
1990-08-08,2.81
1990-08-09,2.85
1990-08-10,2.81
1990-08-13,2.75
1990-08-14,2.89
1990-08-15,2.95
1990-08-16,2.87
1990-08-17,2.73
1990-08-20,2.59
1990-08-21,2.44
1990-08-22,2.46
1990-08-23,2.28
1990-08-24,2.4
1990-08-27,2.75
1990-08-28,2.75
1990-08-29,2.75
1990-08-30,2.75
1990-08-31,2.77
1990-09-04,2.75
1990-09-05,2.79
1990-09-06,2.77
1990-09-07,2.79
1990-09-10,2.71
1990-09-11,2.58
1990-09-12,2.58
1990-09-13,2.52
1990-09-14,2.46
1990-09-17,2.46
1990-09-18,2.46
1990-09-19,2.4
1990-09-20,2.36
1990-09-21,2.3
1990-09-24,2.14
1990-09-25,2.18
1990-09-26,2.16
1990-09-27,2.1
1990-09-28,1.97
1990-10-01,2.02
1990-10-02,2.18
1990-10-03,2.16
1990-10-04,1.89
1990-10-05,1.79
1990-10-08,1.81
1990-10-09,1.77
1990-10-10,1.81
1990-10-11,1.73
1990-10-12,1.75
1990-10-15,1.81
1990-10-16,1.81
1990-10-17,1.83
1990-10-18,2.04
1990-10-19,2.2
1990-10-22,2.22
1990-10-23,2.2
1990-10-24,2.08
1990-10-25,2.04
1990-10-26,2.01
1990-10-29,1.99
1990-10-30,1.97
1990-10-31,1.99
1990-11-01,2.04
1990-11-02,2.1
1990-11-05,2.14
1990-11-06,2.2
1990-11-07,2.04
1990-11-08,1.99
1990-11-09,2.08
1990-11-12,2.16
1990-11-13,2.22
1990-11-14,2.32
1990-11-15,2.28
1990-11-16,2.24
1990-11-19,2.3
1990-11-20,2.24
1990-11-21,2.18
1990-11-23,2.14
1990-11-26,2.16
1990-11-27,2.14
1990-11-28,2.14
1990-11-29,2.12
1990-11-30,2.1
1990-12-03,2.16
1990-12-04,2.28
1990-12-05,2.36
1990-12-06,2.34
1990-12-07,2.34
1990-12-10,2.42
1990-12-11,2.4
1990-12-12,2.42
1990-12-13,2.46
1990-12-14,2.42
1990-12-17,2.44
1990-12-18,2.48
1990-12-19,2.48
1990-12-20,2.46
1990-12-21,2.4
1990-12-24,2.28
1990-12-26,2.3
1990-12-27,2.22
1990-12-28,2.22
1990-12-31,2.24
1991-01-02,2.24
1991-01-03,2.2
1991-01-04,2.16
1991-01-07,2.06
1991-01-08,2.04
1991-01-09,2.04
1991-01-10,2.0
1991-01-11,1.96
1991-01-14,1.96
1991-01-15,2.02
1991-01-16,2.16
1991-01-17,2.32
1991-01-18,2.36
1991-01-21,2.3
1991-01-22,2.34
1991-01-23,2.26
1991-01-24,2.3
1991-01-25,2.34
1991-01-28,2.36
1991-01-29,2.36
1991-01-30,2.54
1991-01-31,2.66
1991-02-01,2.8
1991-02-04,2.72
1991-02-05,2.72
1991-02-06,2.84
1991-02-07,2.94
1991-02-08,3.03
1991-02-11,3.05
1991-02-12,3.01
1991-02-13,3.03
1991-02-14,3.03
1991-02-15,3.03
1991-02-19,3.03
1991-02-20,2.94
1991-02-21,2.8
1991-02-22,2.8
1991-02-25,2.76
1991-02-26,2.7
1991-02-27,2.64
1991-02-28,2.8
1991-03-01,2.98
1991-03-04,2.98
1991-03-05,2.98
1991-03-06,3.1
1991-03-07,3.14
1991-03-08,3.31
1991-03-11,3.29
1991-03-12,3.23
1991-03-13,3.23
1991-03-14,3.25
1991-03-15,3.17
1991-03-18,3.14
1991-03-19,3.0
1991-03-20,3.04
1991-03-21,3.14
1991-03-22,3.1
1991-03-25,3.08
1991-03-26,3.19
1991-03-27,3.15
1991-03-28,3.19
1991-04-01,3.21
1991-04-02,3.31
1991-04-03,3.37
1991-04-04,3.47
1991-04-05,3.41
1991-04-08,3.41
1991-04-09,3.43
1991-04-10,3.37
1991-04-11,3.45
1991-04-12,3.49
1991-04-15,3.47
1991-04-16,3.77
1991-04-17,3.91
1991-04-18,3.99
1991-04-19,3.93
1991-04-22,3.79
1991-04-23,3.85
1991-04-24,3.93
1991-04-25,3.83
1991-04-26,3.81
1991-04-29,3.79
1991-04-30,3.87
1991-05-01,3.87
1991-05-02,3.95
1991-05-03,3.93
1991-05-06,3.85
1991-05-07,3.83
1991-05-08,3.91
1991-05-09,4.01
1991-05-10,3.91
1991-05-13,3.81
1991-05-14,3.73
1991-05-15,3.61
1991-05-16,3.65
1991-05-17,3.65
1991-05-20,3.63
1991-05-21,3.63
1991-05-22,3.69
1991-05-23,3.67
1991-05-24,3.73
1991-05-28,3.81
1991-05-29,3.83
1991-05-30,3.69
1991-05-31,3.81
1991-06-03,3.81
1991-06-04,3.79
1991-06-05,3.83
1991-06-06,3.79
1991-06-07,3.69
1991-06-10,3.65
1991-06-11,3.69
1991-06-12,3.69
1991-06-13,3.65
1991-06-14,3.67
1991-06-17,3.67
1991-06-18,3.57
1991-06-19,3.45
1991-06-20,3.45
1991-06-21,3.51
1991-06-24,3.45
1991-06-25,3.45
1991-06-26,3.45
1991-06-27,3.51
1991-06-28,3.37
1991-07-01,3.25
1991-07-02,3.35
1991-07-03,3.35
1991-07-05,3.39
1991-07-08,3.45
1991-07-09,3.39
1991-07-10,3.49
1991-07-11,3.49
1991-07-12,3.49
1991-07-15,3.51
1991-07-16,3.47
1991-07-17,3.45
1991-07-18,3.57
1991-07-19,3.57
1991-07-22,3.53
1991-07-23,3.55
1991-07-24,3.55
1991-07-25,3.55
1991-07-26,3.53
1991-07-29,3.57
1991-07-30,3.65
1991-07-31,3.67
1991-08-01,3.63
1991-08-02,3.53
1991-08-05,3.51
1991-08-06,3.49
1991-08-07,3.53
1991-08-08,3.53
1991-08-09,3.43
1991-08-12,3.45
1991-08-13,3.53
1991-08-14,3.47
1991-08-15,3.49
1991-08-16,3.41
1991-08-19,3.27
1991-08-20,3.31
1991-08-21,3.37
1991-08-22,3.45
1991-08-23,3.47
1991-08-26,3.43
1991-08-27,3.39
1991-08-28,3.47
1991-08-29,3.53
1991-08-30,3.61
1991-09-03,3.53
1991-09-04,3.53
1991-09-05,3.39
1991-09-06,3.35
1991-09-09,3.35
1991-09-10,3.45
1991-09-11,3.47
1991-09-12,3.63
1991-09-13,3.61
1991-09-16,3.67
1991-09-17,3.75
1991-09-18,3.77
1991-09-19,3.94
1991-09-20,3.94
1991-09-23,3.9
1991-09-24,3.88
1991-09-25,4.06
1991-09-26,4.06
1991-09-27,4.06
1991-09-30,4.1
1991-10-01,4.14
1991-10-02,4.18
1991-10-03,4.16
1991-10-04,4.02
1991-10-07,4.0
1991-10-08,4.04
1991-10-09,3.96
1991-10-10,4.18
1991-10-11,4.16
1991-10-14,4.2
1991-10-15,4.16
1991-10-16,4.5
1991-10-17,4.48
1991-10-18,4.64
1991-10-21,4.54
1991-10-22,4.42
1991-10-23,4.4
1991-10-24,4.32
1991-10-25,4.36
1991-10-28,4.46
1991-10-29,4.46
1991-10-30,4.36
1991-10-31,4.28
1991-11-01,4.36
1991-11-04,4.32
1991-11-05,4.26
1991-11-06,4.2
1991-11-07,4.16
1991-11-08,4.26
1991-11-11,4.18
1991-11-12,4.16
1991-11-13,4.02
1991-11-14,3.94
1991-11-15,3.81
1991-11-18,3.73
1991-11-19,3.55
1991-11-20,3.55
1991-11-21,3.69
1991-11-22,3.74
1991-11-25,3.65
1991-11-26,3.74
1991-11-27,3.76
1991-11-29,3.76
1991-12-02,3.96
1991-12-03,3.92
1991-12-04,3.94
1991-12-05,3.9
1991-12-06,3.88
1991-12-09,3.82
1991-12-10,3.78
1991-12-11,3.76
1991-12-12,3.74
1991-12-13,3.78
1991-12-16,3.88
1991-12-17,3.9
1991-12-18,3.84
1991-12-19,3.78
1991-12-20,3.69
1991-12-23,3.84
1991-12-24,4.12
1991-12-26,4.1
1991-12-27,4.1
1991-12-30,4.16
1991-12-31,4.26
1992-01-02,4.18
1992-01-03,4.22
1992-01-06,4.24
1992-01-07,4.34
1992-01-08,4.51
1992-01-09,4.59
1992-01-10,4.59
1992-01-13,4.59
1992-01-14,4.55
1992-01-15,4.59
1992-01-16,4.55
1992-01-17,4.51
1992-01-20,4.43
1992-01-21,4.3
1992-01-22,4.34
1992-01-23,4.38
1992-01-24,4.51
1992-01-27,4.55
1992-01-28,4.49
1992-01-29,4.41
1992-01-30,4.38
1992-01-31,4.34
1992-02-03,4.24
1992-02-04,4.41
1992-02-05,4.63
1992-02-06,4.67
1992-02-07,4.95
1992-02-10,5.08
1992-02-11,5.08
1992-02-12,5.2
1992-02-13,5.1
1992-02-14,5.14
1992-02-18,5.16
1992-02-19,5.16
1992-02-20,5.26
1992-02-21,5.26
1992-02-24,5.22
1992-02-25,5.22
1992-02-26,5.32
1992-02-27,5.22
1992-02-28,5.34
1992-03-02,5.4
1992-03-03,5.38
1992-03-04,5.44
1992-03-05,5.4
1992-03-06,5.34
1992-03-09,5.38
1992-03-10,5.5
1992-03-11,5.24
1992-03-12,5.24
1992-03-13,5.2
1992-03-16,5.2
1992-03-17,5.24
1992-03-18,5.32
1992-03-19,5.36
1992-03-20,5.3
1992-03-23,5.28
1992-03-24,5.22
1992-03-25,5.32
1992-03-26,5.2
1992-03-27,5.06
1992-03-30,4.93
1992-03-31,5.06
1992-04-01,5.0
1992-04-02,4.97
1992-04-03,4.89
1992-04-06,4.89
1992-04-07,4.89
1992-04-08,4.77
1992-04-09,4.83
1992-04-10,4.89
1992-04-13,4.89
1992-04-14,4.95
1992-04-15,4.89
1992-04-16,4.85
1992-04-20,4.85
1992-04-21,4.61
1992-04-22,4.69
1992-04-23,4.63
1992-04-24,4.61
1992-04-27,4.71
1992-04-28,4.65
1992-04-29,4.65
1992-04-30,4.79
1992-05-01,4.81
1992-05-04,4.85
1992-05-05,4.85
1992-05-06,4.83
1992-05-07,4.87
1992-05-08,4.87
1992-05-11,4.87
1992-05-12,4.87
1992-05-13,4.85
1992-05-14,4.77
1992-05-15,4.73
1992-05-18,4.77
1992-05-19,4.81
1992-05-20,4.81
1992-05-21,4.87
1992-05-22,4.83
1992-05-26,4.77
1992-05-27,4.69
1992-05-28,4.67
1992-05-29,4.69
1992-06-01,4.69
1992-06-02,4.69
1992-06-03,4.71
1992-06-04,4.79
1992-06-05,4.92
1992-06-08,4.92
1992-06-09,4.98
1992-06-10,5.02
1992-06-11,4.96
1992-06-12,4.96
1992-06-15,4.98
1992-06-16,4.98
1992-06-17,4.88
1992-06-18,4.92
1992-06-19,4.86
1992-06-22,4.75
1992-06-23,4.57
1992-06-24,4.75
1992-06-25,4.83
1992-06-26,4.67
1992-06-29,4.65
1992-06-30,4.63
1992-07-01,4.61
