Date,Price
1990-01-02,4.14
1990-01-03,4.11
1990-01-04,4.11
1990-01-05,4.08
1990-01-08,4.05
1990-01-09,4.01
1990-01-10,3.95
1990-01-11,3.88
1990-01-12,3.82
1990-01-15,3.74
1990-01-16,3.71
1990-01-17,3.61
1990-01-18,3.66
1990-01-19,3.7
1990-01-22,3.55
1990-01-23,3.5
1990-01-24,3.45
1990-01-25,3.4
1990-01-26,3.41
1990-01-29,3.39
1990-01-30,3.38
1990-01-31,3.39
1990-02-01,3.39
1990-02-02,3.36
1990-02-05,3.34
1990-02-06,3.35
1990-02-07,3.34
1990-02-08,3.26
1990-02-09,3.22
1990-02-12,3.15
1990-02-13,3.23
1990-02-14,3.23
1990-02-15,3.26
1990-02-16,3.32
1990-02-20,3.31
1990-02-21,3.43
1990-02-22,3.41
1990-02-23,3.4
1990-02-26,3.47
1990-02-27,3.45
1990-02-28,3.49
1990-03-01,3.53
1990-03-02,3.59
1990-03-05,3.54
1990-03-06,3.58
1990-03-07,3.55
1990-03-08,3.6
1990-03-09,3.58
1990-03-12,3.62
1990-03-13,3.58
1990-03-14,3.51
1990-03-15,3.54
1990-03-16,3.59
1990-03-19,3.55
1990-03-20,3.57
1990-03-21,3.54
1990-03-22,3.47
1990-03-23,3.47
1990-03-26,3.46
1990-03-27,3.47
1990-03-28,3.54
1990-03-29,3.54
1990-03-30,3.53
1990-04-02,3.51
1990-04-03,3.54
1990-04-04,3.56
1990-04-05,3.55
1990-04-06,3.49
1990-04-09,3.54
1990-04-10,3.52
1990-04-11,3.46
1990-04-12,3.52
1990-04-16,3.52
1990-04-17,3.49
1990-04-18,3.47
1990-04-19,3.41
1990-04-20,3.37
1990-04-23,3.28
1990-04-24,3.26
1990-04-25,3.26
1990-04-26,3.22
1990-04-27,3.2
1990-04-30,3.2
1990-05-01,3.19
1990-05-02,3.18
1990-05-03,3.21
1990-05-04,3.21
1990-05-07,3.22
1990-05-08,3.27
1990-05-09,3.33
1990-05-10,3.35
1990-05-11,3.41
1990-05-14,3.55
1990-05-15,3.53
1990-05-16,3.55
1990-05-17,3.57
1990-05-18,3.53
1990-05-21,3.57
1990-05-22,3.6
1990-05-23,3.61
1990-05-24,3.64
1990-05-25,3.6
1990-05-29,3.62
1990-05-30,3.61
1990-05-31,3.62
1990-06-01,3.67
1990-06-04,3.74
1990-06-05,3.85
1990-06-06,3.88
1990-06-07,3.86
1990-06-08,3.73
1990-06-11,3.82
1990-06-12,3.79
1990-06-13,3.78
1990-06-14,3.73
1990-06-15,3.7
1990-06-18,3.66
1990-06-19,3.61
1990-06-20,3.6
1990-06-21,3.64
1990-06-22,3.58
1990-06-25,3.54
1990-06-26,3.54
1990-06-27,3.56
1990-06-28,3.54
1990-06-29,3.54
1990-07-02,3.55
1990-07-03,3.54
1990-07-05,3.5
1990-07-06,3.51
1990-07-09,3.54
1990-07-10,3.5
1990-07-11,3.51
1990-07-12,3.51
1990-07-13,3.52
1990-07-16,3.51
1990-07-17,3.52
1990-07-18,3.51
1990-07-19,3.51
1990-07-20,3.43
1990-07-23,3.36
1990-07-24,3.33
1990-07-25,3.35
1990-07-26,3.35
1990-07-27,3.33
1990-07-30,3.33
1990-07-31,3.32
1990-08-01,3.34
1990-08-02,3.34
1990-08-03,3.27
1990-08-06,3.19
1990-08-07,3.22
1990-08-08,3.21
1990-08-09,3.2
1990-08-10,3.2
1990-08-13,3.18
1990-08-14,3.19
1990-08-15,3.21
1990-08-16,3.12
1990-08-17,3.08
1990-08-20,3.09
1990-08-21,3.03
1990-08-22,3.05
1990-08-23,2.99
1990-08-24,2.97
1990-08-27,2.98
1990-08-28,2.97
1990-08-29,2.97
1990-08-30,2.94
1990-08-31,2.98
1990-09-04,2.99
1990-09-05,3.0
1990-09-06,3.01
1990-09-07,3.05
1990-09-10,3.05
1990-09-11,3.04
1990-09-12,3.05
1990-09-13,3.01
1990-09-14,2.89
1990-09-17,2.98
1990-09-18,3.0
1990-09-19,3.02
1990-09-20,2.98
1990-09-21,2.92
1990-09-24,2.83
1990-09-25,2.8
1990-09-26,2.74
1990-09-27,2.65
1990-09-28,2.71
1990-10-01,2.84
1990-10-02,2.84
1990-10-03,2.79
1990-10-04,2.8
1990-10-05,2.6
1990-10-08,2.54
1990-10-09,2.45
1990-10-10,2.42
1990-10-11,2.46
1990-10-12,2.56
1990-10-15,2.59
1990-10-16,2.59
1990-10-17,2.61
1990-10-18,2.64
1990-10-19,2.71
1990-10-22,2.75
1990-10-23,2.74
1990-10-24,2.7
1990-10-25,2.65
1990-10-26,2.56
1990-10-29,2.46
1990-10-30,2.46
1990-10-31,2.44
1990-11-01,2.48
1990-11-02,2.66
1990-11-05,2.71
1990-11-06,2.65
1990-11-07,2.57
1990-11-08,2.59
1990-11-09,2.66
1990-11-12,2.78
1990-11-13,2.73
1990-11-14,2.73
1990-11-15,2.74
1990-11-16,2.73
1990-11-19,2.73
1990-11-20,2.71
1990-11-21,2.69
1990-11-23,2.67
1990-11-26,2.73
1990-11-27,2.82
1990-11-28,2.85
1990-11-29,2.8
1990-11-30,2.86
1990-12-03,2.86
1990-12-04,2.82
1990-12-05,2.85
1990-12-06,2.93
1990-12-07,2.91
1990-12-10,2.91
1990-12-11,2.88
1990-12-12,2.95
1990-12-13,2.92
1990-12-14,2.92
1990-12-17,2.89
1990-12-18,3.04
1990-12-19,3.02
1990-12-20,3.0
1990-12-21,3.03
1990-12-24,3.01
1990-12-26,3.05
1990-12-27,2.98
1990-12-28,2.98
1990-12-31,3.0
1991-01-02,2.93
1991-01-03,2.88
1991-01-04,2.8
1991-01-07,2.73
1991-01-08,2.72
1991-01-09,2.69
