Date,Price
1990-01-02,5.4
1990-01-03,5.4
1990-01-04,5.39
1990-01-05,5.29
1990-01-08,5.29
1990-01-09,5.15
1990-01-10,5.06
1990-01-11,5.1
1990-01-12,5.02
1990-01-15,5.01
1990-01-16,5.01
1990-01-17,5.02
1990-01-18,5.06
1990-01-19,5.01
1990-01-22,4.89
1990-01-23,4.86
1990-01-24,4.81
1990-01-25,4.79
1990-01-26,4.72
1990-01-29,4.79
1990-01-30,4.64
1990-01-31,4.91
1990-02-01,4.98
1990-02-02,4.94
1990-02-05,4.91
1990-02-06,4.91
1990-02-07,4.91
1990-02-08,4.87
1990-02-09,4.89
1990-02-12,4.79
1990-02-13,4.81
1990-02-14,4.86
1990-02-15,4.98
1990-02-16,4.95
1990-02-20,4.94
1990-02-21,4.89
1990-02-22,4.84
1990-02-23,4.79
1990-02-26,4.91
1990-02-27,4.86
1990-02-28,4.86
1990-03-01,4.89
1990-03-02,4.81
1990-03-05,4.72
1990-03-06,4.73
1990-03-07,4.79
1990-03-08,4.79
1990-03-09,4.78
1990-03-12,4.78
1990-03-13,4.78
1990-03-14,4.79
1990-03-15,4.78
1990-03-16,4.79
1990-03-19,4.87
1990-03-20,4.97
1990-03-21,4.97
1990-03-22,4.84
1990-03-23,4.87
1990-03-26,4.89
1990-03-27,4.94
1990-03-28,4.92
1990-03-29,4.97
1990-03-30,5.03
1990-04-02,5.0
1990-04-03,5.02
1990-04-04,5.02
1990-04-05,5.13
1990-04-06,5.1
1990-04-09,5.11
1990-04-10,5.19
1990-04-11,5.17
1990-04-12,5.21
1990-04-16,5.11
1990-04-17,5.19
1990-04-18,5.14
1990-04-19,5.06
1990-04-20,5.03
1990-04-23,5.0
1990-04-24,4.97
1990-04-25,4.92
1990-04-26,4.93
1990-04-27,4.89
1990-04-30,4.87
1990-05-01,4.84
1990-05-02,4.85
1990-05-03,5.0
1990-05-04,5.01
1990-05-07,5.06
1990-05-08,5.08
1990-05-09,5.11
1990-05-10,5.17
1990-05-11,5.25
1990-05-14,5.27
1990-05-15,5.33
1990-05-16,5.32
1990-05-17,5.22
1990-05-18,5.29
1990-05-21,5.29
1990-05-22,5.32
1990-05-23,5.3
1990-05-24,5.32
1990-05-25,5.37
1990-05-29,5.49
1990-05-30,5.46
1990-05-31,5.43
1990-06-01,5.41
1990-06-04,5.51
1990-06-05,5.56
1990-06-06,5.44
1990-06-07,5.48
1990-06-08,5.4
1990-06-11,5.49
1990-06-12,5.6
1990-06-13,5.62
1990-06-14,5.62
1990-06-15,5.62
1990-06-18,5.59
1990-06-19,5.56
1990-06-20,5.6
1990-06-21,5.38
1990-06-22,5.29
1990-06-25,5.24
1990-06-26,5.24
1990-06-27,5.24
1990-06-28,5.29
1990-06-29,5.38
1990-07-02,5.35
1990-07-03,5.4
1990-07-05,5.33
1990-07-06,5.35
1990-07-09,5.38
1990-07-10,5.25
1990-07-11,5.27
1990-07-12,5.35
1990-07-13,5.46
1990-07-16,5.48
1990-07-17,5.54
1990-07-18,5.51
1990-07-19,5.62
1990-07-20,5.73
1990-07-23,5.62
1990-07-24,5.59
1990-07-25,5.59
1990-07-26,5.49
1990-07-27,5.54
1990-07-30,5.57
1990-07-31,5.65
1990-08-01,5.71
1990-08-02,5.54
