Date,Price
1990-03-26,4.61
1990-03-27,4.61
1990-03-28,4.58
1990-03-29,4.6
1990-03-30,4.63
1990-04-02,4.61
1990-04-03,4.57
1990-04-04,4.61
1990-04-05,4.31
1990-04-06,4.3
1990-04-09,4.34
1990-04-10,4.31
1990-04-11,4.26
1990-04-12,4.31
1990-04-16,4.34
1990-04-17,4.36
1990-04-18,4.31
1990-04-19,4.29
1990-04-20,4.26
1990-04-23,4.21
1990-04-24,4.19
1990-04-25,4.19
1990-04-26,4.06
1990-04-27,4.06
1990-04-30,3.99
1990-05-01,3.94
1990-05-02,3.94
1990-05-03,3.96
1990-05-04,3.99
1990-05-07,4.01
1990-05-08,4.0
1990-05-09,3.91
1990-05-10,3.89
1990-05-11,3.98
1990-05-14,4.03
1990-05-15,4.11
1990-05-16,4.11
1990-05-17,4.16
1990-05-18,4.21
1990-05-21,4.24
1990-05-22,4.26
1990-05-23,4.36
1990-05-24,4.36
1990-05-25,4.4
1990-05-29,4.41
1990-05-30,4.44
1990-05-31,4.44
1990-06-01,4.46
1990-06-04,4.51
1990-06-05,4.63
1990-06-06,4.73
1990-06-07,4.7
1990-06-08,4.72
1990-06-11,4.75
1990-06-12,4.8
1990-06-13,4.75
1990-06-14,4.67
1990-06-15,4.6
1990-06-18,4.62
1990-06-19,4.57
1990-06-20,4.55
1990-06-21,4.6
1990-06-22,4.65
1990-06-25,4.65
1990-06-26,4.65
1990-06-27,4.63
1990-06-28,4.7
1990-06-29,4.67
1990-07-02,4.7
1990-07-03,4.7
1990-07-05,4.68
1990-07-06,4.65
1990-07-09,4.67
1990-07-10,4.55
1990-07-11,4.6
1990-07-12,4.65
1990-07-13,4.58
1990-07-16,4.47
1990-07-17,4.52
1990-07-18,4.52
1990-07-19,4.47
1990-07-20,4.52
1990-07-23,4.45
1990-07-24,4.42
1990-07-25,4.45
1990-07-26,4.47
1990-07-27,4.4
1990-07-30,4.22
1990-07-31,4.14
1990-08-01,4.04
1990-08-02,3.87
1990-08-03,3.89
1990-08-06,3.99
1990-08-07,3.94
1990-08-08,4.02
1990-08-09,4.07
1990-08-10,3.97
1990-08-13,3.94
1990-08-14,3.94
1990-08-15,3.94
1990-08-16,3.89
1990-08-17,3.77
1990-08-20,3.79
1990-08-21,3.77
1990-08-22,3.74
1990-08-23,3.67
1990-08-24,3.69
1990-08-27,3.74
1990-08-28,3.79
1990-08-29,3.82
1990-08-30,3.79
1990-08-31,3.82
1990-09-04,3.73
1990-09-05,3.69
1990-09-06,3.67
1990-09-07,3.69
1990-09-10,3.73
1990-09-11,3.73
1990-09-12,3.66
1990-09-13,3.63
1990-09-14,3.61
1990-09-17,3.55
1990-09-18,3.61
1990-09-19,3.58
1990-09-20,3.61
1990-09-21,3.61
1990-09-24,3.58
1990-09-25,3.55
1990-09-26,3.55
1990-09-27,3.35
1990-09-28,3.45
1990-10-01,3.61
1990-10-02,3.66
1990-10-03,3.61
1990-10-04,3.58
1990-10-05,3.58
1990-10-08,3.63
1990-10-09,3.48
1990-10-10,3.45
1990-10-11,3.48
1990-10-12,3.45
1990-10-15,3.5
1990-10-16,3.53
1990-10-17,3.53
1990-10-18,3.58
1990-10-19,3.66
1990-10-22,3.78
1990-10-23,3.78
1990-10-24,3.76
1990-10-25,3.71
1990-10-26,3.61
1990-10-29,3.66
1990-10-30,3.63
1990-10-31,3.71
1990-11-01,3.66
1990-11-02,3.71
1990-11-05,3.73
