Date,Price
1999-04-30,4.96
1999-05-03,5.0
1999-05-04,4.83
1999-05-05,4.87
1999-05-06,4.85
1999-05-07,4.57
1999-05-10,4.68
1999-05-11,4.7
1999-05-12,4.68
1999-05-13,4.68
1999-05-14,4.68
1999-05-17,4.74
1999-05-18,4.68
1999-05-19,4.61
1999-05-20,4.63
1999-05-21,4.61
1999-05-24,4.57
1999-05-25,4.42
1999-05-26,4.28
1999-05-27,4.24
1999-05-28,4.7
1999-06-01,4.39
1999-06-02,4.44
1999-06-03,4.52
1999-06-04,4.65
1999-06-07,4.55
1999-06-08,4.48
1999-06-09,4.5
1999-06-10,4.44
1999-06-11,4.46
1999-06-14,4.35
1999-06-15,4.37
1999-06-16,4.37
1999-06-17,4.33
1999-06-18,4.35
1999-06-21,4.26
1999-06-22,4.18
1999-06-23,4.15
1999-06-24,4.13
1999-06-25,4.0
1999-06-28,4.09
1999-06-29,4.09
1999-06-30,4.18
1999-07-01,4.28
1999-07-02,4.22
1999-07-06,4.13
1999-07-07,4.18
1999-07-08,4.11
1999-07-09,4.05
1999-07-12,3.96
1999-07-13,3.89
1999-07-14,3.89
1999-07-15,3.74
1999-07-16,4.0
1999-07-19,4.22
1999-07-20,4.11
1999-07-21,4.11
1999-07-22,4.0
1999-07-23,4.05
1999-07-26,4.02
1999-07-27,3.87
1999-07-28,4.18
1999-07-29,3.87
1999-07-30,3.87
1999-08-02,3.88
1999-08-03,3.86
1999-08-04,3.92
1999-08-05,3.95
1999-08-06,4.06
1999-08-09,4.28
1999-08-10,4.3
1999-08-11,4.39
1999-08-12,4.37
1999-08-13,4.39
1999-08-16,4.57
1999-08-17,4.48
1999-08-18,4.48
1999-08-19,4.55
1999-08-20,4.77
1999-08-23,4.68
1999-08-24,4.66
1999-08-25,4.64
1999-08-26,4.68
1999-08-27,4.64
1999-08-30,4.7
1999-08-31,4.79
1999-09-01,4.79
1999-09-02,4.75
1999-09-03,4.73
1999-09-07,4.61
1999-09-08,4.61
1999-09-09,4.55
1999-09-10,4.66
1999-09-13,4.73
1999-09-14,4.57
1999-09-15,4.73
1999-09-16,4.79
1999-09-17,4.81
1999-09-20,4.7
1999-09-21,4.7
1999-09-22,4.73
1999-09-23,4.81
1999-09-24,4.84
1999-09-27,4.86
1999-09-28,4.81
1999-09-29,4.99
1999-09-30,5.13
1999-10-01,5.08
1999-10-04,5.24
1999-10-05,5.04
1999-10-06,5.13
1999-10-07,5.13
1999-10-08,5.1
1999-10-11,5.08
1999-10-12,4.86
1999-10-13,4.84
1999-10-14,4.84
1999-10-15,4.81
1999-10-18,4.79
1999-10-19,4.79
1999-10-20,4.75
1999-10-21,4.68
1999-10-22,4.7
1999-10-25,4.61
1999-10-26,4.24
1999-10-27,4.64
1999-10-28,4.1
1999-10-29,4.15
1999-11-01,4.12
1999-11-02,4.15
1999-11-03,4.24
1999-11-04,4.2
1999-11-05,4.02
1999-11-08,4.22
1999-11-09,4.2
1999-11-10,3.88
1999-11-11,4.04
1999-11-12,3.97
1999-11-15,4.11
1999-11-16,4.06
1999-11-17,3.86
1999-11-18,3.9
1999-11-19,3.79
1999-11-22,3.77
1999-11-23,3.61
1999-11-24,3.72
1999-11-26,3.86
1999-11-29,3.58
1999-11-30,3.65
1999-12-01,3.81
1999-12-02,4.04
1999-12-03,3.93
1999-12-06,3.7
1999-12-07,3.52
1999-12-08,3.61
1999-12-09,3.68
1999-12-10,3.72
1999-12-13,3.72
1999-12-14,3.72
1999-12-15,3.86
1999-12-16,3.97
1999-12-17,4.38
1999-12-20,4.02
1999-12-21,4.09
1999-12-22,4.06
1999-12-23,3.97
1999-12-27,3.79
1999-12-28,3.68
1999-12-29,3.68
1999-12-30,3.72
1999-12-31,3.65
2000-01-03,3.72
2000-01-04,3.65
2000-01-05,3.7
2000-01-06,3.86
2000-01-07,3.97
2000-01-10,4.0
2000-01-11,3.95
2000-01-12,4.02
2000-01-13,4.22
2000-01-14,4.2
2000-01-18,4.27
2000-01-19,4.2
2000-01-20,4.31
2000-01-21,4.34
2000-01-24,4.34
2000-01-25,4.29
2000-01-26,3.95
2000-01-27,4.2
2000-01-28,4.43
2000-01-31,4.43
2000-02-01,4.36
2000-02-02,4.43
2000-02-03,4.47
2000-02-04,4.41
2000-02-07,4.34
2000-02-08,4.51
2000-02-09,4.7
2000-02-10,4.65
2000-02-11,4.51
2000-02-14,4.56
2000-02-15,4.51
2000-02-16,4.58
2000-02-17,4.56
2000-02-18,4.58
2000-02-22,4.56
2000-02-23,4.35
2000-02-24,4.35
2000-02-25,4.33
2000-02-28,4.26
2000-02-29,4.35
2000-03-01,4.26
2000-03-02,4.28
2000-03-03,4.3
2000-03-06,4.35
2000-03-07,4.35
2000-03-08,4.28
2000-03-09,4.33
2000-03-10,4.26
2000-03-13,4.23
2000-03-14,4.26
2000-03-15,4.28
2000-03-16,4.26
2000-03-17,4.26
2000-03-20,4.21
2000-03-21,4.23
2000-03-22,4.12
2000-03-23,4.16
2000-03-24,4.12
2000-03-27,4.28
2000-03-28,4.14
2000-03-29,4.0
2000-03-30,3.95
2000-03-31,3.97
2000-04-03,4.07
2000-04-04,4.04
2000-04-05,4.09
2000-04-06,4.12
2000-04-07,4.12
2000-04-10,3.88
2000-04-11,3.93
2000-04-12,3.95
2000-04-13,3.81
2000-04-14,3.88
2000-04-17,3.93
2000-04-18,3.9
2000-04-19,3.93
2000-04-20,3.93
2000-04-24,3.9
2000-04-25,3.93
2000-04-26,3.83
2000-04-27,3.79
2000-04-28,3.88
2000-05-01,4.26
2000-05-02,4.3
2000-05-03,4.37
2000-05-04,4.23
2000-05-05,4.37
2000-05-08,4.33
2000-05-09,4.5
2000-05-10,4.36
2000-05-11,4.24
2000-05-12,4.12
2000-05-15,4.07
2000-05-16,4.27
2000-05-17,4.48
2000-05-18,4.31
2000-05-19,4.46
2000-05-22,4.6
2000-05-23,4.84
2000-05-24,4.86
2000-05-25,4.94
2000-05-26,4.74
2000-05-30,4.79
2000-05-31,4.79
2000-06-01,5.03
2000-06-02,5.13
2000-06-05,5.27
2000-06-06,5.3
2000-06-07,5.34
