Date,Price
2000-10-06,2.18
2000-10-09,2.03
2000-10-10,2.06
2000-10-11,1.99
2000-10-12,1.89
2000-10-13,1.93
2000-10-16,1.94
2000-10-17,2.06
2000-10-18,1.95
2000-10-19,1.91
2000-10-20,1.9
2000-10-23,1.88
2000-10-24,1.96
2000-10-25,2.04
2000-10-26,2.03
2000-10-27,2.18
2000-10-30,2.41
2000-10-31,2.62
2000-11-01,2.6
2000-11-02,2.67
2000-11-03,2.83
2000-11-06,2.69
2000-11-07,2.66
2000-11-08,2.69
2000-11-09,2.68
2000-11-10,2.77
2000-11-13,2.48
2000-11-14,2.55
2000-11-15,2.58
2000-11-16,2.57
2000-11-17,2.62
2000-11-20,2.55
2000-11-21,2.53
2000-11-22,2.58
2000-11-24,2.58
2000-11-27,2.66
2000-11-28,2.63
2000-11-29,2.49
2000-11-30,2.48
2000-12-01,2.46
2000-12-04,2.59
2000-12-05,2.49
2000-12-06,2.58
2000-12-07,2.69
2000-12-08,2.84
2000-12-11,2.89
2000-12-12,2.79
2000-12-13,2.69
2000-12-14,2.36
2000-12-15,2.36
2000-12-18,2.31
2000-12-19,2.32
2000-12-20,2.27
2000-12-21,2.35
2000-12-22,2.51
2000-12-26,2.63
2000-12-27,2.8
2000-12-28,3.16
2000-12-29,3.22
2001-01-02,2.93
2001-01-03,2.92
2001-01-04,2.8
2001-01-05,2.73
2001-01-08,2.51
2001-01-09,2.6
2001-01-10,2.81
2001-01-11,3.05
2001-01-12,2.98
2001-01-16,3.18
2001-01-17,3.25
2001-01-18,3.36
2001-01-19,3.4
2001-01-22,3.47
2001-01-23,3.47
2001-01-24,3.44
2001-01-25,3.39
2001-01-26,3.42
2001-01-29,3.47
2001-01-30,3.51
2001-01-31,3.78
2001-02-01,3.99
2001-02-02,4.03
2001-02-05,3.94
2001-02-06,3.82
2001-02-07,3.84
2001-02-08,3.78
2001-02-09,3.78
2001-02-12,3.67
2001-02-13,3.67
2001-02-14,3.8
2001-02-15,3.84
2001-02-16,3.81
2001-02-20,3.79
2001-02-21,3.87
2001-02-22,3.81
2001-02-23,3.7
2001-02-26,3.69
2001-02-27,3.63
2001-02-28,3.38
2001-03-01,3.19
2001-03-02,3.13
2001-03-05,3.14
2001-03-06,2.96
2001-03-07,2.99
2001-03-08,3.15
2001-03-09,3.16
2001-03-12,3.15
2001-03-13,3.11
2001-03-14,3.06
2001-03-15,3.05
2001-03-16,3.05
2001-03-19,3.13
2001-03-20,3.14
2001-03-21,3.08
2001-03-22,3.0
2001-03-23,3.07
2001-03-26,3.02
2001-03-27,3.02
2001-03-28,3.09
2001-03-29,3.16
2001-03-30,3.24
2001-04-02,3.14
2001-04-03,3.08
2001-04-04,3.19
2001-04-05,3.22
2001-04-06,3.14
2001-04-09,3.16
2001-04-10,3.14
2001-04-11,2.81
