Date,Price
2000-01-03,17.42
2000-01-04,17.42
2000-01-05,17.83
2000-01-06,18.11
2000-01-07,17.65
2000-01-10,17.65
2000-01-11,17.15
2000-01-12,16.95
2000-01-13,17.05
2000-01-14,17.42
2000-01-17,17.3
2000-01-18,16.86
2000-01-19,15.89
2000-01-20,15.93
2000-01-21,16.3
2000-01-24,16.03
2000-01-25,15.87
2000-01-26,15.47
2000-01-27,15.56
2000-01-28,15.7
2000-01-31,15.29
2000-02-01,15.19
2000-02-02,15.29
2000-02-03,15.24
2000-02-04,14.87
2000-02-07,14.99
2000-02-08,15.4
2000-02-09,15.15
2000-02-10,15.71
2000-02-11,15.38
2000-02-14,15.19
2000-02-15,15.61
2000-02-16,15.45
2000-02-17,15.04
2000-02-18,15.19
2000-02-21,15.31
2000-02-22,15.47
2000-02-23,15.75
2000-02-24,15.75
2000-02-25,15.56
2000-02-28,15.75
2000-02-29,15.83
2000-03-01,15.56
2000-03-02,15.69
2000-03-03,15.56
2000-03-06,15.52
2000-03-07,15.46
2000-03-08,15.1
2000-03-09,15.38
2000-03-10,15.65
2000-03-13,15.52
2000-03-14,16.03
2000-03-15,16.91
2000-03-16,17.37
2000-03-17,17.6
2000-03-20,16.77
2000-03-21,17.05
2000-03-22,17.79
2000-03-23,17.6
2000-03-24,17.09
2000-03-27,17.63
2000-03-28,17.46
2000-03-29,17.37
2000-03-30,17.6
2000-03-31,17.6
2000-04-03,16.77
2000-04-04,17.32
2000-04-05,17.09
2000-04-06,17.42
2000-04-07,18.11
2000-04-10,18.34
2000-04-11,18.66
2000-04-12,18.75
2000-04-13,18.53
2000-04-14,18.15
2000-04-17,17.93
2000-04-18,18.16
2000-04-19,17.93
2000-04-20,17.93
2000-04-21,17.93
2000-04-24,17.93
2000-04-25,18.44
2000-04-26,18.67
2000-04-27,18.24
2000-04-28,18.66
2000-05-01,18.66
2000-05-02,18.37
2000-05-03,18.48
2000-05-04,19.17
2000-05-05,19.32
2000-05-08,19.23
2000-05-09,19.23
2000-05-10,19.26
2000-05-11,18.34
2000-05-12,17.98
2000-05-15,18.53
2000-05-16,18.34
2000-05-17,18.02
2000-05-18,18.48
2000-05-19,18.48
2000-05-22,17.83
2000-05-23,18.06
2000-05-24,17.81
2000-05-25,18.06
2000-05-26,18.06
2000-05-29,17.83
2000-05-30,18.06
2000-05-31,18.34
2000-06-01,18.44
2000-06-02,18.25
2000-06-05,18.41
2000-06-06,18.25
2000-06-07,18.16
2000-06-08,17.79
2000-06-09,18.16
2000-06-12,18.23
2000-06-13,17.97
2000-06-14,17.93
2000-06-15,18.06
2000-06-16,17.68
2000-06-19,17.81
2000-06-20,18.1
2000-06-21,17.61
2000-06-22,17.65
2000-06-23,16.68
2000-06-26,16.69
2000-06-27,16.63
2000-06-28,16.35
2000-06-29,16.21
2000-06-30,16.3
2000-07-03,16.44
2000-07-04,16.27
2000-07-05,16.44
2000-07-06,16.51
2000-07-07,16.51
2000-07-10,17.39
2000-07-11,17.23
2000-07-12,17.09
2000-07-13,17.09
2000-07-14,17.42
2000-07-17,17.83
2000-07-18,18.25
2000-07-19,18.57
2000-07-20,18.76
2000-07-21,18.76
2000-07-24,18.76
2000-07-25,18.24
2000-07-26,18.61
2000-07-27,18.53
2000-07-28,18.72
2000-07-31,18.85
2000-08-01,18.76
2000-08-02,18.54
2000-08-03,18.44
2000-08-04,18.53
2000-08-07,18.71
2000-08-08,18.63
2000-08-09,18.44
2000-08-10,18.47
2000-08-11,18.47
2000-08-14,18.38
2000-08-15,18.56
2000-08-16,18.45
2000-08-17,18.31
2000-08-18,18.34
2000-08-21,18.39
2000-08-22,18.3
2000-08-23,18.57
2000-08-24,18.73
2000-08-25,18.76
2000-08-28,19.08
2000-08-29,19.08
2000-08-30,18.92
2000-08-31,18.95
2000-09-01,19.0
2000-09-04,18.94
2000-09-05,19.01
2000-09-06,19.14
2000-09-07,19.25
2000-09-08,19.41
2000-09-11,19.04
2000-09-12,18.99
2000-09-13,18.99
2000-09-14,18.76
2000-09-15,18.64
2000-09-18,18.83
2000-09-19,17.51
2000-09-20,17.42
2000-09-21,17.32
2000-09-22,16.68
2000-09-25,16.58
2000-09-26,16.81
2000-09-27,17.97
2000-09-28,18.16
2000-09-29,18.44
2000-10-02,18.67
2000-10-03,18.67
2000-10-04,18.62
2000-10-05,18.02
2000-10-06,17.42
2000-10-09,16.95
2000-10-10,16.95
2000-10-11,16.68
2000-10-12,16.63
2000-10-13,16.63
2000-10-16,16.63
2000-10-17,16.63
2000-10-18,16.63
2000-10-19,16.63
2000-10-20,16.63
2000-10-23,15.79
2000-10-24,15.79
2000-10-25,16.02
2000-10-26,16.01
2000-10-27,15.92
2000-10-30,16.18
2000-10-31,16.18
2000-11-01,16.74
2000-11-02,16.86
2000-11-03,16.54
2000-11-06,16.86
2000-11-07,16.8
2000-11-08,16.77
2000-11-09,16.89
2000-11-10,16.77
2000-11-13,16.73
2000-11-14,16.73
2000-11-15,16.9
2000-11-16,16.12
2000-11-17,16.12
2000-11-20,15.72
2000-11-21,15.43
2000-11-22,15.01
2000-11-23,15.52
2000-11-24,15.44
2000-11-27,15.61
2000-11-28,15.37
2000-11-29,15.24
2000-11-30,15.29
2000-12-01,15.29
2000-12-04,14.79
2000-12-05,15.1
2000-12-06,15.29
2000-12-07,15.05
2000-12-08,16.04
2000-12-11,16.11
2000-12-12,15.84
2000-12-13,15.29
2000-12-14,15.32
2000-12-15,15.59
2000-12-18,15.5
2000-12-19,15.43
2000-12-20,15.09
2000-12-21,14.73
2000-12-22,14.68
2000-12-27,15.13
2000-12-28,15.52
2000-12-29,15.84
2001-01-01,15.84
2001-01-02,15.83
2001-01-03,15.64
2001-01-04,16.3
2001-01-05,16.3
2001-01-08,16.68
2001-01-09,16.58
2001-01-10,15.98
2001-01-11,16.42
2001-01-12,17.6
2001-01-15,17.23
2001-01-16,16.88
2001-01-17,17.65
2001-01-18,17.18
2001-01-19,17.14
2001-01-22,17.46
2001-01-23,17.31
2001-01-24,17.1
2001-01-25,17.28
2001-01-26,17.09
2001-01-29,16.86
2001-01-30,17.0
2001-01-31,17.05
2001-02-01,16.95
2001-02-02,17.0
2001-02-05,16.52
2001-02-06,17.0
2001-02-07,17.05
2001-02-08,16.85
2001-02-09,17.42
2001-02-12,17.05
2001-02-13,17.51
2001-02-14,17.64
2001-02-15,17.64
2001-02-16,17.81
2001-02-19,17.85
2001-02-20,17.78
2001-02-21,17.97
2001-02-22,17.74
2001-02-23,17.42
2001-02-26,17.88
2001-02-27,17.6
2001-02-28,17.37
2001-03-01,17.65
2001-03-02,17.59
2001-03-05,17.25
2001-03-06,17.32
2001-03-07,17.44
2001-03-08,17.41
2001-03-09,17.46
2001-03-12,17.65
2001-03-13,17.05
2001-03-15,15.74
2001-03-16,15.75
2001-03-19,15.69
2001-03-20,15.66
2001-03-21,15.56
2001-03-22,15.1
2001-03-23,15.2
2001-03-26,15.67
2001-03-27,16.35
2001-03-28,15.56
2001-03-29,16.21
2001-03-30,15.73
2001-04-02,15.7
2001-04-03,15.1
2001-04-04,14.66
2001-04-05,15.22
2001-04-06,15.41
2001-04-09,14.73
2001-04-10,15.1
2001-04-11,15.05
2001-04-12,15.17
2001-04-13,15.17
2001-04-16,15.17
2001-04-17,15.03
2001-04-18,15.04
2001-04-19,15.13
2001-04-20,15.16
2001-04-23,14.96
2001-04-24,15.1
2001-04-25,14.98
2001-04-26,14.96
2001-04-27,14.83
2001-04-30,15.01
2001-05-01,15.01
2001-05-02,15.15
2001-05-03,15.03
2001-05-04,15.19
2001-05-07,15.19
2001-05-08,15.27
2001-05-09,15.29
2001-05-10,15.29
2001-05-11,14.98
2001-05-14,15.1
2001-05-15,15.07
2001-05-16,15.1
2001-05-17,14.87
2001-05-18,14.96
2001-05-21,15.52
2001-05-22,15.52
2001-05-23,16.07
2001-05-24,15.63
2001-05-25,15.41
2001-05-28,15.66
2001-05-29,15.42
2001-05-30,15.47
2001-05-31,15.16
2001-06-01,15.92
2001-06-04,15.72
2001-06-05,15.65
2001-06-06,15.8
2001-06-07,15.91
2001-06-08,15.89
2001-06-11,15.64
2001-06-12,15.47
2001-06-13,15.2
2001-06-14,15.06
2001-06-15,15.06
2001-06-18,14.9
2001-06-19,15.01
2001-06-20,15.09
2001-06-21,15.1
2001-06-22,14.82
2001-06-25,15.19
2001-06-26,15.17
2001-06-27,14.85
2001-06-28,15.18
2001-06-29,15.28
2001-07-02,15.15
2001-07-03,15.37
2001-07-04,15.25
2001-07-05,15.19
2001-07-06,15.1
2001-07-09,14.87
2001-07-10,15.29
2001-07-11,15.01
2001-07-12,15.17
2001-07-13,15.17
2001-07-16,14.96
2001-07-17,14.82
2001-07-18,14.68
2001-07-19,14.71
2001-07-20,14.74
2001-07-23,14.59
2001-07-24,14.82
2001-07-25,14.56
2001-07-26,14.58
2001-07-27,14.73
2001-07-30,14.64
2001-07-31,14.21
2001-08-01,14.66
2001-08-02,14.8
2001-08-03,14.71
2001-08-06,14.64
2001-08-07,14.95
2001-08-08,14.41
2001-08-09,14.29
2001-08-10,14.4
2001-08-13,14.31
2001-08-14,14.41
2001-08-15,14.24
2001-08-16,14.28
2001-08-17,13.53
2001-08-20,13.28
2001-08-21,13.43
2001-08-22,13.21
2001-08-23,12.97
2001-08-24,13.6
2001-08-27,13.83
2001-08-28,13.85
2001-08-29,13.78
2001-08-30,13.48
2001-08-31,13.49
2001-09-03,13.43
2001-09-04,13.35
2001-09-05,13.1
2001-09-06,12.65
2001-09-07,12.69
2001-09-10,12.12
2001-09-11,10.84
2001-09-12,11.28
2001-09-13,11.35
2001-09-14,10.84
2001-09-17,10.23
2001-09-18,10.28
2001-09-19,10.06
2001-09-20,9.28
2001-09-21,8.97
2001-09-24,8.97
2001-09-25,9.46
2001-09-26,9.72
2001-09-27,9.73
2001-09-28,10.01
2001-10-01,10.38
2001-10-02,10.42
2001-10-03,10.42
2001-10-04,10.61
2001-10-05,10.47
2001-10-08,10.56
2001-10-09,10.56
2001-10-10,10.68
2001-10-11,11.07
2001-10-12,11.12
2001-10-15,11.12
2001-10-16,11.12
2001-10-17,10.93
2001-10-18,11.12
2001-10-19,11.21
2001-10-22,11.39
2001-10-23,11.67
2001-10-24,11.11
2001-10-25,10.98
2001-10-26,10.91
2001-10-29,10.84
2001-10-30,10.28
2001-10-31,10.48
2001-11-01,10.69
2001-11-02,10.52
2001-11-05,10.65
2001-11-06,10.56
2001-11-07,10.61
2001-11-08,10.64
2001-11-09,10.56
2001-11-12,10.65
2001-11-13,10.84
2001-11-14,11.16
2001-11-15,11.58
2001-11-16,12.51
2001-11-19,13.61
2001-11-20,13.32
2001-11-21,12.97
2001-11-22,12.82
2001-11-23,13.11
2001-11-26,13.15
2001-11-27,12.81
2001-11-28,12.1
2001-11-29,12.62
2001-11-30,12.51
2001-12-03,12.51
2001-12-04,12.98
2001-12-05,13.43
2001-12-06,13.56
2001-12-07,13.66
2001-12-10,13.85
2001-12-11,14.2
2001-12-12,13.7
2001-12-13,13.6
2001-12-14,13.23
2001-12-17,13.0
2001-12-18,13.39
2001-12-19,12.99
2001-12-20,13.66
2001-12-21,13.62
2001-12-24,13.62
2001-12-25,13.62
2001-12-26,13.62
2001-12-27,13.57
2001-12-28,13.76
2001-12-31,13.76
2002-01-01,13.76
2002-01-02,13.8
2002-01-03,14.64
2002-01-04,14.73
2002-01-07,14.64
2002-01-08,14.36
2002-01-09,14.54
2002-01-10,14.45
2002-01-11,14.37
2002-01-14,14.28
2002-01-15,14.28
2002-01-16,14.14
2002-01-17,14.13
2002-01-18,14.54
2002-01-21,14.82
2002-01-22,14.87
2002-01-23,15.19
2002-01-24,15.24
2002-01-25,15.24
2002-01-28,15.84
2002-01-29,15.48
2002-01-30,15.65
2002-01-31,15.96
2002-02-01,15.55
2002-02-04,15.53
2002-02-05,15.47
2002-02-06,15.19
2002-02-07,15.42
2002-02-08,15.29
2002-02-11,15.24
2002-02-12,15.47
2002-02-13,15.01
2002-02-14,15.12
2002-02-15,15.47
2002-02-18,15.46
2002-02-19,15.45
2002-02-20,15.36
2002-02-21,15.15
2002-02-22,15.17
2002-02-25,14.82
2002-02-26,15.61
2002-02-27,15.39
2002-02-28,15.5
2002-03-01,15.75
2002-03-04,16.43
2002-03-05,16.17
2002-03-06,16.44
2002-03-07,16.3
2002-03-08,15.78
2002-03-11,15.75
2002-03-12,16.2
2002-03-13,15.93
2002-03-14,16.12
2002-03-15,15.84
2002-03-18,16.07
2002-03-19,16.35
2002-03-20,16.17
2002-03-21,15.93
2002-03-22,16.12
2002-03-25,15.96
2002-03-26,15.97
2002-03-27,15.89
2002-03-28,15.78
2002-03-29,15.78
2002-04-01,15.78
2002-04-02,16.07
2002-04-03,15.77
2002-04-04,15.75
2002-04-05,15.75
2002-04-08,15.64
2002-04-09,15.84
2002-04-10,15.74
2002-04-11,16.3
2002-04-12,17.14
2002-04-15,17.32
2002-04-16,16.97
2002-04-17,16.9
2002-04-18,16.86
2002-04-19,16.93
2002-04-22,17.13
2002-04-23,17.05
2002-04-24,17.07
2002-04-25,17.23
2002-04-26,17.14
2002-04-29,16.82
2002-04-30,17.31
2002-05-01,17.31
2002-05-02,17.2
2002-05-03,17.31
2002-05-06,17.03
2002-05-07,17.28
2002-05-08,17.46
2002-05-09,17.56
2002-05-10,17.34
2002-05-13,17.42
2002-05-14,17.68
2002-05-15,17.65
2002-05-16,17.76
2002-05-17,17.81
2002-05-20,18.06
2002-05-21,17.88
2002-05-22,17.83
2002-05-23,17.83
2002-05-24,17.73
2002-05-27,17.93
2002-05-28,17.93
2002-05-29,17.65
2002-05-30,17.51
2002-05-31,18.09
2002-06-03,17.74
2002-06-04,17.37
2002-06-05,17.45
2002-06-06,17.58
2002-06-07,17.32
2002-06-10,17.6
2002-06-11,17.56
2002-06-12,17.25
2002-06-13,16.71
2002-06-14,16.6
2002-06-17,16.78
2002-06-18,16.77
2002-06-19,16.63
2002-06-20,16.48
2002-06-21,16.21
2002-06-24,16.27
2002-06-25,16.59
2002-06-26,16.48
2002-06-27,16.52
2002-06-28,16.68
2002-07-01,16.91
2002-07-02,16.67
2002-07-03,16.26
2002-07-04,16.07
2002-07-05,16.24
2002-07-08,15.98
2002-07-09,15.83
2002-07-10,15.47
2002-07-11,15.19
2002-07-12,15.63
2002-07-15,14.78
2002-07-16,14.47
2002-07-17,14.9
2002-07-18,15.19
2002-07-19,15.0
2002-07-22,13.99
2002-07-23,13.8
2002-07-24,14.58
2002-07-25,14.41
2002-07-26,14.82
2002-07-29,15.14
2002-07-30,15.6
2002-07-31,16.2
2002-08-01,15.75
2002-08-02,15.8
2002-08-05,15.16
2002-08-06,15.39
2002-08-07,15.75
2002-08-08,15.73
2002-08-09,15.48
