Date,Price
1990-01-02,9.64
1990-01-03,9.79
1990-01-04,9.89
1990-01-05,9.95
1990-01-08,9.77
1990-01-09,9.69
1990-01-10,9.48
1990-01-11,9.12
1990-01-12,8.6
1990-01-15,8.5
1990-01-16,8.73
1990-01-17,8.47
1990-01-18,8.34
1990-01-19,8.37
1990-01-22,7.98
1990-01-23,8.13
1990-01-24,8.19
1990-01-25,8.24
1990-01-26,8.29
1990-01-29,8.13
1990-01-30,8.08
1990-01-31,8.16
1990-02-01,8.08
1990-02-02,8.24
1990-02-05,8.08
1990-02-06,8.16
1990-02-07,7.98
1990-02-08,7.93
1990-02-09,7.98
1990-02-12,7.93
1990-02-13,7.67
1990-02-14,7.77
1990-02-15,7.93
1990-02-16,7.93
1990-02-20,7.87
1990-02-21,8.03
1990-02-22,7.93
1990-02-23,7.82
1990-02-26,7.93
1990-02-27,8.03
1990-02-28,7.93
1990-03-01,8.0
1990-03-02,8.13
1990-03-05,7.98
1990-03-06,8.26
1990-03-07,8.19
1990-03-08,8.39
1990-03-09,8.55
1990-03-12,8.6
1990-03-13,8.44
1990-03-14,8.5
1990-03-15,8.55
1990-03-16,8.5
1990-03-19,8.5
1990-03-20,8.5
1990-03-21,8.39
1990-03-22,8.34
1990-03-23,8.29
1990-03-26,8.29
1990-03-27,8.39
1990-03-28,8.13
1990-03-29,8.19
1990-03-30,8.03
1990-04-02,7.93
1990-04-03,7.82
1990-04-04,7.8
1990-04-05,7.74
1990-04-06,7.72
1990-04-09,7.46
1990-04-10,7.2
1990-04-11,7.28
1990-04-12,7.56
1990-04-16,7.87
1990-04-17,7.87
1990-04-18,7.77
1990-04-19,7.62
1990-04-20,7.46
1990-04-23,7.2
1990-04-24,7.15
1990-04-25,7.36
1990-04-26,7.3
1990-04-27,7.05
1990-04-30,7.1
1990-05-01,6.97
1990-05-02,7.1
1990-05-03,7.1
1990-05-04,6.94
1990-05-07,6.84
1990-05-08,6.89
1990-05-09,6.89
1990-05-10,6.89
1990-05-11,6.94
1990-05-14,6.99
1990-05-15,7.1
1990-05-16,7.38
1990-05-17,7.77
1990-05-18,7.77
1990-05-21,8.08
1990-05-22,7.98
1990-05-23,7.72
1990-05-24,7.51
1990-05-25,7.38
1990-05-29,7.62
1990-05-30,7.93
1990-05-31,7.95
1990-06-01,7.93
1990-06-04,8.13
1990-06-05,7.62
1990-06-06,7.77
1990-06-07,7.72
1990-06-08,7.67
1990-06-11,7.72
1990-06-12,7.69
1990-06-13,7.62
1990-06-14,7.62
1990-06-15,7.62
1990-06-18,7.59
1990-06-19,7.67
1990-06-20,7.64
1990-06-21,7.77
1990-06-22,7.62
1990-06-25,8.03
1990-06-26,8.34
1990-06-27,8.6
1990-06-28,8.6
1990-06-29,8.6
1990-07-02,8.5
1990-07-03,8.76
1990-07-05,8.81
1990-07-06,8.91
1990-07-09,8.83
1990-07-10,8.7
1990-07-11,8.65
1990-07-12,8.81
1990-07-13,8.94
1990-07-16,9.01
1990-07-17,8.81
1990-07-18,8.55
1990-07-19,8.6
1990-07-20,8.42
1990-07-23,8.24
1990-07-24,8.19
1990-07-25,8.34
1990-07-26,8.03
1990-07-27,8.13
1990-07-30,8.08
1990-07-31,8.29
1990-08-01,8.24
1990-08-02,7.87
1990-08-03,7.67
1990-08-06,7.41
1990-08-07,7.1
1990-08-08,7.33
1990-08-09,7.77
1990-08-10,7.46
1990-08-13,7.33
1990-08-14,7.36
1990-08-15,6.94
1990-08-16,6.94
1990-08-17,6.76
1990-08-20,6.73
1990-08-21,6.42
1990-08-22,6.58
1990-08-23,6.53
1990-08-24,6.76
1990-08-27,7.07
1990-08-28,6.89
1990-08-29,6.92
1990-08-30,6.84
1990-08-31,6.89
1990-09-04,6.73
1990-09-05,6.99
1990-09-06,6.71
1990-09-07,6.63
1990-09-10,6.58
1990-09-11,6.53
1990-09-12,6.58
1990-09-13,6.48
1990-09-14,6.53
1990-09-17,6.63
1990-09-18,6.58
1990-09-19,6.53
1990-09-20,6.35
1990-09-21,6.48
1990-09-24,6.24
1990-09-25,6.11
1990-09-26,6.06
1990-09-27,5.91
1990-09-28,6.06
1990-10-01,6.42
1990-10-02,6.32
1990-10-03,6.27
1990-10-04,6.32
1990-10-05,6.27
1990-10-08,6.11
