Date,Price
1990-01-02,7.13
1990-01-03,7.04
1990-01-04,6.91
1990-01-05,6.7
1990-01-08,6.58
1990-01-09,6.57
1990-01-10,6.5
1990-01-11,6.47
1990-01-12,6.39
1990-01-15,6.52
1990-01-16,6.45
1990-01-17,6.37
1990-01-18,6.37
1990-01-19,6.37
1990-01-22,6.1
1990-01-23,6.29
1990-01-24,6.55
1990-01-25,6.19
1990-01-26,6.19
1990-01-29,6.08
1990-01-30,6.01
1990-01-31,6.18
1990-02-01,6.1
1990-02-02,6.26
1990-02-05,6.31
1990-02-06,6.19
1990-02-07,6.36
1990-02-08,6.27
1990-02-09,6.14
1990-02-12,6.1
1990-02-13,6.16
1990-02-14,6.13
1990-02-15,6.14
1990-02-16,6.08
1990-02-20,6.0
1990-02-21,5.93
1990-02-22,5.98
1990-02-23,6.05
1990-02-26,6.05
1990-02-27,6.16
1990-02-28,6.14
1990-03-01,6.26
1990-03-02,6.31
1990-03-05,6.29
1990-03-06,6.39
1990-03-07,6.32
1990-03-08,6.31
1990-03-09,6.34
1990-03-12,6.39
1990-03-13,6.32
1990-03-14,6.32
1990-03-15,6.29
1990-03-16,6.4
1990-03-19,6.53
1990-03-20,6.61
1990-03-21,6.63
1990-03-22,6.5
1990-03-23,6.6
1990-03-26,6.52
1990-03-27,6.6
1990-03-28,6.66
1990-03-29,6.65
1990-03-30,6.66
1990-04-02,6.76
1990-04-03,6.91
1990-04-04,6.79
1990-04-05,6.81
1990-04-06,6.96
1990-04-09,7.04
1990-04-10,6.92
1990-04-11,6.86
1990-04-12,6.99
1990-04-16,6.87
1990-04-17,6.89
1990-04-18,6.68
1990-04-19,6.63
1990-04-20,6.53
1990-04-23,6.63
1990-04-24,6.7
1990-04-25,6.74
1990-04-26,6.7
1990-04-27,6.55
1990-04-30,6.61
1990-05-01,6.61
1990-05-02,6.61
1990-05-03,6.6
1990-05-04,6.63
1990-05-07,6.61
1990-05-08,6.61
1990-05-09,6.76
1990-05-10,6.68
1990-05-11,6.74
1990-05-14,6.79
1990-05-15,6.81
1990-05-16,6.78
1990-05-17,6.83
1990-05-18,6.97
1990-05-21,7.01
1990-05-22,6.91
1990-05-23,6.89
1990-05-24,6.99
1990-05-25,6.96
1990-05-29,6.94
1990-05-30,6.92
1990-05-31,7.02
1990-06-01,7.33
1990-06-04,7.38
1990-06-05,7.82
1990-06-06,7.41
1990-06-07,7.62
1990-06-08,7.72
1990-06-11,7.98
1990-06-12,7.85
1990-06-13,7.64
1990-06-14,7.72
1990-06-15,7.9
1990-06-18,7.82
1990-06-19,7.92
1990-06-20,7.95
1990-06-21,7.77
1990-06-22,7.46
1990-06-25,7.33
1990-06-26,7.35
1990-06-27,7.56
1990-06-28,7.36
1990-06-29,7.46
1990-07-02,7.59
1990-07-03,7.53
1990-07-05,7.44
1990-07-06,7.48
1990-07-09,7.51
1990-07-10,7.44
1990-07-11,7.46
1990-07-12,7.54
1990-07-13,7.33
1990-07-16,7.31
1990-07-17,7.33
1990-07-18,7.3
1990-07-19,7.17
1990-07-20,6.94
1990-07-23,6.77
1990-07-24,6.89
1990-07-25,7.1
1990-07-26,7.05
1990-07-27,6.99
1990-07-30,7.05
1990-07-31,6.99
1990-08-01,6.86
1990-08-02,6.81
1990-08-03,6.74
1990-08-06,6.66
1990-08-07,6.77
1990-08-08,6.86
1990-08-09,6.89
1990-08-10,6.81
1990-08-13,6.86
1990-08-14,6.87
1990-08-15,6.87
1990-08-16,6.77
1990-08-17,6.92
1990-08-20,6.74
1990-08-21,6.56
1990-08-22,6.41
1990-08-23,6.3
1990-08-24,6.41
1990-08-27,6.53
1990-08-28,6.48
1990-08-29,6.56
1990-08-30,6.41
1990-08-31,6.61
1990-09-04,6.51
1990-09-05,6.45
1990-09-06,6.35
1990-09-07,6.51
1990-09-10,6.58
1990-09-11,6.56
1990-09-12,6.66
1990-09-13,6.58
1990-09-14,6.38
1990-09-17,6.32
1990-09-18,6.32
1990-09-19,6.22
1990-09-20,6.09
1990-09-21,6.05
1990-09-24,5.81
1990-09-25,6.0
1990-09-26,5.94
1990-09-27,5.94
1990-09-28,5.97
1990-10-01,6.17
1990-10-02,6.33
1990-10-03,6.36
1990-10-04,6.61
1990-10-05,6.63
1990-10-08,6.61
1990-10-09,6.51
1990-10-10,6.55
1990-10-11,6.41
1990-10-12,6.59
1990-10-15,6.66
1990-10-16,6.55
1990-10-17,6.55
1990-10-18,6.63
1990-10-19,6.66
1990-10-22,6.69
1990-10-23,6.5
1990-10-24,6.53
1990-10-25,6.48
1990-10-26,6.43
1990-10-29,6.45
1990-10-30,6.58
1990-10-31,6.51
1990-11-01,6.5
1990-11-02,6.59
1990-11-05,6.68
1990-11-06,6.59
1990-11-07,6.48
1990-11-08,6.63
1990-11-09,6.64
1990-11-12,6.76
1990-11-13,6.73
1990-11-14,6.89
1990-11-15,6.96
1990-11-16,6.96
1990-11-19,7.04
1990-11-20,7.12
1990-11-21,7.22
1990-11-23,7.27
1990-11-26,7.35
1990-11-27,7.37
1990-11-28,7.4
1990-11-29,7.45
1990-11-30,7.5
1990-12-03,7.43
1990-12-04,7.48
1990-12-05,7.61
1990-12-06,7.61
1990-12-07,7.73
1990-12-10,7.75
1990-12-11,7.6
1990-12-12,7.73
1990-12-13,7.73
1990-12-14,7.7
1990-12-17,7.61
1990-12-18,7.78
1990-12-19,7.75
1990-12-20,7.75
1990-12-21,7.78
1990-12-24,7.78
1990-12-26,7.73
1990-12-27,7.6
1990-12-28,7.61
1990-12-31,7.7
1991-01-02,7.57
1991-01-03,7.26
1991-01-04,7.27
1991-01-07,7.17
1991-01-08,7.29
1991-01-09,7.24
1991-01-10,7.27
1991-01-11,7.26
1991-01-14,7.26
1991-01-15,7.26
1991-01-16,7.29
1991-01-17,7.54
1991-01-18,7.7
1991-01-21,7.74
1991-01-22,7.72
1991-01-23,7.9
1991-01-24,7.93
1991-01-25,7.93
1991-01-28,7.85
1991-01-29,7.83
1991-01-30,8.02
1991-01-31,8.02
1991-02-01,8.31
1991-02-04,8.46
1991-02-05,8.43
1991-02-06,8.53
1991-02-07,8.51
1991-02-08,8.58
1991-02-11,8.69
1991-02-12,8.73
1991-02-13,9.12
1991-02-14,9.01
1991-02-15,9.31
1991-02-19,9.55
1991-02-20,9.27
1991-02-21,9.17
1991-02-22,9.24
1991-02-25,9.36
1991-02-26,9.49
1991-02-27,9.39
1991-02-28,9.41
1991-03-01,9.26
1991-03-04,9.42
1991-03-05,9.52
1991-03-06,9.5
1991-03-07,9.42
1991-03-08,9.41
1991-03-11,9.36
1991-03-12,9.32
1991-03-13,9.55
1991-03-14,9.64
1991-03-15,9.75
1991-03-18,9.74
1991-03-19,9.85
1991-03-20,10.18
1991-03-21,10.15
1991-03-22,10.71
1991-03-25,10.4
1991-03-26,10.35
1991-03-27,10.28
1991-03-28,10.4
1991-04-01,10.33
1991-04-02,10.66
1991-04-03,11.01
1991-04-04,11.01
1991-04-05,11.0
1991-04-08,11.23
1991-04-09,11.11
1991-04-10,11.26
1991-04-11,11.26
1991-04-12,11.16
1991-04-15,11.11
1991-04-16,11.4
1991-04-17,11.45
1991-04-18,11.45
1991-04-19,11.2
1991-04-22,11.08
1991-04-23,11.1
1991-04-24,10.91
1991-04-25,10.65
1991-04-26,11.08
1991-04-29,11.01
1991-04-30,10.91
1991-05-01,11.08
1991-05-02,11.08
1991-05-03,11.06
1991-05-06,10.93
1991-05-07,10.68
1991-05-08,10.81
1991-05-09,10.98
1991-05-10,10.68
1991-05-13,10.45
1991-05-14,10.27
1991-05-15,10.13
1991-05-16,10.62
1991-05-17,10.65
1991-05-20,10.73
1991-05-21,10.73
1991-05-22,10.67
1991-05-23,10.63
1991-05-24,10.65
1991-05-28,10.62
1991-05-29,10.52
1991-05-30,10.55
1991-05-31,10.32
1991-06-03,10.32
1991-06-04,10.33
1991-06-05,10.23
1991-06-06,10.13
1991-06-07,9.9
1991-06-10,9.77
1991-06-11,9.9
1991-06-12,9.75
1991-06-13,9.82
1991-06-14,9.92
1991-06-17,9.8
1991-06-18,9.8
1991-06-19,9.75
1991-06-20,9.7
1991-06-21,9.74
1991-06-24,9.75
1991-06-25,9.77
1991-06-26,9.79
1991-06-27,9.79
1991-06-28,9.8
1991-07-01,9.8
1991-07-02,9.8
1991-07-03,9.79
1991-07-05,9.87
1991-07-08,10.19
1991-07-09,10.31
1991-07-10,10.34
1991-07-11,10.31
1991-07-12,10.29
1991-07-15,10.27
1991-07-16,10.12
1991-07-17,10.29
1991-07-18,10.32
1991-07-19,10.22
1991-07-22,10.16
1991-07-23,10.07
1991-07-24,10.12
1991-07-25,10.12
1991-07-26,10.16
1991-07-29,10.29
1991-07-30,10.57
1991-07-31,10.62
1991-08-01,10.77
1991-08-02,10.66
1991-08-05,10.64
1991-08-06,10.79
1991-08-07,10.89
1991-08-08,10.97
1991-08-09,10.77
1991-08-12,10.72
1991-08-13,10.79
1991-08-14,10.86
1991-08-15,10.99
1991-08-16,10.87
1991-08-19,10.49
1991-08-20,10.74
1991-08-21,11.01
1991-08-22,11.09
1991-08-23,11.17
1991-08-26,11.16
1991-08-27,10.96
1991-08-28,11.04
1991-08-29,11.12
1991-08-30,11.21
1991-09-03,11.24
1991-09-04,10.92
1991-09-05,10.69
1991-09-06,10.47
1991-09-09,10.22
1991-09-10,10.09
1991-09-11,10.22
1991-09-12,10.14
1991-09-13,10.01
1991-09-16,9.99
1991-09-17,9.94
1991-09-18,10.11
1991-09-19,10.12
1991-09-20,10.14
1991-09-23,9.92
1991-09-24,9.99
1991-09-25,10.02
1991-09-26,10.22
1991-09-27,10.07
1991-09-30,10.01
1991-10-01,9.99
1991-10-02,10.09
1991-10-03,10.03
1991-10-04,9.91
1991-10-07,9.81
1991-10-08,9.91
1991-10-09,9.9
1991-10-10,9.96
1991-10-11,10.06
1991-10-14,10.16
1991-10-15,10.33
1991-10-16,10.3
1991-10-17,10.35
1991-10-18,10.36
1991-10-21,10.31
1991-10-22,10.13
1991-10-23,10.15
1991-10-24,10.03
1991-10-25,9.96
1991-10-28,10.0
1991-10-29,10.15
1991-10-30,10.26
1991-10-31,10.35
1991-11-01,10.15
1991-11-04,10.13
1991-11-05,10.15
1991-11-06,10.53
1991-11-07,10.51
1991-11-08,10.53
1991-11-11,10.45
1991-11-12,10.63
1991-11-13,10.88
1991-11-14,10.8
1991-11-15,10.33
1991-11-18,10.36
1991-11-19,9.95
1991-11-20,9.63
1991-11-21,10.16
1991-11-22,10.25
1991-11-25,10.31
1991-11-26,10.4
1991-11-27,10.5
1991-11-29,10.38
1991-12-02,10.5
1991-12-03,10.38
1991-12-04,10.51
1991-12-05,10.62
1991-12-06,10.67
1991-12-09,10.36
1991-12-10,10.43
1991-12-11,10.4
1991-12-12,10.46
1991-12-13,10.5
1991-12-16,10.36
1991-12-17,10.33
1991-12-18,10.5
1991-12-19,10.51
1991-12-20,10.67
1991-12-23,11.0
1991-12-24,10.77
1991-12-26,10.56
1991-12-27,10.83
1991-12-30,11.5
1991-12-31,11.37
1992-01-02,11.4
1992-01-03,11.62
1992-01-06,11.35
1992-01-07,11.28
1992-01-08,11.01
1992-01-09,10.88
1992-01-10,10.68
1992-01-13,10.74
1992-01-14,10.91
1992-01-15,10.54
1992-01-16,10.41
1992-01-17,10.44
1992-01-20,10.17
1992-01-21,9.87
1992-01-22,10.47
1992-01-23,10.98
1992-01-24,10.84
1992-01-27,10.94
1992-01-28,10.78
1992-01-29,10.64
1992-01-30,10.51
1992-01-31,10.14
1992-02-03,10.61
1992-02-04,10.37
1992-02-05,10.61
1992-02-06,10.44
1992-02-07,10.14
1992-02-10,10.64
1992-02-11,10.57
1992-02-12,10.68
1992-02-13,10.44
1992-02-14,10.47
1992-02-18,10.1
1992-02-19,10.27
1992-02-20,10.44
1992-02-21,10.24
1992-02-24,10.07
1992-02-25,10.0
1992-02-26,10.07
1992-02-27,9.9
1992-02-28,10.07
1992-03-02,9.94
1992-03-03,9.77
1992-03-04,9.87
1992-03-05,9.84
1992-03-06,9.94
1992-03-09,9.87
1992-03-10,9.7
1992-03-11,9.7
1992-03-12,9.87
1992-03-13,10.0
1992-03-16,10.0
1992-03-17,10.14
1992-03-18,10.1
1992-03-19,9.87
1992-03-20,9.8
1992-03-23,9.6
1992-03-24,9.57
1992-03-25,9.8
1992-03-26,9.9
1992-03-27,9.67
1992-03-30,9.7
1992-03-31,9.67
1992-04-01,9.9
1992-04-02,9.52
1992-04-03,9.58
1992-04-06,9.48
1992-04-07,9.28
1992-04-08,9.11
1992-04-09,9.21
1992-04-10,9.18
1992-04-13,9.15
1992-04-14,9.28
1992-04-15,9.38
1992-04-16,9.25
1992-04-20,9.08
1992-04-21,9.11
1992-04-22,9.08
1992-04-23,9.08
1992-04-24,8.98
1992-04-27,9.04
1992-04-28,8.91
1992-04-29,9.21
1992-04-30,9.35
1992-05-01,9.21
1992-05-04,9.38
1992-05-05,9.62
1992-05-06,9.38
1992-05-07,9.38
1992-05-08,9.38
1992-05-11,9.42
1992-05-12,9.28
1992-05-13,9.08
1992-05-14,8.84
1992-05-15,8.74
1992-05-18,8.98
1992-05-19,9.01
1992-05-20,9.15
1992-05-21,9.11
1992-05-22,9.01
1992-05-26,8.77
1992-05-27,8.94
1992-05-28,9.28
1992-05-29,9.28
1992-06-01,9.11
1992-06-02,8.94
1992-06-03,8.91
1992-06-04,8.84
1992-06-05,8.74
1992-06-08,8.91
1992-06-09,8.88
1992-06-10,8.67
1992-06-11,8.94
1992-06-12,8.91
1992-06-15,8.88
1992-06-16,8.77
1992-06-17,8.64
1992-06-18,8.77
1992-06-19,8.88
1992-06-22,9.01
1992-06-23,9.42
1992-06-24,9.45
1992-06-25,9.58
1992-06-26,9.55
1992-06-29,9.65
1992-06-30,9.75
1992-07-01,9.81
1992-07-02,9.84
1992-07-06,10.04
1992-07-07,10.01
1992-07-08,9.87
1992-07-09,10.18
1992-07-10,10.18
1992-07-13,10.18
1992-07-14,10.21
1992-07-15,10.28
1992-07-16,10.35
1992-07-17,10.25
1992-07-20,10.21
1992-07-21,10.32
1992-07-22,10.18
1992-07-23,10.08
1992-07-24,9.91
1992-07-27,9.81
1992-07-28,10.11
1992-07-29,10.25
1992-07-30,10.32
1992-07-31,10.28
