Date,Price
1990-01-01,13.58
1990-01-02,13.58
1990-01-03,13.58
1990-01-04,13.58
1990-01-05,13.58
1990-01-08,13.58
1990-01-09,13.58
1990-01-10,13.58
1990-01-11,13.58
1990-01-12,13.58
1990-01-15,13.58
1990-01-16,13.58
1990-01-17,13.58
1990-01-18,13.58
1990-01-19,13.58
1990-01-22,13.58
1990-01-23,13.58
1990-01-24,13.58
1990-01-25,13.58
1990-01-26,13.58
1990-01-29,13.58
1990-01-30,13.58
1990-01-31,13.58
1990-02-01,13.58
1990-02-02,13.58
1990-02-05,14.14
1990-02-06,14.14
1990-02-07,14.14
1990-02-08,14.14
1990-02-09,14.14
1990-02-12,14.14
1990-02-13,14.14
1990-02-14,14.14
1990-02-15,14.33
1990-02-16,14.61
1990-02-19,14.98
1990-02-20,14.98
1990-02-21,15.26
1990-02-22,14.98
1990-02-23,15.26
1990-02-26,15.54
1990-02-27,15.54
1990-02-28,15.73
1990-03-01,15.73
1990-03-02,15.73
1990-03-05,16.19
1990-03-06,15.73
1990-03-07,15.73
1990-03-08,16.0
1990-03-09,15.73
1990-03-12,15.54
1990-03-13,15.54
1990-03-14,15.54
1990-03-15,15.45
1990-03-16,15.45
1990-03-19,15.45
1990-03-20,15.45
1990-03-21,15.45
1990-03-22,15.45
1990-03-23,15.45
1990-03-26,15.45
1990-03-27,15.45
1990-03-28,15.45
1990-03-29,15.45
1990-03-30,15.45
1990-04-02,15.45
1990-04-03,15.45
1990-04-04,15.45
1990-04-05,15.45
1990-04-06,15.45
1990-04-09,15.45
1990-04-10,15.45
1990-04-11,15.45
1990-04-12,15.54
1990-04-13,15.54
1990-04-16,15.54
1990-04-17,15.54
1990-04-18,15.54
1990-04-19,15.54
1990-04-20,15.54
1990-04-23,15.54
1990-04-24,15.45
1990-04-25,15.54
1990-04-26,15.45
1990-04-27,15.45
1990-04-30,15.63
1990-05-01,15.63
1990-05-02,16.0
1990-05-03,16.0
1990-05-04,16.0
1990-05-07,16.0
1990-05-08,16.0
1990-05-09,16.0
1990-05-10,16.1
1990-05-11,16.0
1990-05-14,15.91
1990-05-15,15.91
