Date,Price
2000-01-04,949.67
2000-01-05,941.22
2000-01-06,939.92
2000-01-07,955.15
2000-01-10,961.49
2000-01-11,969.25
2000-01-12,975.93
2000-01-13,977.91
2000-01-14,976.7
2000-01-17,968.2
2000-01-18,971.75
2000-01-19,930.51
2000-01-20,865.02
2000-01-21,871.45
2000-01-24,863.53
2000-01-25,834.36
2000-01-26,854.01
2000-01-27,838.43
2000-01-28,842.71
2000-01-31,845.98
2000-02-01,839.59
2000-02-02,813.46
2000-02-03,863.67
2000-02-04,831.95
2000-02-07,804.43
2000-02-08,808.82
2000-02-09,799.18
2000-02-10,785.48
2000-02-11,765.28
2000-02-14,750.57
2000-02-15,779.29
2000-02-16,797.91
2000-02-17,795.45
2000-02-18,795.55
2000-02-21,768.89
2000-02-22,797.94
2000-02-23,808.65
2000-02-24,773.22
2000-02-25,754.59
2000-02-28,754.91
2000-02-29,794.4
2000-03-01,808.08
2000-03-02,818.39
2000-03-03,796.35
2000-03-06,802.73
2000-03-07,801.56
2000-03-08,785.23
2000-03-09,790.04
2000-03-10,788.37
2000-03-14,777.05
2000-03-15,774.07
2000-03-16,796.32
2000-03-17,877.23
2000-03-20,895.37
2000-03-21,867.18
2000-03-22,839.4
2000-03-23,840.48
2000-03-24,851.14
2000-03-27,853.05
2000-03-28,856.87
2000-03-29,850.03
2000-03-30,826.52
2000-03-31,812.16
2000-04-03,833.68
2000-04-04,884.19
2000-04-05,883.85
2000-04-06,909.52
2000-04-07,859.31
2000-04-10,887.14
2000-04-11,871.13
2000-04-12,861.44
2000-04-13,860.85
2000-04-14,861.77
2000-04-17,837.43
2000-04-18,814.87
2000-04-19,832.49
2000-04-20,814.48
2000-04-25,774.08
2000-04-26,782.1
2000-04-27,746.62
2000-04-28,744.12
2000-05-02,763.17
2000-05-03,778.47
2000-05-04,789.97
2000-05-05,814.91
2000-05-08,808.65
2000-05-10,835.98
2000-05-11,821.54
2000-05-12,838.68
2000-05-15,1148.68
2000-05-16,1131.36
2000-05-17,1131.36
2000-05-18,1140.02
2000-05-19,1157.35
2000-05-22,1120.53
2000-05-23,1137.13
2000-05-24,1114.75
2000-05-25,1112.59
2000-05-26,1063.49
2000-05-29,1074.32
2000-05-30,1097.42
2000-05-31,1057.71
2000-06-01,1066.38
2000-06-02,1122.7
2000-06-05,1122.7
2000-06-06,1131.36
2000-06-07,1108.26
2000-06-08,1074.32
2000-06-09,1097.42
2000-06-12,1088.76
