Date,Price
1992-03-17,1.97
1992-03-18,2.0
1992-03-19,1.99
1992-03-20,1.99
1992-03-23,1.99
1992-03-24,2.03
1992-03-25,2.14
1992-03-26,2.1
1992-03-27,2.07
1992-03-30,2.08
1992-03-31,2.08
1992-04-01,2.04
1992-04-02,2.03
1992-04-03,2.01
1992-04-06,2.01
1992-04-07,2.0
1992-04-08,1.97
1992-04-09,1.97
1992-04-10,1.94
1992-04-13,1.92
1992-04-14,1.93
1992-04-15,1.93
1992-04-16,1.95
1992-04-20,1.92
1992-04-21,1.9
1992-04-22,1.91
1992-04-23,1.92
1992-04-24,1.93
1992-04-27,1.92
1992-04-28,1.92
1992-04-29,1.92
1992-04-30,1.91
1992-05-01,1.87
1992-05-04,1.85
1992-05-05,1.86
1992-05-06,1.86
1992-05-07,1.86
1992-05-08,1.97
1992-05-11,1.92
1992-05-12,1.97
1992-05-13,1.97
1992-05-14,1.97
1992-05-15,1.95
1992-05-18,1.92
1992-05-19,1.93
1992-05-20,1.94
1992-05-21,1.94
1992-05-22,1.93
1992-05-26,1.92
1992-05-27,1.92
1992-05-28,1.92
1992-05-29,1.92
1992-06-01,1.92
1992-06-02,1.92
1992-06-03,1.92
1992-06-04,1.97
1992-06-05,1.97
1992-06-08,1.95
1992-06-09,1.95
1992-06-10,1.97
1992-06-11,2.02
1992-06-12,2.02
1992-06-15,2.02
1992-06-16,2.01
1992-06-17,1.97
1992-06-18,2.0
1992-06-19,2.05
1992-06-22,2.04
1992-06-23,2.05
1992-06-24,2.03
1992-06-25,2.06
1992-06-26,2.06
1992-06-29,2.07
1992-06-30,2.19
1992-07-01,2.3
1992-07-02,2.28
1992-07-06,2.36
1992-07-07,2.33
1992-07-08,2.3
1992-07-09,2.26
1992-07-10,2.19
1992-07-13,2.19
1992-07-14,2.21
1992-07-15,2.24
1992-07-16,2.24
1992-07-17,2.24
1992-07-20,2.17
1992-07-21,2.16
1992-07-22,2.15
1992-07-23,2.08
1992-07-24,2.03
1992-07-27,2.05
1992-07-28,2.03
1992-07-29,1.95
1992-07-30,1.93
1992-07-31,1.93
1992-08-03,1.97
1992-08-04,2.02
1992-08-05,1.97
1992-08-06,1.93
1992-08-07,1.89
1992-08-10,1.88
1992-08-11,1.83
1992-08-12,1.81
1992-08-13,1.83
1992-08-14,1.83
1992-08-17,1.89
1992-08-18,1.86
1992-08-19,1.84
1992-08-20,1.81
1992-08-21,1.8
1992-08-24,1.75
1992-08-25,1.77
1992-08-26,1.76
1992-08-27,1.77
1992-08-28,1.79
1992-08-31,1.78
1992-09-01,1.77
1992-09-02,1.77
1992-09-03,1.81
1992-09-04,1.81
1992-09-08,1.83
1992-09-09,1.83
1992-09-10,1.97
1992-09-11,1.95
1992-09-14,1.92
1992-09-15,1.92
1992-09-16,1.92
1992-09-17,1.86
1992-09-18,1.87
1992-09-21,1.82
1992-09-22,1.81
1992-09-23,1.81
1992-09-24,1.82
1992-09-25,1.81
1992-09-28,1.79
1992-09-29,1.76
1992-09-30,1.85
1992-10-01,1.79
1992-10-02,1.75
1992-10-05,1.71
1992-10-06,1.72
1992-10-07,1.72
1992-10-08,1.72
