Date,Price
2000-01-03,39.97
2000-01-04,39.45
2000-01-05,38.73
2000-01-06,38.48
2000-01-07,39.4
2000-01-10,40.55
2000-01-11,39.99
2000-01-12,39.99
2000-01-13,40.75
2000-01-14,40.64
2000-01-17,39.31
2000-01-18,39.32
2000-01-19,39.26
2000-01-20,38.32
2000-01-21,38.37
2000-01-24,37.73
2000-01-25,36.43
2000-01-26,36.21
2000-01-27,37.7
2000-01-28,36.78
2000-01-31,35.84
2000-02-01,36.16
2000-02-02,36.16
2000-02-03,36.62
2000-02-04,36.6
2000-02-07,36.19
2000-02-08,35.81
2000-02-09,35.49
2000-02-10,36.11
2000-02-11,35.6
2000-02-14,36.13
2000-02-15,35.78
2000-02-16,35.49
2000-02-17,35.45
2000-02-18,35.08
2000-02-21,34.81
2000-02-22,34.78
2000-02-23,34.14
2000-02-24,33.52
2000-02-25,35.51
2000-02-28,36.38
2000-02-29,37.78
2000-03-01,36.81
2000-03-02,36.3
2000-03-03,35.59
2000-03-06,35.49
2000-03-07,34.42
2000-03-08,35.03
2000-03-09,34.57
2000-03-10,34.0
2000-03-13,34.0
2000-03-14,35.44
2000-03-15,34.92
2000-03-16,37.7
2000-03-17,37.26
2000-03-20,36.51
2000-03-21,36.73
2000-03-22,37.19
2000-03-23,36.87
2000-03-24,37.89
2000-03-27,37.81
2000-03-28,36.72
2000-03-29,36.71
2000-03-30,36.81
2000-03-31,36.71
2000-04-03,37.62
2000-04-04,38.05
2000-04-05,38.18
2000-04-06,37.79
2000-04-07,37.51
2000-04-10,37.62
2000-04-11,37.59
2000-04-12,37.89
2000-04-13,37.78
2000-04-14,37.26
2000-04-17,36.94
2000-04-18,37.08
2000-04-19,36.54
2000-04-20,35.42
2000-04-21,35.42
2000-04-24,35.42
2000-04-25,36.51
2000-04-26,36.59
2000-04-27,35.61
2000-04-28,35.87
2000-05-01,35.87
2000-05-02,36.09
2000-05-03,36.06
2000-05-04,36.2
2000-05-05,36.23
2000-05-08,35.83
2000-05-09,35.83
2000-05-10,34.33
2000-05-11,33.88
2000-05-12,34.37
2000-05-15,34.39
2000-05-16,34.7
2000-05-17,34.25
2000-05-18,34.15
2000-05-19,33.71
2000-05-22,34.06
2000-05-23,34.06
2000-05-24,33.99
2000-05-25,33.95
2000-05-26,33.33
2000-05-29,33.47
2000-05-30,33.49
2000-05-31,32.6
2000-06-01,32.58
2000-06-02,32.38
2000-06-05,33.16
2000-06-06,33.6
2000-06-07,33.94
2000-06-08,33.73
2000-06-09,33.55
2000-06-12,33.55
2000-06-13,33.25
2000-06-14,32.99
2000-06-15,32.37
2000-06-16,30.47
2000-06-19,32.19
2000-06-20,31.86
2000-06-21,31.31
2000-06-22,30.95
2000-06-23,31.45
2000-06-26,31.36
2000-06-27,31.75
2000-06-28,31.47
2000-06-29,30.84
2000-06-30,30.54
2000-07-03,31.03
2000-07-04,31.67
2000-07-05,31.48
2000-07-06,31.03
2000-07-07,31.03
2000-07-10,32.5
2000-07-11,32.18
2000-07-12,32.21
2000-07-13,32.21
2000-07-14,31.74
2000-07-17,31.56
2000-07-18,32.23
2000-07-19,33.5
2000-07-20,33.76
2000-07-21,33.1
2000-07-24,32.61
2000-07-25,31.53
2000-07-26,32.15
2000-07-27,31.5
2000-07-28,31.8
2000-07-31,31.65
2000-08-01,31.7
2000-08-02,32.39
2000-08-03,31.95
2000-08-04,31.93
2000-08-07,32.46
2000-08-08,32.88
2000-08-09,34.22
2000-08-10,34.94
2000-08-11,34.81
2000-08-14,34.83
2000-08-15,34.36
2000-08-16,34.33
2000-08-17,34.13
2000-08-18,33.55
2000-08-21,33.58
2000-08-22,34.02
2000-08-23,34.19
2000-08-24,33.8
2000-08-25,33.88
