Date,Price
2007-05-03,20.45
2007-05-04,20.7
2007-05-07,20.09
2007-05-08,19.37
2007-05-09,19.53
2007-05-10,19.44
2007-05-11,19.05
2007-05-14,18.64
2007-05-15,17.96
2007-05-16,18.1
2007-05-17,18.77
2007-05-18,19.06
2007-05-21,18.75
2007-05-22,19.22
2007-05-23,18.96
2007-05-24,18.77
2007-05-25,18.51
2007-05-29,18.84
2007-05-30,18.73
2007-05-31,18.8
2007-06-01,19.29
2007-06-04,18.59
2007-06-05,18.7
2007-06-06,18.68
2007-06-07,18.24
2007-06-08,18.58
2007-06-11,18.14
2007-06-12,18.16
2007-06-13,18.39
2007-06-14,18.65
2007-06-15,18.63
2007-06-18,18.3
2007-06-19,18.62
2007-06-20,19.1
2007-06-21,19.25
2007-06-22,19.49
2007-06-25,19.17
2007-06-26,19.23
2007-06-27,19.16
2007-06-28,19.41
2007-06-29,19.44
2007-07-02,19.32
2007-07-03,19.98
2007-07-05,20.25
2007-07-06,20.56
2007-07-09,21.05
2007-07-10,20.38
2007-07-11,19.85
2007-07-12,20.16
2007-07-13,20.23
2007-07-16,20.66
2007-07-17,20.91
2007-07-18,21.09
2007-07-19,21.23
2007-07-20,21.12
2007-07-23,20.83
2007-07-24,21.05
2007-07-25,20.51
2007-07-26,19.1
2007-07-27,18.35
2007-07-30,17.81
2007-07-31,17.59
2007-08-01,18.11
2007-08-02,18.63
2007-08-03,18.45
2007-08-06,17.78
2007-08-07,18.21
2007-08-08,18.25
2007-08-09,17.63
2007-08-10,17.33
2007-08-13,17.06
2007-08-14,16.75
2007-08-15,15.54
2007-08-16,15.71
2007-08-17,15.79
2007-08-20,15.87
2007-08-21,17.48
2007-08-22,17.86
2007-08-23,17.76
2007-08-24,18.0
2007-08-27,17.47
2007-08-28,17.12
2007-08-29,17.13
2007-08-30,16.76
2007-08-31,16.66
2007-09-04,17.3
2007-09-05,17.39
2007-09-06,17.83
2007-09-07,17.39
2007-09-10,17.21
2007-09-11,17.46
2007-09-12,16.92
2007-09-13,17.36
2007-09-14,17.42
2007-09-17,16.92
2007-09-18,17.22
2007-09-19,18.05
2007-09-20,17.49
2007-09-21,17.33
2007-09-24,15.82
2007-09-25,16.85
2007-09-26,17.63
2007-09-27,17.59
2007-09-28,17.71
2007-10-01,17.98
2007-10-02,18.73
2007-10-03,19.03
2007-10-04,18.36
2007-10-05,18.94
2007-10-08,19.22
2007-10-09,19.33
2007-10-10,19.37
2007-10-11,19.13
2007-10-12,19.7
2007-10-15,19.74
2007-10-16,19.82
2007-10-17,20.13
2007-10-18,19.7
2007-10-19,19.24
2007-10-22,19.74
2007-10-23,20.55
2007-10-24,20.31
2007-10-25,19.8
2007-10-26,19.48
2007-10-29,19.59
2007-10-30,20.41
2007-10-31,20.53
2007-11-01,19.93
2007-11-02,19.67
2007-11-05,19.25
2007-11-06,18.27
2007-11-07,17.22
2007-11-08,16.78
2007-11-09,16.28
2007-11-12,17.64
2007-11-13,18.5
2007-11-14,19.26
2007-11-15,19.58
2007-11-16,19.71
2007-11-19,18.76
2007-11-20,17.22
2007-11-21,17.67
2007-11-23,17.91
2007-11-26,17.25
2007-11-27,17.33
2007-11-28,18.52
2007-11-29,18.38
2007-11-30,19.5
2007-12-03,19.32
2007-12-04,18.36
2007-12-05,18.06
2007-12-06,18.14
2007-12-07,18.45
2007-12-10,18.0
2007-12-11,16.81
2007-12-12,15.53
2007-12-13,15.15
2007-12-14,15.39
2007-12-17,14.34
2007-12-18,13.98
2007-12-19,14.55
2007-12-20,14.19
2007-12-21,14.88
2007-12-24,14.91
2007-12-26,14.59
2007-12-27,14.23
2007-12-28,14.41
2007-12-31,14.69
2008-01-02,13.61
2008-01-03,13.47
2008-01-04,13.19
2008-01-07,13.21
2008-01-08,11.61
2008-01-09,13.34
2008-01-10,15.77
2008-01-11,15.28
2008-01-14,15.1
2008-01-15,15.77
2008-01-16,15.79
2008-01-17,14.99
2008-01-18,14.94
2008-01-22,14.65
2008-01-23,15.77
2008-01-24,15.78
2008-01-25,16.0
2008-01-28,15.95
2008-01-29,15.8
2008-01-30,15.94
2008-01-31,16.6
2008-02-01,18.29
2008-02-04,17.02
2008-02-05,16.81
2008-02-06,17.71
2008-02-07,18.25
2008-02-08,17.95
2008-02-11,17.76
2008-02-12,17.3
2008-02-13,17.48
2008-02-14,16.83
2008-02-15,17.09
2008-02-19,16.55
2008-02-20,16.59
2008-02-21,16.0
2008-02-22,16.15
2008-02-25,15.94
2008-02-26,15.7
2008-02-27,14.8
2008-02-28,13.9
2008-02-29,13.17
2008-03-03,12.81
2008-03-04,12.97
2008-03-05,14.14
2008-03-06,13.32
2008-03-07,12.72
2008-03-10,11.82
2008-03-11,11.95
2008-03-12,10.0
2008-03-13,10.38
2008-03-14,9.47
2008-03-17,9.11
2008-03-18,9.96
2008-03-19,10.29
2008-03-20,9.87
2008-03-24,9.88
2008-03-25,9.84
2008-03-26,8.62
2008-03-27,8.24
2008-03-28,8.5
2008-03-31,8.49
2008-04-01,9.02
2008-04-02,8.68
2008-04-03,8.69
2008-04-04,8.63
2008-04-07,9.17
2008-04-08,9.22
2008-04-09,8.79
2008-04-10,9.62
2008-04-11,9.88
2008-04-14,10.34
2008-04-15,9.04
2008-04-16,8.51
2008-04-17,8.44
2008-04-18,8.63
2008-04-21,8.09
2008-04-22,6.71
2008-04-23,6.47
2008-04-24,7.16
2008-04-25,6.92
2008-04-28,7.1
2008-04-29,8.13
2008-04-30,8.4
2008-05-01,8.71
2008-05-02,8.39
2008-05-05,8.0
2008-05-06,7.77
2008-05-07,7.57
2008-05-08,7.47
2008-05-09,7.55
2008-05-12,7.34
2008-05-13,7.29
2008-05-14,7.85
2008-05-15,7.75
2008-05-16,7.4
2008-05-19,7.06
