Date,Price
2001-02-05,311.52
2001-02-06,324.46
2001-02-07,313.9
2001-02-08,320.91
2001-02-09,313.19
2001-02-12,307.34
2001-02-13,309.01
2001-02-14,309.84
2001-02-16,312.68
2001-02-19,311.1
2001-02-20,314.02
2001-02-21,324.87
2001-02-22,323.62
2001-02-23,315.69
2001-02-26,321.12
2001-02-27,317.4
2001-02-28,315.27
2001-03-01,314.44
2001-03-02,315.69
2001-03-05,318.2
2001-03-06,310.68
2001-03-07,314.44
2001-03-08,309.26
2001-03-09,309.01
2001-03-12,306.34
2001-03-13,292.72
2001-03-15,275.06
2001-03-16,275.19
2001-03-19,279.69
2001-03-20,275.69
2001-03-21,271.09
2001-03-22,255.95
2001-03-23,258.3
2001-03-26,266.83
2001-03-27,263.08
2001-03-28,271.34
2001-03-29,267.25
2001-03-30,265.58
2001-04-02,263.08
2001-04-03,260.57
2001-04-04,260.57
2001-04-05,265.16
2001-04-06,263.49
2001-04-09,270.59
2001-04-10,281.83
2001-04-11,281.45
2001-04-12,274.7
2001-04-17,279.03
2001-04-18,288.13
2001-04-19,286.88
2001-04-20,295.65
2001-04-23,296.48
2001-04-24,302.33
2001-04-25,297.74
2001-04-26,297.32
2001-04-27,300.66
2001-04-30,301.91
2001-05-02,308.59
2001-05-03,317.36
2001-05-04,325.3
2001-05-08,324.79
2001-05-09,331.13
2001-05-11,336.57
2001-05-14,336.9
2001-05-15,325.71
2001-05-16,331.56
2001-05-17,322.37
2001-05-18,323.37
2001-05-21,325.71
2001-05-22,327.38
2001-05-23,322.37
2001-05-24,322.37
2001-05-25,327.38
2001-05-28,332.39
2001-05-29,324.04
2001-05-30,326.97
2001-05-31,335.32
2001-06-01,33.06
2001-06-04,33.41
2001-06-05,34.67
2001-06-06,34.28
2001-06-07,35.84
2001-06-08,35.49
2001-06-11,35.69
2001-06-12,34.66
2001-06-13,34.74
2001-06-14,34.87
2001-06-18,35.08
2001-06-19,35.08
2001-06-20,35.08
2001-06-21,35.08
2001-06-22,35.08
2001-06-25,34.87
2001-06-26,35.58
2001-06-27,35.57
2001-06-28,34.95
2001-06-29,34.62
2001-07-02,33.66
2001-07-03,32.99
2001-07-04,32.91
2001-07-05,33.57
2001-07-06,31.86
2001-07-09,30.98
2001-07-10,31.65
2001-07-11,31.49
2001-07-12,31.94
2001-07-16,32.24
2001-07-17,32.24
2001-07-18,31.74
2001-07-19,31.69
2001-07-20,31.74
2001-07-23,31.9
2001-07-24,31.74
2001-07-25,31.34
2001-07-26,31.9
2001-07-27,32.57
2001-07-30,32.53
2001-07-31,32.45
2001-08-01,31.83
2001-08-02,32.74
2001-08-03,33.57
2001-08-06,32.81
2001-08-07,32.47
2001-08-08,32.26
2001-08-09,32.22
2001-08-10,32.57
2001-08-13,32.74
2001-08-14,32.57
2001-08-15,32.81
2001-08-16,33.3
2001-08-17,33.41
2001-08-20,33.24
2001-08-21,33.36
2001-08-22,32.65
2001-08-23,32.87
2001-08-24,33.24
2001-08-27,33.23
2001-08-28,33.07
2001-08-29,33.4
2001-08-30,32.6
2001-08-31,33.07
2001-09-03,33.16
2001-09-04,33.12
2001-09-05,32.7
2001-09-06,31.57
2001-09-07,30.53
2001-09-10,30.07
2001-09-11,28.4
2001-09-12,28.73
2001-09-13,28.65
2001-09-14,27.32
2001-09-17,27.56
2001-09-18,27.98
2001-09-19,28.0
2001-09-20,27.56
2001-09-21,27.32
2001-09-25,31.36
2001-09-26,31.21
2001-09-27,30.58
2001-09-28,31.46
2001-10-01,32.15
2001-10-02,31.74
2001-10-04,31.42
2001-10-05,31.35
2001-10-08,30.9
2001-10-09,31.07
2001-10-10,31.58
2001-10-11,32.11
2001-10-12,32.78
2001-10-15,32.7
2001-10-17,33.74
2001-10-18,32.99
2001-10-19,32.57
2001-10-22,33.68
2001-10-23,34.22
2001-10-24,34.84
2001-10-25,33.41
2001-10-26,32.7
2001-10-29,32.2
2001-10-30,32.15
2001-10-31,32.08
2001-11-01,31.99
2001-11-02,32.07
2001-11-05,31.86
2001-11-06,32.24
2001-11-07,33.36
2001-11-08,34.24
2001-11-09,33.24
2001-11-12,33.49
2001-11-13,33.78
2001-11-14,34.16
2001-11-15,33.99
2001-11-16,33.82
2001-11-19,34.66
2001-11-20,34.03
2001-11-21,34.69
2001-11-22,34.91
2001-11-23,34.59
2001-11-26,34.91
2001-11-27,34.41
2001-11-28,34.49
2001-11-29,33.99
2001-11-30,33.82
2001-12-03,33.82
2001-12-04,34.66
2001-12-05,35.41
2001-12-06,36.31
2001-12-07,36.07
2001-12-10,35.49
2001-12-11,34.91
2001-12-12,33.62
2001-12-13,33.82
2001-12-14,33.42
2001-12-17,34.2
2001-12-18,35.34
2001-12-19,35.91
2001-12-20,35.34
2001-12-21,36.38
2001-12-27,36.75
2001-12-28,36.09
2002-01-02,36.58
2002-01-03,36.96
2002-01-04,36.75
2002-01-07,36.33
2002-01-08,35.62
2002-01-09,35.74
2002-01-10,35.54
2002-01-11,34.91
2002-01-14,34.49
2002-01-16,34.07
2002-01-17,35.29
2002-01-18,34.99
2002-01-21,34.58
2002-01-22,34.87
2002-01-23,34.91
2002-01-24,34.87
2002-01-25,35.16
2002-01-28,34.91
2002-01-29,34.95
2002-01-30,34.69
2002-01-31,34.83
2002-02-01,35.08
2002-02-04,35.14
2002-02-05,35.12
2002-02-06,36.1
2002-02-07,35.66
2002-02-08,35.08
2002-02-11,35.91
2002-02-12,36.08
2002-02-13,36.33
2002-02-14,36.91
2002-02-15,36.54
2002-02-18,36.33
2002-02-19,37.56
2002-02-20,37.42
2002-02-21,37.75
2002-02-22,38.63
2002-02-25,38.63
2002-02-26,38.41
2002-02-27,38.5
2002-02-28,38.83
2002-03-01,38.67
2002-03-04,40.35
2002-03-05,40.84
2002-03-06,41.13
2002-03-07,41.97
2002-03-08,42.18
2002-03-11,42.72
2002-03-12,43.01
2002-03-13,40.67
2002-03-14,39.57
2002-03-15,39.0
2002-03-18,39.54
2002-03-19,38.53
2002-03-20,39.29
2002-03-21,39.24
2002-03-22,39.09
2002-03-25,38.08
2002-03-26,38.33
2002-03-27,37.75
2002-03-28,38.83
2002-03-29,38.83
2002-04-01,38.83
2002-04-02,40.88
2002-04-03,40.51
2002-04-04,40.51
2002-04-05,39.84
2002-04-08,40.09
2002-04-09,40.34
2002-04-10,40.17
2002-04-11,40.28
2002-04-12,40.55
2002-04-15,40.59
2002-04-16,41.59
2002-04-17,41.82
2002-04-18,41.65
2002-04-19,41.17
2002-04-22,40.92
2002-04-23,40.92
2002-04-24,40.6
