Date,Price
1990-01-02,9.07
1990-01-03,9.08
1990-01-04,9.07
1990-01-05,9.0
1990-01-08,9.05
1990-01-09,9.1
1990-01-10,9.02
1990-01-11,9.12
1990-01-12,8.93
1990-01-15,8.89
1990-01-16,8.93
1990-01-17,8.82
1990-01-18,8.88
1990-01-19,8.99
1990-01-22,8.67
1990-01-23,8.81
1990-01-24,8.56
1990-01-25,8.13
1990-01-26,8.13
1990-01-29,8.13
1990-01-30,8.16
1990-01-31,8.24
1990-02-01,8.16
1990-02-02,8.13
1990-02-05,8.13
1990-02-06,8.13
1990-02-07,8.4
1990-02-08,8.35
1990-02-09,8.43
1990-02-12,8.43
1990-02-13,8.41
1990-02-14,8.46
1990-02-15,8.46
1990-02-16,8.41
1990-02-20,8.3
1990-02-21,8.19
1990-02-22,8.24
1990-02-23,8.21
1990-02-26,8.46
1990-02-27,8.52
1990-02-28,8.63
1990-03-01,8.6
1990-03-02,8.63
1990-03-05,8.57
1990-03-06,8.71
1990-03-07,8.6
1990-03-08,8.79
1990-03-09,8.57
1990-03-12,8.76
1990-03-13,8.54
1990-03-14,8.54
1990-03-15,8.54
1990-03-16,8.65
1990-03-19,8.6
1990-03-20,8.6
1990-03-21,8.52
1990-03-22,8.38
1990-03-23,8.35
1990-03-26,8.41
1990-03-27,8.52
1990-03-28,8.46
1990-03-29,8.46
1990-03-30,8.43
1990-04-02,8.49
1990-04-03,8.52
1990-04-04,8.38
1990-04-05,8.3
1990-04-06,8.32
1990-04-09,8.46
1990-04-10,8.52
1990-04-11,8.49
1990-04-12,8.6
1990-04-16,8.57
1990-04-17,8.68
1990-04-18,8.46
1990-04-19,8.27
1990-04-20,8.05
1990-04-23,7.86
1990-04-24,7.69
1990-04-25,7.88
1990-04-26,8.13
1990-04-27,8.16
1990-04-30,8.19
1990-05-01,8.13
1990-05-02,8.13
1990-05-03,8.27
1990-05-04,8.24
1990-05-07,8.32
1990-05-08,8.38
1990-05-09,8.41
1990-05-10,8.33
1990-05-11,8.58
1990-05-14,8.97
1990-05-15,8.99
1990-05-16,8.94
1990-05-17,8.99
1990-05-18,8.94
1990-05-21,9.02
1990-05-22,8.86
1990-05-23,8.97
1990-05-24,8.94
1990-05-25,8.69
1990-05-29,8.99
1990-05-30,8.86
1990-05-31,8.86
1990-06-01,8.91
1990-06-04,8.88
1990-06-05,8.83
1990-06-06,8.8
1990-06-07,8.75
1990-06-08,8.69
1990-06-11,8.8
1990-06-12,8.91
1990-06-13,8.77
1990-06-14,8.72
1990-06-15,8.88
1990-06-18,8.72
1990-06-19,8.69
1990-06-20,8.69
1990-06-21,8.47
1990-06-22,8.44
1990-06-25,8.36
1990-06-26,8.41
1990-06-27,8.44
1990-06-28,8.58
1990-06-29,8.55
1990-07-02,8.55
1990-07-03,8.55
1990-07-05,8.41
1990-07-06,8.36
1990-07-09,8.25
1990-07-10,8.3
