Date,Price
2001-06-18,16.59
2001-06-19,16.49
2001-06-20,16.87
2001-06-21,16.96
2001-06-22,16.79
2001-06-25,17.19
2001-06-26,17.2
2001-06-27,17.34
2001-06-28,17.32
2001-06-29,17.66
2001-07-02,17.85
2001-07-03,17.29
2001-07-04,17.25
2001-07-05,17.52
2001-07-06,17.53
2001-07-09,17.35
2001-07-10,16.96
2001-07-11,17.15
2001-07-12,17.53
2001-07-16,17.73
2001-07-17,17.88
2001-07-18,17.61
2001-07-19,17.7
2001-07-20,17.15
2001-07-23,16.99
2001-07-24,16.96
2001-07-25,16.81
2001-07-26,16.87
2001-07-27,16.81
2001-07-30,16.96
2001-07-31,16.75
2001-08-01,16.94
2001-08-02,16.93
2001-08-03,16.82
2001-08-06,16.96
2001-08-07,16.73
2001-08-08,16.5
2001-08-09,16.15
2001-08-10,16.13
2001-08-13,16.3
2001-08-14,16.31
2001-08-15,16.23
2001-08-16,16.16
2001-08-17,15.85
2001-08-20,16.04
2001-08-21,16.07
2001-08-22,16.05
2001-08-23,16.03
2001-08-24,16.22
2001-08-27,16.14
2001-08-28,16.2
2001-08-29,16.38
2001-08-30,16.4
2001-08-31,16.47
2001-09-03,16.51
2001-09-04,16.8
2001-09-05,16.76
2001-09-06,16.44
2001-09-07,16.09
2001-09-10,15.79
2001-09-11,14.61
2001-09-12,14.6
2001-09-13,14.94
2001-09-14,14.25
2001-09-17,14.23
2001-09-18,14.12
2001-09-19,14.17
2001-09-20,13.9
2001-09-21,12.69
2001-09-24,13.44
2001-09-25,14.42
2001-09-26,14.51
2001-09-27,14.66
2001-10-01,15.46
2001-10-02,16.02
2001-10-03,16.27
2001-10-04,16.21
2001-10-05,16.07
2001-10-08,16.29
2001-10-09,16.3
2001-10-10,16.77
2001-10-11,16.8
2001-10-12,16.46
2001-10-15,16.4
2001-10-17,15.93
2001-10-18,16.25
2001-10-19,15.9
2001-10-22,16.21
2001-10-23,16.52
2001-10-24,16.3
2001-10-25,16.39
2001-10-29,16.23
2001-10-30,16.02
2001-10-31,16.16
2001-11-01,16.02
2001-11-02,15.82
2001-11-05,15.89
2001-11-06,16.12
2001-11-07,16.13
2001-11-08,16.27
2001-11-09,16.02
2001-11-12,15.81
2001-11-13,15.89
2001-11-14,16.03
2001-11-15,16.18
2001-11-16,16.44
2001-11-19,16.43
2001-11-20,16.35
2001-11-21,16.81
2001-11-22,16.75
2001-11-23,16.96
2001-11-26,16.77
2001-11-27,16.05
2001-11-28,15.27
2001-11-29,15.34
2001-11-30,14.61
2001-12-03,14.32
2001-12-04,14.32
2001-12-05,14.35
2001-12-06,14.45
2001-12-07,14.47
2001-12-10,14.05
2001-12-11,14.47
2001-12-12,14.56
2001-12-13,14.34
2001-12-14,14.23
2001-12-17,14.51
2001-12-18,14.46
2001-12-19,14.41
2001-12-20,14.28
2001-12-21,14.23
2001-12-24,14.61
2001-12-27,15.13
2001-12-28,15.22
2002-01-02,14.8
2002-01-03,14.81
2002-01-04,14.84
2002-01-07,14.87
2002-01-08,14.48
2002-01-09,14.34
2002-01-10,14.79
2002-01-11,14.66
2002-01-14,14.3
2002-01-15,14.7
2002-01-16,14.64
2002-01-17,15.36
2002-01-18,15.75
2002-01-21,15.64
2002-01-22,15.83
2002-01-23,16.19
2002-01-24,16.26
2002-01-25,16.0
2002-01-28,15.89
2002-01-29,15.96
2002-01-30,15.41
2002-01-31,15.55
2002-02-01,15.92
2002-02-04,15.97
2002-02-05,15.66
2002-02-06,15.79
2002-02-07,15.96
2002-02-08,15.88
2002-02-11,16.02
2002-02-12,15.92
2002-02-13,15.89
2002-02-14,15.99
2002-02-15,15.72
2002-02-18,15.55
2002-02-19,15.5
2002-02-20,15.27
2002-02-21,15.39
2002-02-22,15.6
2002-02-25,15.63
2002-02-26,15.96
2002-02-27,16.12
2002-02-28,16.32
2002-03-01,16.49
2002-03-04,16.68
2002-03-05,16.26
2002-03-06,16.02
2002-03-07,15.79
2002-03-08,15.39
2002-03-11,15.8
2002-03-12,15.7
2002-03-13,15.36
2002-03-14,15.36
2002-03-15,15.96
2002-03-18,15.88
2002-03-19,16.05
2002-03-20,15.97
2002-03-21,16.05
2002-03-22,16.28
2002-03-25,16.26
2002-03-26,16.41
2002-03-27,16.28
2002-04-02,16.18
2002-04-03,16.76
2002-04-04,16.87
2002-04-05,16.3
2002-04-08,16.14
2002-04-09,15.84
2002-04-10,15.92
2002-04-11,16.23
2002-04-12,16.4
2002-04-15,16.68
2002-04-16,16.96
2002-04-17,16.86
2002-04-18,16.82
2002-04-19,17.31
2002-04-22,17.3
2002-04-23,17.55
2002-04-24,17.53
2002-04-25,17.26
2002-04-26,16.99
2002-04-29,16.82
2002-04-30,17.25
2002-05-02,17.43
2002-05-03,17.68
2002-05-06,17.66
2002-05-07,17.2
2002-05-08,17.52
2002-05-09,17.39
2002-05-10,17.33
2002-05-13,17.81
2002-05-14,17.86
2002-05-15,17.8
2002-05-16,17.51
2002-05-17,17.53
2002-05-20,17.32
2002-05-21,16.98
2002-05-22,17.12
2002-05-23,17.08
2002-05-24,15.13
2002-05-27,15.36
2002-05-28,15.35
2002-05-29,15.78
2002-05-30,15.8
2002-05-31,16.03
2002-06-03,15.76
2002-06-04,15.46
2002-06-05,15.23
2002-06-06,15.35
2002-06-07,15.47
2002-06-10,15.56
2002-06-11,15.46
2002-06-12,15.07
2002-06-13,14.54
2002-06-14,14.04
2002-06-17,14.59
2002-06-18,14.44
2002-06-19,13.85
2002-06-20,13.29
2002-06-21,13.33
2002-06-24,13.44
2002-06-25,13.81
2002-06-26,14.32
2002-06-27,14.55
2002-06-28,14.77
2002-07-01,14.27
2002-07-02,13.97
2002-07-03,13.66
2002-07-04,14.12
2002-07-05,14.77
2002-07-08,14.42
2002-07-09,14.14
2002-07-10,13.52
2002-07-11,13.01
2002-07-12,12.92
2002-07-15,12.61
2002-07-16,12.64
2002-07-17,12.59
2002-07-18,12.83
2002-07-19,12.3
2002-07-22,11.45
2002-07-23,11.2
2002-07-24,10.84
2002-07-25,11.37
2002-07-26,11.09
2002-07-29,12.49
2002-07-30,12.5
2002-07-31,12.3
2002-08-01,11.58
2002-08-02,11.21
2002-08-05,10.55
2002-08-06,11.37
2002-08-07,11.82
2002-08-08,12.31
2002-08-09,12.68
2002-08-12,12.58
2002-08-13,12.46
2002-08-14,12.11
2002-08-15,12.6
2002-08-16,12.46
2002-08-19,13.07
2002-08-20,12.66
2002-08-21,13.12
2002-08-22,13.62
2002-08-23,13.48
2002-08-26,13.42
2002-08-27,14.21
2002-08-28,13.19
2002-08-29,12.73
2002-08-30,12.68
2002-09-02,12.63
2002-09-03,11.86
2002-09-04,12.07
2002-09-05,11.85
2002-09-06,12.16
2002-09-09,11.87
2002-09-10,12.01
2002-09-11,12.51
2002-09-12,11.74
2002-09-13,11.17
2002-09-16,11.31
2002-09-17,10.94
2002-09-18,9.92
2002-09-19,9.55
2002-09-20,9.43
2002-09-23,8.69
2002-09-24,8.56
2002-09-25,9.27
2002-09-26,9.36
2002-09-27,9.08
2002-09-30,8.59
2002-10-01,8.45
2002-10-02,8.99
2002-10-03,8.48
2002-10-04,8.4
2002-10-07,8.11
2002-10-08,7.88
2002-10-09,8.02
2002-10-10,8.39
2002-10-11,9.34
2002-10-14,9.54
2002-10-15,10.23
2002-10-16,10.37
2002-10-17,10.55
2002-10-18,10.09
2002-10-21,10.15
2002-10-22,10.18
2002-10-23,9.61
2002-10-24,9.61
2002-10-25,9.35
2002-10-28,9.47
2002-10-29,9.39
2002-10-30,9.61
2002-10-31,9.17
2002-11-01,9.14
2002-11-04,9.8
2002-11-05,10.06
2002-11-06,9.85
2002-11-07,9.87
2002-11-08,9.86
2002-11-11,9.65
2002-11-12,9.49
2002-11-13,9.24
2002-11-14,9.75
2002-11-15,9.96
2002-11-18,10.1
2002-11-19,10.18
2002-11-20,10.46
2002-11-21,11.13
2002-11-22,11.31
2002-11-25,11.74
2002-11-26,11.65
2002-11-27,12.06
2002-11-28,11.68
2002-11-29,11.6
2002-12-02,11.77
2002-12-03,11.41
2002-12-04,10.97
2002-12-05,10.41
2002-12-06,11.44
2002-12-09,10.84
2002-12-10,10.99
2002-12-11,11.28
2002-12-12,11.15
2002-12-13,11.07
2002-12-16,11.69
2002-12-17,11.5
2002-12-18,11.05
2002-12-19,10.66
2002-12-20,10.76
2002-12-23,11.02
2002-12-24,11.2
2002-12-27,10.89
2002-12-30,10.6
2002-12-31,11.15
2003-01-02,11.76
2003-01-03,11.21
2003-01-06,11.26
2003-01-07,11.04
2003-01-08,10.7
2003-01-09,10.98
2003-01-10,10.83
2003-01-13,11.12
2003-01-14,11.11
2003-01-15,10.84
2003-01-16,10.56
2003-01-17,10.25
2003-01-20,10.18
2003-01-21,10.1
2003-01-22,9.63
2003-01-23,9.69
2003-01-24,9.48
2003-01-27,9.53
2003-01-28,9.42
2003-01-29,9.41
2003-01-30,9.71
2003-01-31,10.08
2003-02-03,10.1
2003-02-04,9.74
2003-02-05,9.68
2003-02-06,9.5
2003-02-07,9.17
2003-02-10,9.08
2003-02-11,9.21
2003-02-12,8.88
2003-02-13,8.62
2003-02-14,8.76
2003-02-17,8.88
2003-02-18,9.05
2003-02-19,8.9
2003-02-20,8.9
2003-02-21,8.84
2003-02-24,8.29
2003-02-25,8.0
2003-02-26,7.82
2003-02-27,7.84
2003-02-28,7.98
2003-03-03,7.94
2003-03-04,7.71
2003-03-05,7.64
2003-03-06,7.55
2003-03-07,7.3
2003-03-10,7.22
2003-03-11,6.69
2003-03-12,6.91
2003-03-13,7.69
2003-03-14,8.56
2003-03-17,8.82
2003-03-18,8.3
2003-03-19,8.58
2003-03-20,8.53
2003-03-21,8.98
2003-03-24,8.38
2003-03-25,8.61
2003-03-26,8.8
2003-03-27,8.43
2003-03-28,8.35
2003-03-31,7.87
2003-04-01,8.12
2003-04-02,8.51
2003-04-03,8.76
2003-04-04,9.08
2003-04-07,9.34
2003-04-08,9.04
2003-04-09,9.13
2003-04-10,8.97
2003-04-11,8.98
2003-04-14,9.04
2003-04-15,9.38
2003-04-16,9.17
2003-04-17,9.3
2003-04-22,9.32
2003-04-23,9.78
2003-04-24,9.51
2003-04-25,9.47
2003-04-28,9.68
2003-04-29,9.79
2003-04-30,9.68
2003-05-02,9.71
2003-05-05,9.92
2003-05-06,10.19
2003-05-07,10.46
2003-05-08,10.28
2003-05-09,10.32
2003-05-12,10.38
2003-05-13,10.44
2003-05-14,10.47
2003-05-15,10.36
2003-05-16,10.73
2003-05-19,10.07
2003-05-20,10.33
2003-05-21,10.38
2003-05-22,10.05
2003-05-23,10.05
2003-05-26,10.06
2003-05-27,9.95
2003-05-28,10.2
2003-05-29,10.44
2003-05-30,10.6
2003-06-02,10.73
2003-06-03,10.53
2003-06-04,10.56
2003-06-05,10.72
2003-06-06,11.13
2003-06-09,10.84
2003-06-10,11.03
2003-06-11,11.31
2003-06-12,11.26
2003-06-13,10.61
2003-06-16,11.05
2003-06-17,10.93
2003-06-18,10.96
2003-06-19,10.74
2003-06-20,10.93
2003-06-23,10.76
2003-06-24,10.71
2003-06-25,10.63
2003-06-26,10.44
2003-06-27,10.38
2003-06-30,10.38
2003-07-01,10.11
2003-07-02,10.38
2003-07-03,10.39
2003-07-04,10.32
2003-07-07,10.66
2003-07-08,10.89
2003-07-09,10.97
2003-07-10,10.65
2003-07-11,10.83
2003-07-14,11.02
2003-07-15,11.04
2003-07-16,10.9
2003-07-17,10.93
2003-07-18,10.86
2003-07-21,10.65
2003-07-22,10.78
2003-07-23,10.67
2003-07-24,10.81
2003-07-25,10.7
2003-07-28,10.91
2003-07-29,10.84
2003-07-30,11.05
2003-07-31,11.2
2003-08-01,10.94
2003-08-04,10.98
2003-08-05,11.17
2003-08-06,11.05
2003-08-07,10.96
2003-08-08,11.16
2003-08-11,11.19
2003-08-12,11.3
2003-08-13,11.19
2003-08-14,11.23
2003-08-15,11.31
2003-08-18,11.4
2003-08-19,11.54
2003-08-20,11.31
2003-08-21,11.4
2003-08-22,11.37
2003-08-25,11.37
2003-08-26,11.12
2003-08-27,11.2
2003-08-28,10.97
2003-08-29,10.7
2003-09-01,10.98
2003-09-02,11.04
2003-09-03,11.47
2003-09-04,11.44
2003-09-05,11.31
2003-09-08,11.31
2003-09-09,11.21
2003-09-10,10.93
2003-09-11,11.58
2003-09-12,11.83
2003-09-15,11.93
2003-09-16,12.08
2003-09-17,12.17
2003-09-18,12.18
2003-09-19,11.97
2003-09-22,12.14
2003-09-23,12.35
2003-09-24,12.06
2003-09-25,11.69
2003-09-26,11.94
2003-09-29,11.89
2003-09-30,11.8
2003-10-01,12.27
2003-10-02,12.23
2003-10-03,12.49
2003-10-06,12.49
2003-10-07,12.54
2003-10-08,12.54
2003-10-09,12.63
2003-10-10,12.56
2003-10-13,12.82
2003-10-14,12.68
2003-10-15,12.88
2003-10-16,12.77
2003-10-17,12.67
2003-10-20,12.65
2003-10-21,12.66
2003-10-22,12.38
2003-10-23,12.27
2003-10-24,12.32
2003-10-27,12.63
2003-10-28,12.63
2003-10-29,12.4
2003-10-30,12.63
2003-10-31,12.77
2003-11-03,12.77
2003-11-04,12.53
2003-11-05,12.82
2003-11-06,12.82
2003-11-07,12.81
2003-11-10,12.86
2003-11-11,12.89
2003-11-12,12.59
2003-11-13,12.54
2003-11-14,12.58
2003-11-17,12.3
2003-11-18,12.35
2003-11-19,12.32
2003-11-20,12.19
2003-11-21,12.28
2003-11-24,12.5
2003-11-25,12.36
2003-11-26,12.14
2003-11-27,12.26
2003-11-28,12.52
2003-12-01,12.65
