Date,Price
1996-12-26,3.39
1996-12-27,3.39
1996-12-30,3.36
1996-12-31,3.36
1997-01-02,3.25
1997-01-03,3.33
1997-01-06,3.36
1997-01-07,3.55
1997-01-08,3.58
1997-01-09,3.61
1997-01-10,3.64
1997-01-13,3.61
1997-01-14,3.94
1997-01-15,3.64
1997-01-16,3.55
1997-01-17,3.58
1997-01-20,3.53
1997-01-21,3.55
1997-01-22,3.55
1997-01-23,3.64
1997-01-24,3.58
1997-01-27,3.58
1997-01-28,3.55
1997-01-29,3.55
1997-01-30,3.55
1997-01-31,3.5
1997-02-03,3.61
1997-02-04,3.67
1997-02-05,3.69
1997-02-06,3.67
1997-02-07,3.72
1997-02-10,3.67
1997-02-11,3.67
1997-02-12,3.64
1997-02-13,3.75
1997-02-14,3.67
1997-02-18,3.67
1997-02-19,3.69
1997-02-20,3.75
1997-02-21,3.78
1997-02-24,3.92
1997-02-25,3.94
1997-02-26,3.86
1997-02-27,3.8
1997-02-28,3.75
1997-03-03,3.75
1997-03-04,3.75
1997-03-05,3.69
1997-03-06,3.67
1997-03-07,3.61
1997-03-10,3.64
1997-03-11,3.64
1997-03-12,3.67
1997-03-13,3.61
1997-03-14,3.64
1997-03-17,3.55
1997-03-18,3.58
1997-03-19,3.64
1997-03-20,3.61
1997-03-21,3.55
1997-03-24,3.47
1997-03-25,3.39
1997-03-26,3.36
1997-03-27,3.39
1997-03-31,3.3
1997-04-01,3.28
1997-04-02,3.25
1997-04-03,3.28
1997-04-04,3.28
1997-04-07,3.25
1997-04-08,3.3
1997-04-09,3.36
1997-04-10,3.42
1997-04-11,3.25
1997-04-14,3.19
1997-04-15,3.25
1997-04-16,3.33
1997-04-17,3.53
1997-04-18,3.55
1997-04-21,3.55
1997-04-22,3.55
1997-04-23,3.55
1997-04-24,3.55
1997-04-25,3.55
1997-04-28,3.55
1997-04-29,3.72
1997-04-30,3.92
1997-05-01,3.89
1997-05-02,4.08
1997-05-05,4.03
1997-05-06,4.05
1997-05-07,4.03
1997-05-08,3.97
1997-05-09,3.97
1997-05-12,4.22
1997-05-13,4.19
1997-05-14,4.03
1997-05-15,4.03
1997-05-16,3.97
1997-05-19,3.97
1997-05-20,3.92
1997-05-21,3.97
1997-05-22,4.33
1997-05-23,4.17
1997-05-27,4.17
1997-05-28,4.19
1997-05-29,4.22
1997-05-30,4.11
1997-06-02,4.14
1997-06-03,4.17
1997-06-04,4.19
1997-06-05,4.22
1997-06-06,4.39
1997-06-09,4.44
1997-06-10,4.44
1997-06-11,4.3
1997-06-12,4.44
1997-06-13,4.42
1997-06-16,4.5
1997-06-17,4.42
1997-06-18,4.44
1997-06-19,4.42
1997-06-20,4.42
1997-06-23,4.42
1997-06-24,4.3
1997-06-25,4.22
1997-06-26,4.22
1997-06-27,4.22
1997-06-30,4.57
1997-07-01,4.36
1997-07-02,4.33
1997-07-03,4.32
1997-07-07,4.32
1997-07-08,4.46
1997-07-09,4.36
1997-07-10,4.22
1997-07-11,4.22
1997-07-14,4.24
1997-07-15,4.28
1997-07-16,4.47
1997-07-17,4.19
1997-07-18,4.07
1997-07-21,4.03
1997-07-22,3.99
1997-07-23,4.0
1997-07-24,3.89
1997-07-25,3.75
1997-07-28,3.76
1997-07-29,3.83
1997-07-30,3.89
1997-07-31,3.86
1997-08-01,3.78
1997-08-04,3.78
1997-08-05,3.8
1997-08-06,3.85
1997-08-07,3.83
1997-08-08,3.83
1997-08-11,3.83
1997-08-12,3.92
1997-08-13,3.92
1997-08-14,4.05
1997-08-15,4.25
1997-08-18,4.25
1997-08-19,4.25
1997-08-20,4.28
1997-08-21,4.26
1997-08-22,4.24
1997-08-25,4.17
1997-08-26,4.19
1997-08-27,4.21
1997-08-28,4.19
1997-08-29,4.15
1997-09-02,4.05
1997-09-03,4.08
1997-09-04,4.14
1997-09-05,4.03
1997-09-08,4.08
1997-09-09,4.08
1997-09-10,4.04
1997-09-11,4.04
1997-09-12,4.03
1997-09-15,3.97
1997-09-16,3.93
1997-09-17,3.87
1997-09-18,3.79
1997-09-19,3.72
1997-09-22,3.69
1997-09-23,3.67
1997-09-24,3.67
1997-09-25,3.68
1997-09-26,3.76
1997-09-29,3.79
1997-09-30,3.76
1997-10-01,3.74
1997-10-02,3.74
1997-10-03,3.76
1997-10-06,3.78
1997-10-07,3.82
1997-10-08,3.83
1997-10-09,3.78
1997-10-10,3.75
1997-10-13,3.69
1997-10-14,3.64
1997-10-15,3.62
1997-10-16,3.67
1997-10-17,3.64
1997-10-20,3.62
1997-10-21,3.74
1997-10-22,3.72
1997-10-23,3.68
1997-10-24,3.74
1997-10-27,3.68
1997-10-28,3.68
1997-10-29,3.83
1997-10-30,3.78
1997-10-31,3.71
1997-11-03,3.79
1997-11-04,3.72
1997-11-05,3.68
1997-11-06,3.69
1997-11-07,3.69
1997-11-10,3.74
1997-11-11,3.71
1997-11-12,3.69
1997-11-13,3.71
1997-11-14,3.71
1997-11-17,3.74
1997-11-18,3.75
1997-11-19,3.76
1997-11-20,3.82
1997-11-21,3.67
1997-11-24,3.68
1997-11-25,3.65
1997-11-26,3.67
1997-11-28,3.62
1997-12-01,3.74
1997-12-02,3.78
1997-12-03,3.65
1997-12-04,3.61
1997-12-05,3.67
1997-12-08,3.71
1997-12-09,3.71
1997-12-10,3.69
1997-12-11,3.68
1997-12-12,3.69
1997-12-15,3.68
1997-12-16,3.75
1997-12-17,3.75
1997-12-18,3.74
1997-12-19,3.72
1997-12-22,3.72
1997-12-23,3.78
1997-12-24,3.78
1997-12-26,3.75
1997-12-29,3.74
1997-12-30,3.75
1997-12-31,3.75
1998-01-02,3.8
1998-01-05,3.76
1998-01-06,3.69
1998-01-07,3.64
1998-01-08,3.64
1998-01-09,3.55
1998-01-12,3.57
1998-01-13,3.57
1998-01-14,3.58
1998-01-15,3.62
1998-01-16,3.65
1998-01-20,3.62
1998-01-21,3.58
1998-01-22,3.62
1998-01-23,3.58
1998-01-26,3.6
1998-01-27,3.71
1998-01-28,3.76
1998-01-29,3.71
1998-01-30,3.69
1998-02-02,3.61
1998-02-03,3.61
1998-02-04,3.64
1998-02-05,3.62
1998-02-06,3.6
1998-02-09,3.58
1998-02-10,3.58
1998-02-11,3.6
1998-02-12,3.58
1998-02-13,3.55
1998-02-17,3.57
1998-02-18,3.54
1998-02-19,3.55
1998-02-20,3.54
1998-02-23,3.55
1998-02-24,3.46
1998-02-25,3.43
1998-02-26,3.42
1998-02-27,3.42
1998-03-02,3.49
1998-03-03,3.49
1998-03-04,3.43
1998-03-05,3.39
1998-03-06,3.47
1998-03-09,3.54
1998-03-10,3.54
1998-03-11,3.54
1998-03-12,3.53
1998-03-13,3.55
1998-03-16,3.54
1998-03-17,3.54
1998-03-18,3.54
1998-03-19,3.55
1998-03-20,3.51
1998-03-23,3.68
1998-03-24,3.67
1998-03-25,3.68
1998-03-26,3.71
1998-03-27,3.68
1998-03-30,3.71
1998-03-31,3.74
1998-04-01,3.76
1998-04-02,3.75
1998-04-03,3.72
1998-04-06,3.68
1998-04-07,3.64
1998-04-08,3.58
1998-04-09,3.6
1998-04-13,3.64
1998-04-14,3.62
1998-04-15,3.64
1998-04-16,3.74
1998-04-17,3.8
1998-04-20,3.9
1998-04-21,3.96
1998-04-22,4.03
1998-04-23,4.15
1998-04-24,4.18
1998-04-27,4.14
1998-04-28,4.28
1998-04-29,4.26
1998-04-30,4.28
1998-05-01,4.33
1998-05-04,4.39
1998-05-05,4.49
1998-05-06,4.55
1998-05-07,4.57
1998-05-08,4.57
1998-05-11,4.54
1998-05-12,4.5
1998-05-13,4.5
1998-05-14,4.43
1998-05-15,4.4
1998-05-18,4.62
1998-05-19,4.78
1998-05-20,4.76
1998-05-21,4.86
1998-05-22,4.82
1998-05-26,4.83
1998-05-27,4.74
1998-05-28,4.74
1998-05-29,4.82
1998-06-01,4.76
1998-06-02,4.79
1998-06-03,4.76
1998-06-04,4.86
1998-06-05,4.94
1998-06-08,5.04
1998-06-09,5.1
1998-06-10,5.07
1998-06-11,4.96
1998-06-12,4.83
1998-06-15,4.79
1998-06-16,4.75
1998-06-17,4.87
1998-06-18,4.87
1998-06-19,4.86
1998-06-22,4.79
1998-06-23,4.83
1998-06-24,4.89
1998-06-25,4.87
1998-06-26,4.89
1998-06-29,4.92
1998-06-30,4.86
1998-07-01,4.79
1998-07-02,4.76
1998-07-06,4.78
1998-07-07,4.76
1998-07-08,4.72
1998-07-09,4.71
1998-07-10,4.69
1998-07-13,4.71
1998-07-14,4.72
1998-07-15,4.72
1998-07-16,4.8
1998-07-17,4.78
1998-07-20,4.71
1998-07-21,4.69
1998-07-22,4.78
1998-07-23,4.72
1998-07-24,4.65
1998-07-27,4.65
1998-07-28,4.46
1998-07-29,4.57
1998-07-30,4.55
1998-07-31,4.55
1998-08-03,4.55
1998-08-04,4.26
1998-08-05,4.26
1998-08-06,4.32
1998-08-07,4.39
1998-08-10,4.29
1998-08-11,4.25
1998-08-12,4.37
1998-08-13,4.33
1998-08-14,4.42
1998-08-17,4.43
1998-08-18,4.44
1998-08-19,4.46
1998-08-20,4.46
1998-08-21,4.44
1998-08-24,4.43
1998-08-25,4.43
1998-08-26,4.39
1998-08-27,4.25
1998-08-28,4.0
1998-08-31,3.69
1998-09-01,3.71
1998-09-02,3.68
1998-09-03,3.82
1998-09-04,3.86
1998-09-08,4.08
1998-09-09,3.92
1998-09-10,3.87
1998-09-11,3.96
1998-09-14,3.92
1998-09-15,3.86
1998-09-16,3.78
1998-09-17,3.72
1998-09-18,3.9
1998-09-21,3.94
1998-09-22,3.97
1998-09-23,3.93
1998-09-24,3.82
1998-09-25,3.71
1998-09-28,3.72
1998-09-29,3.62
1998-09-30,3.67
1998-10-01,3.72
1998-10-02,3.69
1998-10-05,3.64
1998-10-06,3.53
1998-10-07,3.33
1998-10-08,3.25
1998-10-09,3.36
1998-10-12,3.3
1998-10-13,3.28
1998-10-14,3.26
1998-10-15,3.33
1998-10-16,3.3
1998-10-19,3.5
1998-10-20,3.74
1998-10-21,3.74
1998-10-22,3.78
1998-10-23,3.67
1998-10-26,3.68
1998-10-27,3.69
1998-10-28,3.67
1998-10-29,3.64
1998-10-30,3.69
1998-11-02,3.78
1998-11-03,3.8
1998-11-04,3.83
1998-11-05,3.82
1998-11-06,3.92
1998-11-09,4.0
1998-11-10,3.99
1998-11-11,3.97
1998-11-12,3.83
1998-11-13,3.85
1998-11-16,3.85
1998-11-17,3.85
1998-11-18,3.94
1998-11-19,4.03
1998-11-20,4.14
1998-11-23,4.11
1998-11-24,3.97
1998-11-25,4.03
