Date,Price
1990-01-02,7.37
1990-01-03,7.38
1990-01-04,7.38
1990-01-05,7.4
1990-01-08,7.46
1990-01-09,7.46
1990-01-10,7.22
1990-01-11,7.22
1990-01-12,7.01
1990-01-15,7.02
1990-01-16,7.14
1990-01-17,7.03
1990-01-18,7.01
1990-01-19,6.99
1990-01-22,6.77
1990-01-23,6.7
1990-01-24,6.74
1990-01-25,6.67
1990-01-26,6.66
1990-01-29,6.76
1990-01-30,6.71
1990-01-31,6.65
1990-02-01,6.5
1990-02-02,6.69
1990-02-05,6.89
1990-02-06,6.87
1990-02-07,6.96
1990-02-08,6.96
1990-02-09,6.93
1990-02-12,6.84
1990-02-13,6.87
1990-02-14,6.97
1990-02-15,7.04
1990-02-16,7.01
1990-02-20,6.88
1990-02-21,6.82
1990-02-22,6.79
1990-02-23,6.69
1990-02-26,6.86
1990-02-27,6.94
1990-02-28,6.99
1990-03-01,6.9
1990-03-02,6.97
1990-03-05,7.06
1990-03-06,7.16
1990-03-07,7.14
1990-03-08,7.18
1990-03-09,7.08
1990-03-12,7.15
1990-03-13,7.24
1990-03-14,7.37
1990-03-15,7.34
1990-03-16,7.41
1990-03-19,7.38
1990-03-20,7.4
1990-03-21,7.34
1990-03-22,7.14
1990-03-23,7.3
1990-03-26,7.21
1990-03-27,7.28
1990-03-28,7.24
1990-03-29,7.15
1990-03-30,7.1
1990-04-02,7.1
1990-04-03,7.26
1990-04-04,7.15
1990-04-05,7.3
1990-04-06,7.28
1990-04-09,7.27
1990-04-10,7.29
1990-04-11,7.35
1990-04-12,7.33
1990-04-16,7.31
1990-04-17,7.31
1990-04-18,7.2
1990-04-19,7.15
1990-04-20,7.16
1990-04-23,7.11
1990-04-24,7.05
1990-04-25,7.11
1990-04-26,7.08
1990-04-27,7.01
1990-04-30,7.07
1990-05-01,7.07
1990-05-02,7.11
1990-05-03,7.15
1990-05-04,7.21
1990-05-07,7.24
1990-05-08,7.19
1990-05-09,7.1
1990-05-10,6.99
1990-05-11,7.17
1990-05-14,7.2
1990-05-15,7.22
1990-05-16,7.2
1990-05-17,7.19
1990-05-18,7.35
1990-05-21,7.43
1990-05-22,7.64
1990-05-23,7.59
1990-05-24,7.61
1990-05-25,7.52
1990-05-29,7.66
1990-05-30,8.04
1990-05-31,8.25
1990-06-01,8.22
1990-06-04,8.2
1990-06-05,8.39
1990-06-06,8.32
1990-06-07,8.2
1990-06-08,7.89
1990-06-11,8.1
1990-06-12,8.31
1990-06-13,8.3
1990-06-14,8.25
1990-06-15,8.42
1990-06-18,8.13
1990-06-19,8.29
1990-06-20,8.25
1990-06-21,8.41
1990-06-22,8.17
1990-06-25,8.07
1990-06-26,7.98
1990-06-27,8.12
1990-06-28,8.27
1990-06-29,8.2
1990-07-02,8.24
1990-07-03,8.35
1990-07-05,8.28
1990-07-06,8.38
1990-07-09,8.54
1990-07-10,8.4
1990-07-11,8.61
1990-07-12,8.61
1990-07-13,8.6
1990-07-16,8.46
1990-07-17,8.4
1990-07-18,8.32
1990-07-19,8.32
1990-07-20,8.23
1990-07-23,7.94
1990-07-24,7.75
1990-07-25,7.61
1990-07-26,7.75
1990-07-27,7.43
1990-07-30,7.55
1990-07-31,7.53
1990-08-01,7.45
1990-08-02,7.15
1990-08-03,7.01
1990-08-06,6.55
1990-08-07,6.62
1990-08-08,6.91
1990-08-09,7.03
1990-08-10,6.83
1990-08-13,6.98
1990-08-14,6.89
1990-08-15,6.95
1990-08-16,6.71
1990-08-17,6.57
1990-08-20,6.53
1990-08-21,6.41
1990-08-22,6.28
1990-08-23,6.09
1990-08-24,6.27
1990-08-27,6.6
1990-08-28,6.62
1990-08-29,6.65
1990-08-30,6.55
1990-08-31,6.55
1990-09-04,6.51
1990-09-05,6.55
1990-09-06,6.47
1990-09-07,6.52
1990-09-10,6.39
1990-09-11,6.38
1990-09-12,6.35
1990-09-13,6.16
1990-09-14,6.06
1990-09-17,6.07
1990-09-18,6.03
1990-09-19,5.79
1990-09-20,5.69
1990-09-21,5.74
1990-09-24,5.67
1990-09-25,5.77
1990-09-26,5.79
1990-09-27,5.71
1990-09-28,5.8
1990-10-01,6.16
1990-10-02,6.11
1990-10-03,6.03
1990-10-04,6.0
1990-10-05,5.99
1990-10-08,6.03
1990-10-09,5.86
1990-10-10,5.86
1990-10-11,5.81
1990-10-12,5.79
1990-10-15,5.74
1990-10-16,5.64
1990-10-17,5.6
1990-10-18,5.9
1990-10-19,5.99
1990-10-22,6.15
1990-10-23,6.19
1990-10-24,6.14
1990-10-25,6.13
1990-10-26,5.96
1990-10-29,5.83
1990-10-30,5.86
1990-10-31,5.83
1990-11-01,5.9
1990-11-02,6.1
1990-11-05,6.12
1990-11-06,5.92
1990-11-07,5.83
1990-11-08,5.84
1990-11-09,5.92
1990-11-12,6.03
1990-11-13,6.08
1990-11-14,6.08
1990-11-15,6.05
1990-11-16,6.1
1990-11-19,6.36
1990-11-20,6.27
1990-11-21,6.11
1990-11-23,6.14
1990-11-26,6.27
1990-11-27,6.36
1990-11-28,6.24
1990-11-29,6.2
1990-11-30,6.39
1990-12-03,6.48
1990-12-04,6.56
1990-12-05,6.8
1990-12-06,6.76
1990-12-07,6.69
1990-12-10,6.61
1990-12-11,6.48
1990-12-12,6.64
1990-12-13,6.72
1990-12-14,6.6
1990-12-17,6.52
1990-12-18,6.63
1990-12-19,6.46
1990-12-20,6.44
1990-12-21,6.48
1990-12-24,6.44
1990-12-26,6.51
1990-12-27,6.5
1990-12-28,6.55
1990-12-31,6.51
1991-01-02,6.48
1991-01-03,6.44
1991-01-04,6.42
1991-01-07,6.24
1991-01-08,6.11
1991-01-09,6.06
1991-01-10,6.14
1991-01-11,6.12
1991-01-14,6.08
1991-01-15,6.04
1991-01-16,6.17
1991-01-17,6.53
1991-01-18,6.62
1991-01-21,6.55
1991-01-22,6.39
1991-01-23,6.49
1991-01-24,6.39
1991-01-25,6.53
1991-01-28,6.56
1991-01-29,6.6
1991-01-30,6.94
1991-01-31,6.95
1991-02-01,7.13
1991-02-04,7.47
1991-02-05,7.67
1991-02-06,7.61
1991-02-07,7.52
1991-02-08,7.42
1991-02-11,7.58
1991-02-12,7.69
1991-02-13,7.81
1991-02-14,7.58
1991-02-15,7.57
1991-02-19,7.62
1991-02-20,7.53
1991-02-21,7.62
1991-02-22,7.8
1991-02-25,7.93
1991-02-26,7.79
1991-02-27,7.96
1991-02-28,7.92
1991-03-01,7.95
1991-03-04,7.83
1991-03-05,8.03
1991-03-06,8.13
1991-03-07,8.15
1991-03-08,8.18
1991-03-11,8.09
1991-03-12,7.95
1991-03-13,8.03
1991-03-14,7.95
1991-03-15,7.91
1991-03-18,7.91
1991-03-19,7.78
1991-03-20,7.83
1991-03-21,7.58
1991-03-22,7.64
1991-03-25,7.42
1991-03-26,7.66
1991-03-27,7.66
1991-03-28,7.64
1991-04-01,7.54
1991-04-02,7.71
1991-04-03,7.72
1991-04-04,7.75
1991-04-05,7.68
1991-04-08,7.64
1991-04-09,7.54
1991-04-10,7.46
1991-04-11,7.39
1991-04-12,7.43
1991-04-15,7.48
1991-04-16,7.76
1991-04-17,7.78
1991-04-18,7.7
1991-04-19,7.54
1991-04-22,7.52
1991-04-23,7.65
1991-04-24,7.59
1991-04-25,7.4
1991-04-26,7.39
1991-04-29,7.39
1991-04-30,7.4
1991-05-01,7.56
1991-05-02,7.58
1991-05-03,7.76
1991-05-06,7.86
1991-05-07,7.71
1991-05-08,7.7
1991-05-09,7.93
1991-05-10,7.77
1991-05-13,7.81
1991-05-14,7.74
1991-05-15,7.61
1991-05-16,7.7
1991-05-17,7.71
1991-05-20,7.76
1991-05-21,7.76
1991-05-22,7.73
1991-05-23,7.75
1991-05-24,7.76
1991-05-28,7.77
1991-05-29,7.64
1991-05-30,7.51
1991-05-31,7.46
1991-06-03,7.59
1991-06-04,7.56
1991-06-05,7.57
1991-06-06,7.39
1991-06-07,7.43
1991-06-10,7.5
1991-06-11,7.49
1991-06-12,7.45
1991-06-13,7.45
1991-06-14,7.5
1991-06-17,7.44
1991-06-18,7.41
1991-06-19,7.3
1991-06-20,7.28
1991-06-21,7.28
1991-06-24,7.22
1991-06-25,7.26
1991-06-26,7.19
1991-06-27,7.12
1991-06-28,7.17
1991-07-01,7.31
1991-07-02,7.64
1991-07-03,7.61
1991-07-05,7.62
1991-07-08,7.69
1991-07-09,7.7
1991-07-10,7.72
1991-07-11,7.81
1991-07-12,7.87
1991-07-15,7.86
1991-07-16,7.82
1991-07-17,7.74
1991-07-18,7.84
1991-07-19,7.84
1991-07-22,7.86
1991-07-23,7.82
1991-07-24,7.69
1991-07-25,7.59
1991-07-26,7.55
1991-07-29,7.57
1991-07-30,7.72
1991-07-31,7.78
1991-08-01,7.8
1991-08-02,7.78
1991-08-05,7.71
1991-08-06,7.8
1991-08-07,7.7
1991-08-08,7.72
1991-08-09,7.7
1991-08-12,7.76
1991-08-13,7.78
1991-08-14,7.87
1991-08-15,7.71
1991-08-16,7.53
1991-08-19,7.31
1991-08-20,7.27
1991-08-21,7.53
1991-08-22,7.49
1991-08-23,7.59
1991-08-26,7.66
1991-08-27,7.62
1991-08-28,7.67
1991-08-29,7.62
1991-08-30,7.65
1991-09-03,7.52
1991-09-04,7.41
1991-09-05,7.43
1991-09-06,7.41
1991-09-09,7.44
1991-09-10,7.33
1991-09-11,7.28
1991-09-12,7.28
1991-09-13,7.23
1991-09-16,7.32
1991-09-17,7.34
1991-09-18,7.24
1991-09-19,7.14
1991-09-20,7.13
1991-09-23,7.23
1991-09-24,7.36
1991-09-25,7.31
1991-09-26,7.37
1991-09-27,7.34
1991-09-30,7.34
1991-10-01,7.24
1991-10-02,7.25
1991-10-03,7.24
1991-10-04,7.28
1991-10-07,7.26
1991-10-08,7.33
1991-10-09,7.25
1991-10-10,7.33
1991-10-11,7.43
1991-10-14,7.45
1991-10-15,7.42
1991-10-16,7.58
1991-10-17,7.53
1991-10-18,7.68
1991-10-21,7.63
1991-10-22,7.69
1991-10-23,7.73
1991-10-24,7.64
1991-10-25,7.59
1991-10-28,7.65
1991-10-29,7.79
1991-10-30,7.72
1991-10-31,7.66
1991-11-01,7.76
1991-11-04,7.63
1991-11-05,7.34
1991-11-06,7.29
1991-11-07,7.39
1991-11-08,7.41
1991-11-11,7.39
1991-11-12,7.28
1991-11-13,7.12
1991-11-14,7.22
1991-11-15,7.03
1991-11-18,7.03
1991-11-19,6.88
1991-11-20,6.93
1991-11-21,6.89
1991-11-22,6.83
1991-11-25,6.81
1991-11-26,6.77
1991-11-27,6.76
1991-11-29,6.76
1991-12-02,6.91
1991-12-03,6.9
1991-12-04,6.86
1991-12-05,6.82
1991-12-06,6.8
1991-12-09,6.78
1991-12-10,6.75
1991-12-11,6.73
1991-12-12,6.86
1991-12-13,6.98
1991-12-16,7.04
1991-12-17,6.97
1991-12-18,7.06
1991-12-19,7.01
1991-12-20,6.84
1991-12-23,7.08
1991-12-24,7.17
1991-12-26,7.13
1991-12-27,7.3
1991-12-30,7.41
1991-12-31,7.38
1992-01-02,7.47
1992-01-03,7.68
1992-01-06,7.74
1992-01-07,7.75
1992-01-08,7.91
1992-01-09,8.27
1992-01-10,8.24
1992-01-13,8.19
1992-01-14,8.45
1992-01-15,8.61
1992-01-16,8.52
1992-01-17,8.55
1992-01-20,8.49
1992-01-21,8.33
1992-01-22,8.51
1992-01-23,8.44
1992-01-24,8.6
1992-01-27,8.56
1992-01-28,9.14
1992-01-29,8.96
1992-01-30,8.96
1992-01-31,8.82
1992-02-03,9.03
1992-02-04,9.16
1992-02-05,9.2
1992-02-06,9.08
1992-02-07,9.02
1992-02-10,9.29
1992-02-11,9.39
1992-02-12,9.33
